    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.792e+01    2.652e+15    2.199e+09      5.000e+00    5.000e+00    1.057e-01      7.82s        0         
1    1.963e+01    2.804e+14    3.315e+04      3.000e+00    4.000e+00    1.020e-01      1.65m        0         
2    5.990e+00    5.078e+02    1.432e+04      7.000e+00    9.000e+00    9.438e-02      45.57s       0         
3    5.237e+00    2.937e+07    9.804e+04      7.000e+00    9.000e+00    9.438e-02      1.63m        0         
4    6.838e+00    8.182e+01    2.650e+01      1.100e+01    2.900e+01    8.732e-02      58.38s       0         
5    1.056e+01    2.950e+08    1.274e+02      1.100e+01    2.900e+01    5.706e-02      32.60s       0         
6    1.073e+01    8.485e+05    3.546e+04      9.000e+00    2.500e+01    4.285e-02      50.11s       0         
7    1.220e+01    1.445e+12    3.287e+03      9.000e+00    2.500e+01    4.032e-02      35.69s       0         
8    1.396e+01    1.443e+05    4.685e+03      9.000e+00    2.500e+01    4.032e-02      48.93s       0         
9    1.476e+01    1.077e+05    1.329e+04      2.100e+01    1.250e+02    3.778e-02      47.65s       0         
10   1.785e+01    1.276e+09    8.459e+05      1.900e+01    1.090e+02    3.700e-02      38.27s       0         
11   1.997e+01    6.328e+04    1.199e+03      2.300e+01    4.210e+02    3.064e-02      41.41s       0         
12   1.884e+01    2.178e+04    9.184e+01      2.300e+01    3.490e+02    3.059e-02      41.50s       0         
13   2.204e+01    7.413e+05    8.456e+02      2.300e+01    3.490e+02    2.895e-02      46.12s       0         
14   2.536e+01    1.540e+10    5.041e+01      1.230e+02    1.421e+05    2.004e-02      38.41s       0         
15   6.695e+01    1.608e+07    7.357e+00      1.230e+02    1.550e+05    1.613e-02      29.69s       0         
16   8.911e+01    1.047e+08    4.344e+05      9.100e+01    4.777e+04    1.556e-02      26.34s       0         
17   8.835e+01    3.181e+17    7.850e+04      1.510e+02    1.592e+05    1.454e-02      24.53s       0         
18   8.496e+01    3.461e+07    2.088e+01      1.470e+02    1.538e+05    1.379e-02      22.30s       0         
19   7.248e+01    2.817e+07    6.070e+02      1.130e+02    6.574e+04    1.350e-02      18.59s       0         
20   6.890e+01    5.806e+09    4.693e+03      1.150e+02    6.660e+04    1.347e-02      13.72s       0         
21   6.550e+01    1.074e+09    3.337e+02      1.250e+02    7.846e+04    1.317e-02      10.77s       0         
22   6.422e+01    1.390e+08    1.197e+05      1.390e+02    8.018e+04    1.355e-02      7.29s        0         
23   6.252e+01    4.292e+07    7.908e+06      1.330e+02    6.924e+04    1.276e-02      3.66s        0         
24   5.881e+01    2.235e+07    1.496e+05      1.290e+02    5.311e+04    1.270e-02      0.00s        0         
25   6.185e+01    3.978e+07    7.737e+01      1.390e+02    5.614e+04    1.214e-02      1.56m        0         
26   6.402e+01    7.712e+07    5.586e+10      8.700e+01    4.629e+07    1.174e-02      1.40m        0         
27   6.773e+01    7.995e+08    6.723e+11      8.700e+01    5.691e+07    1.128e-02      1.36m        0         
28   6.548e+01    2.559e+10    2.360e+02      8.900e+01    4.629e+07    1.111e-02      1.20m        0         
29   6.309e+01    1.749e+09    6.526e+01      1.070e+02    4.659e+07    1.144e-02      1.36m        0         
30   6.484e+01    1.694e+11    1.876e+05      8.100e+01    6.040e+06    1.108e-02      1.28m        0         
31   6.477e+01    4.295e+10    4.445e+02      8.100e+01    6.040e+06    1.108e-02      1.06m        0         
32   6.414e+01    3.051e+10    1.758e+01      9.500e+01    5.205e+07    1.114e-02      1.05m        0         
33   6.391e+01    1.276e+10    9.639e+00      9.100e+01    2.086e+07    1.114e-02      1.19m        0         
34   6.580e+01    3.426e+09    2.667e+01      6.300e+01    7.943e+04    1.175e-02      1.08m        0         
35   6.189e+01    1.611e+10    3.689e+00      5.700e+01    4.218e+04    1.201e-02      50.23s       0         
36   6.458e+01    3.028e+10    1.778e+01      6.500e+01    8.447e+05    1.177e-02      59.02s       0         
37   6.498e+01    6.512e+10    1.473e+02      5.700e+01    4.218e+04    1.201e-02      51.28s       0         
38   6.337e+01    2.679e+12    3.291e+01      7.300e+01    4.531e+05    1.193e-02      47.14s       0         
39   6.191e+01    2.357e+15    6.289e+02      1.190e+02    9.104e+09    1.179e-02      48.47s       0         
40   6.492e+01    6.397e+09    3.050e+01      7.300e+01    9.492e+05    1.190e-02      41.82s       0         
41   6.135e+01    4.863e+11    6.809e+00      7.500e+01    2.038e+06    1.088e-02      32.50s       0         
42   6.013e+01    3.063e+12    3.596e+02      7.500e+01    2.038e+06    1.088e-02      33.29s       0         
43   6.281e+01    2.072e+11    4.056e+03      7.100e+01    9.327e+05    1.022e-02      25.78s       0         
44   6.458e+01    6.525e+10    4.651e+04      7.100e+01    9.327e+05    1.022e-02      25.66s       0         
45   6.519e+01    1.288e+14    1.054e+02      7.100e+01    9.327e+05    1.022e-02      17.04s       0         
46   6.670e+01    9.169e+10    5.564e+00      7.100e+01    9.327e+05    1.022e-02      12.97s       0         
47   7.071e+01    3.990e+13    5.749e+04      7.100e+01    9.327e+05    1.022e-02      8.13s        0         
48   6.854e+01    2.976e+11    2.478e+02      7.100e+01    9.327e+05    1.022e-02      4.35s        0         
49   7.094e+01    3.009e+11    3.748e+01      7.100e+01    9.327e+05    1.022e-02      0.00s        0         
50   6.894e+01    1.777e+11    2.424e+05      7.100e+01    9.327e+05    1.022e-02      1.67m        0         
51   6.674e+01    4.376e+09    6.472e+00      7.100e+01    9.327e+05    1.022e-02      1.56m        0         
52   7.060e+01    7.123e+10    8.451e+02      7.100e+01    9.327e+05    1.022e-02      1.58m        0         
