    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.603e+01    1.046e+16    1.588e+12      1.500e+01    5.330e+02    1.970e-01      12.47s       0         
1    1.398e+01    2.086e+13    1.228e+05      1.000e+00    1.000e+00    1.459e-01      7.72s        0         
2    1.181e+01    3.112e+09    2.977e+04      1.500e+01    4.100e+01    1.154e-01      7.11s        0         
3    1.277e+01    2.398e+09    1.890e+05      9.000e+00    7.200e+01    1.000e-01      7.17s        0         
4    1.154e+01    3.608e+04    1.664e+05      9.000e+00    5.000e+01    7.710e-02      6.65s        0         
5    1.070e+01    3.653e+05    2.429e+04      3.100e+01    1.150e+03    7.252e-02      6.31s        0         
6    1.087e+01    9.651e+05    1.366e+03      1.700e+01    1.840e+02    6.379e-02      6.09s        0         
7    1.258e+01    9.964e+04    7.676e+05      2.100e+01    5.970e+02    5.462e-02      6.17s        0         
8    1.370e+01    1.514e+05    3.251e+04      2.100e+01    5.970e+02    5.462e-02      6.10s        0         
9    1.443e+01    2.227e+10    4.104e+02      2.100e+01    5.970e+02    5.462e-02      5.70s        0         
10   1.600e+01    3.270e+05    2.414e+02      2.100e+01    5.970e+02    5.462e-02      5.96s        0         
11   1.638e+01    2.467e+08    1.296e+05      1.900e+01    3.680e+02    5.126e-02      5.35s        0         
12   1.560e+01    2.148e+07    1.023e+05      2.100e+01    4.600e+02    5.035e-02      4.84s        0         
13   1.546e+01    1.460e+05    3.300e+05      2.100e+01    4.600e+02    5.035e-02      4.40s        0         
14   1.347e+01    6.536e+06    3.301e+05      2.100e+01    4.600e+02    5.035e-02      3.88s        0         
15   1.295e+01    3.297e+04    8.404e+04      2.100e+01    4.600e+02    5.035e-02      3.40s        0         
16   1.401e+01    7.480e+03    8.296e+13      1.900e+01    3.680e+02    5.016e-02      3.14s        0         
17   1.524e+01    1.254e+04    5.937e+08      1.900e+01    3.680e+02    5.016e-02      2.85s        0         
18   1.689e+01    3.626e+03    5.762e+01      1.500e+01    8.000e+01    4.567e-02      2.52s        0         
19   1.789e+01    1.364e+09    1.823e+06      1.500e+01    8.000e+01    4.567e-02      2.14s        0         
20   1.836e+01    4.232e+05    5.869e+05      1.500e+01    8.000e+01    4.567e-02      1.75s        0         
21   1.847e+01    4.015e+09    5.451e+04      1.500e+01    8.000e+01    4.567e-02      1.31s        0         
22   1.815e+01    3.157e+05    1.690e+04      1.500e+01    8.000e+01    4.567e-02      0.86s        0         
23   1.762e+01    4.713e+05    6.723e+02      1.500e+01    8.000e+01    4.567e-02      0.41s        0         
24   1.698e+01    1.004e+04    4.065e+05      2.900e+01    3.105e+03    4.531e-02      0.00s        0         
25   1.629e+01    3.941e+05    2.787e+02      1.500e+01    8.000e+01    4.567e-02      9.29s        0         
26   1.591e+01    1.671e+05    1.290e+02      4.100e+01    1.711e+04    3.987e-02      9.10s        0         
27   1.594e+01    1.434e+03    2.656e+02      3.500e+01    3.700e+03    3.346e-02      8.61s        0         
28   1.657e+01    4.886e+03    1.771e+05      3.500e+01    3.700e+03    3.346e-02      8.29s        0         
29   1.867e+01    7.313e+03    1.772e+07      3.500e+01    5.140e+03    3.292e-02      8.34s        0         
30   2.128e+01    8.012e+08    6.191e+02      3.500e+01    5.140e+03    3.292e-02      8.38s        0         
31   2.680e+01    2.484e+06    2.015e+02      3.500e+01    2.350e+03    3.222e-02      8.83s        0         
32   3.338e+01    2.982e+10    5.732e+04      3.500e+01    3.700e+03    3.199e-02      9.26s        0         
33   3.824e+01    4.023e+07    1.982e+02      1.900e+01    1.450e+02    3.267e-02      9.47s        0         
34   4.070e+01    2.937e+10    1.061e+02      3.500e+01    4.420e+03    3.252e-02      9.10s        0         
35   4.121e+01    4.126e+10    2.687e+02      3.500e+01    4.420e+03    3.252e-02      8.59s        0         
36   3.830e+01    2.068e+11    4.750e+05      3.500e+01    5.140e+03    3.242e-02      7.81s        0         
37   3.609e+01    1.794e+08    1.281e+02      3.700e+01    5.050e+03    3.267e-02      6.71s        0         
38   3.324e+01    2.128e+07    4.556e+05      6.300e+01    5.453e+05    3.206e-02      5.80s        0         
39   3.179e+01    2.786e+08    2.183e+02      3.700e+01    4.195e+03    3.157e-02      5.11s        0         
40   2.949e+01    7.115e+08    9.580e+05      1.900e+01    1.450e+02    3.267e-02      4.34s        0         
41   2.768e+01    2.608e+12    7.190e+12      1.900e+01    1.450e+02    3.267e-02      3.72s        0         
42   2.607e+01    7.825e+09    1.734e+06      1.900e+01    1.450e+02    3.267e-02      3.15s        0         
43   2.531e+01    2.384e+10    1.750e+06      7.100e+01    5.071e+06    3.260e-02      2.67s        0         
44   2.392e+01    7.991e+06    4.822e+05      1.900e+01    1.450e+02    3.267e-02      2.15s        0         
45   2.318e+01    2.754e+06    2.103e+06      2.700e+01    1.360e+03    3.260e-02      1.70s        0         
46   2.289e+01    1.956e+06    1.445e+06      1.900e+01    1.450e+02    3.267e-02      1.26s        0         
47   2.307e+01    3.462e+10    1.062e+06      1.900e+01    1.450e+02    3.267e-02      0.85s        0         
48   2.272e+01    7.670e+09    1.804e+06      1.900e+01    1.450e+02    3.267e-02      0.42s        0         
49   2.300e+01    7.180e+07    2.766e+06      1.900e+01    1.450e+02    3.267e-02      0.00s        0         
50   2.284e+01    1.664e+06    2.260e+06      1.900e+01    1.450e+02    3.267e-02      10.23s       0         
51   2.289e+01    3.467e+06    1.479e+06      1.900e+01    1.450e+02    3.267e-02      9.74s        0         
52   2.253e+01    2.615e+07    1.271e+06      1.900e+01    1.450e+02    3.267e-02      9.27s        0         
53   2.186e+01    1.152e+05    1.292e+06      1.900e+01    1.450e+02    3.267e-02      8.71s        0         
54   2.138e+01    4.244e+05    3.372e+06      1.900e+01    1.450e+02    3.267e-02      8.25s        0         
55   2.325e+01    4.214e+09    2.050e+06      4.900e+01    4.374e+04    3.260e-02      8.08s        0         
56   2.302e+01    4.504e+05    2.362e+06      1.900e+01    1.450e+02    3.267e-02      7.62s        0         
57   2.099e+01    2.584e+04    9.634e+05      1.900e+01    1.450e+02    3.267e-02      6.92s        0         
58   2.043e+01    1.476e+12    3.986e+06      1.900e+01    1.450e+02    3.267e-02      6.47s        0         
59   2.062e+01    2.267e+07    1.198e+06      1.900e+01    1.450e+02    3.267e-02      6.01s        0         
60   2.005e+01    1.072e+05    1.357e+06      1.900e+01    1.450e+02    3.267e-02      5.48s        0         
61   1.905e+01    1.086e+05    2.178e+06      1.900e+01    1.450e+02    3.267e-02      5.06s        0         
62   2.013e+01    2.312e+04    9.634e+05      1.900e+01    1.450e+02    3.267e-02      5.19s        0         
63   1.929e+01    1.065e+03    2.356e+06      1.900e+01    1.450e+02    3.267e-02      4.31s        0         
64   1.943e+01    3.507e+08    6.313e+06      1.900e+01    1.450e+02    3.267e-02      3.92s        0         
65   1.872e+01    2.516e+03    2.408e+06      1.900e+01    1.450e+02    3.267e-02      3.50s        0         
66   1.970e+01    1.114e+08    1.445e+06      1.900e+01    1.450e+02    3.267e-02      3.18s        0         
67   1.919e+01    8.101e+08    3.142e+06      1.900e+01    1.450e+02    3.267e-02      2.74s        0         
68   1.916e+01    9.845e+02    9.693e+05      1.900e+01    1.450e+02    3.267e-02      2.32s        0         
69   1.926e+01    5.015e+03    2.890e+06      1.900e+01    1.450e+02    3.267e-02      1.94s        0         
70   1.984e+01    2.701e+03    1.866e+06      1.900e+01    1.450e+02    3.267e-02      1.59s        0         
71   1.979e+01    3.409e+07    1.880e+06      1.900e+01    1.450e+02    3.267e-02      1.17s        0         
