    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.704e+01    1.395e+15    2.191e+13      2.700e+01    7.639e+03    1.010e-01      17.15s       6         
1    1.316e+01    9.081e+07    1.658e+09      1.500e+01    6.040e+02    1.010e-01      8.56s        4         
2    1.028e+01    2.989e+05    2.821e+06      1.900e+01    1.564e+03    9.811e-02      7.53s        4         
3    1.271e+01    1.077e+10    6.743e+08      1.700e+01    7.150e+02    7.745e-02      7.93s        7         
4    1.256e+01    1.169e+06    2.438e+04      1.700e+01    3.640e+02    6.983e-02      7.76s        7         
5    1.131e+01    3.193e+06    6.103e+04      9.000e+00    3.100e+01    6.894e-02      6.96s        5         
6    9.715e+00    4.228e+03    5.760e+04      1.300e+01    2.200e+01    6.354e-02      6.15s        4         
7    1.023e+01    1.395e+05    2.544e+02      1.300e+01    2.800e+01    5.403e-02      5.82s        6         
8    1.010e+01    2.059e+02    6.341e+04      1.700e+01    3.400e+01    4.449e-02      5.28s        8         
9    1.090e+01    6.629e+02    8.585e+03      1.700e+01    3.400e+01    4.449e-02      5.11s        7         
10   1.071e+01    2.770e+05    2.349e+05      1.500e+01    3.700e+01    4.434e-02      4.88s        8         
11   1.123e+01    1.541e+06    2.223e+03      1.300e+01    2.200e+01    4.162e-02      4.64s        6         
12   1.020e+01    6.130e+10    2.224e+16      1.300e+01    2.200e+01    4.162e-02      4.05s        6         
13   9.765e+00    3.688e+06    2.944e+04      2.100e+01    1.240e+02    3.958e-02      3.88s        7         
14   1.060e+01    1.044e+09    2.057e+02      2.100e+01    3.760e+02    3.041e-02      3.32s        9         
15   1.299e+01    2.119e+06    1.001e+09      2.100e+01    3.760e+02    3.041e-02      3.25s        10        
16   1.366e+01    2.573e+05    6.680e+02      2.100e+01    3.760e+02    2.940e-02      2.97s        11        
17   1.438e+01    6.549e+05    3.521e+02      2.100e+01    3.940e+02    2.735e-02      2.68s        11        
18   1.354e+01    1.833e+03    1.037e+02      1.900e+01    2.630e+02    2.594e-02      2.21s        14        
19   1.361e+01    8.635e+02    2.947e+05      1.900e+01    2.630e+02    2.594e-02      1.84s        11        
20   1.238e+01    4.596e+02    2.630e+01      3.100e+01    1.663e+03    2.477e-02      1.42s        12        
21   1.414e+01    4.272e+04    7.974e+02      2.700e+01    1.663e+03    2.408e-02      1.13s        15        
22   1.452e+01    2.498e+04    2.790e+03      2.500e+01    1.663e+03    2.320e-02      0.75s        14        
23   1.446e+01    6.583e+03    1.418e+02      4.700e+01    4.247e+04    2.157e-02      0.39s        14        
24   1.623e+01    1.719e+04    2.179e+02      2.100e+01    7.530e+02    2.012e-02      0.00s        13        
25   1.523e+01    6.639e+04    5.814e+01      2.100e+01    7.530e+02    2.012e-02      9.45s        14        
26   1.443e+01    1.154e+07    4.077e+10      2.100e+01    7.530e+02    2.012e-02      8.85s        14        
27   1.429e+01    4.196e+04    1.345e+04      2.100e+01    7.530e+02    2.012e-02      8.62s        14        
28   1.394e+01    3.938e+07    1.851e+02      2.100e+01    7.530e+02    2.012e-02      8.13s        14        
29   1.351e+01    1.149e+06    2.548e+01      2.100e+01    7.530e+02    2.012e-02      7.61s        14        
30   1.407e+01    6.230e+12    1.039e+10      2.100e+01    7.530e+02    2.012e-02      7.35s        13        
31   1.318e+01    5.618e+10    2.540e+01      2.100e+01    7.530e+02    2.012e-02      6.80s        13        
32   1.334e+01    9.336e+03    1.449e+06      2.300e+01    2.223e+03    1.914e-02      6.40s        14        
33   1.453e+01    9.076e+03    5.968e+03      2.300e+01    2.223e+03    1.914e-02      6.36s        14        
34   1.457e+01    4.693e+03    2.144e+09      2.300e+01    2.223e+03    1.914e-02      5.94s        15        
35   1.426e+01    7.679e+03    1.208e+01      2.300e+01    2.223e+03    1.914e-02      5.56s        15        
36   1.432e+01    5.682e+03    2.389e+01      2.300e+01    2.223e+03    1.914e-02      5.20s        16        
37   1.429e+01    1.342e+06    2.816e+05      2.300e+01    2.223e+03    1.914e-02      4.73s        16        
38   1.459e+01    8.368e+07    4.478e+07      2.300e+01    2.223e+03    1.914e-02      4.37s        13        
39   1.490e+01    3.276e+04    4.550e+02      2.300e+01    2.223e+03    1.914e-02      4.26s        13        
40   1.484e+01    3.743e+06    1.445e+01      2.300e+01    2.223e+03    1.914e-02      3.61s        13        
41   1.511e+01    1.657e+05    1.300e+01      2.300e+01    2.195e+03    1.914e-02      3.26s        13        
42   1.494e+01    5.094e+05    5.303e+06      2.300e+01    1.913e+03    1.914e-02      2.81s        13        
43   1.497e+01    4.833e+08    3.585e+04      2.300e+01    1.913e+03    1.914e-02      2.37s        13        
44   1.533e+01    3.947e+12    1.177e+03      2.300e+01    1.913e+03    1.914e-02      2.04s        13        
45   1.536e+01    4.429e+13    4.328e+04      2.300e+01    1.913e+03    1.914e-02      1.66s        13        
46   1.557e+01    2.091e+05    2.803e+01      2.300e+01    1.913e+03    1.914e-02      1.25s        13        
47   1.511e+01    8.809e+04    3.603e+02      2.300e+01    1.889e+03    1.914e-02      0.82s        13        
48   1.481e+01    1.862e+05    1.257e+05      2.300e+01    1.889e+03    1.914e-02      0.40s        13        
49   1.519e+01    1.526e+04    3.527e+01      2.500e+01    1.973e+03    1.895e-02      0.00s        15        
50   1.592e+01    2.295e+03    2.862e+05      2.500e+01    1.973e+03    1.895e-02      9.91s        15        
51   1.614e+01    1.313e+04    3.372e+03      2.700e+01    2.357e+03    1.872e-02      9.69s        16        
52   1.626e+01    3.995e+03    4.371e+01      2.700e+01    2.357e+03    1.872e-02      9.34s        16        
53   1.712e+01    2.763e+07    2.151e+04      2.700e+01    2.357e+03    1.872e-02      9.20s        16        
54   1.673e+01    1.844e+04    8.886e+01      2.700e+01    2.357e+03    1.872e-02      8.66s        16        
55   1.702e+01    3.232e+05    6.744e+03      2.700e+01    2.357e+03    1.872e-02      8.30s        16        
56   1.725e+01    1.454e+06    5.731e+04      2.700e+01    2.357e+03    1.872e-02      7.89s        16        
57   1.741e+01    1.168e+05    4.196e+06      2.700e+01    2.357e+03    1.872e-02      7.44s        17        
58   1.711e+01    3.136e+05    4.413e+09      2.700e+01    2.357e+03    1.872e-02      6.91s        18        
59   1.792e+01    1.045e+05    5.091e+01      2.700e+01    2.357e+03    1.872e-02      6.61s        13        
60   1.721e+01    4.698e+05    2.373e+04      2.700e+01    2.357e+03    1.872e-02      6.20s        14        
61   1.817e+01    2.387e+04    3.245e+05      2.700e+01    2.357e+03    1.872e-02      6.01s        15        
62   1.864e+01    3.770e+04    1.031e+02      2.700e+01    2.357e+03    1.872e-02      5.57s        15        
63   1.807e+01    9.511e+03    7.302e+02      2.700e+01    2.357e+03    1.872e-02      5.08s        15        
64   1.768e+01    1.719e+04    4.250e+04      2.700e+01    2.357e+03    1.872e-02      4.54s        16        
65   1.834e+01    1.480e+05    1.145e+04      2.700e+01    2.357e+03    1.872e-02      4.40s        16        
66   1.870e+01    2.271e+07    8.868e+01      5.300e+01    1.253e+05    1.857e-02      3.74s        17        
67   1.952e+01    1.557e+05    2.044e+01      5.300e+01    1.253e+05    1.847e-02      3.36s        17        
68   2.127e+01    2.710e+06    6.515e+04      5.700e+01    1.460e+05    1.818e-02      2.98s        21        
69   2.515e+01    2.952e+07    3.598e+08      2.100e+01    3.050e+02    1.764e-02      2.78s        9         
70   1.587e+01    1.450e+06    5.789e+04      4.500e+01    1.992e+04    1.754e-02      1.72s        10        
71   1.453e+01    2.791e+04    4.020e+05      3.300e+01    1.205e+03    1.671e-02      1.24s        14        
72   1.877e+01    2.567e+05    4.054e+03      4.100e+01    3.605e+03    1.582e-02      0.94s        16        
73   2.062e+01    1.153e+12    2.254e+12      4.100e+01    3.605e+03    1.582e-02      0.50s        19        
74   2.275e+01    2.890e+05    8.985e+04      4.100e+01    3.605e+03    1.582e-02      0.00s        18        
75   2.136e+01    1.038e+04    1.194e+02      4.100e+01    3.605e+03    1.582e-02      12.34s       20        
76   2.320e+01    5.225e+04    4.243e+04      4.100e+01    3.605e+03    1.582e-02      12.19s       21        
77   2.255e+01    2.493e+08    2.130e+04      4.100e+01    3.605e+03    1.582e-02      11.13s       19        
78   2.218e+01    1.024e+04    6.453e+01      4.100e+01    3.605e+03    1.582e-02      10.83s       20        
79   2.234e+01    6.906e+08    3.788e+01      4.100e+01    3.605e+03    1.582e-02      10.42s       20        
80   2.211e+01    6.000e+09    1.456e+04      4.300e+01    8.069e+03    1.539e-02      9.88s        22        
81   2.377e+01    1.128e+06    1.104e+04      2.500e+01    4.370e+02    1.468e-02      9.81s        14        
82   1.796e+01    4.098e+03    1.120e+01      2.500e+01    4.370e+02    1.468e-02      7.73s        14        
83   1.560e+01    3.414e+03    2.130e+01      2.500e+01    4.370e+02    1.468e-02      6.85s        15        
84   1.547e+01    2.225e+04    2.399e+03      2.500e+01    4.370e+02    1.468e-02      6.38s        15        
85   1.458e+01    9.671e+02    7.655e+04      3.100e+01    1.205e+03    1.452e-02      5.78s        16        
86   1.578e+01    1.780e+07    3.640e+01      3.100e+01    1.205e+03    1.452e-02      5.59s        16        
87   1.705e+01    5.535e+07    1.636e+03      3.100e+01    1.205e+03    1.452e-02      5.31s        16        
88   1.599e+01    1.521e+04    1.440e+05      3.100e+01    1.205e+03    1.452e-02      4.64s        16        
89   1.600e+01    1.202e+03    1.836e+04      3.100e+01    1.205e+03    1.452e-02      4.35s        16        
90   1.616e+01    2.263e+04    1.553e+04      3.100e+01    1.205e+03    1.452e-02      3.93s        16        
91   1.674e+01    6.326e+12    8.843e+04      3.500e+01    3.797e+03    1.443e-02      3.80s        17        
