    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.541e+01    1.815e+14    1.771e+14      1.900e+01    9.969e+03    1.169e-01      11.13s       3         
1    1.130e+01    5.905e+05    1.629e+06      2.500e+01    4.517e+04    7.731e-02      6.44s        5         
2    1.581e+01    1.495e+09    5.830e+04      1.100e+01    4.900e+01    6.780e-02      7.78s        2         
3    1.073e+01    1.695e+05    1.488e+05      3.300e+01    4.065e+05    5.967e-02      5.84s        4         
4    1.673e+01    1.336e+08    2.757e+04      3.300e+01    2.795e+05    5.235e-02      6.83s        6         
5    1.709e+01    5.075e+07    1.630e+02      3.300e+01    2.597e+05    4.931e-02      6.58s        9         
6    1.734e+01    1.173e+07    1.169e+10      3.300e+01    2.597e+05    4.931e-02      6.35s        8         
7    1.813e+01    3.422e+08    3.991e+03      3.300e+01    2.597e+05    4.931e-02      6.08s        9         
8    1.820e+01    1.526e+07    9.863e+01      4.900e+01    6.398e+06    4.878e-02      5.69s        10        
9    2.103e+01    5.685e+07    2.728e+01      6.100e+01    6.107e+07    4.826e-02      5.73s        15        
10   2.814e+01    8.730e+09    3.687e+01      6.300e+01    8.724e+07    4.779e-02      6.22s        11        
11   2.322e+01    7.349e+12    1.138e+02      3.100e+01    1.558e+03    4.570e-02      5.14s        11        
12   1.931e+01    2.185e+12    4.447e+01      3.100e+01    2.368e+03    4.405e-02      4.32s        11        
13   1.869e+01    4.739e+04    3.799e+01      2.700e+01    1.825e+03    4.338e-02      3.79s        10        
14   1.744e+01    9.058e+11    1.875e+04      2.100e+01    1.570e+02    4.286e-02      3.35s        8         
15   1.513e+01    3.025e+06    1.264e+04      1.700e+01    7.300e+01    3.896e-02      2.81s        4         
16   1.243e+01    1.548e+03    2.162e+05      1.100e+01    2.200e+01    3.843e-02      2.28s        3         
17   1.059e+01    3.707e+04    1.636e+08      1.100e+01    2.200e+01    3.843e-02      1.90s        3         
18   9.765e+00    1.786e+03    7.861e+05      1.100e+01    3.600e+01    3.608e-02      1.57s        3         
19   9.570e+00    3.070e+11    2.622e+02      1.100e+01    3.600e+01    3.608e-02      1.26s        3         
20   9.750e+00    1.456e+06    5.282e+04      1.100e+01    3.600e+01    3.608e-02      1.07s        3         
21   9.355e+00    3.591e+04    1.075e+05      1.100e+01    3.600e+01    3.608e-02      0.80s        3         
22   9.975e+00    7.063e+10    1.772e+03      1.100e+01    3.600e+01    3.608e-02      0.54s        3         
23   9.877e+00    1.732e+03    4.030e+04      1.100e+01    3.600e+01    3.608e-02      0.27s        3         
24   9.672e+00    5.775e+12    2.914e+03      1.100e+01    3.600e+01    3.608e-02      0.00s        3         
25   9.643e+00    1.332e+04    6.394e+01      1.100e+01    3.600e+01    3.608e-02      6.38s        3         
26   9.625e+00    7.767e+02    1.190e+05      1.100e+01    3.600e+01    3.608e-02      6.14s        3         
27   9.570e+00    1.026e+06    1.232e+03      1.100e+01    3.600e+01    3.608e-02      5.83s        3         
28   9.770e+00    5.390e+08    2.162e+02      1.100e+01    3.600e+01    3.608e-02      5.61s        3         
29   9.790e+00    9.739e+03    6.816e+01      1.100e+01    3.600e+01    3.608e-02      5.86s        3         
30   9.508e+00    3.504e+03    2.439e+04      1.100e+01    3.600e+01    3.608e-02      5.00s        3         
