    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.718e+01    3.227e+17    8.688e+14      1.100e+01    8.800e+01    1.691e-01      7.64s        0         
1    8.582e+00    7.173e+03    2.978e+03      5.000e+00    2.000e+01    9.706e-02      1.48m        0         
2    8.043e+00    1.217e+08    5.653e+03      5.000e+00    2.000e+01    9.706e-02      1.35m        0         
3    9.760e+00    4.572e+06    4.077e+03      9.000e+00    4.000e+01    9.452e-02      1.02m        0         
4    7.082e+00    1.113e+03    1.395e+01      9.000e+00    4.000e+01    9.452e-02      1.66m        0         
5    1.110e+01    9.001e+02    1.831e+01      2.100e+01    2.152e+03    7.634e-02      42.33s       0         
6    1.031e+01    1.100e+03    3.601e+03      1.100e+01    6.400e+01    6.166e-02      1.36m        0         
7    1.373e+01    9.321e+05    2.743e+04      2.300e+01    4.264e+03    4.780e-02      39.94s       0         
8    1.700e+01    3.984e+07    1.705e+02      2.500e+01    7.510e+02    4.122e-02      1.18m        0         
9    2.363e+01    8.850e+04    3.343e+07      2.500e+01    5.710e+02    3.364e-02      26.15s       0         
10   2.946e+01    1.591e+06    2.822e+03      4.100e+01    4.160e+03    2.485e-02      53.61s       0         
11   3.828e+01    6.261e+05    4.482e+02      4.100e+01    4.160e+03    2.282e-02      44.35s       0         
12   3.691e+01    2.056e+15    3.208e+02      4.100e+01    4.160e+03    2.282e-02      38.22s       0         
13   3.955e+01    2.517e+05    2.427e+02      4.300e+01    1.181e+04    2.218e-02      43.39s       0         
14   3.798e+01    2.617e+07    7.257e+02      4.300e+01    1.181e+04    2.218e-02      39.22s       0         
15   3.977e+01    8.134e+07    1.013e+04      4.100e+01    5.690e+03    2.018e-02      36.85s       0         
16   3.987e+01    2.222e+05    1.657e+03      4.100e+01    5.690e+03    2.018e-02      34.78s       0         
17   4.013e+01    1.957e+06    4.546e+01      4.300e+01    1.320e+04    1.873e-02      33.75s       0         
18   4.134e+01    1.469e+06    1.161e+04      4.300e+01    1.320e+04    1.873e-02      26.95s       0         
19   4.153e+01    1.048e+05    2.414e+05      4.300e+01    1.320e+04    1.873e-02      22.50s       0         
20   4.102e+01    9.617e+06    4.007e+00      4.300e+01    1.320e+04    1.873e-02      16.20s       0         
21   4.680e+01    5.612e+09    3.860e+06      4.300e+01    1.320e+04    1.873e-02      12.86s       0         
22   4.680e+01    3.822e+07    4.386e+05      4.300e+01    1.320e+04    1.873e-02      9.11s        0         
23   4.743e+01    1.317e+06    1.120e+04      4.300e+01    1.320e+04    1.873e-02      4.59s        0         
24   4.516e+01    5.311e+08    1.051e+03      4.300e+01    1.320e+04    1.839e-02      0.00s        0         
25   4.505e+01    4.929e+08    2.470e+03      6.500e+01    9.128e+04    1.818e-02      1.89m        0         
26   4.599e+01    9.295e+05    2.326e+05      6.700e+01    9.576e+04    1.785e-02      1.81m        0         
27   4.674e+01    1.858e+07    2.548e+04      6.900e+01    1.143e+05    1.781e-02      1.90m        0         
28   4.734e+01    1.628e+09    2.237e+05      4.300e+01    1.320e+04    1.839e-02      1.82m        0         
29   5.107e+01    1.047e+07    1.447e+04      4.300e+01    1.320e+04    1.839e-02      1.72m        0         
30   5.528e+01    6.824e+11    1.687e+04      1.130e+02    1.105e+08    1.838e-02      1.67m        0         
31   5.625e+01    1.446e+10    1.324e+04      1.190e+02    1.267e+08    1.838e-02      1.51m        0         
32   5.519e+01    2.657e+10    1.670e+08      4.300e+01    1.320e+04    1.839e-02      1.25m        0         
33   5.359e+01    2.173e+10    3.717e+04      1.550e+02    2.214e+09    1.817e-02      1.18m        0         
34   5.230e+01    5.699e+09    4.023e+04      6.300e+01    1.899e+06    1.828e-02      1.16m        0         
35   5.550e+01    5.263e+08    1.533e+04      6.300e+01    1.899e+06    1.828e-02      58.56s       0         
36   5.661e+01    4.847e+09    1.196e+01      9.300e+01    6.771e+06    1.811e-02      1.18m        0         
37   5.916e+01    3.338e+14    1.258e+04      9.300e+01    6.773e+06    1.716e-02      57.79s       0         
38   5.944e+01    2.160e+09    1.068e+04      1.050e+02    7.626e+06    1.705e-02      51.73s       0         
