    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.608e+01    4.173e+16    1.467e+10      9.000e+00    3.000e+01    3.315e-01      11.58s       2         
1    8.510e+00    1.127e+05    8.132e+06      1.300e+01    5.100e+01    2.012e-01      5.91s        3         
2    9.605e+00    1.595e+02    2.037e+04      1.500e+01    9.900e+01    1.570e-01      5.63s        5         
3    1.174e+01    1.667e+08    5.937e+02      1.100e+01    4.800e+01    9.192e-02      5.98s        2         
4    1.016e+01    1.113e+11    2.700e+01      1.100e+01    4.800e+01    9.192e-02      5.22s        2         
5    9.693e+00    3.265e+02    3.145e+01      7.000e+00    3.600e+01    9.192e-02      4.90s        1         
6    8.488e+00    1.346e+06    8.704e+02      7.000e+00    3.600e+01    9.192e-02      4.71s        1         
7    7.815e+00    1.680e+06    1.480e+03      7.000e+00    3.600e+01    9.192e-02      4.40s        1         
8    7.763e+00    1.025e+05    6.261e+05      7.000e+00    3.600e+01    9.192e-02      4.12s        1         
9    7.508e+00    2.247e+03    3.059e+01      7.000e+00    3.600e+01    9.192e-02      3.83s        1         
10   7.930e+00    2.045e+06    1.647e+02      7.000e+00    3.600e+01    9.192e-02      3.62s        1         
11   7.247e+00    2.165e+04    1.618e+03      7.000e+00    3.600e+01    9.192e-02      3.31s        1         
12   7.540e+00    5.189e+10    2.089e+02      7.000e+00    3.600e+01    9.192e-02      3.09s        1         
13   7.615e+00    1.478e+05    2.947e+02      7.000e+00    3.600e+01    9.192e-02      2.81s        1         
14   7.532e+00    9.058e+04    6.398e+02      7.000e+00    3.600e+01    9.192e-02      2.57s        1         
15   7.775e+00    5.079e+06    1.233e+02      7.000e+00    3.600e+01    9.192e-02      2.35s        1         
16   8.015e+00    9.674e+04    7.316e+02      7.000e+00    3.600e+01    9.192e-02      2.13s        1         
17   7.367e+00    3.289e+04    3.172e+01      7.000e+00    3.600e+01    9.192e-02      1.77s        1         
18   7.588e+00    9.464e+07    5.184e+02      7.000e+00    3.600e+01    9.192e-02      1.56s        1         
19   7.603e+00    2.216e+02    1.190e+03      7.000e+00    3.600e+01    9.192e-02      1.30s        1         
20   7.803e+00    1.638e+07    1.723e+02      9.000e+00    4.800e+01    8.388e-02      1.04s        2         
21   8.568e+00    9.154e+02    2.697e+03      1.100e+01    1.110e+02    7.285e-02      0.88s        3         
