    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.433e+01    8.584e+08    8.304e+07      8.000e+00    6.657e+00    3.765e-01      6.41s        0         
1    1.434e+01    2.742e+06    1.080e+01      3.300e+01    4.530e+03    2.716e-01      33.15s       0         
2    1.457e+01    1.018e+05    4.449e+00      1.700e+01    3.518e+01    2.254e-01      40.91s       0         
3    2.022e+01    4.975e+07    2.027e+00      1.700e+01    5.202e+01    1.178e-01      32.45s       0         
4    2.123e+01    1.282e+05    8.792e-01      1.800e+01    5.710e+01    5.544e-02      29.89s       0         
5    1.659e+01    2.459e+04    9.497e-01      2.000e+01    1.399e+02    3.773e-02      1.25m        0         
6    1.714e+01    9.945e+03    9.469e-01      2.000e+01    1.399e+02    3.773e-02      1.48m        0         
7    1.644e+01    6.527e+03    9.147e-01      2.000e+01    1.399e+02    3.773e-02      1.29m        0         
8    1.671e+01    1.891e+03    9.914e+00      2.000e+01    1.399e+02    3.773e-02      1.22m        0         
9    1.719e+01    7.764e+05    1.105e+00      2.000e+01    1.399e+02    3.773e-02      1.18m        0         
10   1.675e+01    3.700e+06    3.803e+00      2.000e+01    1.399e+02    3.773e-02      1.15m        0         
11   1.614e+01    7.889e+03    2.732e+01      2.000e+01    1.399e+02    3.773e-02      1.10m        0         
12   1.686e+01    9.640e+04    3.544e+04      2.000e+01    1.399e+02    3.773e-02      1.02m        0         
13   1.640e+01    2.893e+11    6.590e-01      2.000e+01    1.399e+02    3.773e-02      55.98s       0         
14   1.692e+01    6.187e+06    3.322e+01      2.000e+01    1.399e+02    3.773e-02      49.08s       0         
15   1.712e+01    5.454e+08    1.576e+00      2.000e+01    1.399e+02    3.773e-02      42.33s       0         
16   1.760e+01    2.234e+08    7.918e-01      2.000e+01    1.399e+02    3.773e-02      38.88s       0         
17   1.618e+01    3.188e+02    1.859e+01      1.500e+01    2.569e+01    2.600e-02      22.02s       0         
18   1.481e+01    2.415e+02    9.574e-01      1.500e+01    2.569e+01    2.600e-02      25.51s       0         
19   1.507e+01    1.534e+03    3.700e+00      1.500e+01    2.569e+01    2.600e-02      24.75s       0         
20   1.436e+01    1.174e+02    1.367e+00      1.500e+01    2.569e+01    2.600e-02      18.59s       0         
21   1.404e+01    1.495e+04    3.982e+00      1.500e+01    2.569e+01    2.600e-02      14.20s       0         
22   1.384e+01    1.363e+02    3.017e+01      1.500e+01    2.569e+01    2.600e-02      9.68s        0         
23   1.363e+01    3.364e+02    1.749e+00      1.500e+01    2.569e+01    2.600e-02      5.82s        0         
24   1.396e+01    1.578e+03    6.712e+04      1.500e+01    2.569e+01    2.600e-02      0.00s        0         
25   1.423e+01    1.872e+03    1.692e+00      1.500e+01    2.569e+01    2.600e-02      1.95m        0         
26   1.393e+01    1.732e+02    7.219e+01      1.500e+01    2.569e+01    2.600e-02      1.82m        0         
27   1.395e+01    8.353e+01    6.571e-01      1.500e+01    2.569e+01    2.600e-02      1.78m        0         
28   1.366e+01    1.043e+03    1.916e+01      1.500e+01    2.569e+01    2.600e-02      1.73m        0         
29   1.621e+01    4.114e+02    3.237e+01      1.500e+01    2.569e+01    2.600e-02      1.31m        0         
30   1.613e+01    7.113e+06    2.709e+00      1.500e+01    2.569e+01    2.600e-02      1.71m        0         
31   1.630e+01    4.103e+03    2.585e+01      1.500e+01    2.569e+01    2.600e-02      1.62m        0         
32   1.659e+01    2.473e+05    1.333e+05      1.700e+01    2.799e+01    2.415e-02      1.52m        0         
33   1.590e+01    5.450e+02    7.373e-01      1.700e+01    2.799e+01    2.415e-02      1.35m        0         
34   1.555e+01    2.328e+02    7.118e-01      1.500e+01    2.569e+01    2.600e-02      1.21m        0         
35   1.527e+01    4.380e+03    8.203e-01      1.500e+01    2.569e+01    2.600e-02      1.18m        0         
36   1.525e+01    8.030e+05    1.576e+00      1.500e+01    2.942e+01    2.414e-02      1.04m        0         
37   1.530e+01    5.820e+03    1.411e+00      1.500e+01    2.942e+01    2.414e-02      59.29s       0         
38   1.546e+01    1.108e+04    1.707e+01      1.500e+01    2.942e+01    2.414e-02      54.07s       0         
39   1.537e+01    3.931e+02    2.209e+01      1.500e+01    2.942e+01    2.414e-02      51.41s       0         
