    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.393e+01    1.571e+08    3.151e+04      3.000e+01    7.118e+01    3.944e-01      10.51s       0         
1    1.326e+01    4.918e+08    3.580e+00      1.700e+01    2.939e+01    3.612e-01      8.12s        0         
2    1.225e+01    5.763e+05    9.092e+03      7.000e+00    5.954e+00    3.502e-01      7.51s        0         
3    1.602e+01    1.659e+05    2.695e+00      2.800e+01    1.511e+02    2.480e-01      7.63s        0         
4    2.124e+01    4.739e+04    1.827e+03      2.800e+01    1.511e+02    2.480e-01      8.09s        0         
5    2.021e+01    1.044e+06    8.551e+01      2.800e+01    1.511e+02    2.480e-01      7.74s        0         
6    1.874e+01    1.284e+05    2.441e+02      2.900e+01    1.366e+02    2.031e-01      6.94s        0         
7    1.804e+01    3.644e+06    5.012e+01      3.400e+01    4.687e+03    1.908e-01      6.43s        0         
8    1.906e+01    3.994e+05    1.361e+00      3.000e+01    3.885e+02    1.215e-01      6.05s        0         
9    2.429e+01    1.161e+07    2.329e+00      3.000e+01    3.885e+02    1.215e-01      6.28s        0         
10   2.643e+01    3.809e+07    5.703e+01      3.000e+01    3.885e+02    1.215e-01      6.17s        0         
11   2.871e+01    1.749e+11    4.499e+00      3.000e+01    3.885e+02    1.215e-01      6.06s        0         
12   3.100e+01    2.822e+09    3.191e+00      3.000e+01    3.811e+02    1.211e-01      6.17s        0         
13   3.435e+01    2.151e+11    6.053e+00      3.000e+01    3.811e+02    1.211e-01      5.86s        0         
14   3.505e+01    7.166e+08    1.909e+00      2.400e+01    6.625e+01    7.510e-02      5.46s        0         
15   3.638e+01    3.024e+09    4.964e+01      2.400e+01    6.625e+01    7.510e-02      5.08s        0         
16   3.590e+01    1.243e+12    2.815e+00      2.800e+01    1.493e+02    7.326e-02      4.54s        0         
17   3.691e+01    9.275e+12    6.343e-01      2.400e+01    5.008e+01    5.602e-02      3.97s        0         
18   3.863e+01    3.661e+19    9.301e-01      2.400e+01    7.501e+01    5.367e-02      3.43s        0         
19   3.850e+01    5.129e+27    1.129e+00      2.400e+01    7.501e+01    5.367e-02      2.87s        0         
20   3.482e+01    1.210e+28    2.594e+00      2.600e+01    7.753e+01    4.690e-02      2.16s        0         
21   3.303e+01    3.063e+22    3.932e+00      2.600e+01    7.753e+01    4.690e-02      1.61s        0         
22   3.114e+01    1.298e+20    2.251e+00      2.200e+01    6.625e+01    4.748e-02      1.02s        0         
