    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.403e+01    4.302e+07    6.066e+05      8.000e+00    8.611e+00    4.606e-01      13.89s       7         
1    7.968e+00    6.937e+05    8.397e+00      7.000e+00    6.327e+00    3.951e-01      7.91s        4         
2    7.359e+00    1.121e+08    2.313e+01      1.100e+01    1.097e+01    3.471e-01      7.67s        6         
3    7.959e+00    3.725e+03    1.772e+00      1.200e+01    1.408e+01    2.977e-01      6.94s        8         
4    9.016e+00    3.869e+06    8.754e+01      1.100e+01    1.314e+01    2.883e-01      6.81s        8         
5    8.724e+00    3.059e+03    1.779e+00      1.600e+01    1.729e+01    1.842e-01      6.14s        10        
6    1.074e+01    1.597e+03    2.226e+00      1.600e+01    1.729e+01    1.842e-01      6.28s        11        
7    1.172e+01    5.173e+02    2.236e+00      1.200e+01    1.451e+01    1.199e-01      6.16s        8         
8    9.604e+00    9.423e+02    2.426e+02      1.100e+01    1.377e+01    1.038e-01      5.36s        9         
9    9.339e+00    6.788e+01    2.268e+01      1.500e+01    1.477e+01    8.459e-02      4.97s        10        
10   9.785e+00    5.156e+02    4.473e+01      1.500e+01    1.477e+01    8.459e-02      4.75s        10        
11   1.036e+01    2.197e+06    6.726e+01      1.500e+01    1.477e+01    8.459e-02      4.55s        10        
12   1.068e+01    1.675e+07    3.718e+01      1.500e+01    1.477e+01    8.459e-02      4.26s        11        
13   1.089e+01    1.504e+02    1.320e+03      1.500e+01    1.477e+01    8.459e-02      3.91s        12        
14   1.093e+01    2.030e+02    1.022e+02      1.500e+01    1.477e+01    8.459e-02      3.57s        13        
15   1.119e+01    3.190e+04    1.951e+01      1.900e+01    1.577e+01    7.358e-02      3.27s        14        
16   1.149e+01    3.288e+01    2.672e+02      1.900e+01    1.577e+01    7.358e-02      2.92s        14        
17   1.159e+01    1.734e+02    1.018e+01      1.900e+01    1.577e+01    7.358e-02      2.57s        14        
18   1.176e+01    1.179e+05    3.144e+05      1.900e+01    1.577e+01    7.358e-02      2.23s        14        
19   1.159e+01    8.605e+01    1.468e+00      1.900e+01    1.577e+01    7.358e-02      1.87s        14        
20   1.169e+01    7.752e+03    1.729e+00      1.900e+01    1.577e+01    7.358e-02      1.48s        14        
21   1.184e+01    5.411e+01    1.879e+00      1.900e+01    1.577e+01    7.358e-02      1.11s        13        
