    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.291e+01    4.967e+08    3.147e+05      1.100e+01    1.600e+01    3.999e-01      9.60s        4         
1    8.969e+00    3.312e+04    1.156e+01      9.000e+00    1.131e+01    3.379e-01      6.21s        4         
2    8.105e+00    2.148e+02    1.156e+02      9.000e+00    1.131e+01    3.379e-01      5.53s        4         
3    7.986e+00    1.684e+04    1.325e+05      8.000e+00    9.657e+00    3.374e-01      5.40s        2         
4    7.468e+00    3.524e+03    5.704e+01      8.000e+00    9.657e+00    3.374e-01      5.06s        2         
5    7.589e+00    2.654e+03    2.304e+01      1.200e+01    3.366e+01    3.225e-01      4.80s        2         
6    8.699e+00    2.991e+02    1.477e+00      2.800e+01    1.460e+05    2.772e-01      4.40s        4         
7    1.403e+01    1.826e+06    1.088e+02      2.000e+01    6.166e+01    1.225e-01      5.27s        5         
8    1.232e+01    6.963e+06    1.011e+03      1.800e+01    9.941e+01    8.114e-02      4.52s        5         
9    1.197e+01    1.412e+03    7.793e+01      1.700e+01    6.322e+01    7.374e-02      4.21s        6         
10   1.167e+01    2.408e+03    1.289e+00      1.100e+01    1.505e+01    7.096e-02      3.95s        4         
11   1.003e+01    6.666e+03    2.530e+01      1.100e+01    1.505e+01    7.096e-02      3.49s        4         
12   9.886e+00    3.127e+03    7.124e+01      1.100e+01    1.505e+01    7.096e-02      3.13s        4         
13   9.554e+00    7.046e+04    3.991e+00      1.100e+01    1.505e+01    7.096e-02      2.86s        4         
14   9.414e+00    1.100e+02    9.362e-01      1.100e+01    1.505e+01    7.096e-02      2.56s        5         
15   9.515e+00    4.711e+08    8.400e+00      1.100e+01    1.505e+01    7.096e-02      2.31s        5         
16   9.064e+00    1.014e+05    2.687e+01      1.100e+01    1.505e+01    7.096e-02      2.05s        5         
17   9.508e+00    1.826e+06    3.987e+04      1.100e+01    1.505e+01    7.096e-02      1.83s        5         
18   9.474e+00    3.507e+08    1.873e+04      1.100e+01    1.505e+01    7.096e-02      1.57s        5         
19   9.184e+00    2.029e+03    1.665e+00      1.100e+01    1.505e+01    7.096e-02      1.28s        5         
20   9.207e+00    1.204e+02    2.130e+00      1.100e+01    1.505e+01    7.096e-02      1.00s        5         
21   9.251e+00    1.438e+02    7.926e+00      1.100e+01    1.505e+01    7.096e-02      0.77s        5         
22   9.411e+00    9.937e+02    3.798e+00      1.100e+01    1.505e+01    7.096e-02      0.51s        5         
23   9.346e+00    1.205e+04    6.699e+01      1.100e+01    1.505e+01    7.096e-02      0.28s        5         
24   9.231e+00    1.254e+02    2.159e+00      1.100e+01    1.505e+01    7.096e-02      0.00s        5         
25   9.297e+00    3.204e+03    5.811e+00      1.100e+01    1.505e+01    7.096e-02      6.21s        5         
26   9.530e+00    2.293e+11    1.488e+03      1.100e+01    1.505e+01    7.096e-02      5.82s        5         
27   9.424e+00    3.114e+04    9.179e+02      1.100e+01    1.505e+01    7.096e-02      5.69s        5         
28   9.485e+00    1.008e+02    4.286e+00      1.100e+01    1.505e+01    7.096e-02      5.27s        5         
29   9.270e+00    1.956e+03    6.735e+00      1.100e+01    1.505e+01    7.096e-02      5.26s        5         
30   9.527e+00    4.346e+04    5.577e+00      1.100e+01    1.911e+01    4.818e-02      5.09s        5         
31   9.226e+00    4.005e+05    2.008e+00      1.100e+01    1.911e+01    4.818e-02      4.84s        5         
32   9.484e+00    1.429e+06    7.689e+05      1.100e+01    1.911e+01    4.818e-02      4.75s        4         
33   8.793e+00    5.592e+02    1.115e+00      1.100e+01    1.911e+01    4.818e-02      4.35s        5         
34   9.295e+00    8.869e+02    3.198e+00      1.100e+01    1.911e+01    4.818e-02      4.28s        5         
35   9.299e+00    8.757e+03    1.373e+00      1.100e+01    1.911e+01    4.818e-02      4.08s        5         
36   9.194e+00    6.028e+02    1.068e+01      9.000e+00    1.505e+01    3.789e-02      3.74s        3         
37   8.234e+00    2.724e+03    7.406e+01      9.000e+00    1.505e+01    3.789e-02      3.28s        3         
38   8.043e+00    5.123e+05    2.795e+00      9.000e+00    1.505e+01    3.789e-02      2.97s        3         
39   7.830e+00    5.092e+01    1.549e+00      9.000e+00    1.505e+01    3.789e-02      2.64s        3         
40   8.145e+00    1.133e+04    1.431e+02      9.000e+00    1.505e+01    3.789e-02      2.45s        3         
41   8.054e+00    2.404e+02    1.058e+00      9.000e+00    1.505e+01    3.789e-02      2.15s        3         
42   8.001e+00    2.415e+06    3.447e+00      9.000e+00    1.505e+01    3.789e-02      1.88s        3         
43   7.947e+00    9.829e+04    6.796e+01      9.000e+00    1.505e+01    3.688e-02      1.60s        3         
44   7.839e+00    1.303e+02    1.666e+00      9.000e+00    1.505e+01    3.688e-02      1.32s        3         
