    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.061e+01    9.802e+08    6.013e+06      7.000e+00    4.000e+00    3.798e-01      9.09s        0         
1    1.042e+01    3.484e+04    8.813e+04      8.000e+00    6.872e+00    3.469e-01      7.25s        0         
2    9.851e+00    2.116e+05    4.027e+00      1.400e+01    3.191e+01    3.121e-01      6.73s        0         
3    1.139e+01    1.497e+07    7.221e+00      1.300e+01    2.895e+01    3.091e-01      6.60s        0         
4    1.041e+01    3.872e+04    5.524e+00      9.000e+00    1.944e+01    2.576e-01      6.05s        0         
5    7.871e+00    7.895e+01    2.327e+00      9.000e+00    1.944e+01    2.576e-01      5.18s        0         
6    7.424e+00    1.169e+04    2.048e+05      1.300e+01    2.414e+02    2.568e-01      4.82s        0         
7    8.374e+00    1.685e+04    1.139e+02      1.300e+01    2.387e+01    2.399e-01      4.77s        0         
8    9.286e+00    1.538e+03    2.682e+00      1.100e+01    3.748e+01    2.200e-01      4.85s        0         
9    1.062e+01    5.013e+04    1.989e+00      2.800e+01    2.161e+07    2.021e-01      4.86s        0         
10   1.111e+01    1.162e+06    1.478e+00      2.800e+01    2.161e+07    2.021e-01      4.80s        0         
11   1.202e+01    2.750e+05    1.599e+01      2.100e+01    3.943e+02    2.002e-01      4.76s        0         
12   1.260e+01    4.352e+15    3.015e+00      2.300e+01    7.931e+02    1.843e-01      4.43s        0         
13   1.176e+01    1.357e+07    8.034e+00      2.300e+01    7.931e+02    1.843e-01      3.96s        0         
14   1.161e+01    3.800e+09    2.370e+01      2.300e+01    7.931e+02    1.843e-01      3.56s        0         
15   1.133e+01    3.827e+09    3.197e+01      2.300e+01    7.931e+02    1.843e-01      3.17s        0         
16   1.282e+01    2.061e+04    3.004e+02      3.600e+01    4.707e+05    1.822e-01      2.98s        0         
17   1.457e+01    3.205e+20    3.300e+01      2.800e+01    2.397e+03    1.833e-01      2.80s        0         
18   1.616e+01    2.815e+06    5.557e+01      1.000e+01    2.082e+01    1.453e-01      2.55s        0         
19   1.803e+01    1.809e+11    1.464e+00      1.000e+01    2.082e+01    1.453e-01      2.35s        0         
