    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    1.816e+01    9.156e+09    4.112e+05      1.100e+01    1.947e+02    4.312e-01      11.41s       8         
1    7.447e+00    3.264e+11    6.351e+02      6.000e+00    1.351e+01    3.176e-01      7.61s        5         
2    7.206e+00    4.621e+03    2.791e+00      1.300e+01    2.876e+02    3.119e-01      7.15s        6         
3    7.971e+00    1.028e+03    7.097e+00      1.300e+01    2.876e+02    2.944e-01      6.94s        7         
4    7.896e+00    5.714e+02    1.320e+01      1.300e+01    2.876e+02    2.944e-01      6.58s        8         
5    8.018e+00    2.011e+03    5.934e+00      1.300e+01    2.876e+02    2.944e-01      6.26s        8         
6    8.547e+00    5.086e+04    2.334e+01      1.300e+01    2.876e+02    2.944e-01      6.19s        8         
7    8.346e+00    3.937e+02    4.139e+01      1.300e+01    2.876e+02    2.793e-01      5.71s        6         
8    8.557e+00    9.263e+04    4.396e+03      1.500e+01    4.834e+02    2.601e-01      5.45s        8         
9    1.039e+01    1.792e+03    1.461e+05      1.500e+01    4.834e+02    2.601e-01      5.48s        10        
10   1.072e+01    2.122e+07    3.652e+00      1.500e+01    4.834e+02    2.601e-01      5.15s        12        
11   1.111e+01    4.241e+03    4.285e+01      1.800e+01    1.250e+03    2.566e-01      4.72s        14        
12   1.135e+01    6.313e+05    2.424e+01      1.800e+01    1.250e+03    2.566e-01      4.36s        15        
13   1.219e+01    3.951e+03    1.195e+01      1.800e+01    4.964e+02    2.327e-01      4.08s        14        
14   1.256e+01    9.912e+04    4.818e+02      2.500e+01    5.161e+03    2.159e-01      3.86s        15        
15   1.363e+01    3.715e+04    2.053e+00      2.500e+01    5.161e+03    1.974e-01      3.57s        13        
16   1.486e+01    3.722e+04    1.915e+09      2.300e+01    3.771e+03    1.864e-01      3.46s        16        
17   1.552e+01    1.110e+07    1.834e+01      2.300e+01    3.771e+03    1.864e-01      3.09s        11        
18   1.390e+01    1.594e+04    1.791e+01      2.300e+01    3.771e+03    1.864e-01      2.69s        13        
19   1.605e+01    1.103e+05    8.558e+00      2.400e+01    1.545e+02    1.834e-01      2.25s        11        
20   1.409e+01    5.714e+04    2.583e+01      2.200e+01    7.932e+01    1.793e-01      1.74s        11        
21   1.436e+01    1.072e+04    9.967e+00      2.700e+01    1.242e+02    1.611e-01      1.29s        14        
22   1.420e+01    4.393e+04    6.416e+00      2.700e+01    1.242e+02    1.611e-01      0.82s        15        
23   1.387e+01    1.456e+06    8.648e+00      2.700e+01    1.242e+02    1.611e-01      0.40s        14        
24   1.368e+01    1.519e+07    3.086e+04      2.700e+01    1.242e+02    1.611e-01      0.00s        15        
25   1.395e+01    1.057e+03    5.393e+00      2.700e+01    1.242e+02    1.611e-01      9.92s        16        
26   1.385e+01    4.437e+04    6.811e+00      2.700e+01    1.242e+02    1.611e-01      9.51s        16        
27   1.435e+01    7.217e+05    3.601e+00      2.700e+01    1.242e+02    1.611e-01      9.25s        13        
28   1.383e+01    1.225e+03    2.683e+03      2.700e+01    1.242e+02    1.611e-01      8.70s        14        
29   1.375e+01    1.742e+02    2.107e+01      2.700e+01    1.242e+02    1.611e-01      8.21s        12        
30   1.335e+01    2.713e+06    1.236e+03      2.700e+01    1.242e+02    1.611e-01      7.69s        14        
31   1.321e+01    1.776e+03    2.683e+01      2.700e+01    1.242e+02    1.611e-01      7.28s        15        
32   1.361e+01    1.174e+02    6.440e+00      2.800e+01    1.352e+02    1.524e-01      6.91s        15        
33   1.392e+01    1.517e+05    2.456e+01      2.800e+01    1.352e+02    1.524e-01      6.61s        18        
34   1.527e+01    1.112e+06    1.366e+03      2.800e+01    1.352e+02    1.524e-01      6.41s        18        
35   1.556e+01    1.814e+02    2.620e+01      2.800e+01    1.352e+02    1.524e-01      6.01s        18        
36   1.484e+01    2.883e+03    6.512e+00      2.800e+01    1.352e+02    1.524e-01      5.26s        19        
37   1.487e+01    1.020e+04    9.337e+00      2.800e+01    1.352e+02    1.524e-01      4.96s        16        
38   1.405e+01    8.993e+05    1.469e+01      2.800e+01    1.352e+02    1.524e-01      4.62s        16        
39   1.453e+01    2.162e+04    4.631e+01      2.800e+01    1.352e+02    1.524e-01      4.22s        16        
40   1.467e+01    1.639e+07    6.147e+00      1.800e+01    4.649e+01    1.503e-01      3.79s        14        
41   1.213e+01    1.334e+02    2.212e+01      1.800e+01    4.649e+01    1.503e-01      3.05s        14        
42   1.147e+01    2.852e+04    8.879e+03      1.800e+01    4.649e+01    1.503e-01      2.57s        14        
43   1.129e+01    4.927e+02    5.096e+01      1.800e+01    4.649e+01    1.503e-01      2.21s        15        
44   1.181e+01    4.118e+02    7.945e+04      1.800e+01    4.649e+01    1.503e-01      1.86s        15        
45   1.176e+01    4.239e+04    1.462e+01      1.800e+01    4.649e+01    1.503e-01      1.59s        14        
46   1.215e+01    6.723e+05    3.161e+00      1.800e+01    4.649e+01    1.503e-01      1.11s        14        
47   1.205e+01    4.780e+05    3.715e+02      1.800e+01    4.649e+01    1.503e-01      0.75s        14        
48   1.166e+01    7.784e+01    3.534e+01      1.800e+01    4.649e+01    1.503e-01      0.36s        14        
49   1.156e+01    1.691e+02    1.113e+01      1.800e+01    4.649e+01    1.503e-01      0.00s        14        
50   1.183e+01    7.828e+03    1.334e+01      1.800e+01    4.649e+01    1.503e-01      8.84s        14        
51   1.182e+01    3.866e+02    8.986e+01      1.800e+01    4.649e+01    1.503e-01      8.65s        14        
52   1.152e+01    3.535e+03    3.325e+01      1.900e+01    4.741e+01    1.497e-01      8.11s        15        
53   1.213e+01    1.710e+07    2.955e+05      1.900e+01    4.741e+01    1.497e-01      7.96s        15        
54   1.251e+01    6.285e+06    1.914e+01      1.900e+01    4.741e+01    1.497e-01      7.73s        15        
55   1.242e+01    8.369e+04    3.069e+01      1.900e+01    4.741e+01    1.497e-01      7.34s        15        
56   1.206e+01    4.406e+02    2.005e+01      1.900e+01    4.741e+01    1.497e-01      6.79s        15        
57   1.158e+01    8.484e+04    9.176e+04      1.900e+01    4.741e+01    1.497e-01      6.42s        14        
58   1.141e+01    2.009e+02    5.423e+01      1.900e+01    4.741e+01    1.497e-01      6.00s        14        
59   1.145e+01    1.579e+04    8.011e+05      1.900e+01    4.741e+01    1.497e-01      5.57s        14        
60   1.140e+01    7.798e+03    2.003e+01      1.900e+01    4.741e+01    1.497e-01      5.14s        14        
61   1.173e+01    4.122e+02    5.848e+02      1.900e+01    4.741e+01    1.497e-01      4.73s        13        
62   1.117e+01    3.415e+06    6.015e+00      1.900e+01    4.741e+01    1.497e-01      4.25s        13        
63   1.088e+01    1.955e+07    1.030e+01      1.900e+01    4.741e+01    1.497e-01      3.92s        13        
64   1.166e+01    7.443e+05    1.718e+10      1.900e+01    4.741e+01    1.497e-01      3.67s        13        
65   1.080e+01    2.835e+03    4.854e+01      1.900e+01    4.741e+01    1.497e-01      3.26s        14        
66   1.080e+01    1.132e+03    5.622e+00      1.900e+01    4.741e+01    1.497e-01      2.93s        14        
67   1.104e+01    9.235e+04    1.316e+03      1.900e+01    4.741e+01    1.497e-01      2.57s        15        
68   1.090e+01    1.028e+10    8.066e+00      1.900e+01    4.741e+01    1.497e-01      2.19s        16        
