Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,39.3,1.275E+018,553200000000,7,13,0.1243,   7.88s,0
1,7.185,1376,66070,5,21,0.1026,   1.47m,0
2,5.405,813.8,324.5,15,419,0.0984,   1.39m,0
3,9.715,7782,187.9,17,1413,0.06185,   1.04m,0
4,13.7,11300000,114400,15,445,0.05817,   47.85s,0
5,17.07,388800000,4283,9,21,0.056,   41.40s,0
6,17.42,1480000000,1129000,29,35410,0.03702,   36.81s,0
7,21.77,2590000000,336.2,27,22990,0.02975,   29.77s,0
8,25.02,592000000000,379.6,27,22990,0.02975,   42.08s,0
9,27.8,1817000000,34640,27,22990,0.02975,   39.55s,0
10,28.28,2081000000,1290,27,22990,0.02975,   36.89s,0
11,27.96,1258000000000,875,27,22990,0.02975,   33.13s,0
12,27.45,370400000,3100,27,22990,0.02975,   30.95s,0
13,27.94,11960000000000,29340,23,556,0.02966,   31.82s,0
14,28.57,279400000000,68.83,21,622,0.02675,   30.47s,0
15,28.86,78990000000,3523,21,622,0.02675,   26.19s,0
16,28.93,20810000000,70.53,21,484,0.0216,   23.29s,0
17,26.21,6064000000,154.2,21,484,0.0216,   18.19s,0
18,25.16,3068000000,2788,33,16490,0.01914,   21.78s,0
19,25.32,9445000000,66,21,484,0.01966,   21.38s,0
20,23.11,11990000,19380,21,484,0.01966,   16.50s,0
21,23.86,7054000,9.855,23,1236,0.01941,   11.20s,0
22,24.36,4042000000,61.37,23,1236,0.01892,   7.17s,0
23,26.49,1877000000,177.2,57,2610000,0.01799,   3.28s,0
24,29.5,225700000,20.51,23,1236,0.01892,   0.00s,0
25,30.87,38400000,181.9,49,319700,0.01828,   1.39m,0
26,34.04,15350000000,699600,53,545700,0.01775,   1.40m,0
27,36.98,532800000,320,53,545700,0.01775,   1.40m,0
28,38.34,1907000000000000,97240,53,545700,0.01775,   1.26m,0
29,42.2,5503000000,44.18,51,749400,0.01674,   1.07m,0
30,45.58,3029000000,1074,85,321200000,0.0146,   56.24s,0
31,45.44,5903000000000,153.3,71,30500000,0.01441,   51.68s,0
32,49.43,4207000000,140300,61,2749000,0.01431,   49.93s,0
33,47.66,282400000000,304.4,61,2749000,0.01431,   48.08s,0
34,49.07,29520000000,626.5,61,2749000,0.01431,   47.71s,0
35,48.56,27560000000,103.1,89,923900000,0.01425,   44.51s,0
36,49.16,633600000000,14.72,55,2575000,0.01451,   34.35s,0
37,47.87,7444000000,10.97,109,27140000000,0.0145,   30.91s,0
38,49.07,9386000000000,6803,55,2575000,0.01451,   30.82s,0
39,49.83,15290000000,9058,97,1140000000,0.01414,   27.10s,0
40,49.02,28270000000000,21.49,97,1587000000,0.01322,   21.88s,0
41,48.76,35610000000,18,95,951300000,0.0132,   18.77s,0
42,50.7,20550000000,579.7,95,1696000000,0.01328,   17.88s,0
43,48.79,710800000000000,1627,95,1673000000,0.01344,   14.51s,0
44,49.38,336300000000,4316000,95,1673000000,0.01344,   12.80s,0
45,50.3,231000000000,296.4,101,2215000000,0.01414,   9.92s,0
46,48.38,101500000000000,39.16,51,295700,0.01353,   7.47s,0
47,44.8,3675000000,14.61,61,7054000,0.0123,   6.07s,0
48,44.81,54860000000,56.39,61,7054000,0.0122,   2.58s,0
