Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,39.33,169400000000000,3476000000000,21,46,0.2201,   13.58s,0
1,17.27,1.007E+015,178900,1,1,0.117,   8.07s,0
2,9.857,285900,520700000,1,1,0.117,   6.33s,0
3,8.242,23060,642.4,11,80,0.08178,   5.79s,0
4,5.175,2772,67200,11,80,0.08178,   5.08s,0
5,3.408,233300,30010,11,80,0.08178,   4.49s,0
6,4.463,522.9,113300,15,327,0.06495,   4.54s,0
7,6.207,3503,344,17,471,0.05877,   4.61s,0
8,8.727,291200000000000,829.9,17,471,0.05877,   4.93s,0
9,10.68,6824,268100,23,1335,0.05479,   4.69s,0
10,11.23,3141,171.5,15,327,0.05404,   4.57s,0
11,13.3,249800000,130.6,31,36990,0.05301,   4.65s,0
12,15.9,220300,27.86,31,36990,0.05222,   4.42s,0
13,19.38,1110000000,111.7,37,908400,0.05176,   4.39s,0
14,22.05,234900000,28.66,31,45880,0.04299,   4.22s,0
15,24.68,5.009E+016,79860,31,45880,0.04299,   3.99s,0
16,29.31,452700000000,34310,31,45880,0.04299,   3.78s,0
17,34.35,176600000000000,12.18,45,4160000,0.04114,   3.63s,0
18,41.96,3358000000000000,9.347,51,4437000,0.03563,   3.49s,0
19,46.96,1948000000000000,52530,65,396800000,0.03446,   3.11s,0
20,51.35,2.384E+019,1.439,51,17210000,0.03089,   2.54s,0
21,53.47,7.665E+022,4.983,59,11210000,0.02772,   1.99s,0
22,56.26,1.273E+019,59.93,83,3597000000,0.02563,   1.39s,0
23,52.53,1.124E+018,4.484,77,86040000,0.0256,   0.67s,0
24,55.27,6.47E+017,27.7,61,11270000,0.0253,   0.00s,0
25,58.18,4.381E+019,45.75,57,6550000,0.02504,   17.46s,0
26,62.83,7.878E+019,3.771,103,79730000000,0.02466,   16.93s,0
27,60.47,5478000000000000,6.968,65,11390000,0.02401,   15.80s,0
28,58.8,2508000000000000,10.59,65,9164000,0.02398,   14.51s,0
29,62.22,5.901E+016,8.852,111,405000000000,0.02276,   14.23s,0
30,60.22,4833000000000000,44980,63,87960000,0.02338,   13.52s,0
31,59.54,1.551E+016,7.334,75,20970000,0.02272,   12.66s,0
32,58.59,845700000000000,52690,63,3720000,0.02217,   11.85s,0
33,57.01,81880000000000,16.4,63,10800000,0.02097,   10.84s,0
34,56.47,3729000000000000,65120,79,10290000,0.02087,   10.06s,0
35,56.8,287900000000000,2.48,75,7248000,0.02091,   9.36s,0
