Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,36.99,625500000000000,50240000000,31,580,0.276,   17.86s,7
1,13.96,38020,283.8,7,6,0.1688,   9.61s,2
2,8.03,774.7,11280,9,9,0.1267,   7.25s,4
3,7.86,644300,27220,9,7,0.1028,   6.75s,4
4,8.213,2987,23770,9,7,0.09787,   6.80s,2
5,8.922,908000,44.64,9,7,0.09723,   7.09s,2
6,8.533,5259,41.05,9,7,0.09723,   6.37s,2
7,8.592,112.1,125.3,11,13,0.09702,   6.12s,3
8,9.385,1403,512300,11,13,0.09702,   6.13s,3
9,9.58,28200,127.1,15,49,0.0968,   5.88s,5
10,11.48,8033000,79950,11,24,0.09679,   6.20s,4
11,10.31,1320,220200,11,24,0.09679,   5.54s,4
12,9.715,4918,61.1,11,24,0.09679,   4.99s,4
13,9.447,6052,81950,11,24,0.09679,   4.42s,4
14,9.607,6267,1318000,11,24,0.09679,   4.14s,4
15,9.425,950.1,34360,11,24,0.09679,   3.72s,4
16,9.643,1152000,63130,11,24,0.09679,   3.34s,4
17,9.845,539.3,179.8,11,24,0.09679,   2.88s,4
18,9.723,212800000,53.36,13,18,0.09679,   2.41s,4
19,10.03,64520,51.81,13,18,0.09679,   2.02s,5
20,10.16,123100000000000,114.4,13,18,0.09679,   1.59s,5
21,10.01,165.3,67.73,13,18,0.09679,   1.21s,5
22,10.04,372.8,31080,13,15,0.09679,   0.78s,5
23,9.9,53.4,97000,13,15,0.09679,   0.39s,5
24,9.773,55.39,65.43,13,15,0.09679,   0.00s,5
25,10.16,47.28,145500,13,15,0.09679,   9.35s,5
26,10.12,17700,198.8,13,15,0.09679,   8.45s,5
27,10.19,1913000,70060,13,15,0.09679,   8.17s,5
28,9.92,58170,248000,13,15,0.09679,   7.95s,5
29,10.41,1140000,4106,13,15,0.09679,   7.70s,5
30,10.05,20110,47.77,13,15,0.09679,   7.03s,5
31,10.29,2269,382800,13,15,0.09679,   7.11s,5
32,10.23,74080000,21920,9,5,0.09679,   6.27s,2
33,9.025,90.9,96.78,9,5,0.09679,   5.43s,2
34,8.377,232.3,30900,9,5,0.09679,   4.66s,2
35,8.44,118700,46.07,13,43,0.075,   4.41s,3
36,10.36,43.84,85.28,13,43,0.07483,   4.34s,4
37,11.03,373400,3332000,11,12,0.06337,   4.06s,3
38,9.672,72400,86530,11,12,0.06337,   3.60s,3
39,9.637,13870000,76400000,7,10,0.06337,   3.24s,3
40,8.287,2950,302.8,7,10,0.06337,   2.83s,3
41,8.34,1175000,3730000,7,10,0.06337,   2.49s,3
42,8.115,56180,87.69,7,10,0.06337,   2.12s,3
43,8.37,19370,923.4,7,10,0.06337,   1.88s,3
44,8.155,29310,20980,7,10,0.06337,   1.56s,3
45,8.553,386.9,364.5,7,10,0.06337,   1.27s,3
46,8.117,2700000,27.94,7,10,0.06337,   0.93s,3
47,8.08,2300,291.5,7,10,0.06337,   0.61s,3
48,8.127,124000000,250100,7,10,0.06337,   0.30s,3
49,8.02,186.7,161.8,7,10,0.06337,   0.00s,3
50,8.42,864800,63370,7,10,0.06337,   7.60s,3
51,8.17,2009,131700,7,10,0.06337,   7.13s,3
52,8.435,62690000,580.6,7,10,0.06337,   6.97s,3
53,7.973,40.08,606300000,7,10,0.06337,   6.48s,3
54,8.195,1953,3083,7,10,0.06337,   6.23s,3
55,8.152,223.4,42.8,7,10,0.06337,   5.85s,3
56,7.853,72.94,975900000,7,10,0.06337,   5.34s,3
57,8.065,18450000,32.22,7,10,0.06337,   5.22s,3
58,8.46,623300,37980,7,10,0.06239,   5.26s,3
59,8.24,6159,2927000000,7,10,0.06239,   4.67s,3
60,8.275,8041,947900,7,10,0.06239,   4.41s,3
61,8.32,20340,47.32,7,10,0.06239,   4.08s,3
62,8.07,525.3,147600,7,10,0.06239,   3.74s,3
63,8.307,33540,104.4,7,10,0.06233,   3.45s,3
64,7.902,184600,104.5,7,10,0.06233,   3.08s,3
65,8.123,7521,23200,21,17,0.06169,   2.78s,4
66,11.32,261500,41410,21,17,0.06153,   2.81s,5
67,12.38,17230,240,31,22,0.06123,   2.52s,5
68,14.12,36030000,18290000000,27,20,0.06097,   2.30s,5
69,13.74,12000,287000000,27,20,0.06097,   1.87s,5
70,14.21,250300000,49.97,37,25,0.06066,   1.53s,6
71,16.9,578400,45630,47,30,0.06061,   1.22s,7
72,19.57,898.8,3473,47,30,0.06061,   0.87s,7
73,20.54,51700000,16290,47,30,0.06061,   0.44s,7
74,20.52,2415,93500,41,43,0.05601,   0.00s,8
75,22.23,120.8,241000,41,43,0.05601,   11.27s,8
76,22.59,598.9,236200,51,48,0.05442,   10.97s,9
77,25.11,304100000,61730,51,48,0.05442,   11.00s,10
78,25.25,1548,45.08,45,45,0.05056,   10.54s,11
79,26,139200,74280,45,45,0.05056,   10.27s,11
80,25.62,636.7,246100,45,45,0.05056,   9.65s,9
81,23.31,21680,604300,55,50,0.05046,   8.69s,8
82,23.64,28220,21640,55,54,0.04989,   8.13s,9
83,23.45,14130,194.5,15,34,0.04152,   7.68s,7
84,12.7,1196000,63090,35,44,0.04075,   5.92s,8
85,14.3,258400,98.16,35,44,0.04075,   5.35s,9
86,14.46,1127,686000,35,44,0.04075,   5.05s,9
87,14.24,2493,249900,35,44,0.04075,   4.56s,9
88,15.58,2524000,166900,35,44,0.04075,   4.44s,10
89,15.18,37640,302.2,17,36,0.03579,   3.98s,10
90,13.26,16200,48.14,15,22,0.03402,   3.38s,7
91,11.33,7206,294800,15,22,0.03402,   2.85s,9
92,12.19,37910000,27370,17,37,0.03377,   2.55s,10
93,12.38,39320,4266000000,17,37,0.03377,   2.18s,9
94,11.62,188200,351,17,37,0.03377,   1.74s,9
95,11.88,60.71,244600,17,37,0.03377,   1.41s,9
96,11.95,101100000,246200,17,37,0.03377,   1.06s,8
97,12.02,13460000000000,132300,17,37,0.03377,   0.70s,8
98,11.94,136.5,3318000,17,37,0.03377,   0.35s,8
99,11.69,1324,47150,17,37,0.03377,   0.00s,8
100,11.9,26130,26310,15,22,0.0335,   8.73s,7
101,10.94,390.9,95700,15,22,0.0335,   7.95s,8
102,11.22,679.8,85550,15,22,0.0335,   7.61s,8
103,11.36,206700,124700,15,22,0.0335,   7.40s,8
104,11.48,226.5,183.6,15,22,0.0335,   7.03s,8
105,11.27,561.7,224900,17,30,0.03259,   6.71s,9
106,12.02,7205,1546,15,22,0.03058,   6.46s,6
107,10.61,39.03,109.1,15,22,0.03058,   5.86s,6
108,10.07,75340,119.3,15,22,0.03058,   5.36s,6
109,9.885,3860,313.1,15,22,0.03058,   5.00s,6
110,9.87,2098,261700,17,31,0.02749,   5.00s,7
111,10.88,953600,3679,17,31,0.02749,   4.34s,7
112,11.61,101.5,178400,19,61,0.02652,   4.27s,8
113,12.29,390,103.6,17,37,0.02603,   3.89s,8
114,12.25,1269,191000,17,37,0.02603,   3.61s,8
115,12.13,125.2,994400,17,37,0.02603,   3.27s,8
116,11.79,51.36,129200,17,37,0.02603,   2.85s,9
117,13.17,151400,92.09,17,37,0.02603,   2.61s,9
118,13.16,379.4,11750,21,85,0.02481,   2.24s,11
119,14.53,806300,72.44,19,40,0.02442,   1.94s,10
120,13.77,420100,267400,19,40,0.02442,   1.53s,10
121,13.46,70660,423100,19,40,0.02442,   1.13s,12
122,13.51,78230000000,38380000,27,68,0.02263,   0.76s,14
123,14.91,1946,73.03,27,68,0.02263,   0.40s,14
124,15.06,446200,144100,27,68,0.02263,   0.00s,14
125,15.39,4632000000000,43870,27,68,0.02263,   9.14s,11
126,13.99,495900,84.08,27,68,0.02263,   8.67s,11
127,14.48,8929,14640,27,68,0.02263,   8.55s,12
128,14.82,109.5,111.6,27,68,0.02263,   8.22s,12
129,14.97,19670,909,27,68,0.02263,   7.90s,12
130,14.98,153.5,4673000000,27,68,0.02197,   7.47s,12
131,14.52,1304,37.77,27,68,0.02197,   6.98s,12
132,14.87,142.8,694.3,27,68,0.02197,   6.66s,13
133,15.32,3075,812700,27,68,0.02197,   6.36s,13
134,15.49,6046000000,17270000,25,57,0.02168,   6.03s,11
135,14.09,1441,16160000,25,57,0.02168,   5.32s,11
136,13.84,4753000,201.5,25,57,0.02168,   4.99s,11
137,14.05,99.15,341100,25,57,0.02168,   4.91s,11
138,14.02,8608,2323000000,25,57,0.02168,   4.19s,11
139,14.32,7688,133200,25,57,0.02168,   3.65s,11
140,13.63,43.26,2706,25,57,0.02168,   3.24s,11
141,14.4,15980,36280,25,57,0.02168,   3.11s,11
142,14.15,7526000,44210,25,57,0.02168,   2.70s,11
143,14.48,11280000,1544,25,57,0.02168,   2.35s,11
144,14.48,199700,32000,25,57,0.02168,   1.95s,11
145,14.38,10590,648.5,25,57,0.02168,   1.55s,11
146,14.44,3688000,209700,25,57,0.02168,   1.17s,11
147,14.3,11530,1589000,25,57,0.02168,   0.78s,11
148,14.06,301.4,47.7,25,57,0.02168,   0.38s,11
149,14.09,2045,122000,25,57,0.02168,   0.00s,11
150,14.44,268500,1555000,25,57,0.02168,   9.35s,11
151,13.84,309.7,544.1,25,57,0.02168,   8.81s,11
152,13.88,433300,25980000000,25,57,0.02168,   8.26s,11
153,13.64,74670,118800,25,57,0.02168,   7.68s,11
