Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,36.58,1.218E+016,709600000000000,21,171,0.1903,   11.51s,3
1,12.66,180900,1092000,21,132,0.1109,   6.96s,5
2,15.61,136200,877900000,19,72,0.09509,   7.87s,3
3,12.8,5132,28330,19,72,0.06777,   6.72s,3
4,12.4,25640,127300,19,72,0.05982,   6.33s,4
5,12.61,2275000,200500,19,72,0.05982,   6.07s,4
6,12.86,1797000,55280,19,72,0.05982,   5.78s,5
7,12.88,4196000,157200,19,72,0.05982,   5.45s,5
8,13.07,245300000,554600,19,72,0.05982,   5.31s,5
9,12.57,41280,208.2,19,72,0.05982,   4.84s,5
10,12.6,542000,8077,19,72,0.05982,   4.86s,5
11,12.61,195.5,234700,17,38,0.05577,   4.24s,5
12,12.51,12970000,107400,17,38,0.05577,   3.83s,5
13,12.61,1859,74.28,17,38,0.05577,   3.51s,5
14,12.38,1023000,249200,17,38,0.04771,   3.21s,5
15,12.4,2440,1625000000,17,38,0.04771,   2.87s,5
16,12.08,1732,111500,17,38,0.04771,   2.52s,5
17,12.3,269,75.08,17,38,0.04771,   2.23s,5
18,11.96,703800,35650,17,38,0.04771,   1.91s,5
19,12.32,423.3,166200,17,38,0.04771,   1.64s,5
20,12.29,1519,12450000,17,38,0.04771,   1.33s,5
21,12.51,494600,154700,17,38,0.04771,   1.01s,5
22,12.02,21770,125.9,17,38,0.04771,   0.67s,5
23,12.71,951.9,484.9,17,38,0.04771,   0.34s,5
24,12.2,48950,34900000000,17,38,0.04771,   0.00s,5
25,12.54,147.9,1209,17,38,0.04771,   8.39s,5
26,12.09,13570000,608000,17,38,0.04771,   7.87s,5
27,12.06,104400,56.62,17,38,0.04771,   7.53s,5
28,11.9,558700000,5767,17,38,0.04771,   7.18s,5
29,12.39,1034,1608000000,17,38,0.04771,   6.96s,5
30,12.21,42040,6040,17,38,0.04771,   6.57s,5
31,12.33,303.3,506.5,17,38,0.04771,   6.25s,5
32,12.61,2885,41650,17,38,0.04771,   5.95s,5
33,12.99,770400000,454.6,17,38,0.04771,   5.65s,5
34,12.36,10440000,1321,17,38,0.04771,   5.14s,6
35,12.6,519600000,2161,17,38,0.04771,   4.71s,6
36,12.77,2953000,209800,17,38,0.04771,   4.71s,6
37,12.49,343.1,14280,17,38,0.04771,   4.00s,6
38,12.61,6864000,46980,17,38,0.04771,   3.72s,6
39,13.06,4407000000000,4883000000000,17,38,0.04771,   3.48s,6
40,12.4,1113000000000000,64760,17,38,0.04771,   3.11s,6
41,12.81,111200,239.4,17,38,0.04771,   2.79s,6
42,12.56,582.4,122.9,17,38,0.04771,   2.43s,6
43,12.64,9634000,99560,17,38,0.04771,   2.10s,6
44,12.68,2783,103.6,17,38,0.04771,   1.74s,6
45,12.48,3170,233300,17,38,0.04771,   1.38s,5
46,13.46,313800000,212.1,17,38,0.04711,   1.07s,5
47,13.09,18620000000,143000,17,38,0.04711,   0.69s,5
48,12.88,19420,304300,17,38,0.04711,   0.35s,5
49,12.83,443600000000000,215800,17,38,0.04711,   0.00s,5
50,12.83,25090,351.2,17,38,0.04711,   7.99s,5
