Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,22.26,16370000,234200,58,65810,0.3654,   5.98s,0
1,26.53,62710,67.11,56,45420,0.3318,   35.41s,0
2,31.11,33400000,110600,58,728500,0.2326,   38.78s,0
3,39.64,70140000000,2.551,58,728500,0.2326,   35.46s,0
4,45.96,20220000000,28770,60,1492000,0.2111,   43.64s,0
5,43.86,7069000000,113.8,64,1493000,0.1984,   36.73s,0
6,41.4,7208000000,77.81,21,31.12,0.1762,   40.61s,0
7,33.63,80420000000,19.33,21,27.21,0.1056,   41.17s,0
8,21.69,24940000,1.534,27,42.66,0.08954,   1.00m,0
9,24.5,5247,1.877,27,42.66,0.08824,   41.03s,0
10,28.14,2710000,565.6,32,3027,0.06939,   51.46s,0
11,28.73,87440000,3.528,42,240800,0.05894,   55.07s,0
12,32.52,1.421E+033,1.46,42,240800,0.05894,   43.42s,0
13,37.1,2.564E+017,6.88,39,41760,0.05885,   46.31s,0
14,30.52,11620000000,7.182,39,41760,0.05885,   43.12s,0
15,33.85,109100000000000,1.46,39,41760,0.05885,   44.52s,0
16,37.74,3759000000000,1.461,43,789800,0.05383,   38.22s,0
17,34.8,486300000000,1.202,43,789800,0.05383,   26.45s,0
18,35.74,2.189E+017,1.003,43,789800,0.05383,   24.36s,0
19,32.09,6673000000,2.178,43,789800,0.05383,   19.86s,0
20,32.57,466500000000000,1.488,47,76700000,0.05073,   17.63s,0
21,31.96,1.128E+019,1.012,42,84040,0.05359,   15.09s,0
22,34.27,1.131E+038,0.9481,42,84040,0.05359,   8.43s,0
23,32.98,53640000000,6.711,39,20340,0.05339,   4.71s,0
24,31.32,465600000000,68.11,41,120600,0.05131,   0.00s,0
25,32.53,3048000000000000,2.225,44,601500,0.0398,   1.60m,0
26,31.96,131700000000000,5.124,44,601500,0.0398,   1.63m,0
27,33.31,3.663E+019,7.063,44,601500,0.0398,   1.53m,0
28,32.55,5.184E+019,272.4,44,601500,0.0398,   1.71m,0
29,33,25700000000000,15.8,42,12120,0.03861,   1.72m,0
30,33.09,1.812E+021,104,44,601500,0.0398,   1.56m,0
31,34.91,8.826E+028,2.824,36,4474,0.03767,   1.38m,0
32,34.13,2.022E+032,6.731,36,4474,0.03767,   1.24m,0
33,35.52,4.582E+027,1.593,36,4474,0.03767,   1.22m,0
34,35.96,2.391E+023,136.3,36,4474,0.03767,   1.08m,0
35,35.22,1.479E+024,1.596,36,4474,0.03767,   1.03m,0
36,35.47,2.412E+031,401,36,4474,0.03767,   1.06m,0
37,35.59,14870000000000,3.548,36,1580,0.03754,   53.32s,0
38,35.48,1.422E+019,2.229,36,1580,0.03754,   48.38s,0
39,36.05,6.529E+031,5.478,36,1580,0.03754,   48.48s,0
40,34.78,19910000000000,5.434,36,1575,0.03247,   45.82s,0
41,34.92,8.297E+018,5897,36,1575,0.03247,   39.57s,0
42,35.76,4.505E+022,2.873,36,1575,0.03247,   32.07s,0
43,36.23,1.365E+017,46.39,36,1575,0.03247,   28.81s,0
44,35.72,478300000000000,76.89,36,1575,0.03247,   21.74s,0
45,36.25,1.045E+018,5.423,36,1575,0.03247,   21.57s,0
46,35.24,1.236E+023,21.16,36,1575,0.03247,   15.39s,0
47,36.11,2.344E+050,5.187,36,1575,0.03247,   10.45s,0
48,35.71,2.253E+048,47.92,36,1575,0.03247,   5.35s,0
49,35.33,1.511E+027,4.098,36,1575,0.03247,   0.00s,0
50,34.95,2.106E+018,19.88,36,1575,0.03247,   2.10m,0
51,34.39,1.083E+021,51.07,36,1575,0.03247,   1.99m,0
