Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,23.9,1060000000,104800,32,85930,0.3935,   10.56s,0
1,13.64,8072000,19.3,18,16.63,0.3709,   8.45s,0
2,13.28,273500000,4.879,18,16.71,0.3272,   7.80s,0
3,20.32,1884000000000000,57.15,19,62.62,0.2712,   8.86s,0
4,24.27,343600000,821,19,62.62,0.2712,   9.63s,0
5,23.35,40190000,9.325,19,62.62,0.2712,   8.41s,0
6,23.32,2271000000,9.413,19,62.62,0.2712,   7.89s,0
7,23.23,756800000,4.996,34,321700,0.2684,   7.49s,0
8,21.44,1966000000,3.869,26,36650,0.2666,   6.75s,0
9,19.56,128600000,8.418,19,62.62,0.2572,   5.77s,0
10,18.34,150400000,9.246,20,66.51,0.2516,   5.05s,0
11,19.06,321400,88.78,33,71.32,0.2311,   5.11s,0
12,21.02,43580000,6.721,33,71.32,0.2311,   5.15s,0
13,22.07,54170000,121.1,33,71.32,0.2311,   4.90s,0
14,22.49,10350000,111.3,34,121.6,0.2028,   4.45s,0
15,22.6,982100,1.198,34,121.6,0.2028,   4.02s,0
16,23.94,758800,4.675,34,82.57,0.1656,   3.63s,0
17,24.18,7102000,1.931,34,82.57,0.1656,   3.17s,0
18,25.44,15550000,124.2,25,32.18,0.1539,   2.74s,0
19,26.5,3616000,6265000,25,32.18,0.1539,   2.30s,0
20,29.73,8509000,1.017,48,132.3,0.1312,   1.92s,0
21,32.82,60810000,3.416,25,32.18,0.133,   1.51s,0
22,34.17,72900,8.556,38,79.59,0.07373,   1.03s,0
23,33.8,796000,4.235,38,79.59,0.07373,   0.51s,0
24,33.78,4175000000,4.267,38,79.59,0.07373,   0.00s,0
25,32.86,444300000000000,5.939,37,75.96,0.06666,   11.87s,0
26,33.31,666500000000,18.76,41,103.2,0.05636,   11.39s,0
27,34.43,189000000,2.948,41,103.2,0.05636,   11.22s,0
28,35.88,1662000,5.248,41,103.2,0.05636,   10.98s,0
29,38.17,85950000,6.968,41,103.2,0.05636,   10.70s,0
30,40,2401000,3.809,38,71.05,0.05105,   11.02s,0
31,39.99,20530000,175.3,38,71.05,0.05105,   10.04s,0
32,40.59,30660000000,5.003,38,71.05,0.05105,   9.57s,0
33,39.8,372500000000,98.62,38,87.69,0.05049,   8.92s,0
34,40.63,762200000000,3.215,38,87.69,0.05049,   8.49s,0
35,40.4,1.987E+018,5.027,38,87.69,0.05049,   7.89s,0
36,40.95,3.893E+017,9054,38,87.69,0.05049,   7.45s,0
37,40.81,1783000000000,8.156,37,82.72,0.04468,   6.72s,0
38,42.97,5.208E+019,70.05,72,1197000,0.04445,   6.29s,0
39,41.22,5.295E+023,3.693,37,82.72,0.04468,   5.58s,0
40,40.91,2.407E+032,2.474,37,82.72,0.04468,   5.12s,0
41,41.14,8167000000000000,43.85,37,82.72,0.04468,   4.64s,0
42,42.14,18320000000000,7.621,37,82.72,0.04468,   4.11s,0
43,40.86,431200000000000,109.8,37,82.72,0.04468,   3.46s,0
44,41.36,6.077E+017,5.925,37,82.72,0.04468,   2.89s,0
45,40.38,3.705E+060,4.762,37,82.72,0.04468,   2.28s,0
46,40.94,3.706E+060,4.264,37,82.72,0.04468,   1.74s,0
47,39.36,1.726E+027,6.213,37,82.72,0.04468,   1.11s,0
48,41.25,5559000000000,124.7,37,82.72,0.04468,   0.56s,0
49,40.17,7225000000000000,33680,37,82.72,0.04468,   0.00s,0
50,40.75,4.861E+024,1.142,44,7209,0.04438,   13.34s,0
51,39.85,4.426E+016,7.162,44,7209,0.04438,   12.71s,0
52,40.78,329600000000000,1.845,37,82.72,0.04468,   12.58s,0
53,40.63,5.44E+037,13.31,37,82.72,0.04468,   12.09s,0
54,41.26,1.744E+045,2.78,37,82.72,0.04468,   11.64s,0
55,40.94,5.443E+037,916.9,37,82.72,0.04468,   11.45s,0
56,41.56,5.44E+037,155.4,37,82.72,0.04468,   10.48s,0
57,39.8,3586000000000000,1.769,37,86.04,0.04394,   9.61s,0
58,40.71,3.279E+024,3.664,37,86.04,0.04394,   9.20s,0
59,39.67,3.726E+058,11.26,37,86.04,0.04394,   8.39s,0
60,40.81,7.452E+058,13.36,42,9870,0.04264,   7.84s,0
61,41.55,3.726E+058,3.833,40,418.7,0.04348,   7.39s,0
62,41.39,1.418E+023,17210,58,5208000000,0.04358,   6.87s,0
63,41.72,1.211E+023,199.6,37,86.04,0.04392,   6.41s,0
64,39.74,2.053E+026,7.867,37,86.04,0.04392,   5.65s,0
65,39.35,1.097E+025,51.5,37,86.04,0.04392,   5.10s,0
66,39.5,1.624E+021,2.474,37,86.04,0.04392,   4.49s,0
67,39.85,5.033E+032,2.924,37,86.04,0.04392,   3.96s,0
68,39.9,5.033E+032,4.742,37,86.04,0.04392,   3.40s,0
69,40.15,8.391E+048,4.13,37,86.04,0.04392,   2.85s,0
70,39.59,3.248E+022,1.496,45,366,0.03819,   2.26s,0
71,39.65,6.957E+028,6.863,37,86.04,0.04392,   1.69s,0
72,39.89,3.377E+040,3.15,45,373.8,0.03786,   1.14s,0
73,40.02,9.453E+045,7.496,45,373.8,0.03786,   0.57s,0
74,40.16,4.244E+050,4.728,45,373.8,0.03786,   0.00s,0
75,39.02,4.344E+050,0.9995,37,86.04,0.04392,   13.35s,0
76,39.36,9.505E+024,16.84,37,86.04,0.04392,   12.82s,0
77,39.4,1.956E+035,5.027,37,86.04,0.04392,   12.38s,0
78,38.62,1.253E+020,11.94,44,263.2,0.04151,   11.56s,0
79,38.47,7.334E+022,8.779,44,263.2,0.04151,   11.08s,0
80,39.48,1.735E+022,4.6,37,86.04,0.04392,   10.66s,0
