Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,24.25,22830000,2793,28,88.29,0.3654,   14.21s,4
1,14.05,836100,1.538,32,154.1,0.3464,   9.88s,8
2,13.8,16590,1377,14,80.39,0.3251,   9.37s,12
3,12.38,98510,34.15,20,519.2,0.3085,   8.52s,10
4,12.75,37040000000,1.506,20,721.8,0.1885,   8.24s,13
5,13.31,96490,2.833,20,721.8,0.1885,   7.88s,11
6,13.8,18180000,6.113,20,721.8,0.1885,   7.55s,13
7,13.55,18280000,1.402,19,195.4,0.1752,   7.01s,13
8,13.04,124600,154.4,18,69.75,0.1635,   6.51s,13
9,11.74,382.7,5.604,18,69.75,0.1635,   5.76s,15
10,11.98,262.6,32.41,18,69.75,0.1635,   5.59s,15
11,11.83,13040000000,10440,18,69.75,0.1635,   4.97s,15
12,12.12,6078,1.457,18,69.75,0.1635,   4.87s,13
13,12.04,1793,2.404,18,69.75,0.1635,   4.36s,13
14,12.26,158.6,1.811,18,69.75,0.1635,   3.96s,13
15,12.15,3320000,50.84,18,69.75,0.1635,   3.58s,13
16,11.9,661.6,65.15,13,15.76,0.125,   3.31s,13
17,11.64,5435,4.859,13,15.76,0.125,   2.70s,14
18,11.6,11180,0.9736,13,15.76,0.125,   2.28s,13
19,11.22,343400,1.97,13,15.76,0.125,   1.85s,13
20,11.72,6021,3.351,13,15.76,0.125,   1.53s,12
21,11.64,80800000,37.55,15,17.83,0.1072,   1.14s,13
22,11.88,92.22,30.54,15,17.83,0.1072,   0.77s,13
23,11.97,5392,7.633,15,17.83,0.1072,   0.38s,13
24,12.03,33810,6.325,15,17.83,0.1072,   0.00s,13
25,11.57,63380000,82.61,15,17.83,0.1072,   9.02s,13
26,11.84,5017,31380,17,19.87,0.1049,   8.62s,14
27,11.71,682800,0.8937,14,16.54,0.1045,   8.35s,12
28,10.88,310.4,1.265,14,16.54,0.1045,   7.63s,12
29,11.36,2424,6.75,14,16.54,0.1045,   7.40s,12
30,11.19,151400,3.343,14,16.54,0.1045,   7.05s,12
31,10.79,14110,23230,14,16.54,0.1045,   6.51s,12
32,10.94,16720,1.178,14,16.54,0.1045,   6.25s,12
33,11.04,327600,1.129,14,16.54,0.1045,   5.99s,12
34,10.75,3504,1.316,16,29.75,0.09754,   5.43s,13
35,11.13,26070,12.38,16,29.75,0.0908,   5.11s,14
36,12.14,812.4,47.97,15,28.97,0.08031,   4.95s,14
37,11.79,16880,229,15,28.97,0.08031,   4.54s,15
38,12.21,15300,1.877,15,28.97,0.07935,   4.22s,15
39,12.15,816.1,34.72,15,28.97,0.07935,   3.78s,15
40,12.1,821.6,620.3,15,28.97,0.07935,   3.42s,15
41,12.08,71840000,2.304,15,28.97,0.07935,   3.06s,15
42,11.4,5788,2.758,15,28.97,0.07935,   2.77s,15
43,11.79,65520,2.782,15,28.97,0.07935,   2.22s,15
44,11.88,242.5,7.576,15,28.97,0.07935,   1.82s,15
45,11.82,28200,75.51,15,28.97,0.07935,   1.47s,16
46,12.05,6639,1.46,15,28.97,0.07935,   1.10s,16
47,11.95,10720,1.803,15,28.97,0.07935,   0.74s,16
48,12.05,5306,2.154,15,28.97,0.07935,   0.37s,16
49,11.97,22430,17.4,15,28.97,0.07935,   0.00s,16
50,11.99,30280,343.9,15,28.97,0.07935,   9.03s,16
51,11.92,265300,808.1,15,28.97,0.07935,   8.72s,16
52,11.86,130.5,5.713,15,33.18,0.07765,   8.28s,17
53,12.11,64320,94.88,15,33.18,0.07765,   7.98s,17
54,12.28,2018000,0.7634,15,33.18,0.07765,   7.64s,17
55,12.22,95.68,1.292,15,33.18,0.07765,   7.20s,17
56,12.41,6270000000000,1.566,15,33.18,0.07765,   6.93s,17
57,12.46,989.4,2.976,15,33.18,0.07765,   6.51s,17
58,12.18,1401,6.696,15,33.18,0.07765,   6.12s,17
59,12.55,1280,87.67,15,33.18,0.07765,   5.75s,17
60,12.27,2314000,35.76,15,33.18,0.07765,   5.20s,17
61,11.83,219.1,3.659,15,33.18,0.07765,   4.75s,17
62,12.13,301400,10.96,15,33.18,0.07765,   4.41s,18
63,11.94,1292,35.27,15,33.18,0.07765,   4.13s,18
64,12.21,457,89.45,15,33.18,0.07765,   3.77s,18
65,12.34,1084000,5.038,15,33.18,0.07765,   3.45s,18
66,12.12,5333000,1.505,15,33.18,0.07765,   3.01s,18
67,12.4,27920,3.218,15,33.18,0.07765,   2.63s,18
68,12.38,1064000,0.8676,15,33.18,0.07765,   2.43s,18
69,12.14,13280,52980,15,33.18,0.07765,   1.89s,18
70,12.72,522.6,67.95,15,33.18,0.07765,   1.57s,18
71,12.13,2096000,12.36,15,33.18,0.07765,   1.13s,18
72,12.43,18380,111.2,15,33.18,0.07765,   0.76s,18
73,12.2,190700,2.099,15,33.18,0.07765,   0.38s,18
74,12.71,87090,3.001,15,33.18,0.07765,   0.00s,18
75,12.46,17160,1.378,15,33.18,0.07765,   9.17s,18
76,12.16,70.58,28.66,15,33.18,0.07765,   8.44s,18
77,12.69,531.3,1.777,15,33.18,0.07765,   8.35s,18
78,12.31,4631,7.078,15,33.18,0.07765,   7.79s,18
79,12.42,304400000,98.92,15,33.18,0.07765,   7.43s,18
80,12.36,95.18,27.49,15,33.18,0.07765,   7.03s,18
81,12.54,117700,1.798,15,33.18,0.07765,   7.00s,18
82,12.16,115.7,3.075,15,33.18,0.07765,   6.39s,16
83,12.05,91.31,15.76,15,28.97,0.07255,   6.08s,15
84,11.7,64.24,1.995,15,28.97,0.07255,   5.63s,15
85,11.84,5561000,1039,15,28.97,0.07255,   5.29s,15
86,12.12,61250,1.145,15,28.97,0.07255,   4.95s,14
87,11.84,30390,8.897,15,28.97,0.07255,   4.55s,14
88,11.84,4777,1.497,15,28.97,0.07255,   4.11s,14
89,11.91,12140,18.93,15,28.97,0.07255,   3.76s,14
90,11.81,146300000,2.438,15,28.97,0.07255,   3.41s,14
91,11.65,33.55,4.386,15,28.97,0.07255,   2.95s,14
92,12.14,428100,112000,15,28.97,0.07255,   2.67s,14
93,11.5,558300,1.924,15,28.97,0.07255,   2.22s,15
94,11.62,73670,58.16,15,28.97,0.07255,   1.99s,15
95,11.81,212.6,7.332,15,28.97,0.07255,   1.49s,15
96,11.8,4112000,1.131,15,28.97,0.07255,   1.12s,15
97,11.84,84260,11.9,15,28.97,0.07255,   0.75s,15
98,11.65,934.4,1.123,15,28.97,0.07255,   0.37s,15
99,11.9,11350,1.612,15,28.97,0.07255,   0.00s,15
100,11.84,365.9,12.15,15,28.97,0.07255,   8.93s,15
101,11.84,2465,323.9,15,28.97,0.07255,   8.65s,16
102,11.89,80630000,5.014,15,28.97,0.07255,   8.29s,16
103,12.35,113,1.245,15,28.97,0.07255,   8.01s,16
104,12.24,2318,5.863,15,28.97,0.07255,   7.61s,16
105,12.1,304600,12.64,15,28.97,0.07255,   7.18s,16
106,11.97,20290,1.417,15,28.97,0.07255,   6.77s,16
107,11.89,300.6,8.521,15,28.97,0.07255,   6.39s,16
108,12.15,43880,30.02,15,28.97,0.07255,   6.13s,17
109,12.16,28100000,9.614,15,28.97,0.07255,   5.75s,17
