    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.933e+01    1.694e+14    3.476e+12      2.100e+01    4.600e+01    2.201e-01      13.58s       0         
1    1.727e+01    1.007e+15    1.789e+05      1.000e+00    1.000e+00    1.170e-01      8.07s        0         
2    9.857e+00    2.859e+05    5.207e+08      1.000e+00    1.000e+00    1.170e-01      6.33s        0         
3    8.242e+00    2.306e+04    6.424e+02      1.100e+01    8.000e+01    8.178e-02      5.79s        0         
4    5.175e+00    2.772e+03    6.720e+04      1.100e+01    8.000e+01    8.178e-02      5.08s        0         
5    3.408e+00    2.333e+05    3.001e+04      1.100e+01    8.000e+01    8.178e-02      4.49s        0         
6    4.463e+00    5.229e+02    1.133e+05      1.500e+01    3.270e+02    6.495e-02      4.54s        0         
7    6.207e+00    3.503e+03    3.440e+02      1.700e+01    4.710e+02    5.877e-02      4.61s        0         
8    8.727e+00    2.912e+14    8.299e+02      1.700e+01    4.710e+02    5.877e-02      4.93s        0         
9    1.068e+01    6.824e+03    2.681e+05      2.300e+01    1.335e+03    5.479e-02      4.69s        0         
10   1.123e+01    3.141e+03    1.715e+02      1.500e+01    3.270e+02    5.404e-02      4.57s        0         
11   1.330e+01    2.498e+08    1.306e+02      3.100e+01    3.699e+04    5.301e-02      4.65s        0         
12   1.590e+01    2.203e+05    2.786e+01      3.100e+01    3.699e+04    5.222e-02      4.42s        0         
13   1.938e+01    1.110e+09    1.117e+02      3.700e+01    9.084e+05    5.176e-02      4.39s        0         
14   2.205e+01    2.349e+08    2.866e+01      3.100e+01    4.588e+04    4.299e-02      4.22s        0         
15   2.468e+01    5.009e+16    7.986e+04      3.100e+01    4.588e+04    4.299e-02      3.99s        0         
16   2.931e+01    4.527e+11    3.431e+04      3.100e+01    4.588e+04    4.299e-02      3.78s        0         
17   3.435e+01    1.766e+14    1.218e+01      4.500e+01    4.160e+06    4.114e-02      3.63s        0         
18   4.196e+01    3.358e+15    9.347e+00      5.100e+01    4.437e+06    3.563e-02      3.49s        0         
19   4.696e+01    1.948e+15    5.253e+04      6.500e+01    3.968e+08    3.446e-02      3.11s        0         
20   5.135e+01    2.384e+19    1.439e+00      5.100e+01    1.721e+07    3.089e-02      2.54s        0         
21   5.347e+01    7.665e+22    4.983e+00      5.900e+01    1.121e+07    2.772e-02      1.99s        0         
22   5.626e+01    1.273e+19    5.993e+01      8.300e+01    3.597e+09    2.563e-02      1.39s        0         
23   5.253e+01    1.124e+18    4.484e+00      7.700e+01    8.604e+07    2.560e-02      0.67s        0         
24   5.527e+01    6.470e+17    2.770e+01      6.100e+01    1.127e+07    2.530e-02      0.00s        0         
25   5.818e+01    4.381e+19    4.575e+01      5.700e+01    6.550e+06    2.504e-02      17.46s       0         
26   6.283e+01    7.878e+19    3.771e+00      1.030e+02    7.973e+10    2.466e-02      16.93s       0         
27   6.047e+01    5.478e+15    6.968e+00      6.500e+01    1.139e+07    2.401e-02      15.80s       0         
28   5.880e+01    2.508e+15    1.059e+01      6.500e+01    9.164e+06    2.398e-02      14.51s       0         
29   6.222e+01    5.901e+16    8.852e+00      1.110e+02    4.050e+11    2.276e-02      14.23s       0         
30   6.022e+01    4.833e+15    4.498e+04      6.300e+01    8.796e+07    2.338e-02      13.52s       0         
31   5.954e+01    1.551e+16    7.334e+00      7.500e+01    2.097e+07    2.272e-02      12.66s       0         
32   5.859e+01    8.457e+14    5.269e+04      6.300e+01    3.720e+06    2.217e-02      11.85s       0         
33   5.701e+01    8.188e+13    1.640e+01      6.300e+01    1.080e+07    2.097e-02      10.84s       0         
34   5.647e+01    3.729e+15    6.512e+04      7.900e+01    1.029e+07    2.087e-02      10.06s       0         
35   5.680e+01    2.879e+14    2.480e+00      7.500e+01    7.248e+06    2.091e-02      9.36s        0         
36   5.905e+01    1.672e+13    5.989e+04      1.290e+02    5.833e+13    2.057e-02      9.12s        0         
37   5.959e+01    8.086e+12    6.264e+00      6.100e+01    1.079e+07    1.929e-02      8.39s        0         
38   6.033e+01    2.013e+12    2.018e+01      6.100e+01    1.079e+07    1.929e-02      7.74s        0         
39   6.353e+01    7.768e+11    4.786e+00      6.100e+01    1.079e+07    1.929e-02      7.19s        0         
40   6.215e+01    7.118e+13    9.728e+03      7.500e+01    1.222e+07    1.896e-02      6.37s        0         
41   6.241e+01    1.199e+13    1.531e+02      6.900e+01    1.264e+07    1.876e-02      5.65s        0         
42   6.183e+01    1.738e+16    7.703e+00      6.900e+01    1.264e+07    1.879e-02      4.90s        0         
43   6.302e+01    1.196e+14    4.555e+03      7.900e+01    1.747e+07    1.886e-02      4.24s        0         
44   6.436e+01    8.038e+12    8.649e+00      1.210e+02    2.811e+11    1.885e-02      3.46s        0         
45   6.733e+01    2.852e+13    7.698e+01      6.100e+01    1.424e+07    1.868e-02      3.07s        0         
46   6.549e+01    1.015e+13    6.107e+01      6.100e+01    1.424e+07    1.868e-02      2.19s        0         
47   6.505e+01    8.978e+12    5.428e+00      1.350e+02    4.505e+11    1.864e-02      1.49s        0         
48   6.626e+01    1.133e+12    1.168e+03      6.100e+01    1.424e+07    1.868e-02      0.75s        0         
49   6.455e+01    6.611e+11    9.574e+00      6.900e+01    1.177e+07    1.863e-02      0.00s        0         
50   6.628e+01    1.428e+15    5.282e+00      6.900e+01    1.186e+07    1.836e-02      18.12s       0         
51   6.612e+01    1.091e+14    8.947e+05      6.900e+01    1.186e+07    1.836e-02      17.54s       0         
52   6.846e+01    2.173e+16    8.201e+00      1.310e+02    7.725e+12    1.840e-02      16.37s       0         
53   6.622e+01    2.188e+16    1.660e+01      7.500e+01    1.049e+07    1.848e-02      15.43s       0         
54   6.794e+01    2.041e+16    4.981e+00      1.370e+02    4.177e+12    1.858e-02      15.24s       0         
55   6.757e+01    1.368e+13    1.234e+01      7.100e+01    1.159e+07    1.843e-02      14.49s       0         
56   7.145e+01    6.632e+15    1.773e+01      7.100e+01    1.159e+07    1.843e-02      14.28s       0         
57   6.840e+01    3.107e+16    4.826e+04      7.700e+01    1.192e+07    1.836e-02      13.83s       0         
58   6.971e+01    6.823e+15    3.427e+04      7.700e+01    1.160e+07    1.823e-02      13.07s       0         
59   6.792e+01    4.155e+13    7.840e+04      1.830e+02    1.520e+12    1.856e-02      11.50s       0         
60   6.999e+01    3.806e+15    5.825e+01      7.500e+01    1.221e+07    1.838e-02      10.92s       0         
61   6.990e+01    1.025e+15    7.022e+03      6.500e+01    1.209e+07    1.867e-02      10.13s       0         
62   6.805e+01    1.073e+15    1.492e+05      7.300e+01    1.598e+07    1.854e-02      9.22s        0         
63   7.295e+01    2.833e+12    3.560e+00      8.300e+01    1.632e+08    1.846e-02      8.80s        0         
64   7.249e+01    5.175e+13    2.500e+04      8.300e+01    1.122e+08    1.869e-02      7.97s        0         
65   7.056e+01    2.097e+12    2.143e+04      7.100e+01    5.351e+06    1.833e-02      7.09s        0         
66   7.043e+01    1.198e+13    3.427e+04      5.900e+01    7.602e+06    1.837e-02      6.24s        0         
67   7.052e+01    4.380e+14    4.150e+04      5.900e+01    7.602e+06    1.837e-02      5.50s        0         
68   7.289e+01    3.863e+12    4.843e+01      1.550e+02    8.897e+11    1.823e-02      4.77s        0         
69   7.142e+01    1.030e+15    1.377e+04      1.530e+02    8.897e+11    1.819e-02      3.92s        0         
70   6.673e+01    2.401e+11    4.481e+00      1.550e+02    9.052e+11    1.819e-02      2.99s        0         
71   6.873e+01    2.970e+14    2.792e+04      1.050e+02    8.139e+08    1.825e-02      2.29s        0         
72   7.011e+01    1.324e+13    2.239e+01      1.710e+02    1.742e+14    1.830e-02      1.53s        0         
73   7.062e+01    2.426e+14    5.164e+00      9.100e+01    8.022e+07    1.830e-02      0.77s        0         
74   6.907e+01    9.007e+12    6.286e+00      5.100e+01    7.936e+06    1.847e-02      0.00s        0         
75   6.755e+01    1.622e+12    4.557e+03      4.900e+01    7.346e+06    1.828e-02      17.81s       0         
76   6.629e+01    7.298e+12    4.338e+00      4.900e+01    7.346e+06    1.828e-02      17.02s       0         
77   6.535e+01    1.598e+12    2.195e+01      4.900e+01    7.346e+06    1.828e-02      16.59s       0         
78   6.750e+01    7.482e+14    1.028e+04      4.900e+01    7.346e+06    1.828e-02      15.47s       0         
79   6.637e+01    3.671e+14    5.489e+00      4.900e+01    7.346e+06    1.828e-02      14.71s       0         
80   6.395e+01    1.067e+11    3.428e+04      6.500e+01    4.820e+06    1.823e-02      13.65s       0         
81   6.432e+01    1.180e+13    2.592e+04      4.900e+01    7.346e+06    1.828e-02      12.98s       0         
82   6.355e+01    7.890e+16    4.602e+00      4.900e+01    7.346e+06    1.828e-02      12.34s       0         
