    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.699e+01    6.255e+14    5.024e+10      3.100e+01    5.800e+02    2.760e-01      17.86s       7         
1    1.396e+01    3.802e+04    2.838e+02      7.000e+00    6.000e+00    1.688e-01      9.61s        2         
2    8.030e+00    7.747e+02    1.128e+04      9.000e+00    9.000e+00    1.267e-01      7.25s        4         
3    7.860e+00    6.443e+05    2.722e+04      9.000e+00    7.000e+00    1.028e-01      6.75s        4         
4    8.213e+00    2.987e+03    2.377e+04      9.000e+00    7.000e+00    9.787e-02      6.80s        2         
5    8.922e+00    9.080e+05    4.464e+01      9.000e+00    7.000e+00    9.723e-02      7.09s        2         
6    8.533e+00    5.259e+03    4.105e+01      9.000e+00    7.000e+00    9.723e-02      6.37s        2         
7    8.592e+00    1.121e+02    1.253e+02      1.100e+01    1.300e+01    9.702e-02      6.12s        3         
8    9.385e+00    1.403e+03    5.123e+05      1.100e+01    1.300e+01    9.702e-02      6.13s        3         
9    9.580e+00    2.820e+04    1.271e+02      1.500e+01    4.900e+01    9.680e-02      5.88s        5         
10   1.148e+01    8.033e+06    7.995e+04      1.100e+01    2.400e+01    9.679e-02      6.20s        4         
11   1.031e+01    1.320e+03    2.202e+05      1.100e+01    2.400e+01    9.679e-02      5.54s        4         
12   9.715e+00    4.918e+03    6.110e+01      1.100e+01    2.400e+01    9.679e-02      4.99s        4         
13   9.447e+00    6.052e+03    8.195e+04      1.100e+01    2.400e+01    9.679e-02      4.42s        4         
14   9.607e+00    6.267e+03    1.318e+06      1.100e+01    2.400e+01    9.679e-02      4.14s        4         
15   9.425e+00    9.501e+02    3.436e+04      1.100e+01    2.400e+01    9.679e-02      3.72s        4         
16   9.643e+00    1.152e+06    6.313e+04      1.100e+01    2.400e+01    9.679e-02      3.34s        4         
17   9.845e+00    5.393e+02    1.798e+02      1.100e+01    2.400e+01    9.679e-02      2.88s        4         
18   9.723e+00    2.128e+08    5.336e+01      1.300e+01    1.800e+01    9.679e-02      2.41s        4         
19   1.003e+01    6.452e+04    5.181e+01      1.300e+01    1.800e+01    9.679e-02      2.02s        5         
20   1.016e+01    1.231e+14    1.144e+02      1.300e+01    1.800e+01    9.679e-02      1.59s        5         
