    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.658e+01    1.218e+16    7.096e+14      2.100e+01    1.710e+02    1.903e-01      11.51s       3         
1    1.266e+01    1.809e+05    1.092e+06      2.100e+01    1.320e+02    1.109e-01      6.96s        5         
2    1.561e+01    1.362e+05    8.779e+08      1.900e+01    7.200e+01    9.509e-02      7.87s        3         
3    1.280e+01    5.132e+03    2.833e+04      1.900e+01    7.200e+01    6.777e-02      6.72s        3         
4    1.240e+01    2.564e+04    1.273e+05      1.900e+01    7.200e+01    5.982e-02      6.33s        4         
5    1.261e+01    2.275e+06    2.005e+05      1.900e+01    7.200e+01    5.982e-02      6.07s        4         
6    1.286e+01    1.797e+06    5.528e+04      1.900e+01    7.200e+01    5.982e-02      5.78s        5         
7    1.288e+01    4.196e+06    1.572e+05      1.900e+01    7.200e+01    5.982e-02      5.45s        5         
8    1.307e+01    2.453e+08    5.546e+05      1.900e+01    7.200e+01    5.982e-02      5.31s        5         
9    1.257e+01    4.128e+04    2.082e+02      1.900e+01    7.200e+01    5.982e-02      4.84s        5         
10   1.260e+01    5.420e+05    8.077e+03      1.900e+01    7.200e+01    5.982e-02      4.86s        5         
11   1.261e+01    1.955e+02    2.347e+05      1.700e+01    3.800e+01    5.577e-02      4.24s        5         
12   1.251e+01    1.297e+07    1.074e+05      1.700e+01    3.800e+01    5.577e-02      3.83s        5         
13   1.261e+01    1.859e+03    7.428e+01      1.700e+01    3.800e+01    5.577e-02      3.51s        5         
14   1.238e+01    1.023e+06    2.492e+05      1.700e+01    3.800e+01    4.771e-02      3.21s        5         
15   1.240e+01    2.440e+03    1.625e+09      1.700e+01    3.800e+01    4.771e-02      2.87s        5         
16   1.208e+01    1.732e+03    1.115e+05      1.700e+01    3.800e+01    4.771e-02      2.52s        5         
17   1.230e+01    2.690e+02    7.508e+01      1.700e+01    3.800e+01    4.771e-02      2.23s        5         
18   1.196e+01    7.038e+05    3.565e+04      1.700e+01    3.800e+01    4.771e-02      1.91s        5         
19   1.232e+01    4.233e+02    1.662e+05      1.700e+01    3.800e+01    4.771e-02      1.64s        5         
20   1.229e+01    1.519e+03    1.245e+07      1.700e+01    3.800e+01    4.771e-02      1.33s        5         
21   1.251e+01    4.946e+05    1.547e+05      1.700e+01    3.800e+01    4.771e-02      1.01s        5         
22   1.202e+01    2.177e+04    1.259e+02      1.700e+01    3.800e+01    4.771e-02      0.67s        5         
23   1.271e+01    9.519e+02    4.849e+02      1.700e+01    3.800e+01    4.771e-02      0.34s        5         
24   1.220e+01    4.895e+04    3.490e+10      1.700e+01    3.800e+01    4.771e-02      0.00s        5         
25   1.254e+01    1.479e+02    1.209e+03      1.700e+01    3.800e+01    4.771e-02      8.39s        5         
26   1.209e+01    1.357e+07    6.080e+05      1.700e+01    3.800e+01    4.771e-02      7.87s        5         
27   1.206e+01    1.044e+05    5.662e+01      1.700e+01    3.800e+01    4.771e-02      7.53s        5         
28   1.190e+01    5.587e+08    5.767e+03      1.700e+01    3.800e+01    4.771e-02      7.18s        5         
29   1.239e+01    1.034e+03    1.608e+09      1.700e+01    3.800e+01    4.771e-02      6.96s        5         
30   1.221e+01    4.204e+04    6.040e+03      1.700e+01    3.800e+01    4.771e-02      6.57s        5         
31   1.233e+01    3.033e+02    5.065e+02      1.700e+01    3.800e+01    4.771e-02      6.25s        5         
32   1.261e+01    2.885e+03    4.165e+04      1.700e+01    3.800e+01    4.771e-02      5.95s        5         
33   1.299e+01    7.704e+08    4.546e+02      1.700e+01    3.800e+01    4.771e-02      5.65s        5         
34   1.236e+01    1.044e+07    1.321e+03      1.700e+01    3.800e+01    4.771e-02      5.14s        6         
35   1.260e+01    5.196e+08    2.161e+03      1.700e+01    3.800e+01    4.771e-02      4.71s        6         
36   1.277e+01    2.953e+06    2.098e+05      1.700e+01    3.800e+01    4.771e-02      4.71s        6         
37   1.249e+01    3.431e+02    1.428e+04      1.700e+01    3.800e+01    4.771e-02      4.00s        6         
38   1.261e+01    6.864e+06    4.698e+04      1.700e+01    3.800e+01    4.771e-02      3.72s        6         
39   1.306e+01    4.407e+12    4.883e+12      1.700e+01    3.800e+01    4.771e-02      3.48s        6         
40   1.240e+01    1.113e+15    6.476e+04      1.700e+01    3.800e+01    4.771e-02      3.11s        6         
41   1.281e+01    1.112e+05    2.394e+02      1.700e+01    3.800e+01    4.771e-02      2.79s        6         
42   1.256e+01    5.824e+02    1.229e+02      1.700e+01    3.800e+01    4.771e-02      2.43s        6         
43   1.264e+01    9.634e+06    9.956e+04      1.700e+01    3.800e+01    4.771e-02      2.10s        6         
44   1.268e+01    2.783e+03    1.036e+02      1.700e+01    3.800e+01    4.771e-02      1.74s        6         
45   1.248e+01    3.170e+03    2.333e+05      1.700e+01    3.800e+01    4.771e-02      1.38s        5         
46   1.346e+01    3.138e+08    2.121e+02      1.700e+01    3.800e+01    4.711e-02      1.07s        5         
47   1.309e+01    1.862e+10    1.430e+05      1.700e+01    3.800e+01    4.711e-02      0.69s        5         
48   1.288e+01    1.942e+04    3.043e+05      1.700e+01    3.800e+01    4.711e-02      0.35s        5         
49   1.283e+01    4.436e+14    2.158e+05      1.700e+01    3.800e+01    4.711e-02      0.00s        5         
50   1.283e+01    2.509e+04    3.512e+02      1.700e+01    3.800e+01    4.711e-02      7.99s        5         
51   1.290e+01    1.810e+03    2.947e+05      1.700e+01    3.800e+01    4.711e-02      7.82s        5         
52   1.263e+01    6.161e+03    5.699e+03      1.700e+01    3.800e+01    4.711e-02      7.36s        5         
53   1.264e+01    1.396e+03    2.874e+01      1.700e+01    3.800e+01    4.711e-02      7.14s        5         
54   1.248e+01    3.889e+02    5.285e+04      1.700e+01    3.800e+01    4.711e-02      6.52s        5         
55   1.272e+01    7.645e+02    3.670e+05      1.700e+01    3.800e+01    4.711e-02      6.26s        5         
56   1.271e+01    4.985e+07    2.370e+02      1.700e+01    3.800e+01    4.711e-02      5.89s        5         
57   1.291e+01    1.422e+05    4.244e+05      1.700e+01    3.800e+01    4.711e-02      5.61s        5         
58   1.273e+01    2.936e+03    5.407e+05      1.700e+01    3.800e+01    4.711e-02      5.25s        4         
59   1.245e+01    7.494e+03    1.314e+05      1.700e+01    3.800e+01    4.711e-02      4.88s        4         
60   1.261e+01    2.115e+03    1.104e+04      1.700e+01    3.800e+01    4.711e-02      4.56s        4         
61   1.249e+01    1.976e+05    1.725e+02      1.700e+01    3.800e+01    4.711e-02      4.16s        4         
62   1.274e+01    1.860e+02    1.038e+02      1.700e+01    3.800e+01    4.711e-02      4.24s        4         
63   1.254e+01    9.485e+02    1.095e+05      1.700e+01    3.800e+01    4.711e-02      3.50s        3         
64   1.170e+01    1.589e+08    8.169e+04      1.700e+01    3.800e+01    4.711e-02      3.26s        3         
65   1.145e+01    1.222e+05    1.217e+05      1.700e+01    3.800e+01    4.711e-02      2.89s        3         
66   1.116e+01    5.110e+01    2.163e+02      1.700e+01    3.800e+01    4.711e-02      2.39s        3         
67   1.137e+01    8.930e+01    1.703e+03      1.700e+01    3.800e+01    4.711e-02      2.12s        3         
68   1.123e+01    9.034e+04    4.392e+04      1.700e+01    3.800e+01    4.711e-02      1.80s        3         
69   1.160e+01    6.817e+04    3.145e+04      1.700e+01    3.800e+01    4.711e-02      1.57s        3         
70   1.154e+01    2.646e+03    3.855e+01      1.700e+01    3.800e+01    4.711e-02      1.18s        3         
71   1.149e+01    1.374e+03    2.870e+05      1.700e+01    3.800e+01    4.711e-02      0.91s        3         
72   1.128e+01    3.259e+02    3.897e+04      1.900e+01    4.400e+01    4.698e-02      0.60s        4         
73   1.340e+01    2.777e+03    4.300e+05      1.900e+01    4.400e+01    4.698e-02      0.32s        4         
74   1.351e+01    1.518e+07    1.074e+05      1.900e+01    4.400e+01    4.698e-02      0.00s        4         
75   1.354e+01    9.482e+04    7.900e+04      1.900e+01    4.400e+01    4.698e-02      7.64s        4         
76   1.347e+01    1.603e+06    3.490e+02      9.000e+00    1.900e+01    4.694e-02      7.39s        2         
77   8.518e+00    2.660e+06    1.073e+05      9.000e+00    1.900e+01    4.694e-02      5.92s        2         
78   8.245e+00    9.129e+01    3.357e+01      9.000e+00    1.900e+01    4.694e-02      5.65s        2         
79   8.613e+00    8.709e+04    6.759e+04      9.000e+00    1.900e+01    4.694e-02      5.42s        2         
80   8.902e+00    1.171e+10    5.420e+03      9.000e+00    1.900e+01    4.694e-02      5.26s        2         
81   8.520e+00    9.932e+05    2.476e+04      9.000e+00    1.900e+01    4.694e-02      4.86s        2         
82   8.893e+00    3.155e+04    5.565e+05      9.000e+00    1.900e+01    4.694e-02      4.73s        2         
83   8.565e+00    9.125e+05    2.459e+08      9.000e+00    1.900e+01    4.694e-02      4.32s        2         
84   8.562e+00    7.728e+05    2.020e+03      9.000e+00    1.900e+01    4.694e-02      4.12s        2         
85   8.450e+00    1.547e+03    9.211e+02      9.000e+00    1.900e+01    4.694e-02      3.80s        2         
86   8.455e+00    3.107e+02    1.726e+05      9.000e+00    1.900e+01    4.694e-02      3.46s        2         
87   8.745e+00    1.926e+07    8.475e+04      9.000e+00    1.900e+01    4.694e-02      3.15s        2         
88   8.512e+00    1.367e+04    1.491e+03      1.100e+01    2.800e+01    4.067e-02      3.00s        3         
89   9.945e+00    9.301e+03    5.345e+01      1.100e+01    2.800e+01    4.067e-02      3.06s        3         
90   9.540e+00    1.385e+03    9.419e+04      1.100e+01    2.800e+01    4.067e-02      2.45s        3         
91   9.723e+00    3.606e+03    9.320e+04      1.100e+01    2.800e+01    4.067e-02      2.19s        3         
92   9.595e+00    6.086e+01    2.494e+02      1.100e+01    2.800e+01    4.067e-02      1.92s        3         
93   9.443e+00    4.351e+03    2.365e+01      1.100e+01    2.800e+01    4.067e-02      1.64s        3         
94   9.383e+00    2.261e+10    3.997e+05      1.100e+01    2.800e+01    4.067e-02      1.36s        3         
95   9.592e+00    7.224e+02    9.610e+04      1.100e+01    2.800e+01    4.067e-02      1.10s        3         
96   9.662e+00    5.692e+05    3.924e+04      1.100e+01    2.800e+01    4.067e-02      0.83s        3         
97   9.800e+00    3.155e+03    9.958e+04      1.100e+01    2.800e+01    4.067e-02      0.55s        3         
98   9.637e+00    2.669e+02    8.599e+04      1.100e+01    2.800e+01    4.067e-02      0.27s        3         
