    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.390e+01    1.060e+09    1.048e+05      3.200e+01    8.593e+04    3.935e-01      10.56s       0         
1    1.364e+01    8.072e+06    1.930e+01      1.800e+01    1.663e+01    3.709e-01      8.45s        0         
2    1.328e+01    2.735e+08    4.879e+00      1.800e+01    1.671e+01    3.272e-01      7.80s        0         
3    2.032e+01    1.884e+15    5.715e+01      1.900e+01    6.262e+01    2.712e-01      8.86s        0         
4    2.427e+01    3.436e+08    8.210e+02      1.900e+01    6.262e+01    2.712e-01      9.63s        0         
5    2.335e+01    4.019e+07    9.325e+00      1.900e+01    6.262e+01    2.712e-01      8.41s        0         
6    2.332e+01    2.271e+09    9.413e+00      1.900e+01    6.262e+01    2.712e-01      7.89s        0         
7    2.323e+01    7.568e+08    4.996e+00      3.400e+01    3.217e+05    2.684e-01      7.49s        0         
8    2.144e+01    1.966e+09    3.869e+00      2.600e+01    3.665e+04    2.666e-01      6.75s        0         
9    1.956e+01    1.286e+08    8.418e+00      1.900e+01    6.262e+01    2.572e-01      5.77s        0         
10   1.834e+01    1.504e+08    9.246e+00      2.000e+01    6.651e+01    2.516e-01      5.05s        0         
11   1.906e+01    3.214e+05    8.878e+01      3.300e+01    7.132e+01    2.311e-01      5.11s        0         
12   2.102e+01    4.358e+07    6.721e+00      3.300e+01    7.132e+01    2.311e-01      5.15s        0         
13   2.207e+01    5.417e+07    1.211e+02      3.300e+01    7.132e+01    2.311e-01      4.90s        0         
14   2.249e+01    1.035e+07    1.113e+02      3.400e+01    1.216e+02    2.028e-01      4.45s        0         
15   2.260e+01    9.821e+05    1.198e+00      3.400e+01    1.216e+02    2.028e-01      4.02s        0         
16   2.394e+01    7.588e+05    4.675e+00      3.400e+01    8.257e+01    1.656e-01      3.63s        0         
17   2.418e+01    7.102e+06    1.931e+00      3.400e+01    8.257e+01    1.656e-01      3.17s        0         
18   2.544e+01    1.555e+07    1.242e+02      2.500e+01    3.218e+01    1.539e-01      2.74s        0         
19   2.650e+01    3.616e+06    6.265e+06      2.500e+01    3.218e+01    1.539e-01      2.30s        0         
20   2.973e+01    8.509e+06    1.017e+00      4.800e+01    1.323e+02    1.312e-01      1.92s        0         
21   3.282e+01    6.081e+07    3.416e+00      2.500e+01    3.218e+01    1.330e-01      1.51s        0         
22   3.417e+01    7.290e+04    8.556e+00      3.800e+01    7.959e+01    7.373e-02      1.03s        0         
23   3.380e+01    7.960e+05    4.235e+00      3.800e+01    7.959e+01    7.373e-02      0.51s        0         
24   3.378e+01    4.175e+09    4.267e+00      3.800e+01    7.959e+01    7.373e-02      0.00s        0         
25   3.286e+01    4.443e+14    5.939e+00      3.700e+01    7.596e+01    6.666e-02      11.87s       0         
26   3.331e+01    6.665e+11    1.876e+01      4.100e+01    1.032e+02    5.636e-02      11.39s       0         
27   3.443e+01    1.890e+08    2.948e+00      4.100e+01    1.032e+02    5.636e-02      11.22s       0         
28   3.588e+01    1.662e+06    5.248e+00      4.100e+01    1.032e+02    5.636e-02      10.98s       0         
29   3.817e+01    8.595e+07    6.968e+00      4.100e+01    1.032e+02    5.636e-02      10.70s       0         
30   4.000e+01    2.401e+06    3.809e+00      3.800e+01    7.105e+01    5.105e-02      11.02s       0         
31   3.999e+01    2.053e+07    1.753e+02      3.800e+01    7.105e+01    5.105e-02      10.04s       0         
32   4.059e+01    3.066e+10    5.003e+00      3.800e+01    7.105e+01    5.105e-02      9.57s        0         
33   3.980e+01    3.725e+11    9.862e+01      3.800e+01    8.769e+01    5.049e-02      8.92s        0         
34   4.063e+01    7.622e+11    3.215e+00      3.800e+01    8.769e+01    5.049e-02      8.49s        0         
35   4.040e+01    1.987e+18    5.027e+00      3.800e+01    8.769e+01    5.049e-02      7.89s        0         
