    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.311e+01    3.597e+06    2.504e+03      1.400e+01    1.418e+01    4.219e-01      9.63s        5         
1    1.057e+01    9.307e+04    7.150e+02      2.000e+01    3.214e+01    3.283e-01      6.51s        6         
2    1.016e+01    1.904e+02    6.270e+00      1.200e+01    2.736e+01    3.076e-01      6.03s        5         
3    9.352e+00    9.775e+04    1.128e+02      1.200e+01    2.736e+01    3.076e-01      5.54s        4         
4    9.027e+00    4.485e+01    1.544e+00      1.200e+01    2.736e+01    3.076e-01      5.01s        5         
5    9.691e+00    5.485e+02    6.213e+00      1.200e+01    2.736e+01    3.076e-01      4.92s        5         
6    9.456e+00    3.192e+04    4.972e+00      1.400e+01    8.198e+01    3.035e-01      4.60s        6         
7    1.024e+01    1.542e+02    1.077e+01      1.200e+01    1.208e+02    2.974e-01      4.46s        5         
8    9.340e+00    3.644e+05    4.284e+00      1.200e+01    5.293e+01    2.955e-01      4.13s        5         
9    9.488e+00    1.723e+03    5.417e+00      1.200e+01    3.535e+01    2.905e-01      3.93s        5         
10   9.229e+00    4.574e+03    2.818e+00      1.200e+01    3.535e+01    2.905e-01      3.69s        5         
11   9.185e+00    9.220e+06    5.760e+00      1.800e+01    8.341e+01    2.813e-01      3.42s        7         
12   1.094e+01    2.554e+07    1.449e+00      1.800e+01    8.341e+01    2.812e-01      3.58s        7         
13   1.178e+01    4.878e+06    1.837e+02      2.300e+01    1.120e+02    2.798e-01      3.45s        8         
14   1.361e+01    1.790e+10    4.903e+01      2.000e+01    1.972e+02    2.545e-01      3.39s        8         
15   1.334e+01    1.034e+17    6.605e+00      2.000e+01    1.972e+02    2.074e-01      3.04s        9         
16   1.379e+01    1.026e+06    1.125e+01      2.200e+01    4.824e+02    1.652e-01      2.72s        10        
17   1.447e+01    2.629e+05    3.210e+00      2.200e+01    4.824e+02    1.652e-01      2.48s        10        
18   1.379e+01    3.021e+06    2.501e+00      1.900e+01    3.736e+01    1.302e-01      2.08s        8         
19   1.363e+01    1.909e+07    3.268e+00      1.700e+01    3.736e+01    1.209e-01      1.67s        8         
20   1.241e+01    2.408e+04    6.594e+00      1.700e+01    3.736e+01    1.209e-01      1.29s        8         
21   1.222e+01    3.625e+02    3.586e+01      1.700e+01    3.736e+01    1.209e-01      0.94s        8         
22   1.248e+01    1.725e+03    5.100e+00      1.700e+01    3.736e+01    1.120e-01      0.65s        6         
23   1.236e+01    7.325e+04    1.206e+00      1.700e+01    3.736e+01    1.120e-01      0.35s        7         
24   1.238e+01    6.139e+02    3.434e+01      1.700e+01    3.736e+01    1.120e-01      0.00s        8         
25   1.216e+01    5.846e+03    9.241e-01      1.700e+01    3.736e+01    1.120e-01      7.60s        7         
