    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.545e+01    1.358e+15    9.096e+12      7.000e+00    1.600e+01    1.130e-01      6.33s        0         
1    7.845e+00    9.279e+03    8.812e+01      9.000e+00    2.000e+01    6.634e-02      34.27s       0         
2    8.908e+00    4.508e+05    2.500e+08      7.000e+00    1.000e+01    5.768e-02      53.13s       0         
3    1.113e+01    5.017e+02    1.585e+04      2.700e+01    3.118e+03    5.160e-02      58.47s       0         
4    1.634e+01    9.902e+05    1.331e+05      2.700e+01    3.694e+03    4.528e-02      44.48s       0         
5    2.162e+01    1.378e+07    4.982e+01      3.900e+01    2.127e+05    4.386e-02      40.49s       0         
6    2.669e+01    2.226e+07    1.065e+04      2.300e+01    1.678e+03    3.574e-02      43.41s       0         
7    3.051e+01    1.437e+08    3.904e+01      5.300e+01    1.514e+05    3.445e-02      39.62s       0         
8    3.614e+01    1.198e+08    2.065e+08      5.700e+01    2.907e+07    3.283e-02      39.83s       0         
9    4.159e+01    3.386e+09    6.852e+01      7.100e+01    1.571e+06    3.250e-02      40.09s       0         
10   4.551e+01    7.170e+10    3.288e+03      4.500e+01    5.006e+04    3.150e-02      39.20s       0         
11   5.047e+01    1.085e+10    1.094e+04      4.100e+01    1.754e+03    2.849e-02      37.53s       0         
12   4.758e+01    1.201e+13    2.679e+03      5.500e+01    7.514e+03    2.685e-02      37.48s       0         
13   5.390e+01    8.151e+12    2.681e+03      5.500e+01    7.514e+03    2.685e-02      34.88s       0         
14   5.713e+01    1.565e+14    1.481e+01      9.500e+01    8.554e+05    2.498e-02      31.42s       0         
15   5.855e+01    3.079e+11    9.760e+01      4.100e+01    2.546e+03    2.309e-02      29.94s       0         
16   5.509e+01    4.032e+14    3.135e+01      4.100e+01    2.546e+03    2.309e-02      26.81s       0         
17   5.501e+01    4.490e+09    6.622e+04      4.100e+01    2.546e+03    2.309e-02      23.58s       0         
18   5.486e+01    3.991e+12    4.622e+01      4.100e+01    2.446e+03    2.293e-02      21.84s       0         
19   5.407e+01    4.468e+10    7.292e+02      4.300e+01    2.466e+03    1.989e-02      16.52s       0         
20   5.219e+01    3.409e+12    1.820e+05      4.300e+01    2.466e+03    1.989e-02      13.29s       0         
21   5.263e+01    2.997e+11    1.050e+02      4.900e+01    1.375e+04    1.838e-02      10.63s       0         
22   5.088e+01    3.304e+09    1.260e+04      5.300e+01    1.391e+04    1.828e-02      6.68s        0         
23   5.215e+01    1.451e+11    2.429e+04      5.500e+01    1.471e+04    1.808e-02      3.35s        0         
24   5.255e+01    1.021e+08    1.341e+05      6.300e+01    1.651e+04    1.707e-02      0.00s        0         
25   5.427e+01    2.250e+09    4.952e+09      6.900e+01    1.845e+04    1.704e-02      1.33m        0         
26   5.684e+01    1.039e+09    6.615e+02      6.300e+01    1.651e+04    1.707e-02      1.34m        0         
27   5.933e+01    1.086e+13    5.672e+04      6.900e+01    1.891e+04    1.671e-02      1.28m        0         
28   5.763e+01    3.131e+08    9.238e+01      5.500e+01    1.443e+04    1.670e-02      1.21m        0         
29   5.698e+01    1.243e+08    2.007e+02      6.500e+01    2.231e+04    1.611e-02      1.14m        0         
30   5.888e+01    3.452e+07    1.126e+08      6.500e+01    2.231e+04    1.611e-02      1.11m        0         
31   6.080e+01    4.738e+08    2.020e+04      8.300e+01    1.898e+06    1.562e-02      1.06m        0         
32   6.084e+01    2.154e+08    1.237e+04      8.100e+01    1.043e+06    1.558e-02      58.11s       0         
33   6.288e+01    8.005e+08    7.397e+00      7.900e+01    7.047e+05    1.533e-02      54.29s       0         
34   6.386e+01    1.516e+08    8.179e+04      7.900e+01    7.047e+05    1.533e-02      52.59s       0         
