    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.655e+01    3.620e+16    4.859e+14      5.000e+00    2.000e+01    1.017e-01      8.53s        1         
1    6.765e+00    8.297e+10    2.046e+20      5.000e+00    2.000e+01    1.017e-01      9.74s        1         
2    6.353e+00    4.188e+11    5.440e+02      5.000e+00    2.000e+01    1.017e-01      8.10s        1         
3    6.390e+00    1.658e+06    7.396e+03      5.000e+00    2.000e+01    1.017e-01      7.92s        1         
4    6.067e+00    2.995e+03    6.003e+04      5.000e+00    2.000e+01    1.017e-01      7.55s        1         
5    6.320e+00    1.827e+05    3.322e+04      5.000e+00    2.000e+01    1.017e-01      6.98s        1         
6    6.015e+00    7.358e+06    3.892e+04      5.000e+00    2.000e+01    1.017e-01      6.63s        1         
7    6.228e+00    1.196e+07    2.298e+05      5.000e+00    2.000e+01    1.017e-01      6.33s        1         
8    6.100e+00    9.795e+02    1.039e+05      5.000e+00    2.000e+01    1.017e-01      5.88s        1         
9    6.255e+00    1.057e+03    8.400e+04      5.000e+00    2.000e+01    1.017e-01      5.84s        1         
10   6.482e+00    3.962e+07    6.246e+08      5.000e+00    2.000e+01    1.017e-01      5.32s        1         
11   6.308e+00    2.105e+09    2.403e+04      5.000e+00    2.000e+01    1.017e-01      4.83s        1         
12   6.045e+00    3.170e+02    1.821e+05      5.000e+00    2.000e+01    1.017e-01      4.56s        1         
13   6.060e+00    1.246e+09    7.540e+05      5.000e+00    2.000e+01    1.017e-01      4.07s        1         
14   6.082e+00    6.054e+05    6.025e+06      5.000e+00    2.000e+01    1.011e-01      3.70s        1         
15   6.133e+00    1.469e+02    5.146e+06      5.000e+00    2.000e+01    1.011e-01      3.37s        1         
16   6.020e+00    3.586e+04    5.561e+04      5.000e+00    2.000e+01    1.011e-01      2.97s        1         
17   6.207e+00    2.027e+05    3.328e+04      5.000e+00    2.000e+01    1.011e-01      2.59s        1         
18   6.357e+00    7.238e+06    2.078e+05      5.000e+00    2.000e+01    1.011e-01      2.22s        1         
19   6.447e+00    2.579e+04    1.032e+15      5.000e+00    2.000e+01    1.011e-01      2.10s        1         
20   6.295e+00    1.399e+04    4.414e+04      5.000e+00    2.000e+01    1.011e-01      1.47s        1         
21   6.480e+00    6.481e+06    6.084e+04      5.000e+00    2.000e+01    1.011e-01      1.14s        1         
22   6.117e+00    2.300e+03    1.153e+05      5.000e+00    5.000e+00    1.009e-01      0.72s        1         
23   5.890e+00    1.913e+02    1.315e+02      5.000e+00    5.000e+00    1.009e-01      0.47s        1         
24   6.242e+00    3.664e+07    4.546e+03      5.000e+00    5.000e+00    1.008e-01      0.00s        1         
25   6.272e+00    1.425e+06    2.543e+23      5.000e+00    5.000e+00    1.008e-01      11.28s       1         
26   6.173e+00    5.643e+07    3.620e+05      5.000e+00    5.000e+00    1.008e-01      10.97s       1         
27   6.045e+00    1.673e+02    9.696e+04      5.000e+00    5.000e+00    1.008e-01      10.63s       1         
28   6.040e+00    2.835e+04    1.324e+05      5.000e+00    5.000e+00    1.008e-01      9.97s        1         
29   6.390e+00    4.546e+04    2.584e+04      5.000e+00    5.000e+00    1.008e-01      9.47s        1         
30   6.120e+00    4.819e+07    1.306e+02      5.000e+00    5.000e+00    1.008e-01      9.03s        1         
31   6.197e+00    6.458e+04    2.726e+02      5.000e+00    5.000e+00    1.008e-01      8.78s        1         
32   6.855e+00    2.078e+05    4.513e+06      5.000e+00    5.000e+00    1.008e-01      7.88s        1         
33   6.320e+00    6.497e+04    3.207e+02      5.000e+00    5.000e+00    1.008e-01      7.63s        1         
34   6.145e+00    2.117e+05    1.906e+07      5.000e+00    5.000e+00    1.008e-01      6.96s        1         
35   6.190e+00    3.971e+05    2.029e+02      5.000e+00    5.000e+00    1.008e-01      7.30s        1         
36   5.950e+00    3.211e+05    3.231e+05      5.000e+00    5.000e+00    1.008e-01      6.06s        1         
37   5.990e+00    4.169e+02    3.994e+05      5.000e+00    5.000e+00    1.008e-01      5.75s        1         
38   5.978e+00    2.046e+04    1.326e+02      5.000e+00    7.000e+00    9.890e-02      5.33s        1         
39   6.220e+00    2.149e+05    3.386e+05      5.000e+00    7.000e+00    9.890e-02      4.79s        1         
40   5.900e+00    2.638e+02    5.043e+04      7.000e+00    2.200e+01    9.803e-02      4.39s        2         
41   7.287e+00    1.558e+04    3.585e+06      1.300e+01    4.300e+01    9.747e-02      3.96s        4         
42   9.315e+00    1.967e+04    5.787e+09      1.300e+01    4.300e+01    9.404e-02      3.55s        5         
43   9.230e+00    2.707e+14    5.792e+09      1.100e+01    4.000e+01    9.392e-02      3.06s        4         
44   8.562e+00    9.525e+02    3.425e+06      1.900e+01    2.380e+02    8.763e-02      2.65s        5         
45   1.084e+01    5.426e+05    7.066e+06      1.900e+01    1.590e+02    7.780e-02      2.26s        4         
46   1.101e+01    4.578e+10    4.074e+08      1.900e+01    8.300e+01    6.037e-02      1.78s        4         
47   1.078e+01    2.417e+07    3.574e+04      2.300e+01    9.900e+01    4.746e-02      1.22s        5         
