    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.744e+01    1.473e+15    3.889e+16      1.500e+01    1.381e-01    1.550e+02      5.35s        4         
1    1.098e+01    6.824e+08    4.356e+06      1.700e+01    9.903e-02    4.490e+02      6.96s        5         
2    1.218e+01    1.725e+03    1.649e+03      1.700e+01    9.903e-02    4.490e+02      6.47s        2         
3    1.262e+01    1.423e+03    3.343e+05      1.700e+01    8.775e-02    4.490e+02      5.90s        3         
4    1.321e+01    2.965e+08    1.068e+04      2.100e+01    7.385e-02    1.153e+03      5.43s        4         
5    1.483e+01    5.438e+03    4.633e+01      3.900e+01    6.813e-02    4.371e+04      5.40s        5         
6    1.926e+01    1.898e+04    3.723e+05      3.500e+01    5.902e-02    6.081e+03      5.60s        4         
7    1.896e+01    6.526e+07    4.623e+01      3.300e+01    5.886e-02    5.313e+03      5.21s        5         
8    1.977e+01    1.471e+05    2.359e+05      3.700e+01    4.544e-02    1.974e+04      4.85s        4         
9    2.193e+01    5.679e+07    3.254e+05      3.700e+01    4.544e-02    1.974e+04      4.60s        7         
10   2.266e+01    3.163e+07    9.735e+04      3.500e+01    4.419e-02    1.962e+04      4.79s        8         
11   2.471e+01    1.392e+07    3.295e+01      3.500e+01    4.419e-02    1.962e+04      4.17s        7         
12   2.406e+01    1.606e+06    6.143e+05      8.900e+01    4.220e-02    5.187e+08      3.87s        7         
13   2.854e+01    1.079e+14    2.489e+05      8.700e+01    4.069e-02    5.051e+08      5.44s        9         
14   3.808e+01    3.386e+13    6.050e+04      8.700e+01    4.037e-02    6.414e+08      3.67s        11        
15   4.933e+01    1.313e+14    9.959e+01      8.700e+01    3.986e-02    6.414e+08      3.75s        11        
16   3.961e+01    8.458e+13    2.540e+01      9.100e+01    3.917e-02    3.512e+08      3.24s        13        
17   4.666e+01    1.834e+14    7.703e+04      8.100e+01    3.723e-02    1.213e+08      2.87s        8         
18   3.483e+01    2.238e+13    5.479e+01      1.390e+02    3.604e-02    3.316e+12      2.17s        11        
19   4.277e+01    1.969e+17    3.556e+01      1.290e+02    3.593e-02    6.484e+11      1.94s        13        
20   5.168e+01    2.697e+19    3.795e+01      1.130e+02    3.562e-02    2.257e+10      1.68s        10        
21   4.752e+01    3.801e+20    2.324e+02      1.150e+02    3.488e-02    2.761e+10      1.28s        12        
22   4.775e+01    1.999e+15    3.633e+05      1.150e+02    3.471e-02    5.408e+10      0.80s        14        
23   5.390e+01    1.769e+16    1.865e+05      1.090e+02    3.389e-02    2.822e+09      0.43s        10        
24   4.023e+01    2.795e+17    1.461e+02      1.110e+02    3.329e-02    3.744e+09      0.00s        11        
25   4.211e+01    1.408e+20    8.158e+04      1.390e+02    3.212e-02    1.049e+12      9.10s        14        
26   5.337e+01    4.108e+20    2.191e+05      1.130e+02    2.932e-02    4.140e+07      9.98s        15        
27   5.304e+01    1.737e+17    2.559e+01      1.030e+02    2.658e-02    5.578e+06      9.99s        14        
28   4.552e+01    2.100e+13    6.628e+01      9.300e+01    2.624e-02    1.093e+06      8.64s        16        
29   4.608e+01    8.223e+10    9.899e+01      9.300e+01    2.624e-02    1.093e+06      8.23s        18        
30   4.387e+01    7.458e+10    3.114e+08      9.700e+01    2.540e-02    2.340e+06      7.64s        20        
31   4.982e+01    4.000e+07    2.562e+01      9.500e+01    2.457e-02    2.330e+06      7.76s        16        
32   4.033e+01    2.886e+08    1.065e+02      9.300e+01    2.398e-02    2.318e+06      6.84s        14        
33   3.549e+01    1.785e+07    7.501e+01      9.300e+01    2.398e-02    2.318e+06      8.34s        16        
34   4.017e+01    4.587e+09    8.341e+09      9.500e+01    2.381e-02    3.494e+06      5.77s        16        
35   4.295e+01    1.388e+12    3.828e+01      9.300e+01    2.255e-02    3.781e+06      5.79s        16        
36   3.959e+01    7.088e+08    3.058e+01      8.500e+01    2.186e-02    5.118e+06      5.09s        17        
37   4.240e+01    1.433e+11    5.166e+02      8.500e+01    2.161e-02    3.455e+06      4.78s        18        
38   4.005e+01    2.731e+10    4.482e+01      8.500e+01    2.136e-02    1.970e+06      4.22s        17        
39   4.166e+01    1.715e+09    1.267e+01      8.300e+01    2.122e-02    1.547e+06      3.85s        18        
40   4.452e+01    1.158e+09    8.577e+05      8.300e+01    2.122e-02    1.547e+06      3.83s        19        
41   4.253e+01    3.650e+09    6.475e+05      8.300e+01    2.122e-02    1.547e+06      4.47s        17        
42   4.448e+01    5.612e+07    1.863e+05      8.300e+01    2.122e-02    1.547e+06      2.86s        18        
43   4.196e+01    3.285e+07    2.327e+06      8.300e+01    2.122e-02    1.547e+06      2.40s        17        
44   4.352e+01    8.427e+08    5.223e+05      8.300e+01    2.115e-02    1.547e+06      2.16s        14        
45   3.916e+01    9.606e+12    1.496e+05      8.300e+01    2.115e-02    1.547e+06      1.57s        15        
46   3.895e+01    3.454e+10    5.165e+03      8.300e+01    2.115e-02    1.547e+06      1.18s        16        
47   3.809e+01    2.359e+11    7.581e+01      8.300e+01    2.115e-02    1.547e+06      0.78s        17        
48   3.715e+01    4.559e+07    2.568e+02      8.300e+01    2.115e-02    1.547e+06      0.40s        18        
49   4.191e+01    6.378e+07    4.602e+05      8.300e+01    2.115e-02    1.547e+06      0.00s        18        
50   4.231e+01    2.075e+11    7.464e+01      8.300e+01    2.115e-02    1.547e+06      12.89s       17        
51   4.139e+01    2.667e+07    1.659e+05      8.300e+01    2.115e-02    1.547e+06      9.30s        17        
52   4.205e+01    5.485e+07    6.815e+01      1.210e+02    2.102e-02    1.681e+08      8.98s        19        
53   4.728e+01    1.323e+11    1.873e+06      1.350e+02    2.101e-02    4.512e+09      9.22s        22        
54   5.682e+01    1.269e+12    3.322e+01      1.130e+02    2.101e-02    7.229e+07      9.32s        20        
55   5.239e+01    2.460e+10    3.073e+01      1.110e+02    2.101e-02    5.813e+07      8.57s        18        
56   4.652e+01    4.903e+09    1.675e+02      1.110e+02    2.099e-02    5.813e+07      7.80s        20        
57   5.265e+01    3.562e+11    8.508e+01      1.010e+02    2.099e-02    1.805e+07      10.01s       21        
58   4.832e+01    3.304e+12    4.413e+02      1.010e+02    2.099e-02    1.805e+07      6.79s        21        
59   5.233e+01    6.324e+18    1.102e+02      1.010e+02    2.099e-02    1.805e+07      6.70s        22        
60   4.731e+01    8.878e+09    6.474e+05      1.030e+02    2.098e-02    2.459e+07      6.27s        23        
61   4.916e+01    2.730e+08    6.410e+04      9.700e+01    2.098e-02    8.253e+06      5.76s        23        
62   5.083e+01    6.639e+08    5.773e+05      7.500e+01    2.063e-02    9.934e+04      5.23s        21        
63   4.287e+01    5.418e+08    2.105e+02      7.500e+01    2.063e-02    9.934e+04      4.78s        21        
64   4.442e+01    1.247e+09    1.660e+05      7.500e+01    2.063e-02    9.934e+04      4.19s        21        
65   4.074e+01    2.178e+09    2.085e+02      7.500e+01    2.063e-02    9.934e+04      5.13s        21        
66   4.106e+01    7.245e+06    5.774e+05      7.500e+01    2.063e-02    9.934e+04      3.19s        21        
67   4.107e+01    5.478e+08    4.020e+02      7.500e+01    2.063e-02    9.934e+04      2.89s        21        
68   4.242e+01    8.865e+07    2.710e+10      7.500e+01    2.063e-02    9.934e+04      2.47s        21        
69   4.089e+01    2.139e+07    3.641e+01      7.500e+01    2.063e-02    9.934e+04      2.00s        21        
70   4.224e+01    8.411e+06    3.431e+02      7.500e+01    2.063e-02    9.934e+04      1.60s        21        
71   4.045e+01    1.486e+07    4.188e+02      7.500e+01    2.063e-02    9.934e+04      1.25s        21        
72   4.076e+01    2.273e+08    5.001e+01      7.500e+01    2.063e-02    9.934e+04      0.79s        21        
73   4.114e+01    1.754e+07    5.771e+05      7.500e+01    2.063e-02    9.934e+04      0.55s        20        
74   3.925e+01    6.417e+06    3.524e+05      7.500e+01    2.063e-02    9.934e+04      0.00s        21        
75   3.924e+01    1.983e+09    1.664e+05      7.700e+01    2.035e-02    1.356e+05      9.81s        22        
76   4.009e+01    2.047e+09    1.481e+06      7.700e+01    2.035e-02    1.356e+05      9.15s        22        
77   4.083e+01    1.319e+08    1.663e+05      6.100e+01    1.976e-02    4.148e+04      8.77s        20        
78   3.835e+01    4.192e+08    7.095e+10      6.100e+01    1.976e-02    4.148e+04      8.46s        20        
79   3.767e+01    9.881e+08    7.223e+05      6.100e+01    1.976e-02    4.148e+04      7.90s        20        
80   3.894e+01    5.380e+14    4.487e+02      6.100e+01    1.976e-02    4.148e+04      7.36s        20        
81   3.805e+01    1.576e+07    6.475e+05      6.100e+01    1.976e-02    4.148e+04      9.68s        20        
82   3.820e+01    4.057e+08    1.576e+06      6.100e+01    1.976e-02    4.148e+04      6.87s        20        
83   3.794e+01    2.481e+07    1.935e+02      6.100e+01    1.976e-02    4.148e+04      6.44s        20        
84   3.788e+01    9.841e+07    7.095e+10      6.100e+01    1.976e-02    4.148e+04      5.93s        20        
85   3.654e+01    1.463e+07    2.356e+06      6.100e+01    1.976e-02    4.148e+04      5.37s        21        
86   3.848e+01    1.638e+07    1.872e+06      6.100e+01    1.976e-02    4.148e+04      5.31s        21        
87   3.872e+01    1.768e+08    7.248e+05      6.100e+01    1.976e-02    4.148e+04      4.86s        21        
88   3.831e+01    6.077e+09    3.088e+11      6.100e+01    1.976e-02    4.148e+04      4.22s        21        
89   3.792e+01    3.156e+10    1.224e+06      6.100e+01    1.976e-02    4.148e+04      3.92s        21        
90   3.990e+01    4.360e+08    6.475e+05      6.100e+01    1.976e-02    4.148e+04      5.30s        21        
91   3.795e+01    6.713e+09    1.324e+06      6.100e+01    1.976e-02    4.148e+04      3.16s        21        
92   3.891e+01    6.383e+06    1.910e+01      6.100e+01    1.976e-02    4.148e+04      2.87s        21        
93   3.830e+01    5.206e+08    6.187e+04      6.100e+01    1.976e-02    4.148e+04      2.34s        21        
94   3.759e+01    1.808e+10    1.133e+05      6.100e+01    1.976e-02    4.148e+04      2.02s        19        
95   3.926e+01    5.112e+07    1.225e+06      6.100e+01    1.976e-02    4.148e+04      1.57s        19        
96   3.872e+01    2.125e+08    2.356e+02      6.100e+01    1.976e-02    4.148e+04      1.23s        19        
97   4.025e+01    1.562e+11    4.708e+02      6.100e+01    1.976e-02    4.148e+04      0.82s        19        
98   4.096e+01    4.299e+07    6.126e+02      6.100e+01    1.976e-02    4.148e+04      0.59s        17        
