    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.690e+01    2.886e+15    3.107e+11      1.900e+01    2.184e-01    6.400e+01      5.17s        4         
1    1.194e+01    9.350e+06    4.233e+06      7.000e+00    1.601e-01    1.200e+01      7.26s        1         
2    8.790e+00    7.636e+06    1.718e+05      7.000e+00    1.601e-01    1.200e+01      9.47s        1         
3    7.620e+00    5.643e+07    6.494e+05      7.000e+00    1.457e-01    1.200e+01      6.91s        1         
4    8.085e+00    2.637e+03    2.609e+05      7.000e+00    1.457e-01    1.200e+01      6.96s        1         
5    7.830e+00    2.059e+03    2.281e+02      7.000e+00    1.099e-01    6.000e+00      6.24s        1         
6    7.980e+00    6.147e+06    1.464e+05      9.000e+00    9.627e-02    1.000e+01      5.22s        2         
7    8.770e+00    1.114e+06    1.171e+03      9.000e+00    9.627e-02    1.000e+01      5.52s        2         
8    8.492e+00    7.055e+02    1.529e+02      9.000e+00    6.312e-02    1.000e+01      5.36s        2         
9    8.727e+00    4.329e+03    7.958e+05      9.000e+00    6.312e-02    1.000e+01      4.87s        2         
10   8.697e+00    1.720e+03    2.457e+10      9.000e+00    6.312e-02    1.000e+01      4.36s        2         
11   8.752e+00    2.068e+04    5.428e+01      9.000e+00    6.312e-02    1.000e+01      4.25s        2         
12   8.570e+00    1.266e+04    1.035e+05      9.000e+00    6.312e-02    1.000e+01      4.97s        2         
13   9.220e+00    4.245e+10    9.608e+05      9.000e+00    6.312e-02    1.000e+01      3.48s        2         
14   8.485e+00    1.195e+04    1.402e+06      9.000e+00    6.312e-02    1.000e+01      3.21s        2         
15   8.605e+00    1.291e+07    1.751e+05      9.000e+00    5.985e-02    1.000e+01      2.82s        2         
16   8.768e+00    4.157e+05    4.100e+02      9.000e+00    5.985e-02    1.000e+01      2.60s        2         
17   8.610e+00    5.099e+02    1.523e+02      9.000e+00    5.985e-02    1.000e+01      2.21s        2         
18   9.053e+00    2.405e+03    1.415e+06      9.000e+00    5.985e-02    1.000e+01      1.96s        2         
19   9.560e+00    6.877e+08    1.251e+06      9.000e+00    5.985e-02    1.000e+01      1.75s        2         
20   8.490e+00    1.290e+10    4.567e+02      9.000e+00    5.985e-02    1.000e+01      1.29s        2         
21   8.627e+00    4.448e+04    2.545e+06      9.000e+00    5.985e-02    1.000e+01      0.98s        2         
22   8.783e+00    1.302e+03    1.504e+05      9.000e+00    5.985e-02    1.000e+01      0.84s        2         
23   8.685e+00    2.028e+04    6.257e+02      9.000e+00    5.985e-02    1.000e+01      0.32s        2         
24   8.560e+00    4.178e+02    1.306e+06      9.000e+00    5.985e-02    1.000e+01      0.00s        2         
25   9.098e+00    2.192e+09    1.076e+06      9.000e+00    5.985e-02    1.000e+01      7.76s        2         
26   8.652e+00    2.384e+03    2.172e+05      9.000e+00    5.985e-02    1.000e+01      7.50s        2         
27   9.102e+00    3.430e+03    9.515e+04      9.000e+00    5.985e-02    1.000e+01      7.55s        2         
28   9.107e+00    1.766e+07    6.024e+02      9.000e+00    5.985e-02    1.000e+01      6.78s        2         
29   9.068e+00    2.816e+04    2.370e+05      9.000e+00    5.985e-02    1.000e+01      6.45s        2         
30   9.043e+00    4.400e+07    1.688e+07      9.000e+00    5.985e-02    1.000e+01      5.97s        2         
31   8.578e+00    4.142e+04    7.697e+04      9.000e+00    5.985e-02    1.000e+01      5.77s        2         
32   8.825e+00    9.146e+02    5.354e+04      9.000e+00    5.985e-02    1.000e+01      6.62s        2         
33   8.963e+00    7.172e+05    5.494e+05      9.000e+00    5.985e-02    1.000e+01      5.25s        2         
34   9.252e+00    5.665e+07    7.808e+05      9.000e+00    5.985e-02    1.000e+01      5.06s        2         
35   8.545e+00    9.605e+02    2.521e+05      9.000e+00    5.985e-02    1.000e+01      4.61s        2         
36   9.088e+00    2.454e+05    1.162e+05      9.000e+00    5.985e-02    1.000e+01      4.14s        2         
37   8.800e+00    4.849e+08    2.405e+02      9.000e+00    5.985e-02    1.000e+01      3.87s        2         
38   9.080e+00    2.510e+06    1.971e+06      9.000e+00    5.985e-02    1.000e+01      3.47s        2         
39   8.650e+00    1.676e+06    1.290e+06      9.000e+00    5.985e-02    1.000e+01      3.22s        2         
40   8.828e+00    5.687e+10    1.812e+08      9.000e+00    5.985e-02    1.000e+01      2.93s        2         
41   8.875e+00    1.636e+11    8.110e+02      9.000e+00    5.985e-02    1.000e+01      3.27s        2         
42   8.787e+00    7.422e+06    1.561e+02      9.000e+00    5.985e-02    1.000e+01      2.44s        2         
43   8.998e+00    2.127e+04    8.629e+04      9.000e+00    5.985e-02    1.000e+01      1.93s        2         
44   8.768e+00    1.016e+04    6.006e+04      9.000e+00    5.985e-02    1.000e+01      1.66s        2         
45   8.822e+00    2.522e+04    5.019e+05      9.000e+00    5.985e-02    1.000e+01      1.27s        2         
46   8.877e+00    5.440e+06    4.226e+02      9.000e+00    5.985e-02    1.000e+01      0.99s        2         
47   8.870e+00    1.896e+04    4.934e+03      9.000e+00    5.985e-02    1.000e+01      0.64s        2         
48   8.805e+00    2.480e+02    3.022e+02      9.000e+00    5.985e-02    1.000e+01      0.32s        2         
49   8.625e+00    5.921e+02    9.016e+04      9.000e+00    5.985e-02    1.000e+01      0.00s        2         
50   8.840e+00    1.672e+04    2.673e+03      9.000e+00    5.985e-02    1.000e+01      7.63s        2         
51   8.760e+00    6.618e+05    6.010e+05      9.000e+00    5.985e-02    1.000e+01      9.95s        2         
52   9.000e+00    3.282e+08    2.097e+04      9.000e+00    5.985e-02    1.000e+01      7.04s        2         
53   8.940e+00    1.675e+03    1.622e+03      9.000e+00    5.985e-02    1.000e+01      6.77s        2         
54   8.955e+00    1.657e+07    7.346e+02      9.000e+00    5.985e-02    1.000e+01      6.44s        2         
55   8.902e+00    4.321e+11    2.159e+02      9.000e+00    5.985e-02    1.000e+01      6.52s        2         
56   9.125e+00    1.634e+03    1.140e+05      9.000e+00    5.504e-02    1.000e+01      5.90s        2         
57   8.963e+00    4.784e+03    2.582e+05      9.000e+00    5.504e-02    1.000e+01      5.77s        2         
58   9.100e+00    1.659e+12    8.918e+06      9.000e+00    5.504e-02    1.000e+01      5.43s        2         
59   9.030e+00    1.734e+07    2.642e+05      9.000e+00    5.504e-02    1.000e+01      4.92s        2         
60   8.793e+00    6.964e+07    2.573e+09      9.000e+00    5.504e-02    1.000e+01      4.43s        2         
61   8.920e+00    1.552e+06    5.701e+04      9.000e+00    5.504e-02    1.000e+01      5.28s        2         
62   9.148e+00    2.366e+07    8.093e+05      9.000e+00    5.504e-02    1.000e+01      3.87s        2         
63   8.795e+00    1.893e+04    2.647e+02      9.000e+00    5.504e-02    1.000e+01      3.61s        2         
64   9.107e+00    1.771e+07    8.123e+02      9.000e+00    5.504e-02    1.000e+01      3.46s        2         
65   8.963e+00    1.086e+06    3.155e+09      9.000e+00    5.504e-02    1.000e+01      3.02s        2         
66   9.390e+00    1.220e+06    2.553e+05      9.000e+00    5.504e-02    1.000e+01      2.62s        2         
67   8.838e+00    3.687e+04    2.872e+02      9.000e+00    5.504e-02    1.000e+01      2.23s        2         
68   8.870e+00    7.288e+03    2.189e+05      9.000e+00    5.504e-02    1.000e+01      2.02s        2         
69   8.735e+00    1.531e+03    8.965e+05      9.000e+00    5.504e-02    1.000e+01      1.63s        2         
70   9.072e+00    1.628e+06    2.137e+04      9.000e+00    5.504e-02    1.000e+01      1.68s        2         
71   9.018e+00    1.007e+05    3.856e+02      9.000e+00    5.504e-02    1.000e+01      0.98s        2         
72   8.703e+00    8.993e+02    3.143e+05      9.000e+00    5.504e-02    1.000e+01      0.64s        2         
73   8.945e+00    1.906e+06    1.773e+09      9.000e+00    5.504e-02    1.000e+01      0.32s        2         
74   8.848e+00    1.250e+10    3.840e+13      9.000e+00    5.504e-02    1.000e+01      0.00s        2         
75   8.967e+00    1.801e+04    6.918e+03      9.000e+00    5.504e-02    1.000e+01      7.54s        2         
76   8.867e+00    5.950e+06    2.769e+05      9.000e+00    5.504e-02    1.000e+01      7.72s        2         
77   8.463e+00    3.397e+05    1.926e+02      9.000e+00    5.504e-02    1.000e+01      7.19s        2         
78   8.883e+00    4.023e+04    6.351e+05      9.000e+00    5.504e-02    1.000e+01      6.85s        2         
79   8.855e+00    1.500e+05    5.104e+02      9.000e+00    5.504e-02    1.000e+01      8.25s        2         
80   9.135e+00    5.874e+07    1.668e+05      9.000e+00    5.504e-02    1.000e+01      5.60s        2         
81   8.980e+00    2.812e+04    2.671e+03      9.000e+00    5.504e-02    1.000e+01      5.53s        2         
82   8.633e+00    5.613e+02    5.402e+05      9.000e+00    5.504e-02    1.000e+01      5.32s        2         
83   8.557e+00    2.251e+03    8.751e+05      9.000e+00    5.504e-02    1.000e+01      4.92s        2         
84   8.865e+00    1.901e+03    2.364e+05      9.000e+00    5.504e-02    1.000e+01      4.82s        2         
85   9.312e+00    8.787e+13    4.210e+02      9.000e+00    5.504e-02    1.000e+01      4.36s        2         
86   8.617e+00    2.091e+05    3.709e+05      9.000e+00    5.504e-02    1.000e+01      3.99s        2         
87   9.540e+00    2.940e+08    1.882e+11      9.000e+00    5.504e-02    1.000e+01      3.67s        2         
88   8.598e+00    4.131e+03    1.557e+09      9.000e+00    5.504e-02    1.000e+01      3.41s        2         
89   9.258e+00    2.254e+14    2.296e+04      9.000e+00    5.504e-02    1.000e+01      3.89s        2         
90   8.685e+00    8.545e+02    2.794e+02      9.000e+00    5.476e-02    1.000e+01      2.81s        2         
91   8.945e+00    6.228e+03    2.743e+04      9.000e+00    5.476e-02    1.000e+01      2.37s        2         
92   8.943e+00    7.941e+02    1.058e+03      9.000e+00    5.476e-02    1.000e+01      2.20s        2         
93   8.783e+00    1.983e+05    7.033e+05      9.000e+00    5.476e-02    1.000e+01      1.82s        2         
94   8.705e+00    1.138e+04    1.017e+06      9.000e+00    5.476e-02    1.000e+01      1.58s        2         
95   9.248e+00    7.115e+08    3.506e+10      9.000e+00    5.476e-02    1.000e+01      1.24s        2         
96   8.947e+00    4.727e+03    2.338e+05      9.000e+00    5.476e-02    1.000e+01      0.90s        2         
97   8.715e+00    3.718e+02    2.668e+05      9.000e+00    5.476e-02    1.000e+01      0.63s        2         
98   9.158e+00    3.413e+06    3.486e+15      9.000e+00    5.476e-02    1.000e+01      0.31s        2         
99   8.742e+00    4.073e+02    1.909e+04      9.000e+00    5.476e-02    1.000e+01      0.00s        2         
100  9.000e+00    1.242e+08    1.466e+06      9.000e+00    5.476e-02    1.000e+01      7.56s        2         
101  8.950e+00    3.633e+04    2.477e+05      9.000e+00    5.476e-02    1.000e+01      7.17s        2         
102  8.857e+00    3.749e+06    2.049e+12      9.000e+00    5.476e-02    1.000e+01      7.10s        2         
103  8.965e+00    8.808e+02    9.482e+02      9.000e+00    5.476e-02    1.000e+01      6.55s        2         
104  9.075e+00    7.180e+06    8.197e+05      9.000e+00    5.476e-02    1.000e+01      6.12s        2         
105  9.010e+00    3.902e+05    7.475e+05      9.000e+00    5.476e-02    1.000e+01      5.82s        2         
106  8.992e+00    1.485e+07    8.223e+04      9.000e+00    5.476e-02    1.000e+01      5.72s        2         
107  8.665e+00    3.329e+02    1.431e+05      9.000e+00    5.476e-02    1.000e+01      5.53s        2         
108  8.822e+00    7.625e+03    3.643e+09      9.000e+00    5.476e-02    1.000e+01      4.81s        2         
109  9.033e+00    2.469e+03    2.747e+02      9.000e+00    5.476e-02    1.000e+01      4.55s        2         
110  8.947e+00    1.821e+06    1.693e+05      9.000e+00    5.476e-02    1.000e+01      5.17s        2         
111  8.543e+00    5.196e+04    3.409e+02      9.000e+00    5.476e-02    1.000e+01      4.37s        2         
112  8.617e+00    8.158e+03    3.992e+09      9.000e+00    5.476e-02    1.000e+01      3.51s        2         
113  9.238e+00    5.112e+05    5.639e+05      9.000e+00    5.476e-02    1.000e+01      3.41s        2         
114  8.865e+00    3.937e+05    1.142e+10      9.000e+00    5.476e-02    1.000e+01      2.98s        2         
