    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.694e+01    7.544e+14    1.633e+13      1.900e+01    9.570e+02    2.206e-01      13.92s       0         
1    1.308e+01    4.852e+06    3.128e+02      1.500e+01    1.300e+02    7.273e-02      1.25m        0         
2    1.596e+01    3.499e+03    1.847e+02      1.100e+01    4.000e+01    5.162e-02      2.18m        0         
3    1.684e+01    3.941e+03    2.250e+03      2.300e+01    5.980e+02    5.012e-02      4.43m        0         
4    1.739e+01    1.739e+11    1.541e+02      2.100e+01    2.860e+02    4.572e-02      4.21m        0         
5    2.003e+01    1.733e+06    6.733e+01      2.300e+01    3.250e+02    4.461e-02      3.88m        0         
6    2.250e+01    7.544e+04    6.131e+02      2.300e+01    3.250e+02    4.461e-02      4.40m        0         
7    2.306e+01    1.170e+05    7.318e+03      3.700e+01    1.375e+04    4.376e-02      3.62m        0         
8    2.500e+01    1.522e+06    5.041e+05      3.700e+01    1.375e+04    4.249e-02      4.00m        0         
9    2.680e+01    1.207e+06    1.456e+01      2.700e+01    1.157e+03    4.000e-02      3.49m        0         
10   2.859e+01    6.756e+07    4.714e+01      2.700e+01    1.157e+03    4.000e-02      2.75m        0         
11   2.865e+01    4.913e+10    3.020e+01      2.100e+01    2.860e+02    3.839e-02      2.52m        0         
12   3.315e+01    2.981e+09    1.832e+01      2.100e+01    2.860e+02    3.839e-02      2.15m        0         
13   3.572e+01    1.233e+11    2.794e+03      2.100e+01    2.860e+02    3.839e-02      1.45m        0         
14   3.831e+01    6.235e+10    1.115e+02      3.500e+01    3.892e+03    3.080e-02      1.56m        0         
15   4.095e+01    1.039e+11    2.902e+01      5.100e+01    5.897e+04    2.933e-02      1.05m        0         
16   4.448e+01    1.288e+11    9.045e+03      1.330e+02    2.810e+11    2.759e-02      1.11m        0         
17   5.065e+01    1.107e+13    8.649e+05      4.700e+01    2.756e+04    2.761e-02      44.89s       0         
18   5.338e+01    6.769e+14    4.745e+02      4.700e+01    2.756e+04    2.761e-02      34.39s       0         
19   5.252e+01    5.041e+12    1.850e+04      5.700e+01    3.546e+05    2.704e-02      31.41s       0         
20   5.665e+01    8.117e+10    1.674e+01      6.100e+01    4.683e+06    2.550e-02      21.78s       0         
21   5.874e+01    1.312e+17    6.967e+00      6.100e+01    4.683e+06    2.550e-02      14.00s       0         
22   6.072e+01    2.737e+14    5.679e+00      5.700e+01    1.119e+06    2.482e-02      9.85s        0         
23   6.008e+01    7.639e+12    1.183e+01      8.100e+01    8.277e+07    2.239e-02      4.77s        0         
24   6.330e+01    1.275e+18    7.263e+02      1.130e+02    1.049e+10    2.204e-02      0.00s        0         
25   6.196e+01    1.628e+13    3.620e+01      7.100e+01    2.183e+07    2.170e-02      1.91m        0         
26   6.360e+01    8.162e+16    4.696e+03      5.500e+01    3.049e+06    2.124e-02      2.00m        0         
27   6.093e+01    6.685e+17    1.598e+01      5.500e+01    3.049e+06    2.124e-02      1.97m        0         
28   5.908e+01    3.852e+15    5.585e+01      6.100e+01    5.328e+06    2.107e-02      1.94m        0         
29   5.570e+01    2.601e+16    9.063e+00      6.100e+01    5.328e+06    2.107e-02      1.52m        0         
30   5.512e+01    4.903e+13    1.450e+01      6.100e+01    1.172e+07    2.122e-02      1.62m        0         
31   5.459e+01    1.145e+15    4.879e+01      5.900e+01    1.054e+07    2.127e-02      1.55m        0         
32   5.265e+01    1.118e+12    3.475e+01      4.100e+01    5.992e+04    2.149e-02      1.30m        0         
33   5.248e+01    1.229e+12    1.575e+03      4.100e+01    5.992e+04    2.149e-02      1.69m        0         
34   5.169e+01    4.182e+16    7.535e+01      6.300e+01    2.453e+06    2.144e-02      1.44m        0         
35   5.270e+01    1.711e+15    1.006e+02      6.900e+01    4.798e+07    2.113e-02      1.24m        0         
36   5.210e+01    6.199e+14    9.486e+00      6.900e+01    4.183e+07    2.103e-02      1.08m        0         
37   5.361e+01    1.751e+13    7.055e+01      1.210e+02    2.128e+13    2.038e-02      1.04m        0         
38   5.575e+01    9.049e+15    7.960e+01      1.270e+02    1.298e+14    2.043e-02      48.18s       0         
39   5.539e+01    1.011e+14    4.627e+01      1.270e+02    1.659e+14    2.042e-02      48.74s       0         
40   5.722e+01    1.975e+15    1.085e+03      1.170e+02    2.781e+13    2.049e-02      47.20s       0         
41   5.523e+01    1.139e+19    2.076e+03      4.700e+01    1.189e+05    2.065e-02      41.45s       0         
42   5.524e+01    1.197e+14    5.453e+01      8.300e+01    5.235e+09    2.036e-02      32.38s       0         
43   5.736e+01    1.369e+15    9.101e+00      4.700e+01    1.189e+05    2.065e-02      26.18s       0         
44   5.536e+01    1.806e+15    9.876e+02      4.700e+01    1.189e+05    2.065e-02      23.65s       0         
45   5.472e+01    7.398e+16    6.608e+00      5.100e+01    6.599e+05    1.963e-02      16.81s       0         
46   5.693e+01    3.228e+17    2.768e+03      5.100e+01    6.599e+05    1.963e-02      14.99s       0         
47   5.779e+01    7.631e+16    1.347e+01      5.100e+01    5.038e+05    1.925e-02      11.21s       0         
48   5.614e+01    4.381e+15    1.801e+01      5.100e+01    5.038e+05    1.925e-02      4.74s        0         
49   5.674e+01    5.725e+13    2.475e+01      5.100e+01    5.038e+05    1.925e-02      0.00s        0         
50   5.571e+01    1.715e+14    5.987e+02      5.100e+01    5.038e+05    1.925e-02      1.93m        0         
51   5.583e+01    2.457e+15    7.231e+01      5.100e+01    5.038e+05    1.925e-02      1.70m        0         
52   5.588e+01    6.870e+16    3.949e+01      5.100e+01    5.038e+05    1.925e-02      1.85m        0         
53   5.562e+01    1.799e+15    2.748e+01      5.100e+01    5.038e+05    1.925e-02      1.70m        0         
54   5.682e+01    1.198e+16    1.404e+01      5.100e+01    5.038e+05    1.925e-02      1.84m        0         
55   5.740e+01    2.482e+12    9.697e+01      8.900e+01    5.144e+09    1.908e-02      1.44m        0         
56   5.646e+01    5.045e+12    8.857e+01      5.300e+01    5.038e+05    1.919e-02      1.39m        0         
57   5.883e+01    1.483e+15    5.705e+00      7.500e+01    3.827e+08    1.915e-02      1.37m        0         
58   5.547e+01    1.995e+14    2.074e+03      7.300e+01    1.040e+09    1.881e-02      1.26m        0         
59   5.499e+01    5.745e+13    1.363e+01      6.700e+01    7.965e+07    1.876e-02      1.17m        0         
60   5.457e+01    1.104e+14    2.391e+01      6.500e+01    2.649e+08    1.870e-02      1.23m        0         
61   5.525e+01    2.989e+14    2.964e+01      9.100e+01    1.917e+09    1.879e-02      58.95s       0         
62   5.613e+01    1.271e+14    8.533e+00      5.300e+01    8.159e+05    1.891e-02      1.12m        0         
63   5.742e+01    1.503e+13    3.929e+01      5.300e+01    8.159e+05    1.891e-02      55.83s       0         
64   5.731e+01    1.854e+17    2.428e+01      5.300e+01    8.159e+05    1.891e-02      44.51s       0         
65   5.907e+01    6.539e+15    2.269e+03      5.300e+01    9.720e+05    1.879e-02      42.48s       0         
66   5.723e+01    2.018e+15    3.902e+01      5.300e+01    9.720e+05    1.879e-02      34.66s       0         
67   5.681e+01    7.274e+14    3.645e+01      5.300e+01    9.720e+05    1.879e-02      37.92s       0         
68   5.774e+01    4.691e+21    1.907e+03      5.300e+01    9.720e+05    1.879e-02      25.34s       0         
69   5.595e+01    1.549e+23    5.034e+00      5.300e+01    9.720e+05    1.879e-02      23.70s       0         
70   5.895e+01    9.401e+22    1.972e+02      5.300e+01    9.720e+05    1.879e-02      17.38s       0         
71   5.593e+01    6.735e+14    9.378e+03      5.700e+01    2.533e+06    1.869e-02      12.44s       0         
72   5.531e+01    6.886e+14    2.963e+02      5.300e+01    9.720e+05    1.879e-02      9.19s        0         
73   5.542e+01    6.228e+15    3.661e+01      5.300e+01    9.720e+05    1.879e-02      4.47s        0         
74   5.462e+01    6.142e+15    5.448e+00      5.300e+01    9.720e+05    1.879e-02      0.00s        0         
75   5.542e+01    1.196e+14    1.137e+01      5.300e+01    9.720e+05    1.879e-02      1.84m        0         
76   5.670e+01    8.842e+14    1.396e+04      5.300e+01    9.720e+05    1.879e-02      1.78m        0         
77   5.787e+01    7.892e+15    2.365e+03      5.300e+01    9.720e+05    1.879e-02      1.76m        0         
78   5.573e+01    2.342e+13    1.190e+02      5.300e+01    9.720e+05    1.879e-02      1.60m        0         
79   5.870e+01    5.862e+17    3.367e+03      5.300e+01    9.720e+05    1.879e-02      1.64m        0         
80   5.596e+01    2.158e+19    1.954e+09      5.300e+01    9.720e+05    1.879e-02      1.57m        0         
81   5.645e+01    5.705e+14    7.053e+01      5.300e+01    9.720e+05    1.879e-02      1.39m        0         
82   5.884e+01    1.035e+16    1.664e+11      5.300e+01    9.720e+05    1.879e-02      1.17m        0         
83   6.059e+01    2.493e+20    2.026e+01      5.300e+01    9.720e+05    1.879e-02      1.31m        0         
84   6.178e+01    1.657e+17    2.055e+01      5.300e+01    9.720e+05    1.879e-02      1.08m        0         
85   5.978e+01    7.638e+17    5.281e+08      7.500e+01    7.266e+06    1.837e-02      1.36m        0         
86   6.079e+01    2.840e+15    7.793e+01      8.500e+01    4.461e+09    1.811e-02      1.07m        0         
87   6.177e+01    1.486e+15    1.390e+01      8.100e+01    3.673e+09    1.687e-02      53.92s       0         
88   6.337e+01    1.330e+15    1.029e+02      8.100e+01    3.673e+09    1.687e-02      49.97s       0         
89   6.202e+01    5.404e+18    1.813e+01      8.100e+01    2.571e+09    1.680e-02      50.18s       0         
90   6.302e+01    9.619e+18    4.258e+07      8.100e+01    2.571e+09    1.680e-02      40.78s       0         
91   6.202e+01    3.451e+19    1.901e+02      8.300e+01    6.939e+09    1.683e-02      37.05s       0         
92   6.077e+01    2.159e+19    1.169e+04      7.300e+01    1.602e+08    1.698e-02      29.77s       0         
93   5.966e+01    1.130e+19    3.560e+01      1.310e+02    3.420e+14    1.696e-02      26.77s       0         
94   5.860e+01    3.836e+17    4.792e+01      1.750e+02    4.714e+19    1.694e-02      21.23s       0         
95   6.072e+01    8.146e+19    2.239e+08      7.300e+01    1.602e+08    1.698e-02      17.36s       0         
96   6.045e+01    5.997e+14    1.069e+01      7.300e+01    1.602e+08    1.698e-02      13.45s       0         
97   6.236e+01    5.012e+18    3.197e+01      7.300e+01    1.602e+08    1.698e-02      9.03s        0         
98   6.289e+01    3.650e+18    9.530e+00      7.300e+01    1.602e+08    1.698e-02      4.25s        0         
99   5.994e+01    8.570e+17    3.896e+00      1.150e+02    1.161e+13    1.671e-02      0.00s        0         
100  6.078e+01    1.066e+19    2.970e+01      6.700e+01    4.081e+07    1.722e-02      1.83m        0         
101  5.963e+01    7.763e+16    1.807e+03      1.290e+02    1.541e+13    1.720e-02      1.83m        0         
102  6.052e+01    1.866e+15    5.833e+03      8.900e+01    7.398e+09    1.656e-02      1.77m        0         
103  6.075e+01    8.753e+16    4.177e+03      8.700e+01    5.941e+09    1.670e-02      1.85m        0         
104  6.031e+01    4.526e+16    4.464e+01      9.100e+01    1.849e+10    1.678e-02      1.51m        0         
105  5.946e+01    6.950e+19    1.867e+01      9.100e+01    2.268e+10    1.673e-02      1.46m        0         
106  6.248e+01    1.296e+18    8.064e+00      1.530e+02    4.258e+16    1.667e-02      1.50m        0         
107  6.017e+01    7.708e+14    2.357e+07      9.300e+01    6.452e+10    1.675e-02      1.24m        0         
108  6.042e+01    3.083e+19    3.715e+03      5.900e+01    1.455e+07    1.657e-02      1.37m        0         
