    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.704e+01    1.395e+15    5.180e+09      2.700e+01    7.639e+03    1.017e-01      8.50s        0         
1    2.210e+01    5.809e+05    6.194e+02      1.000e+00    1.000e+00    9.770e-02      37.85s       0         
2    2.052e+01    6.072e+07    2.029e+04      1.700e+01    1.006e+03    9.273e-02      51.93s       0         
3    2.186e+01    5.329e+10    5.309e+07      3.300e+01    3.310e+04    7.876e-02      55.88s       0         
4    2.234e+01    3.480e+08    1.005e+04      2.300e+01    7.294e+03    7.488e-02      1.01m        0         
5    2.273e+01    4.365e+08    3.064e+04      2.300e+01    7.294e+03    7.488e-02      57.45s       0         
6    2.374e+01    1.142e+10    2.662e+11      2.300e+01    7.294e+03    7.488e-02      55.18s       0         
7    2.466e+01    8.842e+08    2.973e+05      1.100e+01    1.090e+02    7.507e-02      42.60s       0         
8    2.503e+01    5.210e+06    6.354e+03      2.500e+01    7.931e+03    7.169e-02      50.69s       0         
9    2.683e+01    8.127e+06    4.264e+03      3.300e+01    1.074e+05    6.105e-02      45.42s       0         
10   2.953e+01    1.157e+09    2.292e+04      3.300e+01    1.074e+05    6.105e-02      41.35s       0         
11   2.845e+01    8.386e+09    2.407e+04      2.500e+01    5.335e+03    6.083e-02      39.44s       0         
12   2.902e+01    5.027e+14    1.252e+04      4.100e+01    8.366e+05    5.988e-02      43.25s       0         
13   2.828e+01    9.858e+09    3.648e+07      3.900e+01    7.581e+05    5.715e-02      37.23s       0         
14   2.847e+01    6.091e+09    1.398e+07      1.900e+01    1.840e+02    5.093e-02      35.91s       0         
15   2.743e+01    3.373e+11    4.854e+02      1.900e+01    1.840e+02    5.093e-02      31.64s       0         
16   2.739e+01    4.781e+08    7.525e+01      4.300e+01    3.178e+06    4.747e-02      29.71s       0         
17   2.901e+01    8.799e+08    4.632e+11      2.500e+01    1.031e+03    4.175e-02      25.81s       0         
18   2.819e+01    1.640e+08    8.953e+04      2.500e+01    1.031e+03    4.175e-02      21.41s       0         
19   2.696e+01    1.053e+08    1.630e+03      2.300e+01    7.010e+02    3.080e-02      15.40s       0         
20   2.584e+01    1.311e+08    3.018e+06      3.300e+01    3.955e+04    3.010e-02      15.54s       0         
21   2.659e+01    1.000e+08    1.685e+02      3.300e+01    3.955e+04    3.010e-02      10.16s       0         
22   2.797e+01    2.437e+07    2.048e+02      2.300e+01    7.610e+02    2.697e-02      7.65s        0         
23   2.757e+01    1.800e+09    8.147e+02      2.700e+01    2.291e+03    2.398e-02      3.67s        0         
24   2.803e+01    4.293e+08    1.346e+06      2.700e+01    2.291e+03    2.398e-02      0.00s        0         
25   2.835e+01    1.785e+16    4.992e+04      3.900e+01    8.141e+03    2.144e-02      1.56m        0         
26   2.810e+01    1.285e+10    5.901e+01      2.700e+01    3.731e+03    1.947e-02      1.95m        0         
27   2.950e+01    1.905e+07    1.236e+03      2.700e+01    3.731e+03    1.947e-02      1.52m        0         
28   2.904e+01    1.596e+08    3.695e+04      2.700e+01    3.731e+03    1.947e-02      1.75m        0         
29   2.845e+01    2.569e+07    6.688e+05      2.700e+01    3.731e+03    1.947e-02      1.60m        0         
30   2.926e+01    1.246e+06    3.964e+02      2.700e+01    3.731e+03    1.947e-02      1.79m        0         
31   2.921e+01    4.784e+06    6.599e+06      2.700e+01    3.731e+03    1.947e-02      1.65m        0         
32   2.983e+01    5.178e+06    9.471e+03      2.700e+01    3.731e+03    1.947e-02      1.40m        0         
33   2.958e+01    1.848e+07    3.835e+04      3.900e+01    8.141e+03    1.913e-02      1.24m        0         
34   3.014e+01    1.562e+06    5.303e+03      3.300e+01    2.741e+03    1.847e-02      1.28m        0         
35   2.969e+01    7.072e+05    2.534e+02      3.300e+01    2.741e+03    1.847e-02      1.15m        0         
36   3.014e+01    1.002e+06    5.433e+02      3.300e+01    2.741e+03    1.847e-02      57.46s       0         
37   2.937e+01    3.481e+05    2.250e+11      3.300e+01    2.741e+03    1.847e-02      50.07s       0         
38   2.891e+01    5.385e+08    8.546e+03      2.900e+01    1.052e+03    1.765e-02      50.75s       0         
39   3.076e+01    7.608e+08    3.652e+04      2.900e+01    1.052e+03    1.765e-02      38.73s       0         
40   2.999e+01    4.564e+07    1.454e+04      2.900e+01    1.052e+03    1.765e-02      34.89s       0         
41   3.136e+01    1.117e+08    2.871e+02      2.900e+01    1.052e+03    1.765e-02      32.28s       0         
42   3.253e+01    4.449e+09    8.727e+02      2.900e+01    1.052e+03    1.765e-02      32.92s       0         
43   3.198e+01    5.398e+08    1.979e+05      2.900e+01    1.052e+03    1.765e-02      24.82s       0         
44   3.261e+01    5.789e+08    1.328e+04      2.900e+01    1.052e+03    1.765e-02      23.84s       0         
45   3.346e+01    1.604e+09    7.082e+06      2.900e+01    1.052e+03    1.765e-02      15.13s       0         
46   3.452e+01    4.358e+07    2.011e+05      2.900e+01    1.052e+03    1.765e-02      10.44s       0         
47   3.432e+01    1.680e+09    1.177e+02      2.900e+01    1.052e+03    1.765e-02      7.26s        0         
48   3.594e+01    1.472e+09    1.761e+04      2.900e+01    2.081e+03    1.565e-02      3.68s        0         
49   3.476e+01    9.115e+07    9.234e+01      2.900e+01    2.081e+03    1.565e-02      0.00s        0         
50   3.488e+01    8.522e+07    5.194e+02      2.900e+01    2.081e+03    1.565e-02      1.60m        0         
51   3.560e+01    5.804e+07    1.145e+07      2.900e+01    2.081e+03    1.565e-02      1.33m        0         
52   3.568e+01    5.927e+06    4.344e+02      2.900e+01    2.081e+03    1.565e-02      1.24m        0         
53   3.609e+01    4.312e+08    2.617e+03      2.900e+01    2.081e+03    1.565e-02      1.19m        0         
54   3.599e+01    4.768e+09    1.374e+02      2.900e+01    2.081e+03    1.565e-02      1.17m        0         
55   3.593e+01    6.001e+15    6.697e+02      2.900e+01    2.081e+03    1.565e-02      1.21m        0         
56   3.556e+01    9.511e+07    6.217e+04      2.900e+01    2.081e+03    1.565e-02      1.27m        0         
57   3.482e+01    6.613e+08    7.033e+02      2.900e+01    2.081e+03    1.565e-02      55.37s       0         
58   3.372e+01    3.628e+09    3.452e+02      2.900e+01    2.081e+03    1.565e-02      57.21s       0         
59   3.345e+01    1.547e+12    7.569e+05      2.900e+01    2.081e+03    1.565e-02      1.09m        0         
60   3.318e+01    3.173e+07    6.096e+04      2.900e+01    2.081e+03    1.565e-02      54.33s       0         
61   3.414e+01    1.028e+12    8.649e+03      2.900e+01    2.081e+03    1.565e-02      50.07s       0         
62   3.388e+01    6.166e+07    1.745e+02      2.900e+01    2.081e+03    1.565e-02      46.24s       0         
63   3.297e+01    5.226e+08    2.140e+05      4.100e+01    2.756e+05    1.518e-02      36.40s       0         
64   3.452e+01    4.201e+11    6.870e+06      4.100e+01    2.756e+05    1.518e-02      41.09s       0         
65   3.390e+01    2.919e+10    3.730e+03      4.100e+01    2.756e+05    1.518e-02      34.17s       0         
66   3.404e+01    1.345e+09    4.823e+06      2.900e+01    2.081e+03    1.565e-02      34.09s       0         
67   3.398e+01    1.922e+10    2.213e+02      4.100e+01    2.829e+05    1.560e-02      26.84s       0         
