    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.734e+01    1.803e+15    2.243e+12      1.500e+01    1.212e+03    1.667e-01      9.61s        0         
1    1.375e+01    3.504e+14    2.894e+04      1.300e+01    1.212e+03    8.946e-02      17.89s       0         
2    7.215e+00    2.368e+03    5.475e+05      1.300e+01    1.212e+03    8.946e-02      16.96s       0         
3    8.592e+00    1.122e+09    8.768e+01      1.900e+01    2.121e+03    8.200e-02      16.22s       0         
4    9.125e+00    3.455e+05    4.407e+05      1.900e+01    2.121e+03    8.200e-02      15.82s       0         
5    1.028e+01    1.040e+09    3.319e+02      1.900e+01    2.424e+03    5.621e-02      16.41s       0         
6    1.304e+01    9.724e+05    3.764e+02      1.900e+01    2.424e+03    5.621e-02      19.03s       0         
7    1.541e+01    4.600e+07    2.889e+03      2.100e+01    4.141e+03    5.132e-02      15.49s       0         
8    1.747e+01    9.956e+05    3.143e+02      2.300e+01    1.384e+04    4.872e-02      15.63s       0         
9    1.966e+01    1.022e+08    9.709e+02      2.300e+01    1.384e+04    4.872e-02      15.45s       0         
10   2.011e+01    1.017e+08    4.263e+03      2.900e+01    2.574e+05    4.784e-02      16.63s       0         
11   2.186e+01    2.455e+10    4.702e+03      2.900e+01    2.574e+05    4.784e-02      14.86s       0         
12   2.297e+01    3.694e+10    7.716e+02      2.500e+01    2.757e+04    4.314e-02      13.60s       0         
13   2.339e+01    7.544e+10    2.400e+03      2.500e+01    2.757e+04    4.314e-02      14.07s       0         
14   2.318e+01    5.072e+10    2.797e+03      2.900e+01    2.760e+05    4.314e-02      11.18s       0         
15   2.470e+01    5.126e+11    6.300e+03      2.500e+01    2.757e+04    4.314e-02      10.45s       0         
16   2.473e+01    1.050e+11    3.418e+03      2.500e+01    2.757e+04    4.314e-02      10.52s       0         
17   2.375e+01    4.687e+08    1.950e+03      2.300e+01    5.733e+03    4.034e-02      8.09s        0         
18   2.504e+01    2.642e+18    2.766e+02      2.300e+01    5.733e+03    4.034e-02      6.82s        0         
19   2.408e+01    1.134e+10    5.583e+02      2.300e+01    5.733e+03    4.034e-02      6.42s        0         
20   2.399e+01    1.380e+10    7.703e+04      2.300e+01    5.733e+03    4.034e-02      4.60s        0         
21   2.310e+01    3.023e+07    3.360e+12      2.300e+01    5.733e+03    4.034e-02      3.42s        0         
22   2.266e+01    8.362e+08    5.375e+01      2.300e+01    5.733e+03    4.034e-02      2.64s        0         
23   2.214e+01    3.739e+07    3.931e+12      2.300e+01    5.733e+03    4.034e-02      1.14s        0         
24   2.176e+01    1.241e+07    6.525e+01      2.300e+01    5.733e+03    4.034e-02      0.00s        0         
25   2.160e+01    1.788e+07    1.904e+02      2.300e+01    5.733e+03    4.034e-02      30.79s       0         
26   2.186e+01    4.281e+07    4.165e+12      2.300e+01    5.733e+03    4.034e-02      26.03s       0         
27   2.151e+01    1.399e+06    1.256e+02      2.300e+01    5.733e+03    4.034e-02      28.87s       0         
28   2.098e+01    7.272e+05    2.103e+02      2.300e+01    5.733e+03    4.034e-02      24.76s       0         
29   2.057e+01    1.785e+06    1.816e+02      2.300e+01    5.733e+03    4.034e-02      23.45s       0         
30   1.997e+01    1.514e+09    7.944e+02      2.300e+01    5.733e+03    4.034e-02      24.64s       0         
31   1.730e+01    1.846e+06    1.740e+03      2.300e+01    5.733e+03    4.034e-02      20.11s       0         
32   1.699e+01    2.960e+05    1.380e+04      1.900e+01    2.100e+02    4.032e-02      18.69s       0         
33   1.644e+01    1.891e+04    7.333e+02      1.900e+01    1.029e+03    4.034e-02      16.95s       0         
34   1.636e+01    3.322e+03    5.533e+02      1.900e+01    5.460e+02    4.034e-02      15.99s       0         
35   1.546e+01    3.283e+03    3.254e+03      1.900e+01    5.460e+02    4.034e-02      14.67s       0         
36   1.496e+01    9.643e+04    1.783e+02      1.500e+01    9.800e+01    4.034e-02      13.33s       0         
37   1.509e+01    7.414e+02    3.177e+03      1.500e+01    9.800e+01    4.034e-02      14.22s       0         
38   1.535e+01    7.302e+03    8.754e+03      1.500e+01    9.800e+01    4.034e-02      11.40s       0         
39   1.533e+01    8.407e+05    5.242e+01      1.500e+01    9.800e+01    4.034e-02      10.33s       0         
40   1.524e+01    9.002e+10    3.298e+03      1.500e+01    9.800e+01    4.034e-02      10.45s       0         
41   1.539e+01    2.878e+03    8.489e+01      1.500e+01    9.800e+01    4.034e-02      8.32s        0         
42   1.531e+01    3.482e+03    7.344e+01      1.500e+01    9.800e+01    4.034e-02      7.24s        0         
43   1.508e+01    5.105e+02    1.189e+02      1.500e+01    9.800e+01    4.034e-02      6.23s        0         
44   1.511e+01    4.822e+06    8.432e+03      1.500e+01    9.800e+01    4.034e-02      5.81s        0         
45   1.485e+01    8.086e+04    1.033e+02      1.500e+01    9.800e+01    4.034e-02      4.09s        0         
46   1.501e+01    1.231e+03    7.805e+01      1.500e+01    9.800e+01    4.034e-02      3.12s        0         
47   1.563e+01    1.535e+06    7.492e+01      1.500e+01    9.800e+01    4.034e-02      2.05s        0         
48   1.524e+01    1.248e+03    1.335e+03      1.500e+01    9.800e+01    4.034e-02      1.17s        0         
49   1.511e+01    4.716e+05    8.148e+01      1.500e+01    9.800e+01    4.034e-02      0.00s        0         
50   1.530e+01    2.378e+11    1.259e+02      1.500e+01    9.800e+01    4.034e-02      24.33s       0         
51   1.528e+01    1.043e+03    1.822e+02      1.500e+01    9.800e+01    4.034e-02      27.45s       0         
52   1.531e+01    3.499e+06    2.370e+02      1.500e+01    9.800e+01    4.034e-02      23.00s       0         
53   1.554e+01    4.433e+02    3.235e+03      1.500e+01    9.800e+01    4.034e-02      21.52s       0         
54   1.508e+01    1.734e+07    4.091e+04      1.500e+01    9.800e+01    4.034e-02      21.44s       0         
55   1.508e+01    2.050e+04    1.019e+04      1.500e+01    9.800e+01    4.034e-02      22.25s       0         
56   1.515e+01    5.729e+02    3.119e+03      1.500e+01    9.800e+01    4.034e-02      18.60s       0         
57   1.544e+01    3.045e+04    9.243e+02      1.500e+01    9.800e+01    4.034e-02      18.02s       0         
58   1.566e+01    1.412e+04    3.199e+03      1.500e+01    9.800e+01    4.034e-02      19.29s       0         
59   1.584e+01    2.545e+09    1.265e+02      1.500e+01    9.800e+01    4.034e-02      15.13s       0         
60   1.524e+01    7.987e+02    3.484e+03      1.500e+01    9.800e+01    4.034e-02      14.56s       0         
61   1.534e+01    2.239e+05    2.940e+02      1.500e+01    9.800e+01    4.034e-02      13.39s       0         
62   1.507e+01    1.137e+03    5.742e+03      1.500e+01    9.800e+01    4.034e-02      13.82s       0         
63   1.507e+01    3.658e+04    1.235e+04      3.500e+01    8.036e+03    3.992e-02      10.99s       0         
64   1.520e+01    1.622e+03    1.551e+02      3.500e+01    8.036e+03    3.992e-02      10.16s       0         
65   1.495e+01    9.956e+04    9.330e+01      3.500e+01    8.036e+03    4.021e-02      10.96s       0         
66   1.567e+01    1.409e+06    1.268e+02      1.500e+01    9.800e+01    4.034e-02      8.20s        0         
67   1.572e+01    1.626e+05    2.686e+02      1.500e+01    9.800e+01    4.034e-02      7.18s        0         
68   1.584e+01    2.021e+07    1.078e+02      5.500e+01    1.596e+05    4.021e-02      6.43s        0         
69   1.508e+01    1.854e+08    1.109e+02      1.500e+01    9.800e+01    4.034e-02      5.80s        0         
70   1.560e+01    4.235e+05    1.172e+05      1.500e+01    9.800e+01    4.034e-02      4.01s        0         
71   1.501e+01    2.056e+04    1.260e+02      1.500e+01    9.800e+01    4.034e-02      3.11s        0         
72   1.492e+01    4.935e+02    9.822e+01      1.500e+01    9.800e+01    4.034e-02      2.35s        0         
73   1.538e+01    1.558e+04    3.196e+03      1.500e+01    9.800e+01    4.034e-02      1.21s        0         
74   1.492e+01    1.953e+03    1.469e+02      1.500e+01    9.800e+01    4.034e-02      0.00s        0         
75   1.532e+01    2.918e+05    1.024e+03      1.500e+01    9.800e+01    4.034e-02      24.44s       0         
76   1.573e+01    6.218e+03    1.159e+02      1.500e+01    9.800e+01    4.034e-02      26.35s       0         
77   1.504e+01    1.998e+05    7.965e+01      1.500e+01    9.800e+01    4.034e-02      22.56s       0         
78   1.516e+01    2.842e+05    3.632e+03      1.500e+01    9.800e+01    4.034e-02      20.91s       0         
79   1.512e+01    2.482e+03    2.923e+03      1.500e+01    9.800e+01    4.034e-02      22.85s       0         
80   1.508e+01    1.330e+03    9.988e+01      1.500e+01    9.800e+01    4.034e-02      19.42s       0         
81   1.515e+01    7.662e+02    2.021e+05      1.500e+01    9.800e+01    4.034e-02      18.03s       0         
82   1.509e+01    5.978e+03    1.019e+03      1.500e+01    9.800e+01    4.034e-02      20.04s       0         
83   1.518e+01    2.490e+03    8.968e+01      1.500e+01    9.800e+01    4.034e-02      16.29s       0         
84   1.568e+01    3.250e+13    1.212e+02      1.500e+01    9.800e+01    4.034e-02      15.89s       0         
85   1.497e+01    5.224e+04    9.527e+01      1.500e+01    9.800e+01    4.034e-02      14.51s       0         
86   1.508e+01    4.557e+05    3.267e+03      1.500e+01    9.800e+01    4.034e-02      15.06s       0         
87   1.506e+01    2.262e+05    2.055e+02      1.500e+01    9.800e+01    4.034e-02      12.35s       0         
88   1.512e+01    4.383e+02    3.233e+03      1.500e+01    9.800e+01    4.034e-02      11.49s       0         
89   1.516e+01    7.682e+02    2.944e+03      1.500e+01    9.800e+01    4.034e-02      11.66s       0         
90   1.507e+01    1.691e+03    1.054e+04      1.500e+01    9.800e+01    4.034e-02      9.21s        0         
91   1.565e+01    4.802e+04    1.348e+04      1.500e+01    9.800e+01    4.034e-02      8.16s        0         
92   1.587e+01    1.445e+04    6.475e+03      1.500e+01    9.800e+01    4.034e-02      7.41s        0         
93   1.502e+01    3.559e+07    3.331e+03      1.500e+01    9.800e+01    4.034e-02      7.25s        0         
94   1.526e+01    1.926e+10    1.295e+02      1.500e+01    9.800e+01    4.034e-02      5.41s        0         
95   1.520e+01    5.149e+03    3.744e+03      1.500e+01    9.800e+01    4.034e-02      4.15s        0         
96   1.509e+01    6.483e+09    5.154e+04      1.500e+01    9.800e+01    4.034e-02      3.53s        0         
97   1.477e+01    4.488e+08    1.245e+02      1.500e+01    9.800e+01    4.034e-02      2.08s        0         
98   1.515e+01    9.910e+02    1.517e+02      1.500e+01    9.800e+01    4.034e-02      1.02s        0         
99   1.532e+01    1.529e+03    8.292e+01      1.500e+01    9.800e+01    4.034e-02      0.00s        0         
100  1.506e+01    6.595e+09    6.774e+01      1.500e+01    9.800e+01    4.034e-02      27.64s       0         
101  1.496e+01    2.188e+04    9.280e+01      1.500e+01    9.800e+01    4.034e-02      23.63s       0         
102  1.483e+01    9.550e+05    7.311e+03      1.500e+01    9.800e+01    4.034e-02      22.74s       0         
103  1.585e+01    3.006e+09    2.711e+03      1.500e+01    9.800e+01    4.034e-02      21.62s       0         
104  1.507e+01    2.406e+07    3.275e+02      1.500e+01    9.800e+01    4.034e-02      23.03s       0         
105  1.510e+01    3.913e+02    9.580e+01      1.500e+01    9.800e+01    4.034e-02      20.00s       0         
106  1.528e+01    7.815e+06    1.284e+02      1.500e+01    9.800e+01    4.034e-02      18.40s       0         
107  1.487e+01    1.392e+06    5.013e+03      1.500e+01    9.800e+01    4.034e-02      20.39s       0         
108  1.546e+01    5.499e+05    8.810e+01      1.500e+01    9.800e+01    4.034e-02      16.69s       0         
109  1.521e+01    8.253e+02    5.569e+03      1.500e+01    9.800e+01    4.034e-02      15.62s       0         
110  1.536e+01    1.465e+04    1.352e+04      1.500e+01    9.800e+01    4.034e-02      14.69s       0         
111  1.577e+01    3.124e+04    1.554e+02      1.500e+01    9.800e+01    4.034e-02      15.70s       0         
112  1.537e+01    1.105e+07    4.737e+02      1.500e+01    9.800e+01    4.034e-02      12.01s       0         
113  1.545e+01    1.489e+05    6.581e+03      1.500e+01    9.800e+01    4.034e-02      11.21s       0         
