    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.851e+01    1.100e+14    4.024e+09      1.500e+01    4.500e+01    1.173e-01      13.31s       6         
1    8.895e+00    5.710e+02    1.825e+01      1.500e+01    4.500e+01    9.264e-02      18.00s       4         
2    9.080e+00    1.040e+03    1.857e+02      1.500e+01    4.500e+01    9.264e-02      17.78s       6         
3    9.053e+00    9.615e+07    2.532e+12      1.700e+01    9.000e+01    6.594e-02      17.20s       6         
4    1.138e+01    8.542e+02    1.047e+02      2.900e+01    3.430e+02    4.601e-02      16.99s       6         
5    1.566e+01    2.944e+03    2.821e+03      3.100e+01    4.830e+02    4.334e-02      16.96s       7         
6    1.630e+01    8.546e+03    4.352e+01      3.100e+01    4.830e+02    4.334e-02      16.51s       8         
7    1.648e+01    1.343e+03    7.806e+05      3.100e+01    5.740e+02    4.161e-02      14.64s       10        
8    1.744e+01    1.345e+07    1.530e+04      2.700e+01    2.800e+02    4.068e-02      14.30s       7         
9    1.781e+01    1.583e+04    5.621e+02      2.700e+01    2.800e+02    4.068e-02      15.58s       7         
10   1.715e+01    1.423e+03    5.101e+01      2.900e+01    4.060e+02    4.047e-02      12.61s       8         
11   1.883e+01    9.719e+06    2.869e+01      2.900e+01    4.060e+02    4.047e-02      12.12s       8         
12   1.852e+01    5.224e+05    6.568e+03      2.900e+01    4.060e+02    4.047e-02      11.12s       8         
13   1.804e+01    4.303e+02    5.232e+12      2.900e+01    4.060e+02    4.047e-02      11.39s       8         
14   1.920e+01    7.122e+05    3.018e+02      2.700e+01    3.220e+02    3.842e-02      9.19s        8         
15   1.856e+01    8.707e+13    5.232e+12      2.900e+01    3.710e+02    3.729e-02      8.54s        9         
16   1.975e+01    6.093e+06    1.802e+12      2.700e+01    3.220e+02    3.663e-02      7.55s        9         
17   1.955e+01    4.879e+02    1.258e+02      2.700e+01    3.220e+02    3.663e-02      7.57s        10        
18   2.065e+01    5.900e+04    4.573e+01      2.700e+01    3.220e+02    3.663e-02      5.80s        9         
19   1.925e+01    2.006e+05    7.622e+02      2.700e+01    3.220e+02    3.663e-02      5.02s        8         
20   1.897e+01    9.344e+05    1.546e+02      2.700e+01    3.220e+02    3.663e-02      3.88s        9         
21   1.904e+01    3.982e+02    1.305e+04      2.700e+01    3.220e+02    3.663e-02      3.24s        10        
22   1.872e+01    4.923e+03    1.757e+03      2.900e+01    4.900e+02    3.386e-02      1.97s        11        
23   1.938e+01    2.568e+06    8.954e+01      2.900e+01    4.900e+02    3.386e-02      1.01s        11        
24   1.943e+01    1.576e+04    2.640e+01      2.900e+01    4.900e+02    3.386e-02      0.00s        11        
25   2.007e+01    3.769e+11    9.016e+02      2.900e+01    4.900e+02    3.386e-02      22.95s       12        
26   2.096e+01    4.558e+10    2.937e+04      2.900e+01    4.900e+02    3.386e-02      22.40s       12        
27   2.049e+01    8.680e+02    2.198e+03      2.900e+01    4.900e+02    3.386e-02      21.43s       13        
28   1.947e+01    1.870e+05    1.316e+04      2.900e+01    4.900e+02    3.386e-02      23.02s       13        
29   2.008e+01    6.791e+03    4.698e+04      2.900e+01    4.900e+02    3.386e-02      20.43s       14        
30   1.959e+01    8.625e+02    2.713e+01      2.900e+01    4.900e+02    3.386e-02      18.69s       14        
31   1.979e+01    6.784e+06    4.171e+01      2.900e+01    4.900e+02    3.386e-02      18.62s       14        
32   1.911e+01    5.523e+02    6.095e+02      2.900e+01    4.900e+02    3.386e-02      19.07s       14        
33   2.011e+01    2.372e+03    1.029e+02      2.900e+01    4.900e+02    3.386e-02      16.25s       14        
34   1.930e+01    7.280e+02    4.667e+01      2.900e+01    4.900e+02    3.386e-02      14.97s       14        
35   1.959e+01    6.732e+02    4.957e+01      2.900e+01    4.900e+02    3.386e-02      15.93s       14        
36   1.929e+01    5.544e+02    2.047e+02      2.900e+01    4.900e+02    3.386e-02      13.20s       14        
37   1.885e+01    4.398e+05    1.840e+02      2.900e+01    4.900e+02    3.386e-02      11.57s       15        
38   1.861e+01    6.299e+03    8.375e+01      2.900e+01    4.900e+02    3.386e-02      11.87s       14        
39   1.750e+01    5.827e+03    9.272e+01      2.900e+01    4.900e+02    3.386e-02      9.53s        13        
40   1.794e+01    3.269e+02    2.763e+01      2.900e+01    4.900e+02    3.386e-02      8.52s        13        
41   1.832e+01    7.393e+02    7.544e+02      2.900e+01    4.900e+02    3.386e-02      7.53s        13        
