    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.718e+01    3.227e+17    8.688e+14      1.100e+01    8.800e+01    1.682e-01      9.67s        0         
1    1.464e+01    4.476e+15    7.356e+03      9.000e+00    4.500e+01    9.585e-02      17.14s       0         
2    9.938e+00    2.159e+05    2.286e+03      9.000e+00    4.500e+01    9.585e-02      16.26s       0         
3    9.880e+00    6.313e+04    3.634e+03      9.000e+00    4.500e+01    9.585e-02      26.61s       0         
4    1.062e+01    1.492e+06    3.784e+04      9.000e+00    4.500e+01    9.585e-02      14.41s       0         
5    1.035e+01    9.471e+03    1.885e+04      1.100e+01    6.400e+01    5.490e-02      13.86s       0         
6    8.980e+00    4.029e+05    2.327e+03      1.100e+01    6.400e+01    5.490e-02      13.08s       0         
7    7.940e+00    2.896e+04    3.951e+03      1.100e+01    6.400e+01    5.490e-02      12.40s       0         
8    8.005e+00    1.114e+04    3.096e+02      1.300e+01    1.280e+02    4.719e-02      11.51s       0         
9    1.156e+01    1.096e+06    6.264e+04      1.900e+01    1.600e+03    4.674e-02      11.05s       0         
10   1.250e+01    2.816e+09    1.027e+03      1.100e+01    6.400e+01    4.618e-02      10.24s       0         
11   1.373e+01    7.094e+07    1.637e+04      1.100e+01    6.400e+01    4.618e-02      10.01s       0         
12   1.481e+01    2.866e+08    1.270e+03      1.500e+01    2.720e+02    4.204e-02      9.39s        0         
13   1.471e+01    4.469e+05    1.378e+03      1.500e+01    2.720e+02    4.204e-02      8.70s        0         
14   1.388e+01    2.643e+07    1.851e+04      1.500e+01    2.720e+02    4.204e-02      8.10s        0         
15   1.435e+01    1.154e+13    8.490e+03      2.900e+01    3.744e+04    4.184e-02      7.18s        0         
16   1.523e+01    2.066e+06    1.279e+03      1.500e+01    2.720e+02    4.065e-02      6.42s        0         
17   1.538e+01    5.307e+04    2.293e+03      1.700e+01    8.000e+02    3.979e-02      5.72s        0         
18   1.559e+01    6.058e+08    1.676e+05      1.700e+01    8.000e+02    3.979e-02      4.70s        0         
19   1.556e+01    3.209e+05    1.924e+08      1.700e+01    8.000e+02    3.978e-02      4.05s        0         
20   1.633e+01    7.653e+04    2.207e+06      1.700e+01    8.000e+02    3.978e-02      3.28s        0         
21   1.665e+01    5.209e+04    3.536e+03      1.900e+01    1.088e+03    3.887e-02      2.53s        0         
22   1.683e+01    1.916e+04    5.434e+02      1.900e+01    1.088e+03    3.766e-02      1.65s        0         
23   1.756e+01    2.493e+11    3.392e+12      1.900e+01    1.088e+03    3.766e-02      0.83s        0         
24   1.702e+01    1.523e+06    1.176e+04      1.900e+01    1.088e+03    3.766e-02      0.00s        0         
25   1.800e+01    3.470e+07    1.497e+04      1.900e+01    1.088e+03    3.766e-02      20.06s       0         
26   1.874e+01    2.317e+06    1.268e+02      1.900e+01    1.088e+03    3.766e-02      18.72s       0         
27   1.889e+01    4.410e+05    5.226e+01      1.900e+01    1.088e+03    3.766e-02      31.92s       0         
28   1.900e+01    7.606e+05    4.376e+02      1.900e+01    1.088e+03    3.766e-02      18.01s       0         
29   1.965e+01    3.045e+06    1.004e+04      1.900e+01    1.088e+03    3.766e-02      16.99s       0         
30   1.873e+01    5.797e+05    3.491e+05      1.900e+01    1.088e+03    3.766e-02      16.01s       0         
31   1.861e+01    4.740e+07    4.080e+03      1.900e+01    1.088e+03    3.766e-02      15.01s       0         
32   1.925e+01    6.984e+10    2.525e+12      1.900e+01    1.088e+03    3.766e-02      14.22s       0         
33   1.887e+01    6.270e+09    3.565e+04      1.900e+01    1.088e+03    3.766e-02      13.84s       0         
34   1.889e+01    7.926e+04    1.602e+02      2.100e+01    1.664e+03    3.744e-02      13.37s       0         
35   1.884e+01    1.018e+05    1.362e+03      2.100e+01    1.664e+03    3.744e-02      12.37s       0         
36   1.907e+01    1.579e+05    5.786e+02      2.100e+01    1.664e+03    3.744e-02      11.78s       0         
37   1.889e+01    7.330e+06    5.738e+04      2.100e+01    1.664e+03    3.744e-02      11.05s       0         
38   1.946e+01    1.079e+07    3.102e+04      2.100e+01    1.664e+03    3.744e-02      9.98s        0         
39   1.935e+01    6.075e+04    4.904e+01      2.100e+01    1.664e+03    3.744e-02      9.14s        0         
40   1.955e+01    1.035e+06    3.371e+02      2.100e+01    1.664e+03    3.744e-02      8.11s        0         
41   2.002e+01    7.031e+04    1.205e+03      2.100e+01    1.664e+03    3.744e-02      7.26s        0         
42   2.067e+01    1.140e+16    1.311e+09      2.100e+01    1.664e+03    3.744e-02      6.17s        0         
43   2.034e+01    2.266e+11    3.438e+05      2.100e+01    1.664e+03    3.744e-02      5.41s        0         
44   2.030e+01    7.555e+05    4.362e+03      2.300e+01    2.816e+03    3.736e-02      7.42s        0         
45   2.050e+01    1.030e+11    4.254e+01      2.100e+01    1.664e+03    3.744e-02      3.66s        0         
46   2.007e+01    4.058e+09    5.211e+07      2.100e+01    1.664e+03    3.737e-02      2.71s        0         
47   2.014e+01    4.716e+06    1.395e+04      2.100e+01    1.664e+03    3.737e-02      1.79s        0         
48   2.045e+01    1.530e+07    1.984e+09      2.100e+01    5.120e+02    3.634e-02      0.90s        0         
49   2.055e+01    3.910e+08    1.172e+04      2.100e+01    5.120e+02    3.634e-02      0.00s        0         
50   2.096e+01    1.293e+09    1.004e+05      2.100e+01    5.120e+02    3.634e-02      22.31s       0         
51   2.066e+01    1.136e+06    3.288e+05      2.100e+01    5.120e+02    3.634e-02      20.86s       0         
52   2.015e+01    9.134e+07    3.325e+02      2.100e+01    5.120e+02    3.634e-02      20.40s       0         
53   2.051e+01    6.283e+04    4.816e+02      2.100e+01    5.120e+02    3.525e-02      19.09s       0         
54   2.064e+01    1.725e+06    5.948e+02      2.100e+01    5.120e+02    3.525e-02      18.02s       0         
55   2.036e+01    4.468e+03    6.528e+02      2.100e+01    5.120e+02    3.525e-02      16.47s       0         
56   2.091e+01    5.192e+04    2.285e+03      2.100e+01    5.120e+02    3.524e-02      16.14s       0         
57   2.035e+01    6.809e+05    9.557e+03      3.500e+01    1.027e+04    3.263e-02      15.04s       0         
58   2.054e+01    7.187e+04    2.157e+03      2.100e+01    2.080e+02    3.163e-02      14.24s       0         
59   2.202e+01    2.667e+05    2.507e+03      2.100e+01    1.920e+02    1.810e-02      13.37s       0         
60   2.390e+01    1.156e+08    2.803e+03      2.100e+01    1.920e+02    1.810e-02      21.10s       0         
61   2.739e+01    3.219e+08    4.303e+04      2.100e+01    1.920e+02    1.810e-02      11.78s       0         
62   3.036e+01    1.289e+08    6.274e+02      2.100e+01    1.920e+02    1.810e-02      10.70s       0         
63   3.524e+01    8.744e+09    4.291e+01      2.100e+01    1.920e+02    1.797e-02      10.75s       0         
64   3.823e+01    2.535e+09    2.179e+03      2.100e+01    1.920e+02    1.797e-02      10.30s       0         
65   3.674e+01    7.014e+10    9.166e+05      2.100e+01    1.920e+02    1.797e-02      8.99s        0         
66   3.283e+01    9.158e+08    1.670e+04      3.500e+01    2.848e+03    1.688e-02      7.90s        0         
67   2.827e+01    1.249e+08    3.204e+03      4.900e+01    3.011e+04    1.669e-02      6.82s        0         
68   2.561e+01    2.395e+06    4.017e+01      3.500e+01    2.848e+03    1.688e-02      5.69s        0         
69   2.404e+01    2.772e+07    2.645e+03      3.500e+01    2.848e+03    1.688e-02      4.53s        0         
70   2.313e+01    1.053e+13    1.107e+04      3.500e+01    2.848e+03    1.688e-02      3.64s        0         
71   2.345e+01    6.267e+07    7.386e+03      3.500e+01    2.848e+03    1.688e-02      2.77s        0         
72   2.245e+01    3.914e+04    3.249e+06      3.500e+01    2.848e+03    1.688e-02      1.83s        0         
73   2.284e+01    7.340e+05    8.305e+02      3.500e+01    2.848e+03    1.688e-02      0.90s        0         
74   2.268e+01    5.732e+08    1.332e+02      3.500e+01    2.848e+03    1.688e-02      0.00s        0         
75   2.257e+01    6.126e+06    1.243e+04      3.500e+01    2.848e+03    1.688e-02      22.03s       0         
76   2.173e+01    4.568e+09    1.416e+04      3.500e+01    3.552e+03    1.771e-02      20.92s       0         
77   2.169e+01    1.776e+07    4.996e+02      2.100e+01    1.920e+02    1.786e-02      31.84s       0         
78   2.096e+01    8.128e+05    6.263e+05      2.100e+01    1.920e+02    1.786e-02      18.48s       0         
79   2.079e+01    1.544e+07    2.536e+05      2.100e+01    1.920e+02    1.786e-02      18.05s       0         
80   2.035e+01    1.727e+04    3.190e+03      2.100e+01    1.920e+02    1.786e-02      16.56s       0         
81   2.045e+01    1.210e+07    7.978e+04      2.100e+01    1.920e+02    1.786e-02      15.98s       0         
82   2.072e+01    4.708e+09    3.234e+03      2.100e+01    1.920e+02    1.786e-02      15.33s       0         
83   2.116e+01    1.009e+05    1.435e+05      2.100e+01    1.920e+02    1.786e-02      14.29s       0         
84   2.054e+01    3.094e+05    2.039e+06      2.100e+01    1.920e+02    1.786e-02      13.38s       0         
85   2.089e+01    9.697e+07    2.086e+04      2.100e+01    1.920e+02    1.786e-02      12.68s       0         
86   2.100e+01    6.257e+05    4.313e+06      2.100e+01    1.920e+02    1.786e-02      11.80s       0         
87   2.071e+01    9.235e+06    1.640e+04      2.100e+01    1.920e+02    1.786e-02      10.69s       0         
88   2.093e+01    1.648e+09    4.179e+05      2.100e+01    1.920e+02    1.786e-02      9.91s        0         
89   2.021e+01    4.967e+03    5.666e+03      2.100e+01    1.920e+02    1.786e-02      9.14s        0         
90   2.033e+01    2.495e+06    2.883e+02      2.100e+01    1.920e+02    1.786e-02      8.31s        0         
91   2.080e+01    5.992e+05    2.988e+04      2.100e+01    1.920e+02    1.786e-02      7.14s        0         
92   2.048e+01    5.573e+09    1.782e+05      2.100e+01    1.920e+02    1.786e-02      10.21s       0         
93   2.078e+01    9.283e+04    6.060e+02      2.100e+01    1.920e+02    1.786e-02      5.47s        0         
94   2.035e+01    2.864e+08    1.903e+03      2.100e+01    1.920e+02    1.786e-02      4.60s        0         
95   2.035e+01    6.173e+03    1.053e+05      2.100e+01    1.920e+02    1.786e-02      3.72s        0         
96   2.086e+01    5.009e+04    3.873e+02      2.100e+01    1.920e+02    1.685e-02      2.80s        0         
97   2.029e+01    9.642e+07    1.715e+06      2.100e+01    1.920e+02    1.685e-02      1.81s        0         
98   2.054e+01    8.311e+06    6.523e+01      2.100e+01    1.920e+02    1.685e-02      0.93s        0         
99   2.089e+01    6.532e+05    8.520e+02      2.100e+01    1.920e+02    1.685e-02      0.00s        0         
100  2.055e+01    1.603e+07    1.007e+03      2.100e+01    1.920e+02    1.685e-02      22.45s       0         
101  2.064e+01    1.393e+10    5.333e+05      2.100e+01    1.920e+02    1.685e-02      20.90s       0         
102  2.123e+01    4.554e+12    5.730e+03      2.100e+01    1.920e+02    1.685e-02      20.08s       0         
103  2.085e+01    4.753e+09    2.817e+03      2.100e+01    1.920e+02    1.685e-02      19.46s       0         
104  2.071e+01    1.826e+06    7.743e+03      2.100e+01    1.920e+02    1.685e-02      18.45s       0         
105  2.025e+01    6.381e+05    1.895e+04      2.100e+01    1.920e+02    1.685e-02      17.44s       0         
106  2.142e+01    1.143e+09    4.997e+04      2.100e+01    1.920e+02    1.685e-02      16.38s       0         
107  2.059e+01    3.297e+06    4.382e+04      2.100e+01    1.920e+02    1.685e-02      25.73s       0         
108  2.038e+01    2.342e+06    8.291e+03      2.100e+01    1.920e+02    1.685e-02      15.15s       0         
109  2.087e+01    1.737e+06    7.293e+01      2.100e+01    1.920e+02    1.685e-02      13.70s       0         
110  2.068e+01    1.759e+05    2.711e+04      2.100e+01    1.920e+02    1.685e-02      12.87s       0         
111  2.090e+01    3.111e+05    2.018e+02      2.100e+01    1.920e+02    1.679e-02      12.06s       0         
112  2.063e+01    9.148e+06    8.346e+02      2.100e+01    1.920e+02    1.679e-02      11.06s       0         
113  2.057e+01    7.326e+06    1.876e+03      2.100e+01    1.920e+02    1.679e-02      10.03s       0         
114  2.087e+01    1.663e+08    4.881e+03      2.100e+01    1.920e+02    1.679e-02      9.21s        0         
115  2.036e+01    5.074e+10    2.391e+07      2.100e+01    1.920e+02    1.679e-02      8.21s        0         
116  2.093e+01    1.317e+11    1.071e+02      2.100e+01    1.920e+02    1.679e-02      7.35s        0         
