    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.700e+01    1.208e+13    2.130e+11      9.000e+00    5.100e+01    1.754e-01      14.04s       5         
1    8.512e+00    3.647e+02    3.383e+03      7.000e+00    1.100e+01    1.754e-01      16.83s       6         
2    8.035e+00    1.356e+02    1.307e+02      1.900e+01    1.040e+02    1.240e-01      16.36s       7         
3    9.232e+00    2.506e+02    2.571e+03      7.000e+00    9.000e+00    1.240e-01      16.00s       3         
4    8.320e+00    9.313e+06    3.036e+04      7.000e+00    9.000e+00    1.240e-01      15.14s       3         
5    7.725e+00    3.602e+03    7.033e+03      1.100e+01    8.000e+00    9.550e-02      14.50s       4         
6    8.762e+00    3.444e+01    1.319e+02      1.100e+01    1.000e+01    8.508e-02      13.45s       2         
7    9.633e+00    9.146e+05    9.263e+04      7.000e+00    8.000e+00    8.495e-02      12.98s       2         
8    8.200e+00    5.664e+05    3.819e+06      7.000e+00    8.000e+00    8.495e-02      11.91s       2         
9    7.700e+00    3.255e+02    1.686e+06      7.000e+00    8.000e+00    8.495e-02      11.20s       2         
10   7.435e+00    7.863e+01    8.966e+02      7.000e+00    8.000e+00    8.495e-02      10.46s       2         
11   7.407e+00    7.557e+02    8.910e+02      7.000e+00    8.000e+00    8.495e-02      16.78s       2         
12   7.335e+00    2.590e+03    6.970e+01      7.000e+00    8.000e+00    8.495e-02      8.79s        2         
13   7.112e+00    2.164e+02    9.943e+03      7.000e+00    8.000e+00    8.495e-02      8.01s        2         
14   7.375e+00    8.227e+01    1.657e+01      7.000e+00    8.000e+00    8.495e-02      7.17s        2         
15   7.540e+00    3.369e+03    1.062e+06      7.000e+00    8.000e+00    8.495e-02      7.07s        2         
16   7.348e+00    5.368e+03    7.463e+01      7.000e+00    8.000e+00    8.495e-02      6.02s        2         
17   7.430e+00    1.232e+03    9.792e+02      7.000e+00    8.000e+00    8.495e-02      5.20s        2         
18   7.518e+00    4.817e+03    8.610e+01      7.000e+00    8.000e+00    8.495e-02      4.41s        2         
19   7.360e+00    3.247e+07    1.900e+07      7.000e+00    8.000e+00    8.495e-02      3.60s        2         
20   7.585e+00    1.121e+05    4.860e+05      7.000e+00    8.000e+00    8.495e-02      2.98s        2         
21   7.497e+00    7.910e+03    2.271e+02      7.000e+00    8.000e+00    8.495e-02      2.21s        2         
22   7.505e+00    5.275e+04    4.876e+02      7.000e+00    8.000e+00    8.495e-02      1.55s        2         
23   7.032e+00    8.736e+02    3.428e+01      7.000e+00    8.000e+00    8.495e-02      0.73s        2         
24   7.470e+00    2.967e+04    3.794e+03      7.000e+00    8.000e+00    8.495e-02      0.00s        2         
25   7.515e+00    7.172e+01    2.786e+02      7.000e+00    8.000e+00    8.495e-02      17.92s       2         
26   7.435e+00    1.556e+04    7.822e+02      7.000e+00    8.000e+00    8.495e-02      17.16s       2         
27   7.585e+00    1.010e+12    3.711e+01      7.000e+00    8.000e+00    8.495e-02      16.71s       2         
28   7.365e+00    2.904e+05    1.369e+01      7.000e+00    8.000e+00    8.495e-02      15.43s       2         
29   7.372e+00    3.960e+06    6.976e+01      7.000e+00    8.000e+00    8.495e-02      14.98s       2         
30   7.460e+00    8.780e+09    2.286e+03      7.000e+00    8.000e+00    8.495e-02      14.32s       2         
31   7.390e+00    3.735e+03    1.670e+01      7.000e+00    8.000e+00    8.495e-02      13.53s       2         
32   7.303e+00    1.021e+02    1.634e+05      7.000e+00    8.000e+00    8.495e-02      12.27s       2         
33   7.465e+00    9.435e+06    2.042e+05      7.000e+00    8.000e+00    8.495e-02      11.97s       2         
34   7.395e+00    4.274e+01    2.810e+00      9.000e+00    1.000e+01    6.080e-02      10.99s       3         
35   8.133e+00    3.328e+04    3.316e+02      9.000e+00    1.000e+01    6.043e-02      10.36s       3         
36   8.055e+00    3.280e+02    6.161e+02      9.000e+00    1.000e+01    6.043e-02      16.77s       4         
37   8.085e+00    7.115e+01    8.441e+03      9.000e+00    1.000e+01    6.043e-02      8.89s        4         
38   8.062e+00    1.192e+04    1.960e+01      9.000e+00    1.000e+01    6.043e-02      8.29s        4         
39   8.178e+00    4.112e+03    3.146e+03      9.000e+00    1.000e+01    6.043e-02      7.53s        4         
40   8.227e+00    6.578e+06    2.972e+08      9.000e+00    1.000e+01    6.043e-02      6.75s        4         
41   7.945e+00    9.118e+01    8.611e+00      9.000e+00    1.000e+01    6.043e-02      6.08s        4         
42   7.995e+00    7.540e+01    2.373e+00      9.000e+00    1.000e+01    6.043e-02      5.32s        4         
43   8.295e+00    7.352e+05    4.075e+03      9.000e+00    1.000e+01    6.043e-02      4.57s        4         
44   8.363e+00    3.805e+03    2.613e+03      9.000e+00    1.000e+01    6.043e-02      3.92s        4         
45   8.477e+00    1.099e+03    1.589e+03      9.000e+00    1.000e+01    6.043e-02      3.06s        4         
46   8.133e+00    8.888e+03    4.967e+02      9.000e+00    1.000e+01    6.043e-02      2.30s        4         
47   8.105e+00    2.236e+01    1.783e+01      9.000e+00    1.000e+01    6.043e-02      1.55s        4         
48   8.242e+00    2.647e+02    6.242e+02      9.000e+00    1.000e+01    6.043e-02      0.75s        4         
49   8.190e+00    2.534e+02    1.393e+03      9.000e+00    1.000e+01    6.043e-02      0.00s        4         
50   8.168e+00    3.301e+01    8.542e+01      9.000e+00    1.000e+01    6.043e-02      18.59s       4         
51   8.085e+00    1.709e+02    2.910e+03      9.000e+00    1.000e+01    6.043e-02      17.10s       4         
52   8.188e+00    1.712e+02    5.721e+01      1.100e+01    2.600e+01    5.813e-02      16.73s       5         
53   8.473e+00    2.321e+01    4.200e+00      1.100e+01    2.600e+01    5.813e-02      15.73s       5         
54   9.102e+00    4.617e+07    1.191e+04      1.700e+01    2.500e+01    5.374e-02      15.55s       5         
55   9.582e+00    2.498e+04    2.723e+03      2.100e+01    6.700e+01    3.859e-02      14.54s       8         
56   1.221e+01    1.293e+02    2.177e+01      2.100e+01    6.700e+01    3.859e-02      14.31s       8         
57   1.328e+01    1.062e+02    3.335e+01      1.900e+01    1.380e+02    3.745e-02      13.47s       8         
58   1.446e+01    2.567e+08    4.507e+01      2.500e+01    1.080e+02    3.302e-02      13.35s       10        
59   1.539e+01    2.908e+03    6.685e+04      3.700e+01    2.400e+02    3.017e-02      20.86s       12        
60   1.784e+01    7.672e+02    7.207e+02      2.900e+01    1.260e+02    2.990e-02      12.20s       12        
61   1.925e+01    4.597e+12    2.310e+05      2.900e+01    1.260e+02    2.990e-02      11.61s       13        
62   1.929e+01    9.549e+03    9.309e+04      2.900e+01    2.970e+02    2.894e-02      10.80s       13        
63   2.078e+01    1.206e+03    7.136e+00      3.100e+01    1.060e+02    2.511e-02      10.08s       13        
64   2.005e+01    9.704e+02    4.550e+01      3.300e+01    1.200e+02    2.283e-02      9.08s        15        
65   1.958e+01    2.828e+05    1.561e+05      3.300e+01    1.200e+02    2.283e-02      8.23s        13        
66   1.767e+01    4.938e+03    6.838e+02      3.300e+01    1.200e+02    2.283e-02      6.90s        15        
67   1.825e+01    1.605e+03    1.946e+02      3.700e+01    1.920e+02    2.096e-02      6.05s        15        
68   1.930e+01    1.029e+02    2.713e+00      4.700e+01    5.760e+02    2.033e-02      5.37s        16        
69   2.123e+01    3.822e+02    4.951e+01      6.500e+01    1.296e+03    2.005e-02      4.66s        18        
70   2.347e+01    9.005e+04    1.832e+05      2.900e+01    7.000e+01    1.857e-02      3.74s        15        
