    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.704e+01    1.395e+15    2.964e+08      2.700e+01    7.639e+03    9.993e-02      9.91s        3         
1    1.496e+01    3.483e+04    7.531e+03      9.000e+00    4.100e+01    9.094e-02      16.86s       2         
2    1.152e+01    5.590e+03    1.511e+05      1.100e+01    8.900e+01    6.348e-02      16.87s       3         
3    1.010e+01    4.721e+03    6.766e+03      9.000e+00    1.300e+01    5.707e-02      16.28s       2         
4    8.820e+00    3.288e+03    2.236e+04      9.000e+00    1.300e+01    5.707e-02      14.92s       2         
5    8.332e+00    1.094e+02    7.135e-01      9.000e+00    1.300e+01    5.703e-02      14.11s       2         
6    8.255e+00    5.794e+01    9.592e-01      9.000e+00    1.300e+01    5.703e-02      13.41s       2         
7    8.515e+00    2.970e+01    9.146e-01      9.000e+00    1.300e+01    5.703e-02      12.64s       2         
8    8.545e+00    2.180e+01    1.118e+00      9.000e+00    1.300e+01    5.703e-02      12.11s       2         
9    8.290e+00    1.812e+01    7.740e-01      9.000e+00    1.300e+01    5.703e-02      11.29s       2         
10   8.057e+00    1.533e+01    7.398e-01      9.000e+00    1.300e+01    5.703e-02      10.44s       2         
11   8.152e+00    1.517e+01    7.682e-01      9.000e+00    1.300e+01    5.703e-02      9.68s        2         
12   8.580e+00    1.692e+01    1.241e+00      9.000e+00    1.300e+01    5.703e-02      9.14s        2         
13   8.215e+00    1.579e+01    1.241e+00      9.000e+00    1.300e+01    5.703e-02      8.17s        2         
14   8.652e+00    1.703e+01    1.069e+00      9.000e+00    1.300e+01    5.703e-02      7.52s        2         
15   8.395e+00    1.607e+01    7.649e-01      9.000e+00    1.300e+01    5.703e-02      6.78s        2         
16   8.085e+00    1.533e+01    1.924e+00      9.000e+00    1.300e+01    5.703e-02      6.03s        2         
17   8.408e+00    1.645e+01    4.675e-01      9.000e+00    1.300e+01    5.703e-02      5.33s        2         
18   8.070e+00    1.519e+01    1.093e+00      9.000e+00    1.300e+01    5.703e-02      4.48s        2         
19   8.235e+00    1.526e+01    1.082e+00      9.000e+00    1.300e+01    5.703e-02      3.81s        2         
20   8.227e+00    1.568e+01    4.491e-01      9.000e+00    1.300e+01    5.703e-02      3.01s        2         
21   8.230e+00    1.502e+01    2.377e+00      9.000e+00    1.300e+01    5.703e-02      2.22s        2         
22   8.348e+00    1.619e+01    9.326e-01      9.000e+00    1.300e+01    5.703e-02      2.45s        2         
23   8.145e+00    1.548e+01    1.136e+00      9.000e+00    1.300e+01    5.703e-02      0.80s        2         
24   8.350e+00    1.621e+01    1.589e+00      9.000e+00    1.300e+01    5.703e-02      0.00s        2         
25   8.450e+00    1.617e+01    1.091e+00      9.000e+00    1.300e+01    5.703e-02      17.40s       2         
26   8.188e+00    1.535e+01    7.662e-01      9.000e+00    1.300e+01    5.703e-02      17.92s       2         
27   8.355e+00    1.635e+01    4.293e-01      9.000e+00    1.300e+01    5.703e-02      16.97s       2         
28   8.110e+00    1.524e+01    1.881e+00      9.000e+00    1.300e+01    5.703e-02      16.01s       2         
29   8.207e+00    1.621e+01    1.112e+00      9.000e+00    1.300e+01    5.703e-02      15.19s       2         
30   8.430e+00    1.716e+01    2.025e+00      9.000e+00    1.300e+01    5.703e-02      14.40s       2         
31   8.283e+00    1.591e+01    1.732e+00      9.000e+00    1.300e+01    5.703e-02      13.60s       2         
32   8.283e+00    1.531e+01    1.253e+00      9.000e+00    1.300e+01    5.703e-02      13.00s       2         
33   8.207e+00    1.558e+01    1.094e+00      9.000e+00    1.300e+01    5.703e-02      11.97s       2         
34   8.477e+00    1.704e+01    7.602e-01      9.000e+00    1.300e+01    5.703e-02      11.21s       2         
35   8.207e+00    1.601e+01    7.735e-01      9.000e+00    1.300e+01    5.703e-02      10.25s       2         
36   8.273e+00    1.560e+01    8.104e-01      9.000e+00    1.300e+01    5.703e-02      9.77s        2         
37   8.248e+00    1.568e+01    7.862e-01      9.000e+00    1.300e+01    5.703e-02      8.95s        2         
38   8.255e+00    1.594e+01    1.091e+00      9.000e+00    1.300e+01    5.703e-02      8.38s        2         
39   8.485e+00    1.664e+01    7.812e-01      9.000e+00    1.300e+01    5.703e-02      9.45s        2         
40   8.033e+00    1.473e+01    2.069e+00      9.000e+00    1.300e+01    5.703e-02      6.81s        2         
41   8.155e+00    1.549e+01    1.757e+00      9.000e+00    1.300e+01    5.703e-02      6.22s        2         
42   8.252e+00    1.576e+01    1.413e+00      9.000e+00    1.300e+01    5.703e-02      5.33s        2         
43   8.568e+00    1.750e+01    1.279e+00      9.000e+00    1.300e+01    5.703e-02      4.56s        2         
44   8.098e+00    1.524e+01    1.726e+00      9.000e+00    1.300e+01    5.703e-02      3.80s        2         
45   8.155e+00    1.514e+01    2.218e+00      9.000e+00    1.300e+01    5.703e-02      3.04s        2         
46   8.240e+00    1.537e+01    1.889e+00      9.000e+00    1.300e+01    5.703e-02      2.29s        2         
47   8.107e+00    1.599e+01    1.091e+00      9.000e+00    1.300e+01    5.703e-02      1.53s        2         
48   8.315e+00    1.627e+01    9.338e-01      9.000e+00    1.300e+01    5.703e-02      0.76s        2         
49   8.262e+00    1.577e+01    4.526e-01      9.000e+00    1.300e+01    5.703e-02      0.00s        2         
50   8.492e+00    1.658e+01    8.065e-01      9.000e+00    1.300e+01    5.703e-02      18.89s       2         
51   8.357e+00    1.649e+01    7.531e-01      9.000e+00    1.300e+01    5.703e-02      17.58s       2         
52   8.307e+00    1.601e+01    4.545e-01      9.000e+00    1.300e+01    5.703e-02      16.97s       2         
53   8.312e+00    1.555e+01    1.737e+00      9.000e+00    1.300e+01    5.703e-02      16.15s       2         
54   8.135e+00    1.540e+01    7.851e-01      9.000e+00    1.300e+01    5.703e-02      15.21s       2         
55   8.175e+00    1.514e+01    1.423e+00      9.000e+00    1.300e+01    5.703e-02      14.69s       2         
56   8.545e+00    1.737e+01    5.980e-01      9.000e+00    1.300e+01    5.703e-02      13.82s       2         
57   8.422e+00    1.625e+01    1.403e+00      9.000e+00    1.300e+01    5.703e-02      20.13s       2         
58   8.398e+00    1.643e+01    7.775e-01      9.000e+00    1.300e+01    5.703e-02      12.21s       2         
59   8.295e+00    1.557e+01    7.659e-01      9.000e+00    1.300e+01    5.703e-02      11.72s       2         
60   8.402e+00    1.628e+01    4.578e-01      9.000e+00    1.300e+01    5.703e-02      11.05s       2         
61   8.363e+00    1.555e+01    7.952e-01      9.000e+00    1.300e+01    5.703e-02      10.05s       2         
62   8.453e+00    1.649e+01    1.882e+00      9.000e+00    1.300e+01    5.703e-02      9.21s        2         
63   8.205e+00    1.595e+01    1.073e+00      9.000e+00    1.300e+01    5.703e-02      8.46s        2         
64   8.383e+00    1.664e+01    1.713e+00      9.000e+00    1.300e+01    5.703e-02      7.63s        2         
