    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.425e+01    2.283e+07    2.793e+03      2.800e+01    8.829e+01    3.977e-01      8.64s        0         
1    1.769e+01    7.158e+05    3.289e+06      2.700e+01    7.256e+01    3.482e-01      1.46m        0         
2    1.932e+01    2.708e+03    2.949e+03      2.800e+01    1.739e+02    3.147e-01      1.09m        0         
3    2.212e+01    1.924e+11    2.013e+01      5.900e+01    2.787e+06    3.069e-01      1.09m        0         
4    2.314e+01    2.164e+07    5.438e+00      5.800e+01    2.497e+06    2.566e-01      57.44s       0         
5    2.888e+01    4.857e+09    1.630e+01      2.100e+01    4.900e+01    1.775e-01      47.58s       0         
6    2.544e+01    3.978e+07    6.948e+00      2.300e+01    5.515e+01    1.060e-01      50.83s       0         
7    2.456e+01    1.952e+04    1.311e+01      2.500e+01    1.101e+02    1.024e-01      56.16s       0         
8    2.563e+01    5.346e+03    6.094e-01      2.600e+01    1.131e+02    9.324e-02      53.81s       0         
9    2.538e+01    3.098e+03    5.503e-01      2.600e+01    1.131e+02    9.324e-02      1.84m        0         
10   2.555e+01    6.431e+02    5.804e-01      2.600e+01    1.131e+02    9.324e-02      1.70m        0         
11   2.515e+01    5.713e+02    5.794e-01      2.600e+01    1.131e+02    9.324e-02      1.64m        0         
12   2.515e+01    3.590e+02    5.624e-01      2.600e+01    1.131e+02    9.324e-02      1.56m        0         
13   2.441e+01    2.963e+02    5.982e-01      2.600e+01    1.131e+02    9.324e-02      1.35m        0         
14   2.444e+01    3.428e+02    6.010e-01      2.600e+01    1.131e+02    9.324e-02      1.27m        0         
15   2.530e+01    2.893e+02    5.961e-01      2.600e+01    1.131e+02    9.324e-02      1.13m        0         
16   2.528e+01    3.723e+02    5.736e-01      2.600e+01    1.131e+02    9.324e-02      1.02m        0         
17   2.497e+01    3.554e+02    5.768e-01      2.600e+01    1.131e+02    9.324e-02      53.89s       0         
18   2.469e+01    2.777e+02    5.724e-01      2.600e+01    1.131e+02    9.324e-02      46.08s       0         
19   2.502e+01    7.115e+02    5.805e-01      2.600e+01    1.131e+02    9.324e-02      37.74s       0         
20   2.523e+01    3.167e+02    5.759e-01      2.600e+01    1.131e+02    9.324e-02      31.12s       0         
21   2.482e+01    2.604e+02    5.715e-01      2.900e+01    1.433e+02    9.132e-02      22.23s       0         
22   2.514e+01    3.090e+02    5.699e-01      2.600e+01    1.131e+02    9.324e-02      15.35s       0         
23   2.571e+01    3.490e+02    5.735e-01      2.600e+01    1.131e+02    9.324e-02      7.79s        0         
24   2.536e+01    3.550e+02    5.650e-01      2.600e+01    1.131e+02    9.324e-02      0.00s        0         
25   2.648e+01    3.963e+02    5.417e-01      2.600e+01    1.131e+02    9.324e-02      3.02m        0         
26   2.569e+01    3.225e+02    5.643e-01      2.600e+01    1.131e+02    9.324e-02      2.95m        0         
27   2.614e+01    4.802e+02    5.465e-01      2.600e+01    1.131e+02    9.324e-02      2.87m        0         
28   2.511e+01    3.185e+02    5.694e-01      3.100e+01    1.921e+02    9.254e-02      2.85m        0         
29   2.615e+01    2.703e+02    5.593e-01      2.600e+01    1.131e+02    9.324e-02      2.59m        0         
30   2.571e+01    4.376e+02    5.745e-01      2.600e+01    1.131e+02    9.324e-02      2.41m        0         
31   2.577e+01    2.773e+02    5.652e-01      2.600e+01    1.131e+02    9.324e-02      2.31m        0         
32   2.608e+01    2.529e+02    5.802e-01      2.600e+01    1.131e+02    9.324e-02      2.48m        0         
