    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.386e+01    3.135e+08    2.347e+03      2.600e+01    8.743e+02    3.999e-01      15.38s       0         
1    1.693e+01    9.904e+04    6.731e+01      2.500e+01    8.079e+02    3.527e-01      2.29m        0         
2    1.877e+01    5.965e+04    2.204e+02      3.000e+01    1.393e+03    2.879e-01      1.70m        0         
3    2.264e+01    3.540e+08    4.441e+01      3.000e+01    1.283e+03    2.334e-01      1.56m        0         
4    2.986e+01    1.335e+06    3.507e+01      2.900e+01    1.396e+03    1.991e-01      1.82m        0         
5    3.120e+01    7.390e+05    1.252e+01      4.800e+01    2.831e+05    1.725e-01      1.28m        0         
6    3.448e+01    4.045e+11    8.428e+01      4.200e+01    2.636e+04    1.250e-01      1.51m        0         
7    4.000e+01    1.222e+12    1.224e+02      4.700e+01    2.199e+05    8.329e-02      55.44s       0         
8    4.302e+01    3.195e+13    3.486e+01      6.200e+01    1.335e+08    6.688e-02      1.63m        0         
9    4.211e+01    3.555e+10    4.299e+00      6.400e+01    1.942e+10    6.695e-02      1.78m        0         
10   4.249e+01    3.348e+11    2.313e+00      6.300e+01    3.509e+08    6.532e-02      1.71m        0         
11   4.152e+01    1.379e+13    2.787e+01      6.400e+01    1.942e+10    6.695e-02      1.82m        0         
12   4.050e+01    1.024e+10    2.739e+00      6.400e+01    1.942e+10    6.695e-02      1.68m        0         
13   3.449e+01    3.900e+09    2.054e+01      4.400e+01    7.304e+04    7.297e-02      56.31s       0         
14   2.968e+01    7.731e+04    5.587e+01      4.400e+01    7.304e+04    7.297e-02      1.74m        0         
15   2.951e+01    5.238e+05    2.155e+00      4.400e+01    7.304e+04    7.297e-02      1.59m        0         
16   2.997e+01    1.003e+13    1.414e+01      3.000e+01    1.446e+03    6.471e-02      1.78m        0         
17   2.940e+01    6.822e+03    5.501e+00      3.000e+01    1.446e+03    6.471e-02      1.28m        0         
18   2.943e+01    1.069e+05    3.228e+01      2.900e+01    1.446e+03    6.193e-02      1.18m        0         
19   2.942e+01    8.925e+04    2.598e+01      2.900e+01    1.446e+03    6.193e-02      54.87s       0         
20   3.016e+01    5.765e+05    1.401e+01      2.900e+01    1.446e+03    6.193e-02      46.32s       0         
21   3.004e+01    3.822e+06    4.583e+02      2.900e+01    1.446e+03    6.193e-02      36.32s       0         
22   3.054e+01    6.449e+04    2.388e+00      3.200e+01    1.784e+03    5.982e-02      23.26s       0         
23   2.996e+01    1.307e+08    3.811e+00      3.600e+01    1.714e+03    5.756e-02      11.56s       0         
24   3.056e+01    8.087e+05    6.393e+01      4.100e+01    8.272e+06    4.398e-02      0.00s        0         
25   3.022e+01    2.164e+05    4.038e+00      4.100e+01    4.188e+06    4.686e-02      4.86m        0         
26   2.986e+01    1.236e+11    9.275e+00      4.100e+01    4.188e+06    4.686e-02      4.37m        0         
27   3.127e+01    4.157e+11    9.101e+01      3.600e+01    1.291e+04    4.511e-02      4.34m        0         
28   3.125e+01    6.365e+12    1.300e+03      3.100e+01    1.446e+03    4.384e-02      4.01m        0         
29   3.211e+01    3.867e+13    5.960e+00      3.100e+01    1.446e+03    4.384e-02      3.97m        0         
30   3.273e+01    2.796e+29    1.386e+01      5.600e+01    9.633e+13    4.329e-02      4.16m        0         
31   3.464e+01    7.093e+30    2.491e+00      3.400e+01    4.756e+03    3.831e-02      3.54m        0         
32   3.379e+01    8.152e+19    1.016e+01      3.400e+01    4.756e+03    3.831e-02      3.34m        0         
33   3.568e+01    2.900e+24    5.792e+00      3.400e+01    4.756e+03    3.831e-02      3.34m        0         
34   3.669e+01    2.320e+28    5.571e+01      3.400e+01    4.756e+03    3.831e-02      3.81m        0         
35   3.569e+01    6.178e+21    1.451e+01      3.400e+01    4.756e+03    3.831e-02      3.03m        0         
36   3.584e+01    7.011e+17    6.936e+00      3.400e+01    4.756e+03    3.831e-02      2.89m        0         
37   3.733e+01    5.608e+19    2.332e+01      5.100e+01    9.757e+07    3.588e-02      2.59m        0         
38   3.459e+01    4.095e+10    1.631e+01      5.100e+01    9.757e+07    3.588e-02      2.18m        0         
39   3.613e+01    1.001e+16    1.694e+00      5.100e+01    9.757e+07    3.588e-02      2.14m        0         
40   3.543e+01    5.743e+14    2.543e+00      1.020e+02    1.733e+15    3.490e-02      1.81m        0         
41   3.543e+01    2.149e+15    7.000e+01      3.800e+01    5.549e+05    3.896e-02      1.61m        0         
42   3.509e+01    8.253e+19    7.859e+00      3.800e+01    5.549e+05    3.896e-02      1.45m        0         
43   3.616e+01    6.868e+15    1.594e+01      3.400e+01    5.101e+03    4.096e-02      1.29m        0         
44   3.515e+01    1.334e+17    4.080e+00      3.500e+01    4.657e+03    4.178e-02      56.72s       0         
45   3.697e+01    4.586e+19    1.940e+02      3.700e+01    5.406e+04    3.774e-02      53.44s       0         
46   3.585e+01    1.278e+29    1.417e+00      3.700e+01    5.406e+04    3.774e-02      35.99s       0         
47   3.663e+01    2.004e+49    8.224e+01      3.700e+01    5.406e+04    3.774e-02      24.14s       0         
48   3.613e+01    5.639e+42    8.475e+00      4.300e+01    5.198e+04    3.738e-02      12.32s       0         
49   3.706e+01    6.327e+29    3.008e+00      4.300e+01    5.198e+04    3.738e-02      0.00s        0         
50   3.339e+01    2.461e+12    5.366e+00      3.700e+01    2.267e+05    2.981e-02      5.13m        0         
51   3.434e+01    1.214e+16    2.469e+00      3.700e+01    2.267e+05    2.981e-02      5.70m        0         
52   3.469e+01    1.119e+21    2.112e+00      3.700e+01    2.267e+05    2.981e-02      4.64m        0         
53   3.527e+01    2.239e+21    2.076e+01      3.700e+01    2.267e+05    2.981e-02      4.70m        0         
54   3.574e+01    1.441e+24    2.021e+01      3.700e+01    2.267e+05    2.981e-02      4.41m        0         
55   3.593e+01    6.399e+21    1.278e+02      3.700e+01    2.267e+05    2.981e-02      4.15m        0         
56   3.379e+01    2.174e+22    2.592e+01      3.700e+01    2.267e+05    2.981e-02      3.62m        0         
57   3.491e+01    6.999e+13    1.253e+01      3.700e+01    2.267e+05    2.981e-02      3.69m        0         
58   3.476e+01    3.572e+09    1.400e+00      3.700e+01    2.267e+05    2.887e-02      3.54m        0         
59   3.529e+01    1.795e+12    1.516e+01      3.700e+01    2.267e+05    2.887e-02      3.23m        0         
60   3.617e+01    2.981e+13    1.342e+01      3.700e+01    2.267e+05    2.887e-02      3.15m        0         
61   3.750e+01    4.759e+30    6.384e+00      3.700e+01    2.267e+05    2.887e-02      2.86m        0         
62   3.544e+01    1.032e+18    2.873e+00      3.700e+01    2.267e+05    2.887e-02      2.29m        0         
63   3.647e+01    5.966e+17    2.095e+02      3.700e+01    2.267e+05    2.887e-02      2.47m        0         
64   3.735e+01    4.491e+33    6.558e+01      3.700e+01    2.267e+05    2.887e-02      2.23m        0         
65   3.712e+01    1.093e+79    3.566e+02      3.700e+01    2.267e+05    2.887e-02      1.75m        0         
66   3.593e+01    1.511e+26    5.873e+00      3.700e+01    2.267e+05    2.887e-02      1.74m        0         
67   3.605e+01    2.960e+29    1.502e+02      3.700e+01    2.267e+05    2.887e-02      1.52m        0         
68   3.703e+01    4.277e+35    6.281e+00      3.700e+01    2.267e+05    2.887e-02      1.54m        0         
69   3.742e+01    4.225e+34    2.489e+02      3.700e+01    2.267e+05    2.887e-02      1.14m        0         
70   3.711e+01    7.141e+25    3.323e+04      3.700e+01    2.267e+05    2.887e-02      45.17s       0         
71   3.810e+01    1.393e+63    3.038e+01      3.700e+01    2.267e+05    2.887e-02      46.85s       0         
72   3.903e+01    8.944e+32    4.071e+02      4.000e+01    6.921e+04    2.817e-02      30.83s       0         
73   3.732e+01    7.851e+87    6.850e+00      3.500e+01    2.203e+04    2.935e-02      13.00s       0         
74   3.765e+01    7.639e+65    2.812e+00      3.500e+01    2.203e+04    2.935e-02      0.00s        0         
75   3.878e+01    5.847e+147   2.865e+00      3.600e+01    1.495e+04    2.881e-02      5.64m        0         
76   3.847e+01    2.044e+42    2.386e+03      3.500e+01    2.203e+04    2.935e-02      4.96m        0         
77   3.838e+01    4.831e+116   2.229e+04      3.500e+01    2.203e+04    2.935e-02      4.95m        0         
78   3.862e+01    5.893e+100   4.511e+01      3.500e+01    2.203e+04    2.935e-02      4.64m        0         
79   3.929e+01    3.306e+84    8.747e+01      3.500e+01    2.203e+04    2.935e-02      4.41m        0         
80   3.908e+01    1.601e+83    7.494e+00      3.500e+01    2.203e+04    2.935e-02      4.24m        0         
81   3.965e+01    2.099e+125   1.452e+02      3.500e+01    2.203e+04    2.935e-02      3.86m        0         
82   3.833e+01    1.522e+67    3.857e+00      3.500e+01    2.203e+04    2.935e-02      3.53m        0         
83   3.760e+01    4.738e+29    1.770e+01      3.500e+01    2.203e+04    2.935e-02      3.47m        0         
84   3.761e+01    3.144e+27    2.792e+00      3.600e+01    2.508e+04    2.934e-02      3.21m        0         
85   3.850e+01    6.119e+21    5.540e+00      3.600e+01    2.508e+04    2.934e-02      3.59m        0         
86   3.667e+01    7.976e+24    1.883e+02      4.000e+01    4.058e+05    2.934e-02      3.10m        0         
87   3.825e+01    1.801e+49    4.487e+01      3.600e+01    1.495e+04    2.881e-02      2.94m        0         
88   3.982e+01    6.186e+49    1.041e+02      3.500e+01    2.203e+04    2.935e-02      2.90m        0         
89   3.929e+01    1.813e+53    1.390e+01      3.500e+01    2.203e+04    2.935e-02      2.13m        0         
90   4.045e+01    2.600e+158   2.103e+00      3.500e+01    2.203e+04    2.935e-02      1.96m        0         
91   3.810e+01    4.086e+25    2.016e+03      3.500e+01    2.203e+04    2.935e-02      1.58m        0         
92   3.870e+01    1.023e+84    2.900e+00      3.500e+01    2.203e+04    2.935e-02      1.58m        0         
93   3.845e+01    2.950e+41    4.510e+00      3.500e+01    2.203e+04    2.935e-02      1.20m        0         
94   3.980e+01    3.226e+52    4.196e+01      3.500e+01    2.203e+04    2.935e-02      1.12m        0         
95   3.932e+01    1.626e+55    8.860e+00      3.500e+01    2.203e+04    2.935e-02      53.15s       0         
96   3.959e+01    2.975e+41    6.499e+00      3.500e+01    2.203e+04    2.935e-02      40.31s       0         
97   3.950e+01    7.608e+63    3.937e+00      3.500e+01    2.203e+04    2.935e-02      32.54s       0         
98   3.731e+01    1.125e+28    3.212e+00      3.500e+01    2.203e+04    2.935e-02      13.01s       0         
99   3.785e+01    4.062e+31    6.469e+00      3.500e+01    2.203e+04    2.935e-02      0.00s        0         
100  3.759e+01    5.614e+27    1.385e+00      3.500e+01    2.203e+04    2.935e-02      5.45m        0         
101  4.000e+01    2.138e+75    3.447e+00      3.500e+01    2.203e+04    2.935e-02      5.37m        0         
102  3.945e+01    1.114e+76    7.247e+01      3.500e+01    2.203e+04    2.935e-02      5.66m        0         
103  3.826e+01    1.983e+52    1.319e+03      3.500e+01    2.203e+04    2.935e-02      4.10m        0         
104  3.837e+01    1.759e+49    3.458e+00      3.500e+01    1.495e+04    2.828e-02      4.27m        0         
105  3.762e+01    2.985e+40    3.828e+00      3.500e+01    1.495e+04    2.828e-02      4.17m        0         
106  3.939e+01    2.192e+80    8.110e+01      3.500e+01    1.495e+04    2.828e-02      4.13m        0         
107  3.786e+01    1.301e+54    1.255e+00      3.500e+01    1.495e+04    2.828e-02      3.48m        0         
108  3.858e+01    2.164e+133   5.544e+09      3.500e+01    1.495e+04    2.828e-02      3.74m        0         
109  3.942e+01    2.247e+305   3.299e+00      3.500e+01    1.495e+04    2.828e-02      3.32m        0         
110  4.048e+01    8.840e+268   2.482e+00      3.500e+01    1.495e+04    2.828e-02      3.16m        0         
111  3.992e+01    inf          3.982e+01      3.500e+01    1.495e+04    2.828e-02      2.86m        0         
112  4.043e+01    1.463e+83    5.140e+02      3.500e+01    1.495e+04    2.828e-02      2.56m        0         
113  4.184e+01    2.006e+157   2.983e+00      3.500e+01    1.495e+04    2.828e-02      2.56m        0         
114  4.018e+01    2.674e+65    1.857e+01      3.500e+01    1.495e+04    2.828e-02      1.97m        0         
115  3.971e+01    2.873e+83    2.237e+00      3.500e+01    1.495e+04    2.828e-02      1.98m        0         
116  4.045e+01    7.922e+118   2.280e+01      3.500e+01    1.495e+04    2.828e-02      1.72m        0         
117  3.939e+01    7.441e+139   3.792e+00      3.500e+01    1.495e+04    2.828e-02      1.54m        0         
118  4.075e+01    2.588e+113   2.675e+00      3.500e+01    1.495e+04    2.828e-02      1.30m        0         
119  4.184e+01    8.025e+62    5.622e+00      3.500e+01    1.495e+04    2.828e-02      1.16m        0         
120  4.038e+01    5.690e+95    1.946e+02      3.500e+01    1.495e+04    2.828e-02      51.14s       0         
121  3.935e+01    7.992e+74    5.305e+00      3.500e+01    1.495e+04    2.828e-02      41.13s       0         
122  3.989e+01    1.895e+84    7.617e+01      3.500e+01    1.495e+04    2.828e-02      27.67s       0         
