    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.243e+01    3.353e+08    1.227e+06      5.200e+01    5.532e+03    4.078e-01      8.20s        0         
1    1.247e+01    4.348e+06    8.855e+01      7.000e+00    1.000e+01    3.890e-01      16.80s       0         
2    1.442e+01    1.542e+07    2.807e+00      3.500e+01    1.449e+03    2.951e-01      17.43s       0         
3    1.983e+01    1.116e+08    2.707e+02      3.500e+01    1.449e+03    2.951e-01      17.29s       0         
4    2.003e+01    1.543e+06    2.429e+01      3.600e+01    1.961e+03    2.446e-01      16.73s       0         
5    1.840e+01    1.429e+07    2.691e+01      3.600e+01    1.961e+03    2.446e-01      16.02s       0         
6    2.092e+01    1.631e+06    1.851e+02      5.100e+01    1.967e+03    1.786e-01      15.55s       0         
7    2.619e+01    2.585e+09    4.306e+00      5.100e+01    1.967e+03    1.786e-01      19.37s       0         
8    3.525e+01    8.037e+07    5.029e+01      5.100e+01    1.402e+03    1.746e-01      16.44s       0         
9    4.309e+01    3.183e+11    1.594e+02      5.200e+01    1.422e+03    1.335e-01      16.50s       0         
10   4.742e+01    9.199e+11    1.063e+00      9.000e+01    1.415e+10    1.271e-01      16.64s       0         
11   5.170e+01    7.599e+11    5.168e+00      5.200e+01    1.422e+03    1.335e-01      16.19s       0         
12   5.670e+01    1.898e+16    3.074e+00      6.000e+01    1.747e+03    1.188e-01      15.09s       0         
13   5.776e+01    8.889e+14    1.861e+00      5.300e+01    1.459e+03    1.175e-01      16.44s       0         
14   5.987e+01    8.631e+11    6.144e-01      5.300e+01    1.459e+03    1.175e-01      13.57s       0         
15   5.952e+01    6.555e+22    8.292e-01      5.500e+01    1.810e+03    9.922e-02      12.14s       0         
16   5.895e+01    2.765e+12    1.105e+00      7.500e+01    1.895e+08    9.880e-02      11.07s       0         
17   5.934e+01    3.222e+12    7.475e-01      6.300e+01    5.534e+05    9.397e-02      10.95s       0         
18   5.792e+01    4.839e+12    8.301e-01      5.800e+01    4.727e+03    8.933e-02      8.36s        0         
19   5.894e+01    4.984e+30    6.862e-01      7.700e+01    1.109e+07    7.265e-02      7.08s        0         
20   5.927e+01    6.046e+27    4.678e+00      7.700e+01    1.109e+07    7.265e-02      6.38s        0         
21   5.859e+01    4.424e+49    2.199e+02      7.700e+01    1.109e+07    7.265e-02      4.23s        0         
22   6.081e+01    1.166e+50    1.367e+00      7.500e+01    2.355e+07    7.825e-02      2.83s        0         
23   6.140e+01    5.177e+37    2.194e+02      1.010e+02    1.003e+22    7.638e-02      1.44s        0         
24   6.020e+01    1.505e+34    4.916e-01      6.300e+01    7.217e+08    8.104e-02      0.00s        0         
25   5.988e+01    4.148e+60    6.082e-01      6.400e+01    7.217e+08    8.051e-02      35.31s       0         
26   6.088e+01    4.148e+60    1.055e+02      7.200e+01    1.030e+15    7.052e-02      34.30s       0         
27   5.925e+01    2.009e+30    2.126e+00      7.400e+01    4.197e+15    6.920e-02      37.02s       0         
28   6.053e+01    4.769e+42    6.645e-01      5.600e+01    1.314e+03    5.275e-02      31.46s       0         
29   5.884e+01    1.904e+27    5.429e+00      5.600e+01    1.314e+03    5.275e-02      30.03s       0         
30   5.824e+01    1.585e+27    1.768e+05      5.500e+01    1.307e+03    4.902e-02      31.46s       0         
31   5.860e+01    2.952e+24    6.824e-01      5.500e+01    1.307e+03    4.902e-02      26.30s       0         
32   5.797e+01    9.390e+32    1.283e+00      5.500e+01    1.307e+03    4.902e-02      25.28s       0         
33   5.900e+01    1.790e+48    6.114e+04      5.500e+01    1.307e+03    4.902e-02      26.36s       0         
34   5.965e+01    4.061e+33    6.745e+01      5.200e+01    8.568e+02    4.369e-02      22.61s       0         
35   6.028e+01    6.452e+33    5.798e+01      6.700e+01    2.050e+08    4.212e-02      21.22s       0         
36   6.006e+01    6.798e+41    4.491e+00      7.000e+01    2.050e+08    4.008e-02      22.07s       0         
37   5.960e+01    6.708e+41    8.127e+00      8.300e+01    1.210e+10    3.479e-02      18.11s       0         
38   6.010e+01    4.791e+20    5.511e+00      8.300e+01    1.210e+10    3.235e-02      16.85s       0         
39   6.258e+01    1.294e+28    2.102e+00      5.800e+01    1.085e+05    2.725e-02      16.96s       0         
40   5.945e+01    2.607e+28    3.933e+00      5.800e+01    1.085e+05    2.725e-02      13.82s       0         
41   6.097e+01    2.607e+28    9.058e-01      5.800e+01    1.085e+05    2.725e-02      11.91s       0         
42   6.055e+01    2.315e+49    9.731e+00      5.800e+01    1.085e+05    2.725e-02      11.82s       0         
