    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.393e+01    1.571e+08    3.151e+04      3.000e+01    7.118e+01    4.234e-01      12.24s       8         
1    1.237e+01    1.320e+04    8.027e+01      3.000e+01    5.878e+01    3.557e-01      18.05s       7         
2    1.309e+01    1.138e+05    8.290e+00      3.400e+01    8.937e+01    2.969e-01      19.36s       10        
3    1.571e+01    2.188e+04    6.867e+01      3.800e+01    8.467e+01    2.179e-01      18.71s       10        
4    1.833e+01    1.110e+06    2.003e+00      3.700e+01    8.467e+01    1.186e-01      17.31s       10        
5    1.991e+01    4.779e+02    6.004e+04      3.700e+01    8.467e+01    1.186e-01      16.87s       12        
6    2.218e+01    1.787e+05    1.991e+01      3.700e+01    8.467e+01    1.186e-01      16.42s       12        
7    2.041e+01    6.824e+03    4.433e+00      3.800e+01    1.078e+02    1.023e-01      15.13s       14        
8    2.173e+01    2.132e+06    4.802e+01      4.000e+01    1.078e+02    9.840e-02      14.52s       15        
9    2.255e+01    3.273e+03    1.625e+02      4.000e+01    1.078e+02    9.840e-02      13.60s       13        
10   1.904e+01    4.188e+02    4.644e+01      4.000e+01    1.078e+02    9.840e-02      12.32s       14        
11   2.022e+01    4.356e+06    1.279e+02      4.000e+01    1.078e+02    9.840e-02      11.58s       15        
12   1.926e+01    1.254e+04    3.650e+03      4.000e+01    1.078e+02    9.840e-02      15.00s       15        
13   2.193e+01    3.304e+03    3.506e+00      4.000e+01    1.078e+02    9.840e-02      9.84s        15        
14   2.001e+01    2.329e+04    1.864e+02      4.000e+01    1.078e+02    9.840e-02      8.90s        17        
15   2.040e+01    2.576e+03    1.064e+02      4.000e+01    1.078e+02    9.840e-02      8.04s        18        
16   2.035e+01    3.472e+03    1.574e+02      4.000e+01    1.078e+02    9.840e-02      7.22s        16        
17   1.997e+01    3.207e+05    2.293e+00      4.000e+01    1.078e+02    9.840e-02      6.20s        18        
18   1.982e+01    1.938e+04    1.031e+01      4.000e+01    1.078e+02    9.840e-02      5.34s        18        
19   2.062e+01    3.651e+11    1.720e+02      4.000e+01    1.078e+02    9.840e-02      4.47s        17        
20   2.022e+01    2.148e+05    7.329e+01      4.000e+01    1.078e+02    9.840e-02      3.56s        17        
21   2.046e+01    9.039e+03    1.516e+02      4.000e+01    1.078e+02    9.840e-02      2.70s        18        
22   2.079e+01    2.482e+07    9.498e+00      4.000e+01    1.078e+02    9.473e-02      1.82s        18        
23   1.837e+01    8.323e+08    1.933e+05      3.100e+01    2.187e+02    9.144e-02      0.88s        18        
24   1.885e+01    1.024e+04    1.222e+01      3.100e+01    2.187e+02    9.144e-02      0.00s        20        
25   2.046e+01    6.299e+06    1.445e+01      3.100e+01    2.187e+02    9.144e-02      22.02s       21        
26   2.016e+01    3.187e+05    4.726e+00      3.000e+01    2.125e+02    6.946e-02      20.70s       20        
27   1.976e+01    5.047e+05    1.810e+02      3.000e+01    2.125e+02    6.946e-02      19.94s       18        
28   1.800e+01    1.580e+05    1.193e+01      3.000e+01    2.125e+02    6.946e-02      18.66s       20        
29   1.807e+01    4.084e+08    5.573e+07      3.000e+01    2.125e+02    6.946e-02      17.81s       21        
30   1.828e+01    9.949e+03    1.099e+02      3.000e+01    2.125e+02    6.946e-02      16.44s       22        
31   1.884e+01    2.336e+04    2.155e+00      3.000e+01    2.125e+02    6.946e-02      16.01s       21        
32   1.808e+01    1.487e+07    5.029e+00      3.000e+01    2.125e+02    6.946e-02      15.10s       20        
33   1.826e+01    2.688e+03    1.550e+03      3.000e+01    2.125e+02    6.946e-02      14.06s       21        
34   1.773e+01    3.724e+03    6.979e+00      3.000e+01    2.125e+02    6.946e-02      13.21s       22        
35   1.848e+01    1.635e+04    1.518e+02      2.900e+01    1.956e+02    6.821e-02      12.35s       22        
36   1.776e+01    1.820e+05    2.224e+01      2.900e+01    1.956e+02    6.821e-02      15.64s       22        
37   1.785e+01    1.611e+03    1.709e+00      2.900e+01    1.956e+02    6.821e-02      10.52s       22        
38   1.857e+01    1.839e+09    4.787e+00      2.900e+01    1.956e+02    6.821e-02      9.72s        22        
39   1.835e+01    2.604e+07    6.591e+00      2.900e+01    1.956e+02    6.821e-02      8.91s        22        
40   1.810e+01    2.694e+03    9.131e+00      2.900e+01    1.956e+02    6.821e-02      7.97s        22        
41   1.806e+01    9.021e+04    9.542e+01      2.900e+01    1.956e+02    6.821e-02      7.14s        22        
42   1.851e+01    2.336e+05    1.797e+02      2.900e+01    1.956e+02    6.821e-02      6.33s        22        
43   1.810e+01    2.671e+04    2.311e+00      2.900e+01    1.956e+02    6.821e-02      5.32s        23        
44   1.869e+01    1.136e+03    6.257e+00      2.900e+01    1.956e+02    6.821e-02      4.48s        23        
45   1.885e+01    1.747e+07    2.854e+00      2.900e+01    1.956e+02    6.821e-02      3.69s        21        
46   1.808e+01    3.009e+05    3.190e+00      2.900e+01    1.956e+02    6.821e-02      2.69s        22        
47   1.827e+01    4.056e+05    1.310e+02      2.900e+01    1.956e+02    6.821e-02      2.43s        22        
48   1.881e+01    2.645e+06    7.319e+01      2.900e+01    1.956e+02    6.821e-02      0.92s        25        
