    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.403e+01    4.302e+07    6.066e+05      8.000e+00    8.611e+00    4.787e-01      8.79s        2         
1    7.910e+00    4.161e+03    4.174e+00      6.000e+00    1.351e+01    4.111e-01      15.51s       1         
2    6.954e+00    1.896e+04    1.070e+00      9.000e+00    7.634e+01    3.923e-01      15.84s       4         
3    7.491e+00    9.616e+01    1.015e+00      1.200e+01    1.105e+02    3.472e-01      17.43s       4         
4    8.590e+00    2.446e+02    8.983e-01      1.700e+01    1.176e+03    3.418e-01      14.68s       4         
5    1.119e+01    2.419e+03    8.620e-01      1.700e+01    1.797e+03    3.326e-01      14.20s       4         
6    1.119e+01    6.421e+07    1.230e+00      2.100e+01    5.502e+03    3.292e-01      13.33s       6         
7    1.246e+01    8.773e+05    1.140e+00      2.200e+01    9.569e+03    2.995e-01      12.99s       6         
8    1.448e+01    9.024e+09    6.379e-01      1.600e+01    1.007e+03    2.703e-01      13.69s       4         
9    1.147e+01    4.782e+11    1.065e+00      2.700e+01    1.245e+05    2.346e-01      11.46s       7         
10   1.501e+01    2.620e+06    9.546e-01      2.400e+01    6.084e+04    1.977e-01      10.90s       9         
11   1.510e+01    1.585e+07    6.884e-01      2.600e+01    2.603e+05    1.894e-01      10.22s       12        
12   1.646e+01    4.909e+08    4.192e+00      2.800e+01    4.548e+04    1.674e-01      11.03s       12        
13   1.769e+01    4.528e+07    8.825e-01      2.800e+01    4.548e+04    1.674e-01      9.09s        12        
14   1.729e+01    5.404e+07    1.375e+00      2.800e+01    4.548e+04    1.674e-01      7.99s        13        
15   1.722e+01    6.722e+10    8.571e-01      2.800e+01    4.548e+04    1.674e-01      7.25s        13        
16   1.782e+01    3.728e+08    8.763e-01      2.800e+01    4.548e+04    1.674e-01      6.38s        13        
17   1.767e+01    1.436e+11    1.088e+00      2.800e+01    4.548e+04    1.674e-01      6.39s        13        
18   1.744e+01    1.780e+09    7.468e-01      2.800e+01    4.548e+04    1.674e-01      4.89s        13        
19   1.750e+01    6.626e+07    1.761e+00      2.800e+01    4.548e+04    1.674e-01      4.16s        13        
20   1.720e+01    2.051e+11    5.863e+00      2.800e+01    4.548e+04    1.674e-01      3.37s        13        
21   1.744e+01    2.280e+07    3.352e+01      2.800e+01    4.548e+04    1.674e-01      2.83s        13        
22   1.753e+01    1.919e+08    8.155e-01      2.800e+01    4.553e+04    1.674e-01      1.69s        13        
23   1.716e+01    1.047e+08    7.791e-01      2.800e+01    4.553e+04    1.674e-01      0.85s        13        
24   1.745e+01    7.635e+07    1.544e+00      2.800e+01    4.553e+04    1.674e-01      0.00s        13        
25   1.775e+01    1.603e+08    4.277e+00      2.800e+01    4.553e+04    1.674e-01      22.53s       13        
26   1.751e+01    1.503e+08    2.975e+00      2.800e+01    4.553e+04    1.674e-01      19.47s       13        
27   1.828e+01    8.823e+09    1.006e+00      2.800e+01    4.553e+04    1.674e-01      18.64s       13        
28   1.811e+01    6.409e+08    4.342e+02      2.800e+01    4.553e+04    1.674e-01      17.50s       13        
29   1.768e+01    4.504e+08    7.893e-01      2.800e+01    4.553e+04    1.674e-01      18.63s       13        
30   1.774e+01    1.534e+09    1.753e+02      2.800e+01    4.553e+04    1.674e-01      16.17s       13        
31   1.773e+01    3.933e+08    6.428e+01      2.800e+01    4.553e+04    1.674e-01      15.24s       13        
32   1.742e+01    1.730e+07    8.470e-01      2.800e+01    4.553e+04    1.674e-01      14.04s       13        
33   1.730e+01    2.077e+09    9.364e+01      2.800e+01    4.553e+04    1.674e-01      14.58s       14        
34   1.797e+01    1.315e+09    4.015e+00      2.800e+01    4.553e+04    1.674e-01      12.74s       14        
35   1.806e+01    4.064e+08    7.653e-01      2.800e+01    4.553e+04    1.674e-01      12.00s       14        
36   1.723e+01    7.089e+08    2.649e+00      2.800e+01    4.553e+04    1.674e-01      11.00s       14        
37   1.757e+01    3.653e+08    8.819e-01      2.800e+01    4.553e+04    1.674e-01      11.16s       13        
38   1.764e+01    1.496e+11    3.912e+02      2.800e+01    4.553e+04    1.674e-01      9.37s        13        
39   1.728e+01    6.407e+08    8.621e-01      2.800e+01    4.553e+04    1.674e-01      8.56s        14        
40   1.736e+01    1.478e+08    8.298e-01      2.800e+01    4.553e+04    1.674e-01      8.03s        14        
41   1.753e+01    1.597e+07    1.112e+00      2.800e+01    4.553e+04    1.674e-01      6.49s        14        
42   1.830e+01    2.779e+09    1.284e+00      2.800e+01    4.553e+04    1.674e-01      5.74s        14        
43   1.744e+01    3.145e+09    9.312e-01      2.800e+01    4.553e+04    1.674e-01      4.91s        14        
44   1.779e+01    3.422e+08    1.904e+00      2.800e+01    4.553e+04    1.674e-01      4.71s        11        
45   1.674e+01    3.613e+08    1.329e+00      2.800e+01    4.553e+04    1.674e-01      3.39s        11        
46   1.706e+01    1.180e+08    8.709e-01      2.800e+01    4.553e+04    1.674e-01      2.50s        11        
47   1.715e+01    8.236e+08    8.933e-01      2.800e+01    4.553e+04    1.674e-01      1.68s        11        
48   1.718e+01    2.810e+07    6.574e-01      2.800e+01    4.553e+04    1.674e-01      0.95s        11        
49   1.688e+01    6.713e+07    1.154e+00      2.800e+01    4.553e+04    1.674e-01      0.00s        11        
50   1.718e+01    3.943e+08    7.066e-01      2.800e+01    4.553e+04    1.674e-01      20.16s       11        
51   1.655e+01    1.890e+10    1.245e+05      2.800e+01    4.553e+04    1.674e-01      19.28s       11        
52   1.736e+01    1.004e+08    7.378e-01      2.800e+01    4.553e+04    1.674e-01      19.05s       11        
53   1.713e+01    5.838e+08    2.992e+00      2.800e+01    4.553e+04    1.674e-01      20.26s       11        
54   1.738e+01    5.741e+07    4.727e+00      2.800e+01    4.553e+04    1.674e-01      16.85s       11        
55   1.726e+01    3.246e+08    1.828e+00      2.800e+01    4.553e+04    1.674e-01      15.84s       11        
56   1.706e+01    1.165e+08    1.852e+00      2.800e+01    4.553e+04    1.674e-01      15.06s       11        
57   1.696e+01    7.378e+09    6.847e-01      2.800e+01    4.553e+04    1.674e-01      16.22s       11        
58   1.772e+01    7.931e+13    1.648e+00      2.800e+01    4.553e+04    1.674e-01      13.57s       11        
59   1.752e+01    3.353e+09    7.540e-01      2.800e+01    4.553e+04    1.674e-01      12.80s       11        
60   1.804e+01    1.173e+08    7.304e-01      2.800e+01    4.553e+04    1.674e-01      12.07s       12        
61   1.734e+01    1.332e+09    7.251e-01      2.800e+01    4.553e+04    1.674e-01      11.94s       12        
62   1.653e+01    6.318e+06    6.753e-01      2.800e+01    4.553e+04    1.674e-01      10.11s       11        
63   1.773e+01    3.679e+07    8.673e-01      2.800e+01    4.553e+04    1.674e-01      9.03s        11        
64   1.767e+01    8.399e+07    1.241e+01      2.800e+01    4.553e+04    1.674e-01      8.23s        11        
65   1.766e+01    7.843e+07    7.554e-01      2.800e+01    4.553e+04    1.674e-01      8.43s        11        
66   1.797e+01    2.124e+07    9.185e-01      2.800e+01    4.553e+04    1.674e-01      6.72s        11        
67   1.764e+01    4.326e+07    3.653e+00      2.800e+01    4.553e+04    1.674e-01      5.89s        11        
68   1.843e+01    3.059e+07    7.235e-01      2.800e+01    4.553e+04    1.674e-01      4.93s        11        
69   1.768e+01    1.471e+08    1.178e+00      2.800e+01    4.553e+04    1.674e-01      4.70s        11        
70   1.705e+01    2.196e+08    9.617e+01      2.800e+01    4.553e+04    1.674e-01      3.34s        11        
71   1.816e+01    3.370e+10    7.429e-01      2.800e+01    4.553e+04    1.674e-01      2.53s        11        
72   1.823e+01    9.056e+07    1.157e+01      2.800e+01    4.553e+04    1.674e-01      1.65s        10        
73   1.660e+01    9.550e+06    7.074e-01      2.800e+01    4.553e+04    1.674e-01      0.93s        9         
74   1.600e+01    5.038e+05    8.943e-01      2.800e+01    4.553e+04    1.674e-01      0.00s        8         
75   1.457e+01    2.054e+07    1.281e+00      2.800e+01    4.553e+04    1.674e-01      19.75s       8         
76   1.496e+01    5.299e+07    7.293e-01      2.800e+01    4.553e+04    1.674e-01      18.91s       8         
77   1.465e+01    2.646e+05    2.574e+00      2.800e+01    4.553e+04    1.674e-01      20.13s       9         
78   1.407e+01    9.665e+07    7.610e-01      2.800e+01    4.553e+04    1.674e-01      17.37s       8         
79   1.428e+01    1.256e+07    2.410e+00      2.800e+01    4.553e+04    1.674e-01      15.70s       9         
80   1.443e+01    1.272e+07    8.993e-01      1.500e+01    1.360e+02    1.138e-01      15.05s       6         
81   1.144e+01    3.324e+04    7.071e-01      1.500e+01    1.360e+02    1.138e-01      16.03s       6         
82   1.152e+01    1.046e+03    1.106e+00      1.500e+01    1.360e+02    1.138e-01      12.88s       6         
83   1.164e+01    4.667e+02    9.905e-01      1.500e+01    1.360e+02    1.138e-01      12.15s       6         
84   1.220e+01    1.412e+03    6.871e-01      1.500e+01    1.360e+02    1.138e-01      12.05s       6         
85   1.216e+01    3.707e+03    3.963e+00      1.500e+01    1.360e+02    1.138e-01      11.10s       6         
86   1.207e+01    1.301e+03    1.103e+00      1.500e+01    1.360e+02    1.138e-01      11.49s       6         
87   1.250e+01    6.128e+05    4.870e+00      1.500e+01    1.360e+02    1.138e-01      9.40s        6         
88   1.205e+01    2.075e+03    5.362e+00      1.500e+01    1.360e+02    1.138e-01      8.82s        6         
89   1.192e+01    2.605e+06    8.760e-01      1.500e+01    1.360e+02    1.138e-01      7.70s        6         
90   1.210e+01    3.748e+03    1.429e+00      1.500e+01    1.360e+02    1.138e-01      8.05s        6         
91   1.174e+01    6.236e+02    8.409e-01      1.500e+01    1.360e+02    1.138e-01      6.33s        6         
92   1.210e+01    8.305e+02    7.869e-01      1.500e+01    1.360e+02    1.138e-01      5.46s        6         
93   1.245e+01    1.149e+03    8.234e-01      1.500e+01    1.360e+02    1.138e-01      4.71s        6         
94   1.197e+01    6.241e+02    7.163e-01      1.500e+01    1.360e+02    1.138e-01      4.54s        6         
95   1.196e+01    2.277e+03    3.385e+00      1.500e+01    1.360e+02    1.138e-01      3.29s        6         
96   1.189e+01    4.928e+02    7.333e-01      1.500e+01    1.360e+02    1.138e-01      2.35s        6         
97   1.179e+01    4.333e+02    9.194e-01      1.500e+01    1.360e+02    1.138e-01      1.56s        6         
98   1.206e+01    9.378e+02    9.552e-01      1.500e+01    1.360e+02    1.138e-01      0.90s        6         
99   1.186e+01    3.706e+03    6.966e-01      1.500e+01    1.360e+02    1.138e-01      0.00s        6         
100  1.196e+01    8.062e+02    5.765e+01      1.500e+01    1.360e+02    1.138e-01      18.79s       6         
101  1.171e+01    6.499e+02    2.003e+02      1.500e+01    1.360e+02    1.138e-01      17.67s       6         
102  1.136e+01    1.351e+03    1.025e+00      1.500e+01    1.360e+02    1.138e-01      18.98s       6         
103  1.183e+01    2.673e+03    2.308e+00      1.500e+01    1.360e+02    1.138e-01      16.07s       6         
104  1.185e+01    6.358e+02    6.562e-01      1.500e+01    1.360e+02    1.138e-01      15.77s       6         
105  1.162e+01    1.169e+03    1.067e+00      1.500e+01    1.360e+02    1.138e-01      14.83s       6         
106  1.182e+01    5.493e+02    9.701e-01      1.500e+01    1.360e+02    1.138e-01      14.17s       6         
107  1.156e+01    7.883e+02    7.606e-01      1.500e+01    1.360e+02    1.138e-01      15.05s       6         
108  1.130e+01    3.414e+02    6.852e-01      1.500e+01    1.360e+02    1.138e-01      12.50s       6         
109  1.201e+01    7.741e+02    1.264e+00      1.500e+01    1.360e+02    1.138e-01      12.06s       6         
110  1.205e+01    8.942e+02    7.833e-01      1.500e+01    1.360e+02    1.138e-01      10.87s       6         
111  1.173e+01    2.163e+03    6.609e-01      1.500e+01    1.360e+02    1.138e-01      11.23s       6         
112  1.223e+01    2.199e+03    9.686e-01      1.500e+01    1.360e+02    1.138e-01      9.16s        6         
113  1.159e+01    1.022e+03    6.476e-01      1.500e+01    1.360e+02    1.138e-01      8.41s        6         
114  1.161e+01    7.852e+02    6.233e+01      1.500e+01    1.360e+02    1.138e-01      7.88s        6         
115  1.188e+01    1.070e+09    7.179e-01      1.500e+01    1.360e+02    1.138e-01      7.91s        6         
116  1.190e+01    7.005e+02    9.881e-01      1.500e+01    1.360e+02    1.110e-01      6.46s        6         
117  1.188e+01    9.538e+02    7.352e-01      1.500e+01    1.360e+02    1.110e-01      5.59s        6         
118  1.194e+01    1.405e+03    7.481e-01      1.500e+01    1.360e+02    1.110e-01      4.73s        6         
119  1.167e+01    5.221e+03    8.098e+02      1.500e+01    1.360e+02    1.110e-01      4.53s        6         
120  1.160e+01    1.780e+04    1.354e+00      1.500e+01    1.360e+02    1.110e-01      3.15s        6         
121  1.151e+01    1.025e+03    7.719e-01      1.500e+01    1.360e+02    1.110e-01      2.34s        6         
122  1.189e+01    7.773e+02    9.736e-01      1.500e+01    1.360e+02    1.110e-01      1.55s        6         
123  1.151e+01    2.977e+02    7.646e-01      1.500e+01    1.360e+02    1.110e-01      0.78s        6         
124  1.162e+01    2.069e+03    1.907e+00      1.500e+01    1.360e+02    1.110e-01      0.00s        6         
125  1.206e+01    4.416e+02    1.912e+00      1.500e+01    1.360e+02    1.110e-01      18.72s       6         
126  1.190e+01    5.001e+02    1.121e+00      1.500e+01    1.360e+02    1.110e-01      17.87s       6         
127  1.214e+01    2.062e+06    9.368e-01      1.500e+01    1.360e+02    1.110e-01      17.13s       6         
128  1.192e+01    1.382e+03    8.430e-01      1.500e+01    1.360e+02    1.110e-01      19.21s       6         
129  1.178e+01    8.571e+03    9.300e-01      1.300e+01    6.702e+01    8.337e-02      15.74s       5         
130  1.091e+01    2.894e+02    2.341e+00      1.300e+01    6.702e+01    8.337e-02      14.78s       5         
131  1.094e+01    3.014e+05    7.448e-01      1.300e+01    6.702e+01    8.337e-02      13.65s       5         
132  1.069e+01    2.388e+02    9.545e-01      1.300e+01    6.702e+01    8.337e-02      15.02s       5         
133  1.031e+01    2.257e+02    1.093e+00      1.300e+01    6.702e+01    8.337e-02      12.75s       5         
134  1.067e+01    3.421e+02    3.496e+00      1.300e+01    6.702e+01    8.337e-02      11.97s       5         
135  1.074e+01    3.623e+03    7.988e-01      1.300e+01    6.702e+01    8.337e-02      10.82s       5         
136  1.105e+01    3.130e+02    9.765e-01      1.300e+01    6.702e+01    8.337e-02      9.98s        5         
137  1.059e+01    2.716e+02    7.597e-01      1.300e+01    6.702e+01    8.337e-02      9.40s        5         
138  1.076e+01    3.817e+02    6.809e-01      1.300e+01    6.702e+01    8.337e-02      8.22s        5         
139  1.075e+01    2.364e+02    8.592e-01      1.300e+01    6.702e+01    8.337e-02      7.73s        5         
140  1.038e+01    1.187e+03    9.841e-01      1.300e+01    6.702e+01    8.337e-02      6.73s        5         
141  1.039e+01    1.799e+04    7.546e-01      1.300e+01    6.702e+01    8.337e-02      6.90s        5         
142  1.042e+01    2.388e+06    8.644e-01      1.300e+01    6.702e+01    8.337e-02      5.31s        5         
143  1.051e+01    2.286e+02    1.004e+00      1.300e+01    6.702e+01    8.337e-02      4.61s        5         
144  1.089e+01    2.151e+02    6.429e+00      1.300e+01    6.702e+01    8.337e-02      3.82s        5         
145  1.098e+01    6.296e+02    3.690e+01      1.300e+01    6.702e+01    8.337e-02      3.47s        5         
146  1.118e+01    2.660e+02    7.742e-01      1.300e+01    6.702e+01    8.337e-02      2.36s        5         
147  1.099e+01    6.201e+03    4.997e+00      1.300e+01    6.702e+01    8.337e-02      1.54s        5         
148  1.059e+01    7.387e+02    8.264e-01      1.300e+01    6.702e+01    8.337e-02      0.77s        5         
