    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.838e+01    8.597e+15    7.974e+09      5.000e+00    1.000e+01    9.730e-02      9.65s        0         
1    1.295e+01    3.482e+12    3.161e+03      3.000e+00    4.000e+00    9.703e-02      16.75s       0         
2    6.423e+00    9.955e+02    7.677e+02      3.000e+00    4.000e+00    9.703e-02      16.02s       0         
3    5.912e+00    4.507e+04    1.497e+02      3.000e+00    4.000e+00    9.703e-02      15.45s       0         
4    2.743e+00    7.998e+06    8.622e+01      3.000e+00    4.000e+00    9.703e-02      15.38s       0         
5    1.958e+00    3.047e+03    8.635e+02      3.000e+00    4.000e+00    9.703e-02      12.85s       0         
6    1.980e+00    8.130e+09    3.614e+00      1.000e+00    1.000e+00    9.941e-02      12.09s       0         
7    1.545e+00    2.470e+02    1.873e+03      1.000e+00    1.000e+00    9.941e-02      11.98s       0         
8    1.683e+00    1.079e+03    9.494e+00      1.000e+00    1.000e+00    9.941e-02      10.69s       0         
9    1.695e+00    2.689e+06    1.460e+05      1.000e+00    1.000e+00    9.941e-02      12.30s       0         
10   1.645e+00    8.260e+02    2.752e+04      1.000e+00    1.000e+00    9.941e-02      9.17s        0         
11   1.910e+00    6.918e+04    3.854e+04      1.000e+00    1.000e+00    9.941e-02      8.71s        0         
12   1.695e+00    5.835e+02    1.216e+01      1.000e+00    1.000e+00    9.941e-02      7.94s        0         
13   1.615e+00    1.159e+03    5.439e+03      3.000e+00    4.000e+00    9.711e-02      7.21s        0         
14   1.407e+00    6.566e+00    1.106e+02      1.000e+00    1.000e+00    9.941e-02      6.71s        0         
15   1.647e+00    2.085e+02    1.215e+02      1.000e+00    1.000e+00    9.941e-02      6.00s        0         
16   1.730e+00    2.299e+02    5.780e+04      1.000e+00    1.000e+00    9.941e-02      5.48s        0         
17   1.590e+00    2.722e+03    6.458e+00      1.000e+00    1.000e+00    9.941e-02      5.83s        0         
18   1.575e+00    7.204e+00    4.927e+03      1.000e+00    1.000e+00    9.941e-02      3.99s        0         
19   1.440e+00    1.754e+01    2.953e+02      1.000e+00    1.000e+00    9.941e-02      3.28s        0         
20   1.345e+00    1.063e+02    8.683e+03      1.000e+00    1.000e+00    9.941e-02      2.58s        0         
21   1.673e+00    2.081e+02    6.157e+01      1.000e+00    1.000e+00    9.941e-02      2.03s        0         
22   1.460e+00    5.656e+02    2.319e+02      3.000e+00    4.000e+00    9.772e-02      1.31s        0         
23   1.420e+00    1.820e+01    1.798e+00      1.000e+00    1.000e+00    9.941e-02      0.65s        0         
24   1.465e+00    3.186e+04    1.022e+02      1.000e+00    1.000e+00    9.941e-02      0.00s        0         
25   1.815e+00    2.435e+03    2.874e+02      1.000e+00    1.000e+00    9.941e-02      16.35s       0         
26   1.492e+00    2.048e+02    1.213e+04      1.000e+00    1.000e+00    9.941e-02      18.52s       0         
27   1.700e+00    1.366e+08    1.816e+01      1.000e+00    1.000e+00    9.941e-02      15.13s       0         
28   1.525e+00    4.394e+01    4.660e+01      1.000e+00    1.000e+00    9.941e-02      13.70s       0         
29   1.637e+00    1.453e+02    2.804e+04      1.000e+00    1.000e+00    9.941e-02      13.35s       0         
30   1.545e+00    8.693e+00    1.639e+08      1.000e+00    1.000e+00    9.941e-02      12.64s       0         
31   1.647e+00    1.139e+02    5.595e+08      1.000e+00    1.000e+00    9.941e-02      11.99s       0         
32   1.403e+00    1.387e+01    4.972e+01      1.000e+00    1.000e+00    9.941e-02      11.31s       0         
33   1.552e+00    2.690e+02    9.537e+00      1.000e+00    1.000e+00    9.941e-02      10.52s       0         
34   1.485e+00    1.588e+01    1.607e+04      1.000e+00    1.000e+00    9.941e-02      9.78s        0         
35   1.490e+00    1.273e+02    2.431e+00      1.000e+00    1.000e+00    9.941e-02      11.24s       0         
36   1.508e+00    8.067e+01    4.715e+07      1.000e+00    1.000e+00    9.941e-02      8.54s        0         
37   1.587e+00    1.122e+01    7.526e+02      3.000e+00    4.000e+00    9.767e-02      7.72s        0         
38   1.562e+00    1.755e+03    2.268e+01      1.000e+00    1.000e+00    9.941e-02      7.25s        0         
39   1.735e+00    8.132e+01    3.298e+01      1.000e+00    1.000e+00    9.941e-02      6.58s        0         
40   1.515e+00    3.408e+02    3.640e+03      1.000e+00    1.000e+00    9.941e-02      6.18s        0         
41   1.677e+00    1.992e+02    2.724e+02      1.000e+00    1.000e+00    9.941e-02      5.55s        0         
42   1.515e+00    3.610e+01    3.266e+01      1.000e+00    1.000e+00    9.941e-02      4.61s        0         
43   1.620e+00    3.528e+04    1.082e+02      1.000e+00    1.000e+00    9.941e-02      4.89s        0         
44   1.567e+00    1.188e+02    4.576e+01      1.000e+00    1.000e+00    9.941e-02      3.59s        0         
45   1.440e+00    7.921e+00    1.991e+00      1.000e+00    1.000e+00    9.941e-02      2.69s        0         
46   1.778e+00    5.371e+03    2.982e+02      1.000e+00    1.000e+00    9.941e-02      2.05s        0         
47   1.630e+00    6.935e+02    7.824e+01      1.000e+00    1.000e+00    9.941e-02      1.39s        0         
48   1.522e+00    2.770e+02    5.144e+01      1.000e+00    1.000e+00    9.941e-02      0.69s        0         
49   1.417e+00    6.281e+00    1.239e+03      1.000e+00    1.000e+00    9.941e-02      0.00s        0         
50   1.705e+00    2.031e+04    5.271e+03      1.000e+00    1.000e+00    9.941e-02      15.73s       0         
51   1.438e+00    1.571e+01    5.513e+00      1.000e+00    1.000e+00    9.941e-02      15.77s       0         
52   1.438e+00    1.041e+01    3.080e+03      1.000e+00    1.000e+00    9.941e-02      18.28s       0         
53   1.545e+00    4.522e+01    7.924e+01      1.000e+00    1.000e+00    9.941e-02      13.78s       0         
54   1.643e+00    7.282e+01    9.611e+00      1.000e+00    1.000e+00    9.941e-02      13.32s       0         
55   1.635e+00    5.183e+02    6.650e+01      3.000e+00    4.000e+00    9.703e-02      13.17s       0         
56   1.532e+00    3.075e+01    1.013e+01      1.000e+00    1.000e+00    9.941e-02      12.75s       0         
57   1.405e+00    1.145e+01    1.052e+02      1.000e+00    1.000e+00    9.941e-02      11.58s       0         
58   1.462e+00    5.210e+00    2.667e+00      1.000e+00    1.000e+00    9.941e-02      10.84s       0         
