    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.694e+01    7.544e+14    1.633e+13      1.900e+01    9.570e+02    2.206e-01      9.68s        0         
1    1.170e+01    1.188e+14    4.906e+08      1.500e+01    1.300e+02    8.397e-02      16.34s       0         
2    6.960e+00    1.788e+03    1.982e+01      1.500e+01    1.300e+02    8.397e-02      17.73s       0         
3    7.310e+00    2.962e+03    1.787e+01      1.500e+01    1.300e+02    7.273e-02      16.33s       0         
4    4.050e+00    1.115e+02    8.127e+00      1.500e+01    1.300e+02    5.153e-02      14.56s       0         
5    3.643e+00    6.864e+02    7.033e+02      1.500e+01    1.300e+02    5.153e-02      13.86s       0         
6    4.540e+00    1.606e+02    2.648e+03      1.500e+01    1.300e+02    4.584e-02      13.30s       0         
7    4.235e+00    3.441e+02    1.681e+01      1.500e+01    1.300e+02    4.584e-02      12.22s       0         
8    5.425e+00    3.408e+05    2.946e+03      1.500e+01    1.300e+02    4.584e-02      12.03s       0         
9    8.043e+00    4.451e+02    1.316e+03      1.500e+01    1.300e+02    4.584e-02      11.72s       0         
10   1.021e+01    1.579e+02    2.378e+02      1.500e+01    1.300e+02    4.584e-02      11.01s       0         
11   1.161e+01    6.278e+03    5.260e+02      1.500e+01    1.300e+02    4.584e-02      10.58s       0         
12   1.188e+01    8.440e+02    2.646e+01      1.500e+01    1.300e+02    4.584e-02      10.04s       0         
13   1.255e+01    2.931e+03    4.260e+04      1.300e+01    9.000e+01    4.202e-02      9.51s        0         
14   1.270e+01    4.118e+10    1.194e+02      1.300e+01    9.000e+01    4.202e-02      12.62s       0         
15   1.331e+01    2.840e+03    3.103e+02      1.300e+01    9.000e+01    4.202e-02      7.83s        0         
16   1.384e+01    4.151e+02    2.384e+03      1.300e+01    9.000e+01    4.202e-02      7.19s        0         
17   1.376e+01    1.260e+03    9.583e+00      1.300e+01    9.000e+01    4.202e-02      6.22s        0         
18   1.401e+01    5.660e+04    2.378e+01      1.300e+01    9.000e+01    4.202e-02      5.34s        0         
19   1.511e+01    1.697e+05    2.063e+01      1.700e+01    1.430e+02    4.059e-02      4.27s        0         
20   1.542e+01    2.173e+03    3.183e+01      1.700e+01    1.430e+02    4.059e-02      3.52s        0         
21   1.506e+01    1.590e+07    1.011e+01      1.500e+01    1.300e+02    3.819e-02      2.60s        0         
22   1.493e+01    3.780e+07    5.301e+00      1.500e+01    1.300e+02    3.819e-02      1.64s        0         
23   1.461e+01    6.676e+02    2.463e+02      1.500e+01    1.300e+02    3.819e-02      0.86s        0         
24   1.468e+01    4.859e+07    6.019e+01      1.500e+01    1.300e+02    3.819e-02      0.00s        0         
25   1.483e+01    2.310e+03    1.934e+02      1.500e+01    1.300e+02    3.819e-02      20.23s       0         
26   1.416e+01    3.056e+03    4.511e+00      1.500e+01    1.300e+02    3.819e-02      27.21s       0         
27   1.379e+01    9.065e+03    4.953e+01      1.500e+01    1.300e+02    3.819e-02      19.43s       0         
28   1.488e+01    1.941e+07    3.057e+01      1.500e+01    1.300e+02    3.819e-02      18.79s       0         
29   1.444e+01    1.146e+06    9.898e+00      3.100e+01    2.261e+03    3.752e-02      17.41s       0         
