    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.398e+01    8.665e+08    2.891e+04      1.400e+01    1.277e+01    4.631e-01      8.33s        0         
1    1.349e+01    9.499e+05    1.327e+00      1.100e+01    5.510e+01    3.725e-01      21.14s       0         
2    1.430e+01    2.320e+07    1.939e+00      2.800e+01    1.723e+02    3.310e-01      17.08s       0         
3    1.731e+01    9.768e+07    1.699e+03      3.200e+01    2.331e+02    3.310e-01      17.09s       0         
4    2.094e+01    5.809e+13    2.844e+00      8.100e+01    1.310e+05    3.033e-01      17.33s       0         
5    2.536e+01    1.163e+10    7.148e-01      7.700e+01    1.187e+05    2.572e-01      16.52s       0         
6    3.352e+01    3.683e+18    1.789e+02      7.200e+01    5.878e+04    2.369e-01      17.93s       0         
7    4.225e+01    5.233e+17    1.610e+00      7.000e+01    6.141e+04    2.110e-01      17.99s       0         
8    5.788e+01    3.247e+10    1.321e+00      1.190e+02    3.142e+06    1.946e-01      20.28s       0         
9    7.040e+01    4.542e+13    2.059e+00      1.200e+02    3.144e+06    1.863e-01      19.51s       0         
10   7.502e+01    1.723e+19    1.214e+00      1.190e+02    4.092e+06    1.702e-01      23.77s       0         
11   7.578e+01    1.713e+18    5.304e+00      1.120e+02    5.565e+06    1.600e-01      18.38s       0         
12   8.215e+01    1.199e+21    4.921e-01      1.760e+02    7.820e+15    1.549e-01      17.25s       0         
13   9.411e+01    4.975e+20    3.947e-01      7.700e+01    1.274e+05    1.538e-01      17.64s       0         
14   9.467e+01    3.284e+26    1.234e+00      8.400e+01    1.278e+05    1.212e-01      16.29s       0         
15   8.616e+01    4.450e+26    4.846e+00      9.500e+01    1.123e+07    1.044e-01      13.87s       0         
16   7.965e+01    8.895e+18    5.880e-01      9.000e+01    7.175e+05    1.028e-01      13.94s       0         
17   7.712e+01    5.190e+30    4.615e-01      8.400e+01    3.908e+04    9.772e-02      10.59s       0         
18   8.116e+01    7.349e+20    4.426e-01      8.400e+01    3.908e+04    9.772e-02      9.15s        0         
19   8.645e+01    2.164e+30    3.794e-01      8.600e+01    4.898e+04    8.906e-02      7.82s        0         
20   9.164e+01    1.402e+71    4.157e+00      8.600e+01    6.147e+04    8.677e-02      6.61s        0         
21   8.812e+01    4.952e+39    3.157e-01      8.600e+01    6.147e+04    8.677e-02      5.46s        0         
22   8.846e+01    1.458e+140   4.775e-01      8.600e+01    6.147e+04    8.677e-02      3.29s        0         
23   8.583e+01    4.506e+99    8.134e+00      6.600e+01    2.015e+04    8.994e-02      1.65s        0         
24   8.358e+01    1.256e+108   3.365e-01      8.000e+01    3.263e+04    8.898e-02      0.00s        0         
25   7.992e+01    5.615e+66    4.179e-01      8.400e+01    4.156e+04    8.722e-02      44.56s       0         
26   8.004e+01    3.253e+37    3.691e-01      8.100e+01    1.331e+06    8.954e-02      39.59s       0         
27   7.981e+01    3.931e+84    3.621e-01      1.340e+02    9.796e+07    7.906e-02      37.07s       0         
28   8.053e+01    1.203e+97    1.259e+03      1.630e+02    1.794e+12    7.915e-02      37.40s       0         
29   8.263e+01    2.782e+65    6.525e-01      1.050e+02    8.404e+10    8.484e-02      34.48s       0         
30   8.372e+01    2.676e+209   8.846e-01      1.520e+02    4.587e+27    8.517e-02      32.27s       0         
31   8.375e+01    5.928e+88    2.856e-01      8.500e+01    5.218e+05    7.994e-02      29.94s       0         
32   8.203e+01    1.126e+74    6.009e+01      7.900e+01    7.608e+04    8.341e-02      32.73s       0         
33   8.083e+01    2.026e+209   4.604e-01      7.200e+01    8.805e+03    7.493e-02      28.22s       0         
34   8.250e+01    2.900e+240   4.151e-01      8.400e+01    1.052e+17    7.432e-02      26.74s       0         
35   8.007e+01    1.645e+157   3.367e-01      1.040e+02    2.130e+32    7.429e-02      26.95s       0         
36   7.770e+01    9.366e+50    5.179e-01      1.270e+02    5.517e+08    6.908e-02      21.16s       0         
37   7.815e+01    7.928e+83    1.018e+00      1.500e+02    4.974e+08    6.631e-02      20.11s       0         
38   7.759e+01    1.467e+62    4.417e-01      2.340e+02    9.863e+35    6.383e-02      20.82s       0         
39   7.844e+01    1.184e+282   3.346e-01      2.310e+02    9.863e+35    6.429e-02      17.00s       0         
40   8.138e+01    3.909e+287   3.739e-01      7.700e+01    4.440e+04    6.494e-02      15.70s       0         
41   8.116e+01    2.005e+282   4.664e-01      1.410e+02    2.592e+13    5.069e-02      15.43s       0         
42   8.312e+01    6.641e+166   4.403e-01      1.430e+02    2.592e+13    5.002e-02      11.93s       0         
43   8.092e+01    2.285e+179   1.325e+00      1.390e+02    2.592e+13    5.120e-02      10.66s       0         
44   7.983e+01    7.743e+225   8.026e+04      1.360e+02    1.605e+12    5.124e-02      10.08s       0         
45   8.047e+01    3.079e+198   3.009e-01      1.360e+02    1.605e+12    5.124e-02      7.02s        0         
46   8.220e+01    1.868e+110   5.010e-01      1.440e+02    1.607e+12    4.817e-02      5.35s        0         
47   8.456e+01    2.247e+305   4.002e-01      1.430e+02    1.607e+12    4.840e-02      4.17s        0         
48   8.459e+01    3.719e+296   4.899e-01      1.420e+02    1.607e+12    4.684e-02      1.82s        0         
49   8.426e+01    2.247e+305   2.900e-01      1.420e+02    1.607e+12    4.684e-02      0.00s        0         
50   8.424e+01    inf          4.772e-01      7.200e+01    1.501e+04    5.433e-02      47.04s       0         
51   8.278e+01    inf          4.294e-01      7.200e+01    1.501e+04    5.433e-02      41.32s       0         
52   8.272e+01    3.946e+114   2.560e-01      1.450e+02    3.041e+10    5.088e-02      43.11s       0         
53   8.127e+01    1.851e+303   3.795e-01      7.200e+01    1.501e+04    5.433e-02      37.58s       0         
54   8.097e+01    2.909e+184   3.280e-01      1.570e+02    1.802e+20    5.342e-02      35.90s       0         
55   8.298e+01    2.909e+184   3.614e-01      1.380e+02    3.887e+15    5.266e-02      38.45s       0         
56   8.299e+01    6.280e+153   3.642e-01      1.370e+02    1.247e+15    5.166e-02      33.58s       0         
57   8.371e+01    1.726e+182   8.792e-01      7.400e+01    1.614e+04    5.233e-02      32.03s       0         
58   8.340e+01    1.314e+182   5.991e-01      9.500e+01    7.319e+14    5.048e-02      34.03s       0         
59   8.337e+01    1.019e+113   2.501e+00      9.500e+01    7.319e+14    5.048e-02      29.04s       0         
60   8.180e+01    2.683e+80    2.784e-01      8.600e+01    2.397e+07    5.135e-02      29.69s       0         
61   8.227e+01    2.247e+305   5.969e-01      1.100e+02    6.342e+09    5.082e-02      24.30s       0         
62   8.270e+01    8.703e+302   4.001e-01      1.080e+02    3.062e+09    5.093e-02      24.36s       0         
63   8.252e+01    8.703e+302   3.126e-01      9.800e+01    2.602e+14    5.151e-02      20.58s       0         
64   8.380e+01    2.247e+305   5.476e-01      1.080e+02    2.660e+07    5.136e-02      18.89s       0         
65   8.473e+01    7.911e+124   3.581e-01      9.700e+01    1.133e+13    5.125e-02      18.84s       0         
66   8.357e+01    1.123e+182   3.688e-01      1.060e+02    9.036e+16    5.024e-02      14.85s       0         
67   8.526e+01    2.121e+183   3.017e-01      1.020e+02    4.976e+13    4.994e-02      12.97s       0         
68   8.565e+01    4.884e+159   4.303e-01      8.500e+01    7.171e+05    4.951e-02      12.61s       0         
69   8.420e+01    2.685e+153   2.861e-01      9.700e+01    1.330e+25    4.845e-02      9.23s        0         
70   8.511e+01    6.199e+241   3.195e-01      1.840e+02    5.183e+228   4.843e-02      8.37s        0         
71   8.380e+01    4.683e+171   5.149e-01      9.600e+01    1.667e+10    4.877e-02      5.49s        0         
72   8.489e+01    4.403e+245   3.547e-01      7.700e+01    7.152e+04    4.917e-02      3.72s        0         
73   8.393e+01    6.514e+80    2.711e-01      1.280e+02    5.034e+31    4.854e-02      2.14s        0         
74   8.355e+01    6.375e+92    9.254e-01      7.700e+01    7.152e+04    4.917e-02      0.00s        0         
75   8.348e+01    1.274e+213   2.923e-01      8.400e+01    2.258e+06    4.887e-02      49.28s       0         
76   8.306e+01    4.600e+200   2.947e-01      7.700e+01    7.152e+04    4.917e-02      42.03s       0         
77   8.384e+01    4.600e+200   5.834e-01      8.200e+01    1.739e+08    4.841e-02      40.44s       0         
78   8.292e+01    2.578e+65    3.402e-01      7.700e+01    7.152e+04    4.917e-02      42.91s       0         
79   8.215e+01    8.882e+102   3.995e-01      9.500e+01    2.988e+10    4.818e-02      37.30s       0         
80   8.412e+01    2.247e+305   1.191e+00      1.070e+02    5.077e+19    4.774e-02      35.06s       0         
81   8.402e+01    2.247e+305   4.040e-01      1.090e+02    6.470e+19    4.733e-02      36.52s       0         
82   8.608e+01    2.148e+173   2.750e-01      1.270e+02    8.778e+65    4.718e-02      31.48s       0         
83   8.638e+01    2.364e+264   4.189e-01      1.610e+02    3.514e+48    4.801e-02      34.42s       0         
84   8.430e+01    1.788e+140   1.116e+00      7.700e+01    7.152e+04    4.917e-02      27.05s       0         
85   8.471e+01    1.460e+145   3.306e-01      7.700e+01    7.152e+04    4.917e-02      26.10s       0         
86   8.295e+01    4.222e+147   5.475e-01      1.490e+02    2.243e+24    4.790e-02      26.15s       0         
87   8.277e+01    1.150e+164   4.085e-01      1.110e+02    4.285e+20    4.851e-02      21.42s       0         
88   8.395e+01    8.444e+147   3.686e-01      8.800e+01    6.093e+10    4.972e-02      19.86s       0         
89   8.326e+01    5.161e+151   1.158e+00      6.700e+01    6.017e+03    4.858e-02      20.80s       0         
90   8.330e+01    7.339e+149   1.231e+00      6.700e+01    6.017e+03    4.858e-02      16.06s       0         
91   8.454e+01    9.444e+122   4.462e+01      6.700e+01    6.017e+03    4.858e-02      15.93s       0         
92   8.369e+01    1.701e+265   2.376e-01      6.700e+01    6.017e+03    4.858e-02      12.67s       0         
93   8.356e+01    8.767e+113   9.457e-01      6.700e+01    6.017e+03    4.858e-02      11.00s       0         
94   8.320e+01    4.297e+129   3.402e-01      6.700e+01    6.017e+03    4.858e-02      10.49s       0         
95   8.443e+01    2.247e+305   8.460e-01      6.700e+01    6.017e+03    4.858e-02      7.47s        0         
96   8.475e+01    1.245e+156   6.841e+00      8.900e+01    4.782e+10    4.847e-02      6.49s        0         
97   8.297e+01    1.245e+156   3.070e-01      6.700e+01    6.017e+03    4.858e-02      3.76s        0         
98   8.302e+01    1.245e+156   2.856e-01      7.000e+01    2.344e+04    4.750e-02      1.95s        0         
99   8.271e+01    1.245e+156   3.991e-01      7.000e+01    2.344e+04    4.750e-02      0.00s        0         
100  8.428e+01    1.180e+143   2.724e-01      8.300e+01    1.211e+06    4.552e-02      45.58s       0         
101  8.492e+01    7.937e+126   5.369e-01      6.700e+01    6.017e+03    4.858e-02      49.95s       0         
102  8.453e+01    2.657e+127   6.763e+00      6.700e+01    6.017e+03    4.858e-02      42.08s       0         
103  8.038e+01    2.469e+98    2.876e-01      6.700e+01    6.017e+03    4.858e-02      43.55s       0         
104  8.370e+01    6.604e+223   3.408e-01      2.040e+02    1.917e+38    4.744e-02      35.94s       0         
105  8.131e+01    3.106e+237   5.162e-01      8.900e+01    4.947e+11    4.847e-02      33.58s       0         
106  8.162e+01    2.247e+305   3.317e-01      6.700e+01    6.017e+03    4.858e-02      36.30s       0         
107  8.231e+01    2.247e+305   2.651e-01      7.100e+01    6.939e+04    4.511e-02      30.80s       0         
108  8.110e+01    3.833e+76    3.533e-01      7.100e+01    6.939e+04    4.511e-02      33.40s       0         
109  8.193e+01    6.074e+84    3.090e-01      7.100e+01    6.939e+04    4.511e-02      27.41s       0         
110  8.140e+01    1.972e+290   3.415e-01      7.100e+01    6.939e+04    4.511e-02      24.76s       0         
111  7.987e+01    1.103e+136   2.021e+00      7.100e+01    6.939e+04    4.511e-02      25.49s       0         
112  7.992e+01    3.637e+95    4.985e-01      1.360e+02    1.273e+12    4.243e-02      20.76s       0         
113  8.156e+01    6.524e+247   3.070e+00      7.100e+01    6.939e+04    4.511e-02      22.46s       0         
114  8.050e+01    2.092e+169   2.706e-01      7.100e+01    6.939e+04    4.511e-02      18.30s       0         
115  8.118e+01    2.092e+169   8.848e-01      7.100e+01    6.939e+04    4.511e-02      16.79s       0         
116  7.949e+01    4.185e+169   4.508e+00      7.100e+01    6.939e+04    4.511e-02      16.18s       0         
117  8.030e+01    2.158e+200   2.290e+00      7.500e+01    1.479e+06    4.425e-02      13.05s       0         
118  8.219e+01    1.339e+129   3.525e-01      7.800e+01    3.020e+07    4.419e-02      12.78s       0         
119  8.057e+01    1.181e+126   8.029e-01      7.100e+01    6.939e+04    4.511e-02      9.32s        0         
120  7.853e+01    6.146e+140   2.712e-01      7.100e+01    6.939e+04    4.511e-02      7.14s        0         
121  8.052e+01    2.610e+261   4.860e-01      7.600e+01    4.022e+04    4.451e-02      6.06s        0         
122  7.994e+01    2.610e+261   6.898e-01      7.100e+01    6.939e+04    4.511e-02      3.62s        0         
123  7.990e+01    1.713e+125   1.855e+00      7.100e+01    6.939e+04    4.511e-02      2.05s        0         
124  7.831e+01    1.755e+127   1.939e+00      7.100e+01    6.939e+04    4.511e-02      0.00s        0         
125  7.797e+01    6.577e+76    1.418e+01      7.100e+01    6.939e+04    4.511e-02      43.62s       0         
126  7.726e+01    6.702e+100   1.229e+00      7.100e+01    6.939e+04    4.511e-02      46.56s       0         
127  7.824e+01    1.613e+73    7.010e-01      7.300e+01    2.408e+04    4.441e-02      39.69s       0         
128  7.783e+01    4.347e+83    3.617e-01      8.200e+01    1.047e+07    4.380e-02      42.43s       0         
129  8.017e+01    2.111e+138   2.859e-01      1.490e+02    2.721e+29    4.500e-02      35.72s       0         
130  8.058e+01    7.551e+90    2.842e-01      7.100e+01    6.939e+04    4.511e-02      34.70s       0         
131  7.848e+01    9.507e+92    3.000e-01      7.100e+01    6.939e+04    4.511e-02      35.89s       0         
132  7.901e+01    2.852e+93    1.476e+00      7.900e+01    2.329e+05    4.505e-02      29.96s       0         
133  7.700e+01    2.409e+89    4.754e-01      7.900e+01    2.329e+05    4.505e-02      28.59s       0         
134  7.792e+01    2.409e+89    4.022e-01      9.000e+01    3.094e+13    4.474e-02      30.99s       0         
135  7.848e+01    2.960e+94    3.287e-01      7.300e+01    2.408e+04    4.441e-02      25.65s       0         
136  7.992e+01    2.960e+94    3.764e-01      7.100e+01    6.939e+04    4.511e-02      26.94s       0         
137  7.842e+01    1.426e+47    6.450e-01      7.100e+01    6.939e+04    4.511e-02      22.11s       0         
138  8.119e+01    1.336e+61    3.866e-01      8.400e+01    2.228e+05    4.031e-02      19.34s       0         
139  8.057e+01    3.446e+114   4.521e-01      7.200e+01    2.584e+04    4.403e-02      20.09s       0         
140  8.128e+01    3.761e+86    5.143e-01      7.200e+01    2.584e+04    4.403e-02      16.40s       0         
141  7.976e+01    1.618e+107   3.552e-01      7.700e+01    1.559e+05    4.380e-02      14.82s       0         
142  7.848e+01    3.378e+68    1.546e+00      7.200e+01    2.584e+04    4.403e-02      12.71s       0         
143  7.873e+01    6.227e+134   3.259e-01      7.200e+01    2.584e+04    4.403e-02      10.64s       0         
