    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.305e+01    3.605e+08    5.187e+04      1.900e+01    1.216e+02    4.889e-01      8.88s        0         
1    1.326e+01    4.061e+09    7.172e+01      5.400e+01    2.324e+03    4.337e-01      16.42s       0         
2    1.529e+01    5.151e+06    5.251e+01      3.500e+01    2.369e+02    3.585e-01      17.64s       0         
3    2.405e+01    9.789e+08    2.643e+00      3.700e+01    9.231e+02    3.165e-01      17.30s       0         
4    3.344e+01    1.288e+10    7.285e+01      3.700e+01    9.231e+02    3.165e-01      17.93s       0         
5    4.072e+01    7.976e+10    1.364e+00      3.500e+01    2.369e+02    2.740e-01      18.87s       0         
6    4.585e+01    3.176e+31    2.664e+01      1.800e+01    1.127e+02    2.247e-01      18.51s       0         
7    4.391e+01    1.046e+52    5.194e+01      3.700e+01    8.481e+02    2.219e-01      18.44s       0         
8    4.953e+01    1.002e+52    1.417e+00      4.600e+01    1.236e+03    1.914e-01      17.74s       0         
9    5.271e+01    1.467e+40    1.687e+01      5.800e+01    3.640e+03    1.807e-01      17.22s       0         
10   6.199e+01    9.753e+42    6.479e-01      4.600e+01    4.731e+02    1.592e-01      17.56s       0         
11   7.192e+01    5.438e+35    5.852e-01      3.900e+01    7.028e+02    1.453e-01      22.81s       0         
12   7.673e+01    2.169e+30    5.224e-01      1.180e+02    6.335e+08    1.189e-01      17.31s       0         
13   8.117e+01    3.777e+28    3.702e-01      1.050e+02    4.158e+07    1.134e-01      16.66s       0         
14   9.082e+01    2.313e+34    9.287e-01      9.300e+01    1.921e+08    9.799e-02      15.49s       0         
15   1.022e+02    4.249e+92    4.764e-01      1.090e+02    1.922e+08    7.896e-02      14.69s       0         
16   1.230e+02    2.193e+166   3.738e-01      8.500e+01    3.485e+05    7.577e-02      14.93s       0         
17   1.256e+02    2.193e+166   3.476e-01      9.900e+01    1.933e+08    6.829e-02      15.57s       0         
18   1.209e+02    5.016e+84    4.942e-01      9.700e+01    1.771e+08    6.712e-02      12.12s       0         
19   1.241e+02    4.695e+141   4.518e-01      9.700e+01    1.771e+08    6.712e-02      9.78s        0         
20   1.253e+02    4.326e+166   6.228e+00      9.500e+01    1.995e+08    6.557e-02      7.89s        0         
21   1.249e+02    4.695e+141   2.551e-01      9.500e+01    1.995e+08    6.557e-02      5.92s        0         
22   1.237e+02    7.377e+200   2.652e-01      9.500e+01    1.995e+08    6.557e-02      4.60s        0         
23   1.177e+02    1.329e+191   3.465e-01      1.530e+02    1.307e+18    6.518e-02      1.94s        0         
24   1.161e+02    1.329e+191   1.288e+02      9.600e+01    1.066e+08    6.468e-02      0.00s        0         
25   1.166e+02    7.219e+244   4.568e-01      9.600e+01    1.066e+08    6.468e-02      47.27s       0         
26   1.146e+02    2.247e+305   2.466e-01      9.600e+01    1.066e+08    6.468e-02      53.51s       0         
27   1.104e+02    2.247e+305   2.908e-01      9.600e+01    1.066e+08    6.468e-02      44.61s       0         
28   1.123e+02    inf          3.878e-01      1.280e+02    2.252e+16    6.459e-02      43.37s       0         
29   1.150e+02    1.526e+270   3.016e-01      1.260e+02    2.251e+16    6.459e-02      50.83s       0         
30   1.158e+02    inf          5.106e-01      1.510e+02    1.097e+32    6.444e-02      42.02s       0         
31   1.176e+02    inf          4.227e-01      1.530e+02    1.187e+32    6.441e-02      39.43s       0         
32   1.175e+02    inf          3.971e-01      1.040e+02    9.607e+09    6.356e-02      43.79s       0         
33   1.190e+02    2.247e+305   5.114e-01      1.040e+02    9.607e+09    6.356e-02      34.24s       0         
34   1.145e+02    1.516e+202   2.543e-01      1.040e+02    9.607e+09    6.356e-02      32.09s       0         
35   1.135e+02    2.247e+305   4.216e-01      1.030e+02    6.862e+09    6.391e-02      30.25s       0         
