    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 1.47e+15      3.88881e+16 1.55e+02         0.138082              N/A      8.35s 0
   1 2.85e+03           240203 4.00e+00         0.115169              N/A     24.31s 0
   2 7.67e+02          104.869 1.00e+00        0.0996617              N/A     23.80s 0
   3 2.21e+02          44.4304 4.85e+03        0.0836894              N/A     25.16s 0
   4 5.63e+01           421.14 1.82e+02        0.0759825              N/A     22.12s 0
   5 1.15e+03          450.088 1.43e+02        0.0721152              N/A     21.77s 0
   6 1.80e+02          52.7145 1.40e+02        0.0668901              N/A     19.24s 0
   7 1.07e+05           658996 3.68e+02        0.0571714              N/A     18.92s 0
   8 3.56e+02          732.369 1.50e+02        0.0410701              N/A     20.63s 0
   9 7.69e+05           313897 1.50e+02        0.0410701              N/A     22.34s 0
  10 1.22e+03          1073.83 1.50e+02        0.0410701              N/A     21.76s 0
  11 7.34e+02           421115 1.50e+02        0.0410701              N/A     19.52s 0
  12 9.33e+02          508.325 1.50e+02        0.0410701              N/A     19.77s 0
  13 8.57e+02          731.325 1.50e+02        0.0410701              N/A     17.71s 0
  14 5.76e+02          624.842 1.50e+02        0.0410701              N/A     16.53s 0
  15 4.47e+02          396.169 1.50e+02        0.0410701              N/A     14.74s 0
  16 4.85e+03          56.6021 6.86e+03        0.0366694              N/A     12.88s 0
  17 4.01e+02          32.1951 6.86e+03        0.0366694              N/A     11.21s 0
  18 1.84e+04           901668 6.86e+03        0.0366694              N/A      9.31s 0
  19 5.39e+02          17.8838 1.50e+02        0.0410701              N/A      7.70s 0
  20 5.25e+02          33.6253 1.50e+02        0.0410701              N/A      6.44s 0
  21 5.55e+02          47277.6 1.37e+05           0.0308              N/A      4.98s 0
  22 4.47e+02          19.2349 1.00e+02        0.0402471              N/A      3.20s 0
  23 4.55e+02          21.4732 6.86e+03        0.0366694              N/A      1.59s 0
  24 2.07e+03          22.7366 6.86e+03        0.0366694              N/A      0.00s 0
  25 3.06e+02          22.5977 3.07e+03        0.0352192              N/A     38.55s 0
  26 3.28e+02          11212.4 3.07e+03        0.0352192              N/A     37.17s 0
  27 2.50e+02          68580.2 3.07e+03        0.0352192              N/A     36.21s 0
  28 2.94e+02          5.23925 1.00e+02        0.0402471              N/A     34.51s 0
  29 1.88e+02          11.2299 3.07e+03        0.0352192              N/A     33.58s 0
  30 4.60e+02          9.83679 3.07e+03        0.0352192              N/A     31.97s 0
  31 1.83e+02          328.164 3.07e+03        0.0352192              N/A     29.88s 0
  32 5.61e+03          28.1198 3.07e+03        0.0352192              N/A     28.88s 0
  33 3.49e+02          24.5935 1.00e+02        0.0397407              N/A     26.63s 0
  34 6.37e+02          29.0849 3.07e+03        0.0352192              N/A     25.51s 0
  35 1.95e+02          30.4032 1.00e+02        0.0397407              N/A     23.05s 0
  36 3.73e+02          44.9059 1.00e+02        0.0366442              N/A     21.57s 0
  37 2.29e+02          159.581 3.07e+03        0.0352192              N/A     20.04s 0
  38 7.98e+03          50.9417 1.00e+02        0.0366442              N/A     17.52s 0
  39 3.74e+02      4.14147e+12 3.07e+03        0.0350359              N/A     16.44s 0
  40 4.00e+02          29.1165 3.07e+03        0.0350359              N/A     14.54s 0
  41 2.12e+03           27.096 3.07e+03        0.0350359              N/A     12.80s 0
  42 2.16e+02          37.1722 3.07e+03        0.0350359              N/A     11.18s 0
  43 2.49e+02          232.655 1.00e+02        0.0365114              N/A      9.93s 0
  44 1.10e+07           412694 3.07e+03        0.0343431              N/A      8.07s 0
  45 2.67e+02          37.0925 3.07e+03        0.0332711              N/A      6.15s 0
  46 2.33e+02          20.2452 3.07e+03        0.0343431              N/A      4.90s 0
  47 2.14e+02           32.749 1.00e+02         0.036024              N/A      3.18s 0
  48 1.89e+02          157.192 1.00e+02         0.036024              N/A      1.62s 0
  49 2.08e+02          28.1882 3.07e+03        0.0339152              N/A      0.00s 0
  50 2.83e+02          31.9508 3.07e+03        0.0339152              N/A     38.71s 0
  51 4.13e+03          10.0335 3.07e+03        0.0339152              N/A     37.74s 0
  52 5.18e+02          20.1132 3.07e+03        0.0334002              N/A     35.82s 0
