    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.92e+01      8.94948e+14 5.00e+00         0.106521              N/A      4.63s 0
   1 1.34e+01           238.61 5.00e+00         0.106521              N/A     20.98s 0
   2 7.55e+00          101.612 5.00e+00          0.10167              N/A     23.30s 0
   3 5.00e+00           367490 2.30e+01        0.0733122              N/A     24.33s 0
   4 5.36e+00          264.109 1.70e+01        0.0589181              N/A     21.40s 0
   5 7.68e+00          103.567 1.50e+01        0.0524738              N/A     20.85s 0
   6 1.23e+01          290.893 1.70e+01        0.0503694              N/A     20.89s 0
   7 1.69e+01          715.271 1.70e+01        0.0503694              N/A     21.29s 0
   8 1.81e+01          53.6065 1.70e+01        0.0503694              N/A     23.41s 0
   9 1.73e+01           776.14 1.70e+01        0.0503694              N/A     23.06s 0
  10 1.57e+01           121256 1.70e+01        0.0503694              N/A     20.96s 0
  11 1.43e+01          733.002 1.70e+01        0.0503694              N/A     18.92s 0
  12 1.30e+01      2.23413e+11 1.70e+01        0.0503668              N/A     16.91s 0
  13 1.15e+01          890.758 1.70e+01        0.0503694              N/A     14.82s 0
  14 1.12e+01           68.238 1.10e+01        0.0524029              N/A     13.22s 0
  15 1.10e+01          531.368 1.10e+01        0.0523281              N/A     11.92s 0
  16 1.10e+01           347451 1.10e+01        0.0523281              N/A     11.33s 0
  17 1.12e+01          93.5969 1.10e+01        0.0523281              N/A      9.64s 0
  18 1.11e+01          707.428 1.10e+01        0.0523281              N/A      8.03s 0
  19 1.11e+01          48.5284 1.10e+01        0.0523281              N/A      6.71s 0
  20 1.11e+01          80.6214 1.10e+01        0.0523281              N/A      5.51s 0
  21 1.10e+01          72.4843 1.10e+01        0.0523281              N/A      4.20s 0
  22 1.13e+01           149721 1.10e+01        0.0523281              N/A      2.68s 0
  23 1.13e+01          65.7093 1.10e+01        0.0523281              N/A      1.40s 0
  24 1.13e+01          104.208 1.10e+01        0.0523281              N/A      0.00s 0
  25 1.11e+01          8778.48 1.10e+01        0.0523281              N/A     32.53s 0
  26 1.11e+01          1267.99 1.10e+01        0.0523281              N/A     31.50s 0
  27 1.11e+01          60.8354 1.10e+01        0.0523281              N/A     30.70s 0
  28 1.13e+01          91.3357 1.10e+01        0.0523281              N/A     28.65s 0
  29 1.09e+01          1161.92 1.10e+01        0.0523281              N/A     26.88s 0
  30 1.08e+01           609.97 1.10e+01        0.0523281              N/A     25.54s 0
  31 1.11e+01          131.052 1.10e+01        0.0523281              N/A     24.06s 0
  32 1.12e+01          1083.91 1.10e+01        0.0523281              N/A     22.93s 0
  33 1.13e+01           624.26 1.10e+01        0.0523281              N/A     21.74s 0
  34 1.10e+01          60754.7 1.10e+01        0.0523281              N/A     20.68s 0
  35 1.10e+01           150638 1.10e+01        0.0523281              N/A     17.95s 0
  36 1.11e+01          1469.25 1.10e+01        0.0523281              N/A     17.26s 0
  37 1.13e+01          589.584 1.10e+01        0.0523281              N/A     16.71s 0
  38 1.09e+01          416.055 1.10e+01        0.0523281              N/A     14.86s 0
  39 1.07e+01          678.184 1.10e+01        0.0523281              N/A     13.35s 0
  40 1.14e+01          51.2304 1.10e+01        0.0523281              N/A     12.91s 0
  41 1.14e+01          410.254 1.10e+01        0.0523281              N/A     10.69s 0
  42 1.13e+01          1269.12 1.10e+01        0.0523281              N/A      9.61s 0
  43 1.12e+01          321.919 1.10e+01        0.0523281              N/A      8.16s 0
  44 1.12e+01           45.011 1.10e+01        0.0523281              N/A      6.88s 0
  45 1.10e+01           195893 1.10e+01        0.0523281              N/A      5.41s 0
  46 1.10e+01          904.012 1.10e+01        0.0523281              N/A      4.09s 0
  47 1.10e+01          21394.1 1.10e+01        0.0523281              N/A      2.71s 0
  48 1.14e+01          762.557 1.10e+01        0.0523281              N/A      1.37s 0
  49 1.10e+01          46.2536 1.10e+01        0.0523281              N/A      0.00s 0
  50 1.13e+01          103.966 1.10e+01        0.0523281              N/A     30.93s 0
  51 1.09e+01      3.08536e+06 1.10e+01        0.0523281              N/A     33.78s 0
  52 1.10e+01          497.716 1.10e+01        0.0523281              N/A     29.97s 0
