    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.68e+01      4.69371e+10 9.00e+00         0.234407              N/A      5.72s 0
   1 1.32e+01           273945 9.00e+00         0.234407              N/A     21.38s 0
   2 8.12e+00          77.0528 1.50e+01         0.097512              N/A     23.32s 0
   3 8.93e+00          750.107 1.50e+01         0.097512              N/A     24.02s 0
   4 1.21e+01          41.1196 1.50e+01         0.097512              N/A     22.66s 0
   5 1.43e+01      9.83618e+09 1.50e+01         0.097512              N/A     22.08s 0
   6 1.65e+01          581.262 1.30e+01        0.0686275              N/A     25.68s 0
   7 1.89e+01          23327.7 1.30e+01        0.0686275              N/A     21.85s 0
   8 1.80e+01          1760.02 1.30e+01        0.0686275              N/A     22.02s 0
   9 2.17e+01           1272.8 4.10e+01        0.0509785              N/A     23.12s 0
  10 3.43e+01          83920.4 4.70e+01        0.0509739              N/A     20.11s 0
  11 4.56e+01           126861 1.90e+01        0.0427158              N/A     25.10s 0
  12 4.81e+01      1.35145e+09 2.30e+01        0.0333736              N/A     26.30s 0
  13 4.72e+01      3.39993e+08 3.70e+01        0.0291528              N/A     22.59s 0
  14 4.13e+01           434564 4.70e+01         0.028428              N/A     22.21s 0
  15 4.05e+01          641.542 5.10e+01        0.0275139              N/A     19.25s 0
  16 4.90e+01      7.58608e+06 5.10e+01        0.0275139              N/A     18.04s 0
  17 5.65e+01          4087.46 5.30e+01        0.0269653              N/A     16.09s 0
  18 6.31e+01          6.22253 5.30e+01        0.0269653              N/A     15.00s 0
  19 6.90e+01           23.736 1.05e+02        0.0265155              N/A     13.43s 0
  20 7.48e+01          10.3442 6.50e+01        0.0261909              N/A     11.45s 0
  21 8.20e+01          37238.2 1.09e+02        0.0258175              N/A      8.92s 0
  22 9.00e+01          1044.14 1.53e+02        0.0244675              N/A      6.03s 0
  23 9.54e+01          113.985 1.47e+02        0.0240828              N/A      3.50s 0
  24 1.00e+02          8645.55 1.37e+02        0.0238714              N/A      0.00s 0
  25 1.29e+02          5924.61 2.73e+02        0.0235401              N/A      1.54m 0
  26 1.11e+02          94799.7 4.30e+01        0.0233358              N/A      1.46m 0
  27 7.96e+01           163716 4.30e+01        0.0233358              N/A      1.42m 0
  28 6.49e+01      3.82139e+08 4.50e+01        0.0228009              N/A      1.09m 0
  29 6.11e+01      1.93153e+08 4.50e+01        0.0228009              N/A     56.78s 0
  30 6.43e+01      9.14505e+07 6.30e+01        0.0227937              N/A     57.91s 0
  31 6.87e+01          30893.7 6.30e+01        0.0227937              N/A     51.67s 0
  32 6.77e+01      5.48561e+07 4.50e+01        0.0228009              N/A     51.29s 0
  33 6.62e+01       1.1257e+08 6.90e+01        0.0225237              N/A     45.78s 0
  34 7.00e+01      7.11254e+12 7.10e+01        0.0220632              N/A     41.84s 0
  35 6.49e+01      9.55931e+07 7.10e+01        0.0220632              N/A     44.43s 0
  36 6.15e+01      5.28964e+08 7.10e+01        0.0220632              N/A     37.48s 0
  37 6.84e+01      2.73186e+08 7.10e+01        0.0220632              N/A     34.91s 0
  38 7.11e+01           275599 7.90e+01        0.0216819              N/A     32.30s 0
  39 6.89e+01      9.59511e+07 7.90e+01        0.0216819              N/A     29.54s 0
  40 6.84e+01      4.71922e+08 1.35e+02        0.0216554              N/A     30.30s 0
  41 7.56e+01           150743 7.90e+01        0.0214553              N/A     23.58s 0
  42 8.22e+01           147644 1.05e+02        0.0214369              N/A     21.48s 0
  43 9.07e+01      8.80879e+06 1.03e+02        0.0211515              N/A     21.08s 0
  44 9.61e+01      1.24565e+08 1.03e+02        0.0211515              N/A     17.51s 0
  45 9.93e+01          38849.2 1.07e+02        0.0209947              N/A     15.74s 0
  46 1.07e+02      2.99591e+07 1.11e+02         0.020867              N/A     12.16s 0
  47 1.06e+02       3.7504e+08 1.11e+02        0.0208079              N/A      7.93s 0
  48 1.05e+02           260735 1.43e+02        0.0207011              N/A      4.22s 0
  49 1.10e+02      2.86843e+06 1.09e+02        0.0204201              N/A      0.00s 0
  50 1.09e+02      1.40865e+08 1.09e+02        0.0204201              N/A      1.70m 0
