    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.769e+01    1.626e+12    3.556e+11      9.000e+00    2.163e-01    6.000e+01      8.76s        0         
1    1.120e+01    2.817e+06    1.497e+05      1.000e+00    1.683e-01    1.000e+00      23.24s       0         
2    7.162e+00    3.591e+02    7.686e+04      1.000e+00    1.074e-01    1.000e+00      24.13s       0         
3    6.530e+00    5.604e+02    4.791e+01      3.000e+00    1.068e-01    2.000e+00      25.20s       0         
4    5.690e+00    4.271e+04    5.598e+02      1.100e+01    9.067e-02    9.200e+01      22.56s       0         
5    3.877e+00    1.427e+03    1.840e+02      1.100e+01    9.013e-02    8.500e+01      20.74s       0         
6    4.035e+00    6.245e+01    1.976e+02      1.100e+01    9.013e-02    8.500e+01      20.72s       0         
7    5.982e+00    9.083e+01    1.222e+01      1.500e+01    8.017e-02    1.880e+02      19.33s       0         
8    8.502e+00    1.398e+02    1.476e+01      1.900e+01    6.774e-02    4.240e+02      18.49s       0         
9    1.090e+01    2.024e+03    6.956e+01      2.100e+01    5.887e-02    6.040e+02      19.86s       0         
10   1.232e+01    4.399e+03    5.799e+01      2.900e+01    5.769e-02    3.934e+03      18.11s       0         
11   1.471e+01    3.988e+03    4.534e+00      2.900e+01    5.549e-02    6.094e+03      18.88s       0         
12   1.774e+01    2.406e+10    6.877e+01      2.700e+01    5.440e-02    2.854e+03      18.85s       0         
13   2.172e+01    3.763e+05    2.435e+01      3.900e+01    5.132e-02    3.533e+05      17.41s       0         
14   2.655e+01    3.564e+11    3.789e+02      3.500e+01    4.928e-02    4.566e+04      17.87s       0         
15   2.826e+01    1.528e+06    1.258e+01      5.900e+01    4.733e-02    1.248e+06      17.07s       0         
16   2.801e+01    1.138e+06    5.843e+01      4.300e+01    4.747e-02    1.961e+05      16.10s       0         
17   2.764e+01    2.350e+06    1.031e+02      4.900e+01    4.712e-02    2.382e+06      13.86s       0         
18   2.811e+01    7.724e+05    1.021e+04      2.100e+01    4.689e-02    7.840e+02      12.74s       0         
19   2.902e+01    1.316e+06    3.055e+01      3.500e+01    4.354e-02    1.282e+05      10.31s       0         
20   2.787e+01    1.271e+06    1.250e+04      3.500e+01    4.209e-02    1.282e+05      8.13s        0         
21   2.928e+01    1.328e+06    7.594e+01      3.300e+01    4.116e-02    1.020e+04      6.01s        0         
22   2.790e+01    2.777e+05    1.375e+05      3.300e+01    4.116e-02    1.020e+04      4.22s        0         
23   2.720e+01    7.249e+05    7.843e+01      3.300e+01    4.116e-02    1.020e+04      2.04s        0         
24   2.665e+01    5.659e+05    3.661e+01      3.300e+01    4.116e-02    1.020e+04      0.00s        0         
25   2.713e+01    9.068e+05    6.594e+02      3.500e+01    3.938e-02    1.566e+04      46.99s       0         
26   2.862e+01    1.798e+06    5.815e+01      3.500e+01    3.938e-02    1.566e+04      46.55s       0         
27   2.903e+01    5.626e+06    5.154e+01      5.300e+01    3.927e-02    2.831e+06      46.79s       0         
28   3.043e+01    1.197e+06    3.180e+01      5.300e+01    3.932e-02    1.092e+07      46.95s       0         
29   3.277e+01    1.606e+06    2.171e+02      4.300e+01    3.916e-02    8.406e+04      44.14s       0         
30   3.348e+01    1.950e+06    2.422e+01      4.300e+01    3.922e-02    9.846e+04      40.76s       0         
31   3.446e+01    1.990e+06    1.254e+01      6.300e+01    3.928e-02    2.820e+07      39.28s       0         
32   3.512e+01    2.206e+06    3.032e+01      4.500e+01    3.898e-02    8.833e+05      37.79s       0         
