    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.668e+01    9.645e+14    5.698e+14      7.000e+00    1.512e-01    1.000e+01      8.79s        0         
1    1.315e+01    5.812e+12    8.743e+02      1.000e+00    9.911e-02    1.000e+00      17.60s       0         
2    8.790e+00    1.845e+04    9.713e+04      1.000e+00    9.911e-02    1.000e+00      16.31s       0         
3    6.570e+00    2.654e+03    1.527e+01      5.000e+00    8.793e-02    8.000e+00      14.44s       0         
4    2.590e+00    9.029e+01    1.479e+01      1.100e+01    8.130e-02    3.400e+01      13.92s       0         
5    2.255e+00    9.869e+00    7.015e+00      1.100e+01    8.130e-02    3.400e+01      12.06s       0         
6    4.147e+00    2.228e+01    6.561e+01      1.100e+01    6.636e-02    2.700e+01      11.45s       0         
7    5.793e+00    1.882e+01    1.093e+02      1.100e+01    6.636e-02    2.700e+01      11.43s       0         
8    6.473e+00    2.382e+01    9.144e+01      1.700e+01    6.400e-02    5.200e+01      12.87s       0         
9    7.763e+00    9.615e+03    8.855e+04      1.900e+01    6.378e-02    7.200e+01      11.24s       0         
10   9.238e+00    4.071e+01    1.384e+01      7.000e+00    5.462e-02    1.000e+01      11.81s       0         
11   1.171e+01    6.268e+01    9.178e+00      1.700e+01    5.044e-02    5.600e+01      10.62s       0         
12   1.359e+01    2.648e+04    5.275e+00      1.700e+01    5.044e-02    5.600e+01      9.98s        0         
13   1.631e+01    1.905e+02    5.431e+00      2.500e+01    4.042e-02    1.280e+02      10.83s       0         
14   1.777e+01    5.799e+02    3.439e+00      2.500e+01    4.042e-02    1.280e+02      8.93s        0         
15   1.949e+01    3.127e+03    2.005e+01      1.900e+01    3.690e-02    1.000e+02      8.85s        0         
16   2.162e+01    1.648e+03    1.668e+05      3.900e+01    3.468e-02    1.476e+03      8.22s        0         
17   2.579e+01    5.825e+03    1.389e+01      4.900e+01    3.408e-02    3.076e+03      7.20s        0         
18   3.065e+01    3.643e+03    1.655e+00      6.100e+01    3.349e-02    1.370e+04      6.77s        0         
19   3.746e+01    6.328e+06    1.145e+01      2.900e+01    3.012e-02    4.000e+02      6.15s        0         
20   4.652e+01    1.122e+06    3.055e+01      2.900e+01    3.012e-02    4.000e+02      5.38s        0         
21   4.994e+01    4.516e+09    7.788e+00      4.700e+01    2.880e-02    1.328e+03      4.20s        0         
22   5.656e+01    6.953e+09    8.176e+00      1.050e+02    2.399e-02    9.208e+06      3.00s        0         
23   6.177e+01    2.481e+13    5.879e+01      1.070e+02    2.399e-02    9.863e+06      1.64s        0         
24   6.558e+01    3.214e+10    7.577e+00      5.900e+01    2.323e-02    6.960e+03      0.00s        0         
25   7.772e+01    2.668e+14    7.565e+00      6.300e+01    2.293e-02    2.174e+04      43.68s       0         
26   8.227e+01    4.364e+12    1.095e+00      9.100e+01    2.154e-02    3.118e+04      39.84s       0         
27   7.972e+01    5.279e+10    1.005e+01      9.100e+01    2.154e-02    3.118e+04      42.15s       0         
28   8.421e+01    1.898e+08    1.706e+01      1.190e+02    2.102e-02    5.309e+06      38.97s       0         
29   8.767e+01    4.523e+08    2.647e+00      7.500e+01    2.049e-02    2.110e+04      37.08s       0         
30   9.740e+01    7.447e+09    1.147e+00      8.700e+01    2.009e-02    2.205e+05      39.09s       0         
31   9.106e+01    3.913e+08    7.105e+00      8.700e+01    2.009e-02    2.205e+05      35.28s       0         
32   9.023e+01    1.046e+10    4.268e+00      8.700e+01    2.009e-02    2.205e+05      34.14s       0         
33   8.703e+01    5.470e+08    2.648e+00      9.300e+01    1.985e-02    1.037e+05      30.59s       0         
34   8.927e+01    7.278e+07    1.511e+00      8.900e+01    1.964e-02    1.029e+05      30.83s       0         
35   8.728e+01    5.654e+08    7.378e-01      8.500e+01    1.943e-02    3.050e+04      28.61s       0         
36   9.073e+01    6.030e+07    7.417e+00      8.700e+01    1.902e-02    4.317e+04      27.23s       0         
37   9.159e+01    4.218e+08    8.791e-01      9.100e+01    1.896e-02    4.459e+04      24.40s       0         
38   9.025e+01    6.467e+08    3.579e+00      1.010e+02    1.868e-02    2.375e+05      21.74s       0         
39   9.216e+01    8.290e+08    1.599e+01      9.300e+01    1.853e-02    4.546e+04      20.98s       0         
40   9.375e+01    1.413e+09    1.488e+00      9.900e+01    1.830e-02    1.177e+05      18.67s       0         
41   9.450e+01    1.030e+09    1.253e+01      9.300e+01    1.830e-02    4.388e+04      18.07s       0         
42   9.647e+01    1.434e+09    1.660e+00      1.150e+02    1.802e-02    7.978e+05      14.71s       0         
43   9.990e+01    2.109e+10    1.182e+00      1.150e+02    1.802e-02    7.978e+05      13.29s       0         
44   1.007e+02    1.087e+09    2.144e+01      9.700e+01    1.785e-02    1.515e+05      11.46s       0         
45   1.035e+02    2.729e+09    7.164e+00      1.230e+02    1.724e-02    1.460e+07      9.38s        0         
46   1.043e+02    7.783e+08    2.305e+00      1.230e+02    1.724e-02    1.460e+07      6.84s        0         
47   1.041e+02    2.982e+09    7.858e+00      1.670e+02    1.710e-02    1.966e+09      4.72s        0         
48   1.096e+02    2.766e+11    1.474e+00      1.670e+02    1.694e-02    1.966e+09      2.45s        0         
49   1.177e+02    1.200e+13    2.080e+00      1.610e+02    1.675e-02    4.206e+08      0.00s        0         
50   1.303e+02    2.683e+13    1.832e+00      1.570e+02    1.665e-02    4.206e+08      1.04m        0         
51   1.302e+02    4.198e+14    8.293e+00      1.590e+02    1.665e-02    3.111e+08      1.03m        0         
52   1.313e+02    1.759e+13    9.416e-01      1.810e+02    1.646e-02    1.300e+09      58.11s       0         
53   1.348e+02    8.552e+14    7.574e-01      1.790e+02    1.646e-02    8.435e+08      56.59s       0         
54   1.282e+02    1.191e+14    3.447e+00      2.450e+02    1.580e-02    4.975e+08      58.23s       0         
55   1.351e+02    7.112e+14    1.574e+00      2.430e+02    1.578e-02    4.553e+08      54.74s       0         
56   1.381e+02    1.245e+17    5.453e-01      2.450e+02    1.558e-02    4.975e+08      49.66s       0         
57   1.548e+02    1.866e+16    9.767e+00      2.630e+02    1.558e-02    4.615e+08      51.39s       0         
58   1.633e+02    7.654e+14    8.815e-01      2.210e+02    1.547e-02    4.251e+08      55.09s       0         
59   1.648e+02    2.262e+16    1.232e+00      2.390e+02    1.523e-02    1.329e+14      50.19s       0         
60   1.727e+02    1.883e+13    3.714e-01      2.050e+02    1.507e-02    1.446e+10      48.14s       0         
61   1.779e+02    3.943e+17    1.305e+00      2.050e+02    1.507e-02    1.446e+10      45.43s       0         
62   1.747e+02    9.890e+17    3.207e-01      1.890e+02    1.498e-02    1.446e+10      43.39s       0         
63   1.697e+02    5.100e+15    1.657e+12      1.890e+02    1.498e-02    1.446e+10      37.09s       0         
64   1.682e+02    1.035e+15    7.459e+00      2.010e+02    1.490e-02    1.446e+10      35.31s       0         
65   1.724e+02    7.467e+15    4.028e-01      2.210e+02    1.470e-02    1.446e+10      30.34s       0         
66   1.739e+02    9.467e+15    6.096e-01      2.190e+02    1.472e-02    1.446e+10      27.53s       0         
67   1.746e+02    2.631e+17    1.527e+01      2.210e+02    1.467e-02    1.637e+10      24.38s       0         
68   1.689e+02    6.204e+16    1.273e+00      2.210e+02    1.467e-02    1.637e+10      20.95s       0         
69   1.639e+02    1.842e+15    8.730e-01      2.210e+02    1.467e-02    1.637e+10      16.88s       0         
70   1.576e+02    3.322e+14    7.218e+00      2.050e+02    1.466e-02    1.637e+10      13.14s       0         
71   1.518e+02    1.545e+13    1.505e+01      1.730e+02    1.462e-02    9.101e+07      10.02s       0         
72   1.536e+02    1.506e+13    3.681e-01      1.730e+02    1.462e-02    9.101e+07      6.09s        0         
73   1.522e+02    1.387e+14    5.024e-01      1.490e+02    1.432e-02    5.001e+07      3.27s        0         
74   1.512e+02    3.257e+14    1.335e+01      1.490e+02    1.432e-02    5.001e+07      0.00s        0         
75   1.555e+02    3.714e+14    3.500e+00      1.490e+02    1.432e-02    5.001e+07      1.28m        0         
76   1.524e+02    1.511e+14    1.130e+01      1.490e+02    1.432e-02    5.001e+07      1.23m        0         
77   1.501e+02    5.409e+13    3.274e+00      1.490e+02    1.432e-02    5.001e+07      1.22m        0         
78   1.537e+02    2.369e+16    7.362e-01      1.090e+02    1.388e-02    4.980e+07      1.13m        0         
79   1.532e+02    3.192e+17    4.571e+03      1.090e+02    1.388e-02    4.980e+07      1.17m        0         
80   1.534e+02    3.787e+14    1.219e+02      1.090e+02    1.388e-02    4.980e+07      1.02m        0         
81   1.443e+02    1.536e+14    1.037e+01      1.090e+02    1.388e-02    4.980e+07      57.00s       0         
82   1.388e+02    5.299e+17    8.364e+00      1.090e+02    1.388e-02    4.980e+07      51.83s       0         
83   1.306e+02    6.335e+16    7.148e-01      1.130e+02    1.368e-02    1.969e+08      45.52s       0         
84   1.210e+02    1.281e+15    7.465e+00      1.190e+02    1.369e-02    2.252e+08      41.81s       0         
85   1.166e+02    1.164e+15    1.167e+00      1.010e+02    1.353e-02    4.976e+07      35.71s       0         
86   1.116e+02    4.195e+17    1.876e+02      1.490e+02    1.337e-02    1.107e+09      32.47s       0         
87   1.129e+02    1.220e+23    1.258e+00      1.490e+02    1.337e-02    1.107e+09      31.03s       0         
88   1.148e+02    1.889e+17    8.698e+00      1.490e+02    1.337e-02    1.107e+09      27.58s       0         
89   1.153e+02    2.986e+17    5.122e+05      1.030e+02    1.326e-02    1.082e+08      25.06s       0         
