    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.699e+01    6.255e+14    4.383e+12      3.100e+01    5.800e+02    2.621e-01      36.02s       6         
1    1.518e+01    8.131e+08    1.507e+04      7.000e+00    6.000e+00    1.684e-01      9.38s        1         
2    8.590e+00    3.500e+04    4.622e+01      7.000e+00    6.000e+00    1.031e-01      6.33s        2         
3    8.365e+00    1.329e+05    1.230e+06      1.300e+01    9.000e+00    9.809e-02      6.05s        4         
4    1.043e+01    1.729e+09    9.912e+02      1.300e+01    9.000e+00    9.809e-02      5.73s        4         
5    1.047e+01    3.869e+06    8.300e+04      4.500e+01    6.899e+03    9.794e-02      5.55s        5         
6    1.598e+01    2.304e+11    3.536e+03      4.500e+01    6.899e+03    9.096e-02      6.00s        6         
7    2.075e+01    4.759e+08    1.758e+04      4.500e+01    6.899e+03    7.711e-02      6.12s        11        
8    2.209e+01    4.084e+15    7.909e+03      3.100e+01    3.710e+02    6.401e-02      6.42s        9         
9    1.603e+01    3.692e+04    2.316e+04      3.100e+01    2.390e+02    5.086e-02      5.02s        11        
10   1.718e+01    1.722e+07    1.373e+03      3.100e+01    2.390e+02    4.678e-02      4.77s        12        
11   1.866e+01    4.282e+07    1.339e+04      3.500e+01    1.830e+02    3.183e-02      4.73s        7         
12   1.569e+01    2.737e+07    1.393e+05      3.500e+01    1.830e+02    3.183e-02      4.74s        9         
13   1.830e+01    3.170e+10    3.242e+02      3.500e+01    1.830e+02    3.183e-02      3.93s        9         
14   1.850e+01    4.810e+08    1.075e+07      4.900e+01    5.130e+02    2.120e-02      3.91s        9         
15   2.148e+01    1.145e+12    1.219e+05      4.900e+01    4.910e+02    2.077e-02      3.40s        9         
16   2.155e+01    1.763e+13    1.411e+02      4.900e+01    4.910e+02    2.077e-02      3.23s        10        
17   2.360e+01    1.445e+06    1.622e+03      4.900e+01    5.130e+02    1.940e-02      2.79s        11        
18   2.675e+01    4.660e+09    9.090e+05      4.700e+01    4.690e+02    1.906e-02      3.77s        11        
19   2.669e+01    6.994e+06    2.543e+08      4.700e+01    4.690e+02    1.906e-02      2.18s        12        
20   2.738e+01    9.797e+10    1.408e+03      4.700e+01    4.690e+02    1.906e-02      1.89s        13        
21   2.759e+01    6.762e+04    8.670e+02      4.700e+01    4.690e+02    1.906e-02      1.44s        12        
22   2.591e+01    2.266e+08    1.413e+02      4.700e+01    3.370e+02    1.900e-02      0.92s        10        
23   2.375e+01    1.052e+17    3.137e+09      4.700e+01    3.370e+02    1.900e-02      0.43s        10        
24   2.180e+01    2.165e+11    1.301e+04      4.700e+01    3.370e+02    1.900e-02      0.00s        11        
25   2.126e+01    2.445e+06    1.137e+05      4.700e+01    3.370e+02    1.900e-02      9.47s        11        
26   2.072e+01    4.773e+09    5.896e+02      4.700e+01    3.370e+02    1.900e-02      9.82s        12        
27   2.496e+01    7.723e+13    6.312e+02      4.700e+01    3.370e+02    1.900e-02      8.91s        12        
28   2.339e+01    1.152e+10    2.249e+05      4.700e+01    3.370e+02    1.900e-02      8.39s        11        
29   2.473e+01    4.971e+10    1.155e+03      4.700e+01    3.370e+02    1.900e-02      8.90s        11        
30   2.311e+01    4.743e+04    4.545e+02      4.700e+01    3.370e+02    1.900e-02      7.44s        11        
31   2.378e+01    8.084e+08    3.744e+03      4.700e+01    3.370e+02    1.900e-02      7.44s        11        
32   2.468e+01    5.083e+12    6.825e+03      4.700e+01    3.370e+02    1.878e-02      6.95s        10        
33   2.345e+01    4.797e+07    4.264e+03      4.700e+01    3.370e+02    1.878e-02      6.61s        11        
