    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.064e+01    2.571e+14    9.788e+29      7.000e+00    1.600e+01    2.170e-01      29.62s       2         
1    1.055e+01    2.343e+15    1.755e+11      7.000e+00    1.600e+01    1.412e-01      6.89s        5         
2    1.184e+01    9.023e+10    1.261e+18      1.500e+01    4.400e+01    1.224e-01      6.46s        8         
3    1.262e+01    1.046e+12    1.484e+13      1.100e+01    2.000e+01    9.164e-02      6.51s        7         
4    1.268e+01    2.210e+12    1.385e+16      2.300e+01    1.430e+02    8.861e-02      6.31s        8         
5    1.482e+01    5.346e+13    1.563e+12      1.100e+01    2.000e+01    7.973e-02      6.26s        5         
6    1.211e+01    2.380e+11    2.462e+11      1.100e+01    2.000e+01    7.266e-02      6.00s        5         
7    1.134e+01    1.473e+14    6.999e+11      1.100e+01    2.000e+01    7.266e-02      5.30s        6         
8    1.291e+01    7.562e+14    3.440e+12      1.100e+01    2.000e+01    7.266e-02      5.30s        5         
9    1.238e+01    1.110e+15    4.725e+12      1.100e+01    2.000e+01    7.266e-02      4.83s        5         
10   1.184e+01    3.594e+14    6.291e+19      6.100e+01    1.432e+03    7.262e-02      4.26s        7         
11   1.816e+01    2.540e+09    1.210e+08      6.500e+01    1.522e+03    7.157e-02      4.60s        10        
12   3.320e+01    3.272e+12    8.016e+10      6.700e+01    1.526e+03    6.686e-02      5.42s        11        
13   3.133e+01    4.472e+16    1.128e+15      6.900e+01    1.602e+03    6.601e-02      5.36s        9         
14   2.417e+01    1.456e+11    3.327e+18      6.900e+01    8.440e+02    6.567e-02      4.09s        9         
15   2.305e+01    7.217e+13    7.101e+07      1.700e+01    3.000e+01    5.965e-02      3.71s        6         
16   1.335e+01    1.549e+08    1.016e+10      1.700e+01    3.000e+01    5.883e-02      2.58s        7         
17   1.387e+01    8.630e+10    1.120e+17      1.700e+01    3.000e+01    5.883e-02      2.28s        7         
18   1.462e+01    1.909e+15    9.553e+21      1.700e+01    3.000e+01    5.060e-02      1.97s        7         
19   1.496e+01    9.781e+15    3.731e+13      1.500e+01    4.500e+01    4.865e-02      1.67s        7         
20   1.504e+01    3.205e+12    4.526e+12      1.500e+01    4.500e+01    4.846e-02      1.36s        7         
21   1.293e+01    1.382e+18    8.616e+17      1.500e+01    4.500e+01    4.829e-02      0.98s        7         
22   1.271e+01    2.946e+10    1.402e+19      1.700e+01    1.150e+02    4.744e-02      0.63s        9         
23   1.367e+01    3.733e+08    1.033e+13      1.500e+01    4.500e+01    4.512e-02      0.32s        5         
24   1.540e+01    1.857e+17    1.664e+18      1.500e+01    4.500e+01    4.512e-02      0.00s        6         
25   1.484e+01    1.338e+10    2.184e+31      1.300e+01    2.100e+01    4.040e-02      7.85s        5         
26   1.373e+01    3.789e+12    1.564e+20      2.300e+01    4.900e+01    4.035e-02      7.95s        6         
27   1.582e+01    2.059e+14    1.422e+11      2.300e+01    4.900e+01    4.006e-02      7.32s        5         
28   1.646e+01    3.275e+10    8.257e+19      3.500e+01    7.690e+02    3.974e-02      7.60s        8         
29   2.131e+01    4.876e+11    2.179e+14      3.100e+01    7.100e+01    3.955e-02      8.26s        9         
30   2.339e+01    2.342e+12    2.363e+16      1.300e+01    2.100e+01    3.878e-02      7.55s        4         
31   1.396e+01    2.290e+10    3.588e+14      2.700e+01    1.050e+02    3.806e-02      6.21s        5         
32   1.855e+01    1.554e+11    1.419e+15      2.500e+01    1.010e+02    3.767e-02      6.37s        8         
33   2.023e+01    2.182e+14    4.866e+17      2.500e+01    1.010e+02    3.725e-02      6.04s        10        
34   2.000e+01    2.197e+11    4.491e+15      2.500e+01    1.010e+02    3.497e-02      5.78s        11        
35   2.110e+01    4.972e+15    7.361e+12      2.700e+01    1.370e+02    3.490e-02      5.58s        11        
36   1.914e+01    3.734e+07    1.365e+13      3.900e+01    1.590e+02    3.460e-02      4.70s        10        
37   2.166e+01    2.164e+12    7.395e+16      1.500e+01    2.300e+01    2.841e-02      4.58s        6         
38   1.457e+01    4.983e+12    1.577e+14      1.500e+01    2.300e+01    2.831e-02      3.64s        6         
39   1.604e+01    8.683e+16    7.028e+18      1.500e+01    2.300e+01    2.831e-02      3.38s        6         
40   1.620e+01    1.677e+11    2.663e+17      2.500e+01    4.100e+01    2.821e-02      3.07s        8         
41   1.845e+01    1.470e+12    6.579e+13      2.500e+01    4.100e+01    2.815e-02      2.87s        9         
42   1.880e+01    6.880e+11    1.938e+16      3.100e+01    2.370e+02    2.769e-02      2.50s        10        
43   2.144e+01    3.279e+14    1.754e+24      3.100e+01    2.370e+02    2.769e-02      2.42s        10        
44   2.132e+01    5.854e+15    5.092e+11      3.300e+01    3.570e+02    2.753e-02      1.85s        12        
45   2.165e+01    1.222e+13    3.781e+12      3.300e+01    3.570e+02    2.732e-02      1.54s        15        
