    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.699e+01    6.255e+14    4.383e+12      3.100e+01    5.800e+02    2.621e-01      39.38s       6         
1    1.527e+01    1.626e+06    1.509e+04      7.000e+00    6.000e+00    1.684e-01      8.62s        1         
2    8.630e+00    1.428e+08    8.713e+01      7.000e+00    6.000e+00    1.031e-01      6.91s        2         
3    9.055e+00    5.412e+12    1.580e+06      1.300e+01    9.000e+00    9.809e-02      6.39s        4         
4    1.102e+01    1.732e+09    9.971e+02      1.300e+01    9.000e+00    9.809e-02      6.37s        4         
5    1.083e+01    1.186e+07    8.304e+04      1.300e+01    9.000e+00    9.809e-02      6.27s        3         
6    1.043e+01    2.800e+06    2.808e+03      1.300e+01    9.000e+00    9.809e-02      5.89s        3         
7    1.037e+01    1.529e+12    1.069e+04      1.300e+01    9.000e+00    9.809e-02      5.17s        5         
8    1.102e+01    9.790e+09    1.277e+07      9.000e+00    1.600e+01    8.552e-02      4.76s        5         
9    1.123e+01    1.131e+09    2.803e+03      9.000e+00    1.600e+01    4.996e-02      4.79s        8         
10   1.051e+01    7.555e+05    8.479e+02      9.000e+00    1.600e+01    4.996e-02      4.49s        8         
11   1.004e+01    2.955e+06    6.324e+04      9.000e+00    1.600e+01    4.996e-02      3.99s        8         
12   1.074e+01    3.104e+06    1.459e+05      9.000e+00    1.600e+01    4.996e-02      3.89s        7         
13   1.099e+01    3.808e+10    1.238e+04      2.100e+01    2.200e+01    4.129e-02      3.80s        8         
14   1.241e+01    7.048e+04    4.268e+03      2.100e+01    2.200e+01    4.129e-02      3.64s        8         
15   1.154e+01    2.410e+06    1.527e+03      2.100e+01    2.200e+01    4.129e-02      2.95s        7         
16   1.257e+01    5.725e+08    2.099e+03      4.300e+01    2.420e+02    4.127e-02      2.71s        8         
17   1.511e+01    7.524e+04    9.390e+04      1.900e+01    1.700e+01    3.905e-02      2.53s        7         
18   1.311e+01    1.233e+11    9.265e+05      1.900e+01    1.700e+01    3.905e-02      2.15s        7         
19   1.222e+01    3.611e+16    2.543e+08      1.900e+01    1.700e+01    3.905e-02      1.74s        7         
20   1.135e+01    1.232e+14    5.861e+05      1.900e+01    1.700e+01    3.905e-02      1.34s        7         
21   1.151e+01    2.126e+10    6.020e+03      1.900e+01    1.700e+01    3.905e-02      0.95s        7         
22   1.169e+01    1.420e+12    1.365e+05      1.900e+01    1.700e+01    3.905e-02      0.70s        7         
23   1.085e+01    4.185e+12    1.003e+03      1.900e+01    1.700e+01    3.905e-02      0.32s        6         
24   1.189e+01    6.297e+09    1.235e+04      3.500e+01    4.290e+02    3.898e-02      0.00s        7         
25   1.506e+01    7.506e+03    4.165e+04      3.500e+01    6.310e+02    3.867e-02      7.82s        10        
26   2.134e+01    1.063e+13    3.386e+03      3.500e+01    6.330e+02    3.848e-02      9.02s        11        
27   2.106e+01    1.169e+11    1.098e+03      3.500e+01    6.330e+02    3.820e-02      9.02s        12        
28   2.004e+01    1.783e+03    2.245e+05      3.500e+01    6.330e+02    3.820e-02      7.68s        12        
29   1.964e+01    4.506e+09    1.565e+04      4.300e+01    4.353e+03    3.804e-02      7.28s        12        
30   2.085e+01    1.544e+12    4.388e+02      3.700e+01    2.730e+02    3.786e-02      7.27s        11        
31   1.845e+01    6.086e+03    3.590e+03      3.500e+01    2.130e+02    3.778e-02      7.29s        13        
32   2.393e+01    2.414e+11    4.547e+04      3.500e+01    2.130e+02    3.778e-02      6.70s        14        
33   2.408e+01    8.771e+06    4.540e+03      4.700e+01    6.500e+01    3.750e-02      6.38s        15        
34   2.397e+01    1.929e+11    1.000e+02      4.500e+01    2.610e+02    3.650e-02      5.86s        20        
35   2.762e+01    1.930e+08    8.585e+04      4.500e+01    2.610e+02    3.650e-02      5.72s        19        
36   2.801e+01    2.945e+07    4.127e+03      4.900e+01    4.150e+02    3.544e-02      5.40s        22        
37   3.106e+01    4.404e+09    2.190e+07      4.900e+01    4.150e+02    3.544e-02      5.48s        23        
38   2.941e+01    1.756e+06    1.039e+04      4.900e+01    5.550e+02    3.464e-02      5.25s        27        
39   3.411e+01    2.073e+14    1.250e+05      4.900e+01    5.550e+02    3.431e-02      5.59s        28        
40   3.456e+01    1.492e+06    1.344e+02      4.900e+01    5.550e+02    3.431e-02      4.53s        27        
41   3.443e+01    6.115e+10    2.098e+04      4.900e+01    5.550e+02    3.339e-02      3.87s        30        
42   3.340e+01    6.258e+10    1.238e+03      4.900e+01    5.550e+02    3.339e-02      3.40s        32        
43   3.486e+01    1.020e+12    9.063e+02      4.900e+01    5.550e+02    3.339e-02      3.28s        30        
44   3.283e+01    1.348e+13    1.315e+03      4.900e+01    5.550e+02    3.339e-02      2.42s        34        
45   3.367e+01    4.352e+07    4.397e+02      4.900e+01    5.550e+02    3.339e-02      2.04s        34        
46   3.381e+01    3.076e+12    4.994e+02      5.500e+01    1.087e+03    3.328e-02      1.43s        39        
47   3.229e+01    7.179e+03    7.257e+05      5.700e+01    7.510e+02    3.273e-02      0.93s        39        
48   3.280e+01    1.144e+07    5.556e+05      5.700e+01    7.510e+02    3.273e-02      0.52s        41        
49   3.188e+01    2.138e+05    1.912e+04      5.700e+01    7.510e+02    3.273e-02      0.00s        36        
50   3.563e+01    1.255e+11    1.783e+02      5.700e+01    7.510e+02    3.273e-02      11.95s       33        
51   3.700e+01    7.904e+08    1.763e+04      4.700e+01    3.030e+02    3.250e-02      11.82s       28        
52   3.387e+01    2.066e+06    7.490e+03      4.700e+01    3.030e+02    3.250e-02      11.03s       27        
53   3.438e+01    1.977e+04    1.579e+04      4.700e+01    3.010e+02    3.199e-02      11.57s       27        
54   3.162e+01    5.254e+06    1.581e+03      4.900e+01    4.530e+02    3.059e-02      9.67s        22        
55   2.693e+01    3.968e+08    1.425e+10      4.900e+01    4.530e+02    2.918e-02      8.71s        28        
56   3.030e+01    1.595e+04    2.545e+03      5.100e+01    4.570e+02    2.908e-02      8.24s        29        
57   3.287e+01    9.348e+09    7.860e+02      6.300e+01    4.810e+02    2.844e-02      7.88s        31        
58   3.216e+01    5.617e+08    6.851e+05      6.300e+01    4.850e+02    2.838e-02      7.78s        33        
59   3.373e+01    5.963e+08    4.254e+03      6.300e+01    4.910e+02    2.833e-02      7.10s        37        
60   3.686e+01    7.885e+09    2.482e+03      4.900e+01    4.550e+02    2.686e-02      7.24s        40        
61   3.528e+01    7.931e+15    3.150e+10      5.500e+01    2.435e+03    2.404e-02      6.71s        41        
62   3.559e+01    8.434e+09    2.005e+07      5.900e+01    2.443e+03    2.402e-02      5.95s        40        
63   3.630e+01    7.244e+11    1.122e+05      5.700e+01    2.439e+03    2.379e-02      5.77s        40        
64   3.465e+01    2.640e+10    1.305e+04      5.900e+01    2.441e+03    2.371e-02      4.90s        38        
65   3.548e+01    7.264e+10    6.247e+02      5.900e+01    2.441e+03    2.371e-02      4.68s        41        
66   3.534e+01    3.711e+11    1.532e+03      6.300e+01    2.485e+03    2.349e-02      4.31s        25        
67   3.733e+01    4.585e+04    4.985e+02      6.300e+01    1.865e+03    2.335e-02      3.44s        25        
68   3.461e+01    8.223e+11    9.151e+03      6.500e+01    1.869e+03    2.333e-02      2.79s        34        
69   4.016e+01    3.758e+08    5.600e+05      8.500e+01    1.351e+03    2.177e-02      2.60s        20        
70   3.326e+01    2.817e+08    3.021e+04      8.500e+01    1.351e+03    2.177e-02      1.88s        20        
71   3.530e+01    1.581e+06    6.329e+02      8.500e+01    1.351e+03    2.023e-02      1.44s        24        
72   3.527e+01    2.798e+09    1.806e+06      8.700e+01    1.353e+03    2.000e-02      1.07s        30        
73   4.020e+01    5.633e+06    1.635e+04      8.700e+01    1.353e+03    2.000e-02      0.52s        31        
74   4.292e+01    1.429e+09    6.836e+03      8.700e+01    1.367e+03    1.993e-02      0.00s        32        
75   4.340e+01    3.174e+12    2.494e+05      8.700e+01    1.367e+03    1.993e-02      13.84s       33        
76   4.565e+01    1.115e+12    1.485e+04      8.700e+01    1.367e+03    1.993e-02      13.70s       35        
77   4.473e+01    1.942e+08    7.394e+03      8.700e+01    1.367e+03    1.993e-02      12.84s       26        
78   4.390e+01    5.067e+09    1.518e+03      8.500e+01    1.351e+03    1.986e-02      12.87s       30        
79   4.631e+01    1.134e+13    1.807e+05      8.500e+01    1.351e+03    1.986e-02      12.50s       32        
80   4.454e+01    6.221e+14    5.851e+03      8.500e+01    1.351e+03    1.986e-02      11.15s       35        
81   4.774e+01    2.669e+07    4.656e+02      8.500e+01    1.357e+03    1.971e-02      11.98s       34        
82   4.624e+01    5.717e+11    6.991e+04      8.500e+01    1.357e+03    1.971e-02      10.96s       30        
83   4.698e+01    2.203e+06    2.472e+07      9.100e+01    1.497e+03    1.924e-02      10.54s       25        
84   3.903e+01    1.762e+05    3.885e+01      9.100e+01    1.495e+03    1.922e-02      8.18s        25        
