    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.699e+01    6.255e+14    4.383e+12      3.100e+01    5.800e+02    2.621e-01      35.21s       6         
1    1.527e+01    1.626e+06    1.509e+04      7.000e+00    6.000e+00    1.684e-01      8.91s        1         
2    8.630e+00    1.428e+08    8.713e+01      7.000e+00    6.000e+00    1.031e-01      6.77s        2         
3    9.055e+00    5.412e+12    1.580e+06      1.300e+01    9.000e+00    9.809e-02      6.08s        4         
4    1.102e+01    1.732e+09    9.971e+02      1.300e+01    9.000e+00    9.809e-02      6.71s        4         
5    1.083e+01    1.186e+07    8.304e+04      1.300e+01    9.000e+00    9.809e-02      6.47s        3         
6    1.043e+01    2.800e+06    2.808e+03      1.300e+01    9.000e+00    9.809e-02      5.91s        3         
7    1.037e+01    1.529e+12    1.069e+04      1.300e+01    9.000e+00    9.809e-02      5.31s        5         
8    1.102e+01    9.790e+09    1.277e+07      9.000e+00    1.600e+01    8.552e-02      5.08s        5         
9    1.123e+01    1.131e+09    2.803e+03      9.000e+00    1.600e+01    4.996e-02      6.12s        8         
10   1.051e+01    7.555e+05    8.479e+02      9.000e+00    1.600e+01    4.996e-02      6.55s        8         
11   1.004e+01    2.955e+06    6.324e+04      9.000e+00    1.600e+01    4.996e-02      4.10s        8         
12   1.074e+01    3.104e+06    1.459e+05      9.000e+00    1.600e+01    4.996e-02      3.86s        7         
13   1.099e+01    3.808e+10    1.238e+04      2.100e+01    2.200e+01    4.129e-02      4.65s        8         
14   1.241e+01    7.048e+04    4.268e+03      2.100e+01    2.200e+01    4.129e-02      4.26s        8         
15   1.154e+01    2.410e+06    1.527e+03      2.100e+01    2.200e+01    4.129e-02      2.78s        7         
16   1.257e+01    5.725e+08    2.099e+03      4.300e+01    2.420e+02    4.127e-02      2.83s        8         
17   1.511e+01    7.524e+04    9.390e+04      1.900e+01    1.700e+01    3.905e-02      2.68s        7         
18   1.311e+01    1.233e+11    9.265e+05      1.900e+01    1.700e+01    3.905e-02      2.06s        7         
19   1.222e+01    3.611e+16    2.543e+08      1.900e+01    1.700e+01    3.905e-02      1.56s        7         
20   1.135e+01    1.232e+14    5.861e+05      1.900e+01    1.700e+01    3.905e-02      1.37s        7         
21   1.151e+01    2.126e+10    6.020e+03      1.900e+01    1.700e+01    3.905e-02      1.03s        7         
22   1.169e+01    1.420e+12    1.365e+05      1.900e+01    1.700e+01    3.905e-02      0.68s        7         
23   1.085e+01    4.185e+12    1.003e+03      1.900e+01    1.700e+01    3.905e-02      0.30s        6         
24   1.189e+01    6.297e+09    1.235e+04      3.500e+01    4.290e+02    3.898e-02      0.00s        7         
25   1.506e+01    7.506e+03    4.165e+04      3.500e+01    6.310e+02    3.867e-02      8.82s        10        
26   2.134e+01    1.063e+13    3.386e+03      3.500e+01    6.330e+02    3.848e-02      9.69s        11        
27   2.106e+01    1.169e+11    1.098e+03      3.500e+01    6.330e+02    3.820e-02      9.16s        12        
28   2.004e+01    1.783e+03    2.245e+05      3.500e+01    6.330e+02    3.820e-02      8.33s        12        
29   1.964e+01    4.506e+09    1.565e+04      4.300e+01    4.353e+03    3.804e-02      8.08s        12        
30   2.085e+01    1.544e+12    4.388e+02      1.210e+02    5.065e+03    3.695e-02      8.48s        12        
31   2.588e+01    2.047e+04    3.589e+03      1.250e+02    5.075e+03    3.648e-02      7.88s        21        
32   6.246e+01    2.415e+11    1.767e+07      1.370e+02    1.592e+04    3.606e-02      12.68s       23        
