    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.699e+01    6.255e+14    4.383e+12      3.100e+01    5.800e+02    2.621e-01      35.24s       6         
1    1.527e+01    1.626e+06    1.509e+04      7.000e+00    6.000e+00    1.684e-01      8.86s        1         
2    8.630e+00    1.428e+08    8.713e+01      7.000e+00    6.000e+00    1.031e-01      6.71s        2         
3    9.055e+00    5.412e+12    1.580e+06      1.300e+01    9.000e+00    9.809e-02      6.02s        4         
4    1.102e+01    1.732e+09    9.971e+02      1.300e+01    9.000e+00    9.809e-02      6.22s        4         
5    1.083e+01    1.186e+07    8.304e+04      1.300e+01    9.000e+00    9.809e-02      5.68s        3         
6    1.043e+01    2.800e+06    2.808e+03      1.300e+01    9.000e+00    9.809e-02      5.44s        3         
7    1.037e+01    1.529e+12    1.069e+04      1.300e+01    9.000e+00    9.809e-02      4.95s        5         
8    1.102e+01    9.790e+09    1.277e+07      9.000e+00    1.600e+01    8.552e-02      4.69s        5         
9    1.123e+01    1.131e+09    2.803e+03      9.000e+00    1.600e+01    4.996e-02      4.62s        8         
10   1.051e+01    7.555e+05    8.479e+02      9.000e+00    1.600e+01    4.996e-02      4.24s        8         
11   1.004e+01    2.955e+06    6.324e+04      9.000e+00    1.600e+01    4.996e-02      3.90s        8         
12   1.074e+01    3.104e+06    1.459e+05      9.000e+00    1.600e+01    4.996e-02      3.77s        7         
13   1.099e+01    3.808e+10    1.238e+04      2.100e+01    2.200e+01    4.129e-02      4.02s        8         
14   1.241e+01    7.048e+04    4.268e+03      2.100e+01    2.200e+01    4.129e-02      3.66s        8         
15   1.154e+01    2.410e+06    1.527e+03      2.100e+01    2.200e+01    4.129e-02      2.96s        7         
16   1.257e+01    5.725e+08    2.099e+03      2.100e+01    2.200e+01    4.129e-02      2.74s        7         
17   1.155e+01    3.669e+05    9.390e+04      1.900e+01    1.700e+01    3.905e-02      2.20s        7         
18   1.301e+01    1.233e+11    9.265e+05      1.900e+01    1.700e+01    3.905e-02      2.01s        7         
19   1.221e+01    3.611e+16    2.543e+08      1.900e+01    1.700e+01    3.905e-02      1.65s        7         
20   1.135e+01    1.232e+14    5.861e+05      1.900e+01    1.700e+01    3.905e-02      1.26s        7         
21   1.151e+01    2.126e+10    6.020e+03      1.900e+01    1.700e+01    3.905e-02      0.95s        7         
22   1.169e+01    1.420e+12    1.365e+05      1.900e+01    1.700e+01    3.905e-02      0.62s        7         
23   1.085e+01    4.185e+12    1.003e+03      1.900e+01    1.700e+01    3.905e-02      0.31s        6         
24   1.189e+01    6.297e+09    1.235e+04      1.900e+01    1.700e+01    3.905e-02      0.00s        6         
25   1.199e+01    4.524e+10    2.356e+04      1.900e+01    1.700e+01    3.905e-02      7.59s        6         
26   1.214e+01    1.062e+13    1.368e+05      1.900e+01    1.700e+01    3.905e-02      7.29s        6         
27   1.231e+01    1.576e+07    5.636e+02      2.100e+01    1.800e+01    3.843e-02      7.51s        7         
28   1.241e+01    1.622e+03    2.244e+05      2.100e+01    1.800e+01    3.843e-02      6.63s        8         
29   1.338e+01    4.506e+09    9.474e+02      2.100e+01    1.800e+01    3.843e-02      6.51s        8         
30   1.353e+01    1.544e+12    4.125e+02      2.100e+01    1.800e+01    3.843e-02      7.15s        8         
31   1.279e+01    8.013e+03    3.049e+03      2.100e+01    1.800e+01    3.843e-02      5.85s        7         
32   1.418e+01    2.414e+11    3.892e+04      1.900e+01    1.700e+01    3.830e-02      5.59s        7         
33   1.337e+01    9.690e+06    4.322e+03      1.900e+01    1.700e+01    3.830e-02      5.16s        7         
34   1.279e+01    1.929e+11    1.015e+02      1.900e+01    1.700e+01    3.830e-02      4.57s        8         
35   1.337e+01    1.875e+08    6.456e+01      1.900e+01    1.700e+01    3.830e-02      4.54s        8         
36   1.267e+01    2.945e+07    3.309e+04      1.900e+01    1.700e+01    3.830e-02      4.05s        9         
37   1.428e+01    2.676e+10    2.186e+07      1.900e+01    1.700e+01    3.830e-02      4.08s        9         
38   1.260e+01    8.787e+02    6.627e+03      1.900e+01    1.700e+01    3.830e-02      3.47s        9         
39   1.419e+01    2.073e+14    2.649e+03      1.900e+01    1.700e+01    3.830e-02      3.40s        9         
40   1.366e+01    3.689e+05    3.110e+02      1.900e+01    1.700e+01    3.830e-02      3.17s        9         
41   1.378e+01    6.115e+10    2.717e+03      1.900e+01    1.700e+01    3.830e-02      2.63s        9         
42   1.387e+01    3.007e+11    3.073e+03      5.300e+01    3.032e+03    3.825e-02      2.25s        10        
43   1.803e+01    1.022e+12    5.511e+03      5.700e+01    3.002e+03    3.626e-02      2.13s        11        
44   2.384e+01    2.691e+13    1.087e+03      4.500e+01    2.740e+02    3.516e-02      2.14s        10        
45   1.922e+01    3.308e+08    3.630e+03      4.500e+01    2.740e+02    3.295e-02      1.52s        12        
46   2.102e+01    3.076e+12    1.478e+02      4.100e+01    2.140e+02    2.927e-02      1.22s        17        
47   2.595e+01    7.188e+06    7.262e+05      4.100e+01    2.140e+02    2.927e-02      0.96s        17        
48   2.570e+01    1.142e+07    2.289e+05      4.100e+01    2.140e+02    2.927e-02      0.43s        18        
49   2.560e+01    7.874e+09    4.284e+08      4.100e+01    2.140e+02    2.927e-02      0.00s        20        
