    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.699e+01    6.255e+14    4.383e+12      3.100e+01    5.800e+02    2.621e-01      36.21s       6         
1    1.595e+01    1.650e+06    1.622e+04      7.000e+00    6.000e+00    1.684e-01      8.70s        1         
2    9.998e+00    2.181e+11    1.687e+02      9.000e+00    9.000e+00    1.435e-01      7.04s        3         
3    1.104e+01    5.416e+12    1.413e+06      9.000e+00    7.000e+00    1.108e-01      6.77s        4         
4    1.149e+01    1.732e+09    1.092e+03      1.500e+01    1.200e+01    1.026e-01      6.35s        5         
5    1.298e+01    4.799e+08    3.511e+04      1.100e+01    8.000e+00    1.026e-01      6.62s        5         
6    1.080e+01    2.382e+11    8.739e+03      1.300e+01    9.000e+00    1.024e-01      5.84s        3         
7    1.269e+01    1.529e+12    1.087e+04      4.900e+01    1.180e+02    1.018e-01      5.61s        4         
8    2.277e+01    1.104e+13    1.277e+07      4.900e+01    1.600e+02    9.875e-02      6.40s        10        
9    3.345e+01    3.554e+08    1.267e+02      1.700e+01    2.200e+01    9.775e-02      6.75s        6         
10   1.690e+01    1.085e+07    8.015e+02      1.700e+01    2.200e+01    9.753e-02      4.81s        7         
11   1.607e+01    4.041e+08    1.470e+04      4.700e+01    1.610e+02    9.746e-02      4.49s        9         
12   2.061e+01    3.085e+06    2.226e+05      4.900e+01    3.480e+02    9.679e-02      4.43s        11        
13   2.301e+01    3.816e+10    5.105e+02      4.500e+01    3.420e+02    9.605e-02      4.60s        12        
14   2.332e+01    1.026e+06    8.873e+03      5.300e+01    4.580e+02    9.568e-02      4.21s        18        
15   3.123e+01    1.165e+11    2.935e+03      6.700e+01    4.960e+02    9.496e-02      4.02s        20        
16   3.343e+01    6.563e+08    8.797e+02      8.900e+01    7.160e+02    9.480e-02      3.84s        21        
17   3.477e+01    8.854e+12    2.213e+04      5.300e+01    3.740e+02    9.457e-02      3.31s        24        
18   3.327e+01    1.234e+11    1.139e+06      6.100e+01    4.220e+02    9.334e-02      2.82s        22        
19   3.076e+01    3.611e+16    2.543e+08      3.500e+01    7.600e+01    8.454e-02      2.35s        15        
20   2.344e+01    1.232e+14    1.622e+06      3.500e+01    7.600e+01    7.835e-02      1.69s        17        
21   2.232e+01    1.722e+10    2.543e+06      2.900e+01    1.090e+02    7.129e-02      1.24s        18        
22   2.238e+01    5.880e+05    8.620e+03      2.900e+01    1.090e+02    7.129e-02      0.80s        23        
23   2.257e+01    4.185e+12    1.450e+04      2.900e+01    1.090e+02    7.129e-02      0.38s        21        
24   2.397e+01    4.861e+11    4.878e+04      3.100e+01    1.130e+02    7.117e-02      0.00s        24        
25   2.466e+01    1.974e+13    1.753e+05      2.500e+01    4.900e+01    6.669e-02      12.30s       15        
26   2.009e+01    1.063e+13    2.882e+04      2.500e+01    4.900e+01    6.662e-02      8.61s        15        
27   2.051e+01    1.167e+11    1.129e+03      2.500e+01    5.300e+01    6.642e-02      8.30s        17        
28   2.101e+01    5.738e+08    1.043e+06      2.500e+01    5.300e+01    6.392e-02      7.87s        15        
29   2.039e+01    1.577e+10    1.748e+04      2.500e+01    5.300e+01    6.069e-02      7.52s        15        
30   2.075e+01    1.544e+12    2.884e+02      2.900e+01    3.600e+01    5.950e-02      7.08s        8         
31   1.799e+01    1.003e+09    5.977e+05      5.900e+01    1.166e+03    5.920e-02      6.48s        12        
32   2.494e+01    2.717e+11    8.248e+04      4.100e+01    2.504e+03    5.293e-02      6.89s        12        
33   2.748e+01    1.171e+07    4.503e+03      2.700e+01    4.200e+01    4.949e-02      6.83s        8         
34   1.514e+01    1.929e+11    9.950e+01      2.700e+01    4.200e+01    4.949e-02      4.97s        9         
35   1.604e+01    1.963e+08    8.611e+04      2.700e+01    4.200e+01    4.949e-02      4.79s        9         
36   1.432e+01    2.948e+07    2.315e+04      2.700e+01    4.200e+01    4.949e-02      4.16s        12        
37   1.716e+01    5.531e+12    2.189e+07      6.300e+01    1.780e+02    4.945e-02      4.40s        14        
