    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.658e+01    1.218e+16    8.244e+11      2.100e+01    1.710e+02    1.965e-01      9.61s        3         
1    1.262e+01    1.809e+05    1.599e+03      2.100e+01    1.320e+02    1.097e-01      5.72s        5         
2    1.558e+01    1.362e+05    4.724e+03      2.100e+01    2.280e+02    9.571e-02      6.14s        4         
3    1.510e+01    2.201e+05    1.895e+02      2.300e+01    1.920e+02    7.037e-02      6.03s        4         
4    1.537e+01    2.566e+04    1.244e+05      2.900e+01    9.230e+02    4.889e-02      5.68s        4         
5    1.676e+01    2.277e+06    2.354e+05      2.900e+01    9.230e+02    4.889e-02      5.72s        5         
6    1.580e+01    9.359e+03    7.715e+01      2.900e+01    9.230e+02    4.889e-02      5.23s        5         
7    1.557e+01    1.259e+07    2.259e+02      2.900e+01    9.230e+02    4.889e-02      4.85s        5         
8    1.571e+01    8.182e+07    3.829e+03      2.900e+01    9.230e+02    4.889e-02      4.35s        5         
9    1.499e+01    6.070e+04    4.493e+03      2.900e+01    9.230e+02    4.889e-02      3.86s        5         
10   1.494e+01    5.827e+06    1.683e+02      2.900e+01    9.230e+02    4.889e-02      3.58s        5         
11   1.509e+01    1.310e+03    2.329e+04      2.900e+01    1.095e+03    4.588e-02      3.42s        5         
12   1.509e+01    2.960e+08    2.237e+02      2.900e+01    1.095e+03    4.588e-02      3.11s        6         
13   1.505e+01    2.109e+03    3.538e+01      2.900e+01    1.095e+03    4.588e-02      2.90s        6         
14   1.490e+01    9.203e+06    6.274e+03      2.900e+01    1.095e+03    4.588e-02      2.63s        6         
15   1.485e+01    9.523e+04    1.623e+03      2.900e+01    1.095e+03    4.588e-02      2.33s        6         
16   1.490e+01    2.517e+03    6.086e+01      2.900e+01    1.095e+03    4.588e-02      2.08s        6         
17   1.569e+01    3.780e+07    6.454e+02      2.900e+01    1.095e+03    4.588e-02      2.00s        6         
18   1.493e+01    1.405e+08    5.340e+04      2.900e+01    1.095e+03    4.588e-02      1.58s        6         
19   1.488e+01    1.057e+03    2.714e+02      3.300e+01    4.020e+03    4.571e-02      1.38s        8         
20   1.771e+01    2.788e+07    1.805e+03      3.300e+01    4.020e+03    4.571e-02      1.36s        8         
21   1.834e+01    1.997e+05    2.296e+02      3.300e+01    1.147e+03    4.480e-02      0.94s        8         
22   1.771e+01    2.267e+04    7.510e+01      3.700e+01    4.072e+03    4.472e-02      0.64s        9         
23   2.014e+01    3.284e+06    1.506e+04      3.700e+01    4.072e+03    4.472e-02      0.34s        9         
24   2.039e+01    3.095e+04    9.781e+03      3.700e+01    4.072e+03    4.472e-02      0.00s        9         
