    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.425e+01    2.283e+07    4.865e+04      2.800e+01    8.829e+01    3.597e-01      8.13s        4         
1    1.450e+01    1.945e+06    5.742e+00      8.000e+00    5.757e+00    3.403e-01      7.50s        5         
2    9.729e+00    1.647e+04    4.622e+03      1.500e+01    9.453e+01    3.251e-01      6.35s        6         
3    1.056e+01    2.511e+09    7.529e+01      1.700e+01    5.010e+02    3.028e-01      6.29s        6         
4    1.178e+01    7.584e+07    1.735e+03      1.700e+01    1.386e+03    2.990e-01      6.23s        8         
5    1.262e+01    1.697e+06    3.119e+03      1.600e+01    6.281e+01    2.952e-01      6.21s        8         
6    1.208e+01    2.237e+10    1.338e+01      1.500e+01    1.725e+01    2.428e-01      5.75s        5         
7    1.044e+01    5.897e+14    1.472e+03      1.500e+01    1.725e+01    2.428e-01      4.98s        6         
8    1.072e+01    1.674e+05    2.236e+03      1.600e+01    1.863e+01    1.423e-01      5.11s        10        
9    1.286e+01    8.210e+04    3.559e+08      1.600e+01    1.863e+01    1.423e-01      4.64s        9         
10   1.288e+01    2.245e+07    2.773e+01      1.600e+01    1.863e+01    1.423e-01      4.51s        10        
11   1.285e+01    6.972e+04    2.892e+00      1.600e+01    1.863e+01    1.423e-01      4.00s        11        
12   1.219e+01    1.895e+09    3.201e+01      1.600e+01    1.863e+01    1.423e-01      3.67s        12        
13   1.269e+01    1.348e+06    6.555e+02      1.600e+01    1.863e+01    1.423e-01      3.42s        13        
14   1.293e+01    9.167e+05    4.217e+03      1.600e+01    1.863e+01    1.423e-01      3.19s        12        
15   1.266e+01    2.132e+04    1.924e+04      1.800e+01    3.663e+01    1.100e-01      2.80s        15        
16   1.360e+01    9.218e+06    4.906e+03      1.700e+01    1.997e+01    9.900e-02      2.54s        13        
17   1.273e+01    4.114e+15    5.800e+00      1.800e+01    2.035e+01    9.273e-02      2.21s        14        
18   1.303e+01    8.745e+06    4.644e+03      1.700e+01    2.125e+01    6.455e-02      1.88s        15        
19   1.335e+01    1.754e+07    3.624e+02      1.700e+01    2.125e+01    6.455e-02      1.58s        15        
20   1.286e+01    1.714e+06    2.619e+03      1.700e+01    2.125e+01    6.455e-02      1.85s        16        
21   1.332e+01    1.767e+07    2.174e+01      1.700e+01    2.125e+01    6.455e-02      0.95s        13        
22   1.251e+01    3.330e+05    1.328e+02      1.700e+01    2.125e+01    6.455e-02      0.61s        13        
23   1.264e+01    6.835e+04    1.611e+04      6.700e+01    6.493e+03    6.451e-02      0.31s        16        
24   1.535e+01    4.704e+05    4.669e+03      6.700e+01    4.577e+06    6.380e-02      0.00s        19        
25   2.372e+01    2.601e+05    9.455e+03      9.500e+01    4.577e+06    6.207e-02      9.70s        19        
26   2.202e+01    3.781e+06    1.051e+04      9.000e+01    4.577e+06    6.189e-02      9.00s        23        
27   3.254e+01    1.368e+07    1.494e+04      9.000e+01    4.577e+06    6.138e-02      10.35s       25        
28   3.199e+01    8.083e+10    2.344e+01      9.600e+01    4.577e+06    6.112e-02      9.62s        23        
29   3.086e+01    5.287e+06    3.256e+01      9.300e+01    4.577e+06    6.050e-02      9.18s        24        
30   3.358e+01    7.212e+13    2.028e+04      9.300e+01    4.577e+06    6.047e-02      9.26s        25        
31   2.731e+01    7.964e+05    7.172e+00      6.000e+01    1.340e+02    6.003e-02      7.71s        23        
32   2.391e+01    1.826e+05    4.054e+03      6.400e+01    1.518e+02    5.964e-02      7.24s        25        
33   2.545e+01    1.172e+03    6.424e+00      5.600e+01    2.416e+02    5.909e-02      6.47s        31        
34   2.917e+01    1.575e+03    2.035e+02      5.600e+01    1.916e+02    5.829e-02      7.46s        29        
35   2.774e+01    1.828e+05    1.031e+04      7.500e+01    1.290e+02    5.626e-02      6.01s        27        
36   2.580e+01    1.272e+05    8.789e+03      7.900e+01    1.498e+02    5.590e-02      5.37s        30        
37   3.287e+01    8.525e+05    5.875e+04      6.000e+01    1.100e+02    5.416e-02      5.47s        22        
38   2.055e+01    3.319e+04    4.009e+01      5.700e+01    9.325e+01    5.290e-02      4.09s        21        
39   1.895e+01    2.501e+06    2.858e+01      5.700e+01    8.925e+01    5.266e-02      3.58s        23        
40   2.030e+01    1.433e+07    8.536e+02      5.700e+01    8.925e+01    5.266e-02      3.30s        32        
41   2.590e+01    1.676e+09    3.475e+04      5.700e+01    8.925e+01    5.228e-02      3.34s        33        
42   2.745e+01    7.332e+05    3.067e+01      5.700e+01    8.925e+01    5.228e-02      2.96s        31        
43   2.602e+01    5.343e+06    2.803e+01      5.600e+01    9.525e+01    5.200e-02      2.67s        26        
44   2.069e+01    3.377e+08    5.627e+00      7.600e+01    1.413e+02    5.199e-02      1.89s        28        
45   2.491e+01    2.637e+06    3.155e+03      3.200e+01    5.834e+01    3.633e-02      1.62s        26        
46   2.038e+01    9.619e+05    3.775e+00      3.200e+01    7.213e+01    3.603e-02      1.13s        23        
47   1.669e+01    1.755e+05    1.199e+01      3.200e+01    7.213e+01    3.603e-02      0.79s        25        
48   1.721e+01    4.938e+05    1.792e+07      3.200e+01    7.213e+01    3.603e-02      0.35s        22        
49   1.708e+01    3.441e+04    8.760e+07      3.200e+01    7.213e+01    3.603e-02      0.00s        25        
50   1.821e+01    1.491e+04    6.217e+03      3.200e+01    7.213e+01    3.603e-02      8.53s        25        
51   1.915e+01    9.669e+08    4.227e+01      5.400e+01    1.116e+02    3.602e-02      8.32s        29        
52   2.042e+01    1.230e+05    2.901e+02      5.400e+01    1.176e+02    3.535e-02      8.15s        27        
53   2.110e+01    8.219e+09    1.656e+05      2.100e+01    2.905e+01    3.408e-02      7.97s        17        
54   1.244e+01    8.879e+05    5.752e+00      2.100e+01    3.180e+01    3.404e-02      6.38s        17        
55   1.231e+01    5.809e+07    7.950e+00      2.200e+01    3.505e+01    3.395e-02      6.61s        18        
56   1.346e+01    3.467e+04    3.022e+03      2.800e+01    8.242e+01    3.387e-02      5.92s        20        
57   1.394e+01    6.012e+04    1.358e+04      2.600e+01    4.800e+01    3.375e-02      5.65s        22        
58   1.448e+01    3.833e+03    4.936e+03      2.600e+01    4.800e+01    3.375e-02      5.48s        24        
59   1.582e+01    5.054e+05    2.861e+03      2.500e+01    4.256e+01    3.309e-02      5.24s        23        
60   1.573e+01    4.775e+08    1.338e+02      2.500e+01    4.256e+01    3.293e-02      4.97s        23        
61   1.573e+01    1.876e+08    3.214e+03      2.500e+01    4.256e+01    3.293e-02      4.68s        23        
62   1.563e+01    5.219e+05    7.086e+04      2.800e+01    5.734e+01    3.277e-02      4.32s        26        
63   1.718e+01    3.067e+06    1.775e+03      2.800e+01    5.734e+01    3.270e-02      4.56s        25        
64   1.594e+01    4.077e+04    1.130e+04      2.800e+01    5.734e+01    3.270e-02      3.51s        24        
65   1.625e+01    4.565e+06    5.697e+03      5.500e+01    1.001e+05    3.216e-02      3.21s        27        
66   1.735e+01    1.308e+07    2.297e+01      5.500e+01    1.001e+05    3.216e-02      2.95s        27        
