    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.425e+01    2.283e+07    4.865e+04      2.800e+01    8.829e+01    3.597e-01      8.25s        4         
1    1.450e+01    1.945e+06    5.742e+00      8.000e+00    5.757e+00    3.403e-01      7.54s        5         
2    9.729e+00    1.647e+04    4.622e+03      1.500e+01    9.453e+01    3.251e-01      6.56s        6         
3    1.056e+01    2.511e+09    7.529e+01      1.700e+01    5.010e+02    3.028e-01      6.49s        6         
4    1.178e+01    7.584e+07    1.735e+03      1.700e+01    1.386e+03    2.990e-01      6.29s        8         
5    1.262e+01    1.697e+06    3.119e+03      1.600e+01    6.281e+01    2.952e-01      6.18s        8         
6    1.208e+01    2.237e+10    1.338e+01      1.500e+01    1.725e+01    2.428e-01      5.85s        5         
7    1.044e+01    5.897e+14    1.472e+03      1.500e+01    1.725e+01    2.428e-01      5.09s        6         
8    1.072e+01    1.674e+05    2.236e+03      1.600e+01    1.863e+01    1.423e-01      4.73s        10        
9    1.286e+01    8.210e+04    3.559e+08      1.600e+01    1.863e+01    1.423e-01      4.70s        9         
10   1.288e+01    2.245e+07    2.773e+01      1.600e+01    1.863e+01    1.423e-01      4.53s        10        
11   1.285e+01    6.972e+04    2.892e+00      1.600e+01    1.863e+01    1.423e-01      4.12s        11        
12   1.219e+01    1.895e+09    3.201e+01      1.600e+01    1.863e+01    1.423e-01      3.86s        12        
13   1.269e+01    1.348e+06    6.555e+02      1.600e+01    1.863e+01    1.423e-01      3.66s        13        
14   1.293e+01    9.167e+05    4.217e+03      1.600e+01    1.863e+01    1.423e-01      3.18s        12        
15   1.266e+01    2.132e+04    1.924e+04      1.800e+01    3.663e+01    1.100e-01      2.83s        15        
16   1.360e+01    9.218e+06    4.906e+03      1.700e+01    1.997e+01    9.900e-02      2.57s        13        
17   1.273e+01    4.114e+15    5.800e+00      1.800e+01    2.035e+01    9.273e-02      2.19s        14        
18   1.303e+01    8.745e+06    4.644e+03      1.700e+01    2.125e+01    6.455e-02      1.91s        15        
19   1.335e+01    1.754e+07    3.624e+02      1.700e+01    2.125e+01    6.455e-02      1.67s        15        
20   1.286e+01    1.714e+06    2.619e+03      1.700e+01    2.125e+01    6.455e-02      1.38s        16        
21   1.332e+01    1.767e+07    2.174e+01      1.700e+01    2.125e+01    6.455e-02      1.06s        13        
22   1.251e+01    3.330e+05    1.328e+02      1.700e+01    2.125e+01    6.455e-02      0.73s        13        
23   1.264e+01    6.835e+04    1.611e+04      6.700e+01    6.493e+03    6.451e-02      0.35s        16        
24   1.535e+01    4.704e+05    4.669e+03      6.700e+01    4.577e+06    6.380e-02      0.00s        19        
25   2.372e+01    2.601e+05    9.455e+03      9.500e+01    4.577e+06    6.207e-02      11.81s       19        
26   2.202e+01    3.781e+06    1.051e+04      9.000e+01    4.577e+06    6.189e-02      9.78s        23        
