    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.425e+01    2.283e+07    4.865e+04      2.800e+01    8.829e+01    3.597e-01      10.17s       4         
1    1.450e+01    1.945e+06    5.742e+00      8.000e+00    5.757e+00    3.403e-01      9.02s        5         
2    9.729e+00    1.647e+04    4.622e+03      1.500e+01    9.453e+01    3.251e-01      7.07s        6         
3    1.056e+01    2.511e+09    7.529e+01      1.700e+01    5.010e+02    3.028e-01      7.17s        6         
4    1.178e+01    7.584e+07    1.735e+03      1.700e+01    1.386e+03    2.990e-01      7.03s        8         
5    1.262e+01    1.697e+06    3.119e+03      1.600e+01    6.281e+01    2.952e-01      6.63s        8         
6    1.208e+01    2.237e+10    1.338e+01      1.500e+01    1.725e+01    2.428e-01      6.09s        5         
7    1.044e+01    5.897e+14    1.472e+03      1.500e+01    1.725e+01    2.428e-01      5.52s        6         
8    1.072e+01    1.674e+05    2.236e+03      1.600e+01    1.863e+01    1.423e-01      5.07s        10        
9    1.295e+01    1.288e+06    3.559e+08      2.100e+01    4.145e+01    1.266e-01      4.90s        10        
10   1.347e+01    1.619e+07    4.520e+00      2.000e+01    4.539e+01    1.213e-01      4.78s        12        
11   1.312e+01    1.017e+05    3.118e+00      1.700e+01    1.997e+01    9.900e-02      4.46s        12        
12   1.288e+01    1.895e+09    2.190e+01      1.700e+01    1.997e+01    9.744e-02      3.95s        12        
13   1.312e+01    9.185e+05    8.230e+00      6.000e+01    1.963e+03    8.114e-02      3.74s        13        
14   1.702e+01    9.184e+05    4.197e+03      6.000e+01    1.963e+03    7.649e-02      4.04s        14        
15   1.757e+01    2.088e+04    2.189e+04      6.100e+01    1.959e+03    6.342e-02      3.37s        20        
16   2.528e+01    7.405e+08    4.702e+03      6.100e+01    1.712e+03    6.272e-02      8.10s        21        
17   2.764e+01    3.791e+06    9.675e+00      7.800e+01    4.402e+03    6.199e-02      3.27s        18        
18   2.325e+01    6.948e+03    5.863e+03      7.800e+01    2.922e+03    6.108e-02      2.61s        23        
19   3.003e+01    5.717e+09    2.315e+01      7.400e+01    8.640e+02    5.694e-02      2.48s        20        
20   2.371e+01    8.218e+03    2.230e+03      6.600e+01    5.729e+02    5.665e-02      1.75s        19        
21   2.243e+01    3.724e+07    6.261e+03      6.600e+01    1.912e+02    4.862e-02      1.22s        20        
22   2.168e+01    1.585e+04    3.057e+01      6.200e+01    1.592e+02    4.804e-02      0.79s        21        
23   2.255e+01    4.702e+03    5.925e+04      6.100e+01    1.527e+02    4.798e-02      0.39s        23        
24   2.344e+01    3.781e+05    1.547e+01      4.300e+01    1.078e+02    4.803e-02      0.00s        22        
25   2.154e+01    4.441e+04    2.697e+03      4.300e+01    1.078e+02    4.803e-02      9.52s        21        
26   2.053e+01    2.020e+05    1.113e+01      4.300e+01    1.078e+02    4.803e-02      9.75s        21        
27   2.061e+01    2.251e+09    1.456e+04      4.300e+01    1.078e+02    4.803e-02      8.66s        20        
28   1.968e+01    8.081e+10    3.193e+03      5.100e+01    1.226e+02    4.786e-02      7.83s        22        
29   2.177e+01    1.207e+05    2.111e+01      5.200e+01    1.338e+02    4.721e-02      7.77s        24        
30   2.336e+01    1.586e+07    1.596e+01      5.200e+01    1.338e+02    4.721e-02      9.02s        26        
31   2.349e+01    4.118e+04    6.764e+00      6.000e+01    1.727e+02    4.347e-02      7.42s        27        
32   2.533e+01    4.300e+03    1.082e+04      6.000e+01    1.727e+02    4.347e-02      7.19s        28        
33   2.662e+01    2.816e+04    7.460e+00      6.000e+01    1.727e+02    4.318e-02      6.94s        29        
34   2.765e+01    1.730e+03    1.003e+01      7.400e+01    2.301e+02    4.292e-02      6.75s        33        
35   2.937e+01    2.615e+04    9.329e+03      6.400e+01    5.523e+02    4.213e-02      6.35s        35        
36   2.992e+01    6.281e+03    2.242e+01      6.400e+01    5.523e+02    4.213e-02      6.04s        36        
37   2.957e+01    8.031e+05    5.890e+04      6.300e+01    4.362e+02    4.213e-02      6.13s        36        
38   2.761e+01    1.380e+05    2.542e+02      6.300e+01    4.362e+02    4.213e-02      4.96s        38        
39   2.939e+01    1.524e+05    6.671e+00      5.800e+01    1.599e+02    4.209e-02      4.57s        37        
40   2.871e+01    6.455e+06    8.517e+02      5.800e+01    1.599e+02    4.211e-02      4.68s        37        
41   2.943e+01    9.911e+04    3.475e+04      5.800e+01    1.599e+02    4.214e-02      3.92s        36        
42   2.737e+01    1.611e+05    4.063e+00      5.800e+01    1.599e+02    4.214e-02      3.17s        36        
43   2.867e+01    2.922e+07    4.169e+02      5.800e+01    1.599e+02    4.214e-02      2.74s        38        
44   2.759e+01    1.754e+05    2.347e+01      5.800e+01    1.599e+02    4.214e-02      2.24s        39        
45   2.757e+01    3.494e+03    4.271e+03      5.700e+01    1.559e+02    4.210e-02      1.87s        38        
