    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.425e+01    2.283e+07    4.865e+04      2.800e+01    8.829e+01    3.597e-01      13.27s       4         
1    1.494e+01    1.960e+06    7.413e+00      8.000e+00    5.757e+00    3.403e-01      12.27s       5         
2    1.115e+01    8.078e+04    4.614e+03      1.500e+01    9.453e+01    3.251e-01      9.69s        5         
3    1.149e+01    8.818e+06    7.561e+01      1.500e+01    1.780e+02    3.035e-01      6.82s        6         
4    1.162e+01    2.110e+06    1.734e+03      2.000e+01    5.770e+02    2.856e-01      6.72s        6         
5    1.269e+01    2.272e+07    3.028e+03      2.000e+01    5.770e+02    2.389e-01      6.48s        7         
6    1.383e+01    1.164e+08    3.408e+01      1.900e+01    5.766e+02    2.306e-01      6.33s        11        
7    1.379e+01    1.722e+11    8.727e+00      2.100e+01    1.576e+02    2.065e-01      5.79s        13        
8    1.462e+01    1.166e+08    6.184e+03      2.100e+01    1.576e+02    2.065e-01      5.75s        9         
9    1.430e+01    9.428e+06    3.559e+08      1.600e+01    6.916e+01    2.060e-01      5.21s        10        
10   1.403e+01    1.014e+07    5.952e+00      9.600e+01    1.146e+05    2.007e-01      5.25s        10        
11   2.172e+01    3.847e+05    7.193e+00      2.400e+01    5.416e+01    1.709e-01      5.35s        10        
12   1.426e+01    1.164e+05    1.784e+01      3.000e+01    1.131e+02    1.511e-01      4.13s        11        
13   1.614e+01    4.714e+06    4.051e+01      3.000e+01    1.131e+02    1.479e-01      3.88s        13        
14   1.647e+01    1.839e+06    1.028e+01      3.000e+01    1.131e+02    1.479e-01      3.51s        13        
15   1.589e+01    7.575e+04    1.923e+04      5.200e+01    1.664e+02    1.478e-01      3.19s        15        
16   1.858e+01    9.713e+06    4.909e+03      5.200e+01    1.889e+02    1.476e-01      3.01s        18        
17   2.176e+01    8.872e+08    1.768e+02      3.000e+01    1.063e+02    1.375e-01      2.78s        15        
18   1.623e+01    3.447e+08    6.603e+02      1.300e+01    1.576e+01    1.164e-01      2.13s        12        
19   1.309e+01    5.719e+09    3.392e+02      1.300e+01    1.576e+01    1.164e-01      1.65s        12        
20   1.228e+01    5.634e+04    3.301e+03      1.300e+01    1.576e+01    1.164e-01      1.27s        12        
21   1.257e+01    1.563e+07    2.810e+01      1.500e+01    1.976e+01    1.023e-01      1.00s        13        
22   1.264e+01    2.872e+05    1.350e+02      1.500e+01    1.976e+01    1.023e-01      0.69s        13        
23   1.335e+01    1.661e+05    6.463e+04      7.400e+01    1.791e+03    1.022e-01      0.33s        14        
