    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.311e+01    3.597e+06    2.148e+03      1.400e+01    1.418e+01    4.250e-01      7.95s        5         
1    1.055e+01    9.318e+04    7.001e+02      2.000e+01    3.214e+01    3.295e-01      4.95s        7         
2    1.089e+01    1.059e+03    6.594e+00      2.200e+01    4.651e+01    3.218e-01      5.13s        6         
3    1.242e+01    9.777e+04    4.637e+00      2.000e+01    3.028e+01    2.602e-01      5.05s        7         
4    1.232e+01    5.910e+01    1.157e+00      2.400e+01    7.612e+01    2.321e-01      4.63s        9         
5    1.448e+01    1.298e+07    2.093e+00      2.400e+01    7.612e+01    2.201e-01      4.73s        9         
6    1.547e+01    1.765e+04    2.628e+00      2.300e+01    6.969e+01    2.071e-01      4.50s        10        
7    1.409e+01    1.980e+02    1.277e+00      2.100e+01    6.873e+01    1.915e-01      4.01s        9         
8    1.315e+01    2.041e+10    4.398e+00      2.000e+01    6.602e+01    1.734e-01      3.52s        9         
9    1.348e+01    1.568e+04    4.223e+01      2.000e+01    6.602e+01    1.734e-01      3.46s        7         
10   1.291e+01    4.709e+03    1.430e+00      1.300e+01    2.671e+01    1.485e-01      3.19s        5         
11   1.117e+01    9.219e+06    2.088e+00      1.100e+01    1.783e+01    1.050e-01      2.75s        3         
12   9.398e+00    5.023e+03    2.131e+01      1.100e+01    1.783e+01    1.050e-01      2.50s        4         
13   9.613e+00    1.400e+04    6.498e+01      1.100e+01    1.783e+01    1.050e-01      2.46s        4         
14   9.561e+00    8.498e+01    5.953e+01      1.100e+01    1.377e+01    1.043e-01      2.28s        4         
15   9.789e+00    2.754e+03    2.901e+00      1.100e+01    1.377e+01    1.043e-01      2.02s        4         
16   9.766e+00    1.034e+04    2.521e+00      1.100e+01    1.377e+01    1.043e-01      1.79s        4         
17   9.714e+00    1.080e+02    4.215e+00      1.300e+01    2.698e+01    7.632e-02      1.54s        5         
18   1.004e+01    3.318e+07    3.717e+00      1.300e+01    2.698e+01    7.632e-02      1.28s        5         
19   1.050e+01    1.828e+04    3.467e+01      1.300e+01    2.698e+01    7.632e-02      1.26s        6         
20   1.042e+01    1.026e+02    1.044e+01      1.300e+01    2.698e+01    7.632e-02      0.81s        6         
21   1.033e+01    1.036e+02    3.134e+01      1.300e+01    2.698e+01    7.632e-02      0.61s        6         
22   1.061e+01    3.561e+03    2.988e+00      1.300e+01    2.698e+01    7.632e-02      0.43s        6         
23   1.100e+01    5.295e+03    1.130e+00      1.300e+01    2.698e+01    7.632e-02      0.22s        6         
24   1.041e+01    1.334e+03    3.370e+01      1.300e+01    2.698e+01    7.632e-02      0.00s        6         
25   1.051e+01    1.901e+03    6.045e+00      1.300e+01    2.698e+01    7.632e-02      4.92s        6         
26   1.067e+01    5.942e+02    7.803e+00      1.300e+01    2.698e+01    7.632e-02      4.52s        6         
27   1.039e+01    1.505e+07    1.450e+01      1.300e+01    2.698e+01    7.632e-02      4.28s        6         
28   1.048e+01    1.311e+04    2.308e+01      1.300e+01    2.698e+01    7.632e-02      4.31s        6         
29   1.069e+01    6.675e+05    6.800e+00      1.500e+01    2.897e+01    7.241e-02      4.10s        7         
30   1.070e+01    2.441e+02    1.083e+04      1.500e+01    2.897e+01    7.241e-02      3.92s        7         
31   1.162e+01    2.322e+04    7.012e+01      1.500e+01    2.897e+01    7.241e-02      3.82s        7         
32   1.144e+01    2.977e+04    8.474e+00      1.500e+01    2.897e+01    7.241e-02      3.36s        7         
33   1.127e+01    7.905e+01    2.222e+00      1.700e+01    3.104e+01    6.984e-02      3.14s        8         
34   1.179e+01    2.492e+03    2.087e+01      1.700e+01    3.104e+01    6.984e-02      3.04s        8         
35   1.216e+01    2.874e+03    2.823e+01      1.700e+01    3.104e+01    6.984e-02      2.89s        8         
36   1.213e+01    2.740e+03    2.037e+00      1.700e+01    3.104e+01    6.984e-02      2.66s        8         
37   1.231e+01    8.650e+02    3.491e+01      1.700e+01    3.104e+01    6.984e-02      2.47s        8         
38   1.206e+01    1.265e+04    5.445e+01      1.700e+01    3.104e+01    6.984e-02      2.22s        8         
39   1.222e+01    2.812e+02    1.238e+01      1.700e+01    3.104e+01    6.984e-02      2.05s        8         
40   1.245e+01    8.077e+06    5.166e+01      1.700e+01    3.104e+01    6.984e-02      1.84s        8         
41   1.193e+01    3.433e+02    2.070e+00      1.700e+01    3.104e+01    6.984e-02      1.62s        8         
42   1.215e+01    6.138e+03    8.886e+01      1.700e+01    3.104e+01    6.984e-02      1.44s        8         
43   1.193e+01    9.384e+02    1.645e+02      1.700e+01    3.104e+01    6.984e-02      1.24s        8         
44   1.177e+01    5.064e+03    5.310e+00      1.700e+01    3.104e+01    6.984e-02      0.99s        8         
45   1.218e+01    1.477e+06    1.770e+00      1.700e+01    3.104e+01    6.984e-02      0.80s        8         
46   1.215e+01    3.275e+03    4.784e+00      1.700e+01    3.104e+01    6.984e-02      0.69s        8         
47   1.231e+01    6.325e+02    8.068e+01      1.700e+01    3.104e+01    6.984e-02      0.41s        8         
48   1.180e+01    7.442e+04    1.546e+00      1.900e+01    3.318e+01    6.876e-02      0.20s        9         
49   1.284e+01    3.679e+08    1.265e+00      1.900e+01    3.318e+01    6.876e-02      0.00s        9         
50   1.281e+01    1.561e+04    2.457e+00      1.900e+01    3.318e+01    6.876e-02      5.35s        9         
51   1.329e+01    1.240e+04    1.481e+00      1.900e+01    3.318e+01    6.876e-02      4.88s        9         
52   1.302e+01    2.759e+08    4.389e+01      1.900e+01    3.318e+01    6.876e-02      4.91s        9         
53   1.294e+01    5.002e+02    1.557e+00      1.900e+01    3.318e+01    6.876e-02      4.82s        9         
54   1.271e+01    4.470e+02    1.291e+00      1.900e+01    3.318e+01    6.876e-02      4.45s        9         
55   1.309e+01    4.401e+03    8.752e+00      1.900e+01    3.318e+01    6.876e-02      4.30s        9         
