    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    2.390e+01    1.060e+09    4.061e+07      3.200e+01    8.593e+04    3.867e-01      5.15s        0         
1    1.359e+01    8.072e+06    2.491e+01      1.800e+01    1.663e+01    3.635e-01      5.47s        0         
2    1.307e+01    2.738e+08    9.338e+00      1.800e+01    1.671e+01    3.222e-01      5.22s        0         
3    2.106e+01    1.884e+15    2.864e+03      3.000e+01    8.593e+04    2.891e-01      4.39s        0         
4    2.551e+01    8.497e+08    4.461e+04      2.200e+01    1.185e+03    2.496e-01      3.68s        0         
5    2.443e+01    2.072e+07    7.610e+01      2.200e+01    1.185e+03    2.496e-01      2.93s        0         
6    2.409e+01    1.746e+11    1.134e+01      2.600e+01    4.410e+03    2.341e-01      2.40s        0         
7    2.405e+01    1.633e+11    1.918e+01      2.600e+01    4.410e+03    2.341e-01      1.69s        0         
8    2.337e+01    1.193e+12    3.083e+03      3.700e+01    9.285e+03    2.339e-01      0.85s        0         
9    2.482e+01    1.046e+12    5.969e+01      2.700e+01    3.290e+03    2.163e-01      0.00s        0         
10   2.534e+01    1.911e+09    5.770e+00      3.500e+01    3.423e+04    2.032e-01      7.64s        0         
11   2.871e+01    1.822e+10    2.185e+04      3.500e+01    3.423e+04    2.032e-01      6.64s        0         
12   2.831e+01    8.737e+09    3.073e+03      4.700e+01    4.886e+03    1.800e-01      6.09s        0         
13   2.873e+01    7.734e+11    6.465e+03      4.500e+01    1.389e+04    1.696e-01      5.35s        0         
14   2.907e+01    8.465e+11    4.748e+02      4.300e+01    7.813e+03    1.055e-01      4.27s        0         
15   3.107e+01    7.603e+19    5.966e+00      4.300e+01    7.813e+03    1.055e-01      3.47s        0         
16   3.722e+01    6.686e+22    2.379e+01      6.100e+01    7.320e+05    1.012e-01      2.63s        0         
17   4.084e+01    5.138e+25    6.631e+02      7.900e+01    5.500e+08    1.053e-01      1.83s        0         
18   4.686e+01    1.908e+35    5.616e+03      4.800e+01    4.768e+04    1.018e-01      1.01s        0         
19   5.322e+01    3.006e+26    5.507e+08      7.900e+01    1.012e+09    1.020e-01      0.00s        0         
20   5.577e+01    5.816e+68    6.241e+00      7.900e+01    1.012e+09    1.020e-01      31.02s       0         
21   5.348e+01    3.645e+29    8.753e+01      6.800e+01    4.998e+07    9.841e-02      8.65s        0         
