    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    51.54      1.61101e+07        5         0.107012              N/A      4.77m
   1    13.49          5.28616        5         0.107012              N/A     47.67s
   2     9.57          351.514       11        0.0925684              N/A     47.80s
   3     8.67          7.96728       13         0.086774              N/A     46.87s
   4     7.02         0.761864       19         0.056418              N/A     45.45s
   5     7.21          0.92074       19         0.056418              N/A     47.06s
   6    11.18          1.30301       19        0.0535787              N/A     48.03s
   7    15.88         0.717685       13        0.0500058              N/A     53.21s
   8    19.12         0.397665       19         0.048977              N/A     54.39s
   9    21.30         0.223756       23        0.0466851              N/A     58.16s
  10    23.36         0.288107       31        0.0446991              N/A     55.74s
  11    25.16         0.918314       27        0.0323139              N/A     58.48s
  12    27.13          3.14861       33        0.0293878              N/A     59.89s
  13    31.81         0.166612       35        0.0284428              N/A      1.08m
  14    33.47          36.1296       31        0.0277197              N/A      1.07m
  15    35.20         0.741019       31        0.0266245              N/A      1.15m
  16    34.35          0.89153       39        0.0249423              N/A      1.08m
  17    34.08         0.284273       39        0.0249423              N/A      1.03m
  18    33.27         0.212302       83        0.0247449              N/A      1.21m
  19    35.30         0.271089       85        0.0225761              N/A      1.06m
  20    39.65         0.483177       53        0.0206284              N/A      1.04m
  21    44.20          0.32744       63        0.0204387              N/A      1.25m
  22    49.88         0.271997       63        0.0200778              N/A      1.19m
  23    54.59         0.812457       79        0.0190571              N/A      1.20m
  24    56.40         0.239125       51        0.0184204              N/A      1.21m
  25    57.74         0.136171       57         0.016982              N/A      1.20m
  26    57.66         0.493884       93        0.0159465              N/A      1.22m
  27    57.13          0.34048       61        0.0158038              N/A      1.21m
  28    57.42         0.328468       71        0.0155352              N/A      1.21m
  29    59.35         0.188176       83        0.0150764              N/A      1.23m
  30    57.53          1.04667       67        0.0147651              N/A      1.26m
  31    57.99         0.230805       69        0.0146675              N/A      1.30m
  32    59.25         0.219628       83        0.0140575              N/A      1.27m
  33    59.94         0.318635       83        0.0140575              N/A      1.24m
  34    61.17         0.213828       83        0.0140575              N/A      1.28m
  35    62.41         0.315024       93        0.0137094              N/A      1.67m
