    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.401e+01    3.114e+15    1.327e+11      1.500e+01    1.500e+01    2.819e-01      30.22s       2         
1    3.602e+01    1.964e+14    3.052e+07      2.100e+01    6.000e+01    2.555e-01      9.97s        4         
2    4.084e+01    1.303e+18    1.987e+05      9.000e+00    1.300e+01    1.032e-01      9.51s        2         
3    2.994e+01    9.461e+16    2.376e+08      9.000e+00    1.300e+01    9.112e-02      8.21s        2         
4    3.144e+01    1.643e+12    1.497e+04      9.000e+00    1.300e+01    8.769e-02      7.98s        2         
5    3.420e+01    9.751e+10    6.083e+06      7.000e+00    1.100e+01    7.551e-02      8.82s        1         
6    3.209e+01    1.469e+16    2.539e+07      1.100e+01    1.700e+01    7.290e-02      7.11s        2         
7    3.193e+01    1.750e+13    2.457e+06      7.000e+00    1.100e+01    5.167e-02      7.05s        1         
8    3.035e+01    4.536e+12    1.217e+08      2.100e+01    1.010e+02    4.913e-02      6.09s        2         
9    4.035e+01    2.267e+13    5.596e+07      6.700e+01    1.344e+04    4.769e-02      6.66s        6         
10   5.005e+01    5.575e+13    3.766e+09      1.010e+02    1.446e+04    4.675e-02      6.48s        9         
11   6.394e+01    6.395e+13    3.246e+06      1.130e+02    1.735e+04    4.617e-02      6.20s        13        
12   7.164e+01    1.949e+14    6.870e+05      1.110e+02    1.731e+04    4.582e-02      6.37s        13        
13   7.158e+01    7.014e+15    1.226e+08      6.900e+01    1.675e+04    4.549e-02      5.62s        13        
14   6.597e+01    2.239e+17    6.709e+04      7.500e+01    3.086e+04    4.346e-02      5.29s        17        
15   6.140e+01    9.769e+15    2.083e+07      9.500e+01    8.966e+04    4.276e-02      4.37s        18        
16   6.867e+01    1.476e+17    2.817e+07      1.150e+02    1.967e+05    4.190e-02      4.22s        23        
17   6.997e+01    2.110e+13    1.047e+07      1.470e+02    1.972e+05    4.175e-02      3.79s        21        
18   7.358e+01    3.609e+14    1.345e+08      1.470e+02    1.972e+05    4.134e-02      3.26s        22        
19   7.403e+01    1.688e+13    3.513e+08      1.630e+02    3.437e+06    4.083e-02      2.88s        22        
20   8.225e+01    1.632e+15    1.836e+06      1.330e+02    5.237e+04    3.953e-02      2.46s        19        
21   6.929e+01    4.541e+13    3.968e+08      1.790e+02    5.331e+04    3.848e-02      1.75s        17        
22   7.436e+01    9.983e+16    8.197e+03      1.790e+02    5.331e+04    3.825e-02      1.20s        19        
23   8.501e+01    1.346e+15    9.142e+04      1.270e+02    4.526e+04    3.798e-02      0.64s        17        
24   6.947e+01    2.175e+14    7.072e+05      1.430e+02    4.650e+04    3.741e-02      0.00s        19        
25   7.109e+01    7.177e+12    1.294e+08      1.470e+02    4.688e+04    3.585e-02      13.02s       24        
26   7.856e+01    4.492e+14    2.524e+09      1.790e+02    4.714e+04    3.556e-02      13.36s       24        
27   8.875e+01    1.011e+14    5.939e+10      1.290e+02    2.832e+04    3.462e-02      13.62s       20        
28   6.445e+01    3.056e+15    2.804e+05      1.290e+02    2.832e+04    3.462e-02      11.06s       20        
29   6.952e+01    7.469e+15    3.063e+07      1.610e+02    2.874e+04    3.458e-02      10.69s       26        
30   8.398e+01    2.375e+14    2.874e+10      1.590e+02    2.867e+04    3.377e-02      10.63s       28        
31   8.985e+01    2.995e+15    3.497e+05      2.090e+02    7.129e+04    3.345e-02      12.92s       29        
32   1.060e+02    1.310e+15    5.998e+10      2.030e+02    1.074e+05    3.284e-02      11.50s       25        
33   8.295e+01    7.080e+15    1.258e+06      2.050e+02    1.074e+05    3.263e-02      9.38s        25        
34   8.711e+01    3.485e+17    4.960e+13      1.770e+02    8.968e+04    3.197e-02      8.91s        29        
35   9.062e+01    1.027e+14    1.593e+06      1.750e+02    8.968e+04    3.174e-02      8.64s        26        
36   7.984e+01    1.227e+14    5.394e+07      1.750e+02    8.967e+04    3.155e-02      7.47s        29        
37   8.843e+01    2.254e+12    3.606e+04      1.710e+02    8.968e+04    3.146e-02      7.23s        32        
38   9.128e+01    1.023e+15    1.074e+06      6.500e+01    5.643e+03    3.093e-02      6.85s        23        
39   6.239e+01    2.332e+15    1.055e+06      8.900e+01    5.915e+03    3.043e-02      5.56s        23        
40   6.292e+01    6.634e+15    1.519e+06      6.100e+01    2.753e+03    2.953e-02      4.61s        19        
41   5.345e+01    2.967e+16    8.549e+05      8.500e+01    5.735e+03    2.895e-02      4.27s        19        
42   5.879e+01    1.517e+15    1.471e+06      1.310e+02    2.610e+04    2.832e-02      3.61s        18        
43   6.721e+01    1.333e+14    3.416e+06      1.170e+02    6.617e+03    2.798e-02      3.29s        11        
44   9.001e+01    7.335e+15    3.730e+06      1.390e+02    6.777e+03    2.352e-02      3.16s        14        
45   1.064e+02    1.682e+15    1.449e+09      1.190e+02    1.009e+04    2.244e-02      3.01s        12        
46   9.557e+01    1.239e+13    1.196e+07      1.450e+02    1.596e+04    2.236e-02      1.87s        16        
47   1.037e+02    3.170e+14    1.683e+14      1.490e+02    1.027e+04    2.216e-02      1.72s        18        
48   1.208e+02    6.666e+15    3.528e+08      1.190e+02    1.062e+04    2.174e-02      0.78s        15        
49   8.727e+01    1.454e+14    8.422e+06      1.070e+02    3.831e+03    2.159e-02      0.00s        14        
50   8.448e+01    3.380e+13    3.066e+08      1.070e+02    3.835e+03    2.117e-02      14.26s       19        
51   9.167e+01    1.498e+11    5.786e+05      1.070e+02    4.285e+03    2.090e-02      14.47s       18        
52   9.281e+01    1.315e+13    5.069e+04      1.350e+02    4.549e+03    2.074e-02      16.81s       18        
53   9.608e+01    2.670e+14    1.404e+15      1.350e+02    4.549e+03    2.057e-02      15.59s       12        
54   9.803e+01    6.432e+15    9.621e+06      1.730e+02    6.347e+03    2.052e-02      14.67s       16        
55   1.036e+02    3.349e+14    1.739e+11      1.690e+02    6.327e+03    2.031e-02      14.26s       14        
56   9.803e+01    1.534e+14    1.450e+10      2.130e+02    8.769e+03    2.027e-02      12.79s       16        
57   9.579e+01    1.228e+15    3.221e+11      2.330e+02    8.819e+03    1.986e-02      10.72s       18        
58   1.174e+02    1.507e+12    6.336e+05      1.970e+02    7.037e+03    1.968e-02      11.62s       21        
59   1.149e+02    4.888e+14    9.480e+03      1.930e+02    6.981e+03    1.960e-02      10.52s       19        
60   1.153e+02    1.515e+14    9.923e+04      1.990e+02    7.143e+03    1.940e-02      9.57s        22        
61   1.148e+02    9.366e+14    3.857e+04      1.690e+02    3.695e+03    1.934e-02      8.73s        22        
62   1.139e+02    1.448e+14    4.799e+06      1.690e+02    3.695e+03    1.934e-02      8.50s        15        
63   8.905e+01    5.179e+16    4.581e+04      1.670e+02    3.665e+03    1.918e-02      6.39s        17        
64   9.356e+01    1.133e+13    3.564e+06      1.930e+02    3.809e+03    1.909e-02      6.36s        18        
65   1.030e+02    8.219e+13    7.545e+06      2.250e+02    4.357e+03    1.900e-02      5.62s        17        
66   9.919e+01    5.248e+14    4.221e+06      2.370e+02    4.377e+03    1.896e-02      4.86s        22        
67   1.208e+02    3.240e+13    9.256e+05      2.250e+02    4.347e+03    1.888e-02      4.74s        24        
68   1.101e+02    4.976e+13    2.064e+06      2.250e+02    4.335e+03    1.880e-02      4.01s        24        
69   1.095e+02    2.382e+14    7.688e+04      2.250e+02    4.335e+03    1.880e-02      3.40s        25        
70   1.154e+02    5.082e+11    2.688e+06      2.250e+02    4.335e+03    1.880e-02      2.79s        24        
71   1.171e+02    2.482e+11    3.435e+03      2.230e+02    4.143e+03    1.877e-02      2.35s        27        
72   1.211e+02    2.616e+15    2.376e+15      2.370e+02    4.737e+03    1.872e-02      1.42s        30        
73   1.244e+02    1.243e+14    1.277e+06      2.150e+02    3.975e+03    1.854e-02      0.72s        26        
74   1.006e+02    5.416e+14    1.033e+05      2.150e+02    3.965e+03    1.841e-02      0.00s        30        
75   9.633e+01    2.897e+13    2.963e+07      2.110e+02    3.953e+03    1.833e-02      16.26s       27        
76   9.983e+01    4.459e+13    3.047e+05      2.110e+02    3.953e+03    1.833e-02      16.51s       30        
77   9.669e+01    3.561e+12    6.388e+05      2.090e+02    3.959e+03    1.831e-02      13.99s       32        
78   1.070e+02    1.108e+16    1.149e+09      1.450e+02    4.414e+04    1.820e-02      14.02s       33        
79   1.003e+02    8.989e+15    4.262e+07      1.450e+02    4.414e+04    1.820e-02      13.09s       35        
80   1.018e+02    1.129e+13    8.597e+06      1.450e+02    4.414e+04    1.820e-02      14.48s       32        
81   1.009e+02    9.355e+12    7.581e+03      1.690e+02    4.429e+04    1.818e-02      12.57s       33        
82   1.071e+02    9.475e+11    3.699e+06      1.310e+02    2.087e+03    1.783e-02      11.29s       27        
83   8.790e+01    3.709e+14    1.002e+07      1.330e+02    2.175e+03    1.771e-02      9.94s        29        
84   8.749e+01    7.621e+13    9.281e+06      8.700e+01    2.329e+03    1.741e-02      8.70s        23        
85   7.362e+01    3.886e+13    7.536e+04      7.700e+01    2.141e+03    1.739e-02      7.77s        20        
86   6.615e+01    6.967e+13    9.768e+04      7.700e+01    2.141e+03    1.739e-02      6.71s        20        
87   6.528e+01    6.042e+15    6.724e+03      5.500e+01    1.977e+03    1.693e-02      6.11s        17        
88   5.854e+01    2.018e+16    5.749e+07      5.500e+01    1.977e+03    1.693e-02      5.30s        13        
89   5.581e+01    1.780e+16    2.446e+04      5.500e+01    1.977e+03    1.693e-02      4.77s        13        
90   5.670e+01    1.245e+15    1.580e+08      5.500e+01    1.975e+03    1.692e-02      4.18s        12        
91   5.782e+01    4.158e+15    1.918e+07      5.500e+01    1.975e+03    1.692e-02      3.76s        9         
92   4.820e+01    4.781e+14    6.144e+09      7.900e+01    2.045e+03    1.689e-02      3.04s        12        
93   5.453e+01    4.342e+12    5.520e+04      7.900e+01    2.923e+03    1.686e-02      2.69s        15        
94   5.760e+01    2.657e+15    1.408e+06      1.450e+02    4.977e+04    1.657e-02      2.26s        17        
95   6.983e+01    6.654e+13    2.069e+09      1.330e+02    4.969e+04    1.643e-02      2.08s        20        
96   8.628e+01    3.165e+16    1.727e+08      1.050e+02    3.931e+03    1.562e-02      1.61s        18        
97   6.830e+01    5.389e+14    4.083e+09      1.270e+02    4.031e+03    1.546e-02      1.01s        19        
98   7.909e+01    2.909e+14    1.610e+07      1.430e+02    3.683e+03    1.541e-02      0.50s        19        
99   7.695e+01    5.966e+15    6.556e+07      1.430e+02    3.685e+03    1.523e-02      0.00s        21        
100  8.868e+01    3.901e+14    4.748e+07      1.370e+02    3.657e+03    1.521e-02      13.19s       22        
101  8.114e+01    1.230e+14    1.141e+06      1.410e+02    4.017e+03    1.514e-02      11.73s       21        
102  7.239e+01    1.555e+14    2.187e+06      1.630e+02    3.729e+03    1.510e-02      11.37s       24        
103  8.539e+01    1.055e+12    7.139e+10      1.410e+02    4.017e+03    1.486e-02      12.25s       24        
104  8.292e+01    8.329e+13    4.069e+06      1.490e+02    4.217e+03    1.476e-02      10.89s       26        
105  9.346e+01    1.550e+15    2.413e+07      1.450e+02    4.205e+03    1.475e-02      10.80s       25        
106  8.617e+01    2.507e+15    2.628e+07      1.470e+02    4.061e+03    1.457e-02      9.73s        27        
107  1.032e+02    1.140e+18    6.519e+04      1.450e+02    4.057e+03    1.454e-02      10.46s       28        
108  9.415e+01    1.398e+15    1.892e+06      1.450e+02    3.697e+03    1.450e-02      10.61s       27        
109  9.391e+01    2.681e+13    4.920e+06      1.430e+02    3.699e+03    1.445e-02      10.86s       25        
110  9.463e+01    1.391e+12    1.322e+18      1.490e+02    3.765e+03    1.441e-02      8.78s        27        
111  1.032e+02    6.520e+16    1.213e+05      1.490e+02    3.763e+03    1.434e-02      8.37s        26        
112  1.011e+02    1.738e+17    1.097e+05      1.490e+02    3.763e+03    1.434e-02      7.37s        26        
113  1.024e+02    8.597e+13    4.311e+13      1.330e+02    3.835e+03    1.401e-02      6.94s        22        
114  8.943e+01    5.614e+16    4.597e+05      1.330e+02    3.847e+03    1.393e-02      6.65s        22        
115  9.089e+01    1.569e+19    4.015e+10      1.450e+02    5.303e+03    1.385e-02      5.16s        23        
116  9.429e+01    2.001e+14    1.337e+06      6.300e+01    3.241e+03    1.367e-02      5.12s        15        
117  5.580e+01    4.296e+14    1.706e+10      6.300e+01    3.241e+03    1.367e-02      3.40s        15        
